19'惠家康左路拿球                   19'第19分钟，烈鸟右路传中被曹轩顶出，李本舰禁区 前沿拿球又被对方阻截
19'周海滨右路传中被挡出                   19'第19分钟，烈鸟右路传中被曹轩顶出，李本舰禁区 前沿拿球又被对方阻截
20'烈鸟再次传中，第一点被解围                   19'第19分钟，烈鸟右路传中被曹轩顶出，李本舰禁区 前沿拿球又被对方阻截
20'陈中流后场抢断，李本舰反抢犯规                   19'第19分钟，烈鸟右路传中被曹轩顶出，李本舰禁区 前沿拿球又被对方阻截
21'谢鹏飞挑传，拉蒙禁区拿球越位了                   19'第19分钟，烈鸟右路传中被曹轩顶出，李本舰禁区 前沿拿球又被对方阻截
22'胡人天右路传中，被安塔尔解围出底线                   19'第19分钟，烈鸟右路传中被曹轩顶出，李本舰禁区 前沿拿球又被对方阻截
22'烈鸟角球开到后点，被拉蒙解围                   19'第19分钟，烈鸟右路传中被曹轩顶出，李本舰禁区 前沿拿球又被对方阻截
27'皮球被防守球员挡出                   27'第27分钟，惠家康左路连续与队友配合后切入中路射门被后卫挡出，右侧胡人天再次传中出了底线
27'泰达队外围远射，被门将没收                   27'第27分钟，惠家康左路连续与队友配合后切入中路射门被后卫挡出，右侧胡人天再次传中出了底线
28'烈鸟转移左路，李本舰争抢犯规                   27'第27分钟，惠家康左路连续与队友配合后切入中路射门被后卫挡出，右侧胡人天再次传中出了底线
28'烈鸟转移到右路                   27'第27分钟，惠家康左路连续与队友配合后切入中路射门被后卫挡出，右侧胡人天再次传中出了底线
28'没有好的进攻机会                   27'第27分钟，惠家康左路连续与队友配合后切入中路射门被后卫挡出，右侧胡人天再次传中出了底线
29'惠家康左路传球被挡出边线                   27'第27分钟，惠家康左路连续与队友配合后切入中路射门被后卫挡出，右侧胡人天再次传中出了底线
29'绿城队进攻，长传找禁区的拉蒙                   27'第27分钟，惠家康左路连续与队友配合后切入中路射门被后卫挡出，右侧胡人天再次传中出了底线
29'第一点被解围                   27'第27分钟，惠家康左路连续与队友配合后切入中路射门被后卫挡出，右侧胡人天再次传中出了底线
30'泰达队左路进攻                   27'第27分钟，惠家康左路连续与队友配合后切入中路射门被后卫挡出，右侧胡人天再次传中出了底线
30'现在泰达队进攻也是没有办法                   27'第27分钟，惠家康左路连续与队友配合后切入中路射门被后卫挡出，右侧胡人天再次传中出了底线
33'惠家康左路长传转移给右路胡人天被解围                   33'第33分钟，惠家康左路杀入禁区连续晃动过人之后回传，李本舰跟上射门打偏
33'谢鹏飞拼抢犯规                   33'第33分钟，惠家康左路杀入禁区连续晃动过人之后回传，李本舰跟上射门打偏
34'惠家康左路禁区拿球，接连扣过两名防守队员                   33'第33分钟，惠家康左路杀入禁区连续晃动过人之后回传，李本舰跟上射门打偏
34'李本舰禁区外围远射，皮球直接出了边线                   33'第33分钟，惠家康左路杀入禁区连续晃动过人之后回传，李本舰跟上射门打偏
35'顾超出击失误，险些被泰达队抓住机会                   33'第33分钟，惠家康左路杀入禁区连续晃动过人之后回传，李本舰跟上射门打偏
35'绿城队的后防压力很大                   33'第33分钟，惠家康左路杀入禁区连续晃动过人之后回传，李本舰跟上射门打偏
36'惠家康左路拿球传给李本舰                   33'第33分钟，惠家康左路杀入禁区连续晃动过人之后回传，李本舰跟上射门打偏
36'李本舰左路起球找巴尔克斯，皮球直接被顾超拿到                   33'第33分钟，惠家康左路杀入禁区连续晃动过人之后回传，李本舰跟上射门打偏
40'布拉比本方禁区拿球险些被莫扎特抢断                   40'第40分钟，天津队角球开到小禁区，顾超出击摘球没有碰到球，幸亏安塔尔头球解围
40'绿城转移球给到左路                   40'第40分钟，天津队角球开到小禁区，顾超出击摘球没有碰到球，幸亏安塔尔头球解围
41'巴尔克斯中场传球失误了，被绿城队抢断                   40'第40分钟，天津队角球开到小禁区，顾超出击摘球没有碰到球，幸亏安塔尔头球解围
42'范晓东中场抢球犯规                   40'第40分钟，天津队角球开到小禁区，顾超出击摘球没有碰到球，幸亏安塔尔头球解围
42'绿城队传球出现了失误，巴尔克斯抢断                   40'第40分钟，天津队角球开到小禁区，顾超出击摘球没有碰到球，幸亏安塔尔头球解围
43'巴尔克斯长传找右路胡人天，没有控制好力量，皮球出了底线                   40'第40分钟，天津队角球开到小禁区，顾超出击摘球没有碰到球，幸亏安塔尔头球解围
43'赵宏略中场蹬踏犯规                   40'第40分钟，天津队角球开到小禁区，顾超出击摘球没有碰到球，幸亏安塔尔头球解围
45'泰达队右路再次起球到禁区，被顾超问问抱住                   45'第45分钟，天津队连续传中最后被顾超将球摘下，上半场比赛双方互交白卷
45'上半场补时1分钟                   45'第45分钟，天津队连续传中最后被顾超将球摘下，上半场比赛双方互交白卷
45'阿甘拿球之后，身边并没有队友上前接应                   45'第45分钟，天津队连续传中最后被顾超将球摘下，上半场比赛双方互交白卷
46'绿城队进攻办法不多                   45'第45分钟，天津队连续传中最后被顾超将球摘下，上半场比赛双方互交白卷
46'上半场比赛结束了                   45'第45分钟，天津队连续传中最后被顾超将球摘下，上半场比赛双方互交白卷
46'下半场比赛开始                   45'第45分钟，天津队连续传中最后被顾超将球摘下，上半场比赛双方互交白卷
46'绿城队左路进攻                   45'第45分钟，天津队连续传中最后被顾超将球摘下，上半场比赛双方互交白卷
46'拉蒙中路直接起脚打门，高出了横梁                   45'第45分钟，天津队连续传中最后被顾超将球摘下，上半场比赛双方互交白卷
47'烈鸟左路突破被挡                   45'第45分钟，天津队连续传中最后被顾超将球摘下，上半场比赛双方互交白卷
47'绿城队获得前场定位球                   45'第45分钟，天津队连续传中最后被顾超将球摘下，上半场比赛双方互交白卷
47'陈中流受伤倒在了地上                   45'第45分钟，天津队连续传中最后被顾超将球摘下，上半场比赛双方互交白卷
48'陈中流走到场边接受治疗                   45'第45分钟，天津队连续传中最后被顾超将球摘下，上半场比赛双方互交白卷
48'比赛重新开始                   45'第45分钟，天津队连续传中最后被顾超将球摘下，上半场比赛双方互交白卷
48'陈中流走到场边接受治疗                   48'第48分钟，陈中流在中场拼抢中不慎崴脚下场接受治疗
48'比赛重新开始                   48'第48分钟，陈中流在中场拼抢中不慎崴脚下场接受治疗
49'拉蒙禁区左侧扣球，被泰达队解围                   48'第48分钟，陈中流在中场拼抢中不慎崴脚下场接受治疗
49'谢鹏飞左路内切之后的大门，皮球打在了队友拉蒙身上                   48'第48分钟，陈中流在中场拼抢中不慎崴脚下场接受治疗
50'烈鸟左路拿球穿裆过人，带大了                   48'第48分钟，陈中流在中场拼抢中不慎崴脚下场接受治疗
50'泰达队后场控球                   48'第48分钟，陈中流在中场拼抢中不慎崴脚下场接受治疗
51'绿城队换人了                   48'第48分钟，陈中流在中场拼抢中不慎崴脚下场接受治疗
51'陈中流下，臧一锋上                   48'第48分钟，陈中流在中场拼抢中不慎崴脚下场接受治疗
56'巴尔克斯中路拿球，给到左路                   56'第56分钟，天津队连续发动进攻，胡人天右路半高球传中，巴尔克斯停球后转身凌空抽射，皮球贴着远端门柱稍稍偏出
56'惠家康前场抢球犯规                   56'第56分钟，天津队连续发动进攻，胡人天右路半高球传中，巴尔克斯停球后转身凌空抽射，皮球贴着远端门柱稍稍偏出
57'巴尔克斯禁区内停球之后右脚打门，皮球稍稍偏了一点点                   56'第56分钟，天津队连续发动进攻，胡人天右路半高球传中，巴尔克斯停球后转身凌空抽射，皮球贴着远端门柱稍稍偏出
57'泰达错过了一个好机会啊                   56'第56分钟，天津队连续发动进攻，胡人天右路半高球传中，巴尔克斯停球后转身凌空抽射，皮球贴着远端门柱稍稍偏出
58'泰达队右路进攻又来了                   56'第56分钟，天津队连续发动进攻，胡人天右路半高球传中，巴尔克斯停球后转身凌空抽射，皮球贴着远端门柱稍稍偏出
58'白岳峰的似传似射出了底线                   56'第56分钟，天津队连续发动进攻，胡人天右路半高球传中，巴尔克斯停球后转身凌空抽射，皮球贴着远端门柱稍稍偏出
59'惠家康左路拿球给到烈鸟                   56'第56分钟，天津队连续发动进攻，胡人天右路半高球传中，巴尔克斯停球后转身凌空抽射，皮球贴着远端门柱稍稍偏出
59'巴尔克斯在干扰下没有拿好球                   56'第56分钟，天津队连续发动进攻，胡人天右路半高球传中，巴尔克斯停球后转身凌空抽射，皮球贴着远端门柱稍稍偏出
65'泰达队右路直传找到巴尔克斯                   65'第65分钟，胡人天前场断球得手，地滚球斜传禁区，巴尔克斯得球后左脚低射，顾超倒地侧扑将球封住
65'巴尔克斯带球之后禁区左侧左脚打门，顾超倒地将球扑住                   65'第65分钟，胡人天前场断球得手，地滚球斜传禁区，巴尔克斯得球后左脚低射，顾超倒地侧扑将球封住
66'场上又出了受伤的情况                   65'第65分钟，胡人天前场断球得手，地滚球斜传禁区，巴尔克斯得球后左脚低射，顾超倒地侧扑将球封住
67'绿城队大脚开到前场，被顶了回来                   65'第65分钟，胡人天前场断球得手，地滚球斜传禁区，巴尔克斯得球后左脚低射，顾超倒地侧扑将球封住
67'泰达队左路进攻                   65'第65分钟，胡人天前场断球得手，地滚球斜传禁区，巴尔克斯得球后左脚低射，顾超倒地侧扑将球封住
68'拉蒙前场抢球犯规了                   65'第65分钟，胡人天前场断球得手，地滚球斜传禁区，巴尔克斯得球后左脚低射，顾超倒地侧扑将球封住
68'泰达队转移球给到右路，力量大了，直接出了边线                   65'第65分钟，胡人天前场断球得手，地滚球斜传禁区，巴尔克斯得球后左脚低射，顾超倒地侧扑将球封住
73'周海滨禁区外围的远射，皮球高出了球门                   73'第73分钟，烈鸟禁区前沿横拨，周海滨无人盯防情况下起脚，将球打飞
73'惠家康前场拼抢犯规                   73'第73分钟，烈鸟禁区前沿横拨，周海滨无人盯防情况下起脚，将球打飞
73'绿城队左路进攻                   73'第73分钟，烈鸟禁区前沿横拨，周海滨无人盯防情况下起脚，将球打飞
74'没有好办法，又给回了后场                   73'第73分钟，烈鸟禁区前沿横拨，周海滨无人盯防情况下起脚，将球打飞
75'惠家康被王林放倒                   73'第73分钟，烈鸟禁区前沿横拨，周海滨无人盯防情况下起脚，将球打飞
75'泰达队获得禁区左侧定位球                   73'第73分钟，烈鸟禁区前沿横拨，周海滨无人盯防情况下起脚，将球打飞
75'烈鸟任意球直接打门，顾超将球扑出                   73'第73分钟，烈鸟禁区前沿横拨，周海滨无人盯防情况下起脚，将球打飞
76'绿城队大脚将球开到前场，阿甘抢球犯规                   73'第73分钟，烈鸟禁区前沿横拨，周海滨无人盯防情况下起脚，将球打飞
80'绿城队换人，罗竞和怒阿提上场换下了谢鹏飞和拉蒙                   80'第80分钟，布拉比禁区前沿放倒巴尔克斯
81'烈鸟任意球的直接打门，稍稍偏出了左侧球门                   80'第80分钟，布拉比禁区前沿放倒巴尔克斯
81'差了一点啊，脚法掌握的相当好                   80'第80分钟，布拉比禁区前沿放倒巴尔克斯
82'绿城队怒阿踢前场放倒赵宏略                   80'第80分钟，布拉比禁区前沿放倒巴尔克斯
83'绿城中路送球找阿甘被抢断了                   80'第80分钟，布拉比禁区前沿放倒巴尔克斯
83'布拉比后场放倒了怒阿提                   80'第80分钟，布拉比禁区前沿放倒巴尔克斯
84'绿城队获得前场定位球                   84'第84分钟，波拉里干吉放倒努阿提，臧一锋任意球击中人墙，裁判判定丰塞卡手球给了黄牌
85'冯刚任意球直接打门，巴尔克斯手球犯规得到一张黄牌                   84'第84分钟，波拉里干吉放倒努阿提，臧一锋任意球击中人墙，裁判判定丰塞卡手球给了黄牌
85'绿城队再次获得定位球                   84'第84分钟，波拉里干吉放倒努阿提，臧一锋任意球击中人墙，裁判判定丰塞卡手球给了黄牌
85'臧一锋任意球直接打门，又是打在了人墙上                   84'第84分钟，波拉里干吉放倒努阿提，臧一锋任意球击中人墙，裁判判定丰塞卡手球给了黄牌
86'惠家康左路将球护出边线                   84'第84分钟，波拉里干吉放倒努阿提，臧一锋任意球击中人墙，裁判判定丰塞卡手球给了黄牌
86'绿城队反击，最后一下传大了                   84'第84分钟，波拉里干吉放倒努阿提，臧一锋任意球击中人墙，裁判判定丰塞卡手球给了黄牌
86'泰达队换人，周燎上场换下了胡人天                   84'第84分钟，波拉里干吉放倒努阿提，臧一锋任意球击中人墙，裁判判定丰塞卡手球给了黄牌
91'绿城队获得点球                   91'第91分钟，杭州队利用天津队体能下降发动反击，阿甘直传，努阿提领球杀入禁区，波拉里干吉身后放铲，点球
91'怒阿提带球突入禁区被莫特扎放倒了                   91'第91分钟，杭州队利用天津队体能下降发动反击，阿甘直传，努阿提领球杀入禁区，波拉里干吉身后放铲，点球
91'裁判对莫特扎出示了红牌                   91'第91分钟，杭州队利用天津队体能下降发动反击，阿甘直传，努阿提领球杀入禁区，波拉里干吉身后放铲，点球
92'阿甘来主罚                   91'第91分钟，杭州队利用天津队体能下降发动反击，阿甘直传，努阿提领球杀入禁区，波拉里干吉身后放铲，点球
