2'杨家威左路拿球，面对铲抢，球出边线                   2'第2分钟杨家威本方后场放倒柏佳骏，徐亮任意球开到禁区，曹秉局头球偏出
2'乔尼抢在恩里克之前把球解围出边线                   2'第2分钟杨家威本方后场放倒柏佳骏，徐亮任意球开到禁区，曹秉局头球偏出
3'王寿挺右路起球，没有过第一点                   2'第2分钟杨家威本方后场放倒柏佳骏，徐亮任意球开到禁区，曹秉局头球偏出
3'曹赟定背身做球，柏佳俊插上被绊倒                   2'第2分钟杨家威本方后场放倒柏佳骏，徐亮任意球开到禁区，曹秉局头球偏出
3'于涛的犯规，申花前场左侧任意球                   2'第2分钟杨家威本方后场放倒柏佳骏，徐亮任意球开到禁区，曹秉局头球偏出
4'徐亮任意球开前点，落点不佳                   2'第2分钟杨家威本方后场放倒柏佳骏，徐亮任意球开到禁区，曹秉局头球偏出
5'申鑫右路连续的边线球机会，往前推进                   2'第2分钟杨家威本方后场放倒柏佳骏，徐亮任意球开到禁区，曹秉局头球偏出
11'杨家威左路内切横敲，再转移到另一侧                   11'第11分钟王S开出角球，邱盛炯出击把球接住，但球碰在莫雷诺身上落在地上，旁边的申鑫队员来不及动作，被绿地申花队员抢先踢出
11'叶重秋强行起脚传中，拿到一个角球                   11'第11分钟王S开出角球，邱盛炯出击把球接住，但球碰在莫雷诺身上落在地上，旁边的申鑫队员来不及动作，被绿地申花队员抢先踢出
12'王赟角球开中路，邱盛炯跃起摘球脱手了                   11'第11分钟王S开出角球，邱盛炯出击把球接住，但球碰在莫雷诺身上落在地上，旁边的申鑫队员来不及动作，被绿地申花队员抢先踢出
12'第二落点，曹秉局解围出去                   11'第11分钟王S开出角球，邱盛炯出击把球接住，但球碰在莫雷诺身上落在地上，旁边的申鑫队员来不及动作，被绿地申花队员抢先踢出
12'王寿挺后场护球被绊倒                   11'第11分钟王S开出角球，邱盛炯出击把球接住，但球碰在莫雷诺身上落在地上，旁边的申鑫队员来不及动作，被绿地申花队员抢先踢出
13'比亚特里前场拿球回敲，曹赟定带球被断                   11'第11分钟王S开出角球，邱盛炯出击把球接住，但球碰在莫雷诺身上落在地上，旁边的申鑫队员来不及动作，被绿地申花队员抢先踢出
13'杨家威中路带球被关门                   11'第11分钟王S开出角球，邱盛炯出击把球接住，但球碰在莫雷诺身上落在地上，旁边的申鑫队员来不及动作，被绿地申花队员抢先踢出
13'高迪左路传中被封堵                   11'第11分钟王S开出角球，邱盛炯出击把球接住，但球碰在莫雷诺身上落在地上，旁边的申鑫队员来不及动作，被绿地申花队员抢先踢出
14'于涛中场拿球摆脱，分到左路                   11'第11分钟王S开出角球，邱盛炯出击把球接住，但球碰在莫雷诺身上落在地上，旁边的申鑫队员来不及动作，被绿地申花队员抢先踢出
14'孙凯人球分过不成，王长庆先卡住身位                   11'第11分钟王S开出角球，邱盛炯出击把球接住，但球碰在莫雷诺身上落在地上，旁边的申鑫队员来不及动作，被绿地申花队员抢先踢出
14'魔莫雷诺中场送身后球，大了                   11'第11分钟王S开出角球，邱盛炯出击把球接住，但球碰在莫雷诺身上落在地上，旁边的申鑫队员来不及动作，被绿地申花队员抢先踢出
16'孙凯左路拿球，莫雷诺把球铲出边线                   16'第16分钟申鑫前场返抢得手，叶重秋接杨家威分球，禁区线上抢射稍偏
17'于涛斜传前场被曹赟定顶出界外                   16'第16分钟申鑫前场返抢得手，叶重秋接杨家威分球，禁区线上抢射稍偏
17'曹秉局后场解围不远                   16'第16分钟申鑫前场返抢得手，叶重秋接杨家威分球，禁区线上抢射稍偏
17'叶重秋禁区外接孙凯分球，远射打偏！                   16'第16分钟申鑫前场返抢得手，叶重秋接杨家威分球，禁区线上抢射稍偏
18'比亚特里分左路柏佳俊                   16'第16分钟申鑫前场返抢得手，叶重秋接杨家威分球，禁区线上抢射稍偏
18'高迪左路下底横扫门前，恩里克插上面对门将推射打高了！                   16'第16分钟申鑫前场返抢得手，叶重秋接杨家威分球，禁区线上抢射稍偏
19'绿地申花错失绝佳机会                   16'第16分钟申鑫前场返抢得手，叶重秋接杨家威分球，禁区线上抢射稍偏
19'恩里克分左路，和高迪配合，传大了出底线                   16'第16分钟申鑫前场返抢得手，叶重秋接杨家威分球，禁区线上抢射稍偏
25'叶重秋逼抢恩里克，把球踢出边线                   25'第25分钟绿地申花配合到禁区，莫雷诺冷射打在申鑫队员身上弹出
25'王长庆助攻上来，过人被杨家威绊倒                   25'第25分钟绿地申花配合到禁区，莫雷诺冷射打在申鑫队员身上弹出
25'莫雷诺禁区前送直塞被拦截，一片混战                   25'第25分钟绿地申花配合到禁区，莫雷诺冷射打在申鑫队员身上弹出
26'球回到莫雷诺脚下，远射还是被封堵掉                   25'第25分钟绿地申花配合到禁区，莫雷诺冷射打在申鑫队员身上弹出
26'高迪中场争头球扛倒了姜嘉俊犯规                   25'第25分钟绿地申花配合到禁区，莫雷诺冷射打在申鑫队员身上弹出
27'王赟脚下停球失误了，被断                   25'第25分钟绿地申花配合到禁区，莫雷诺冷射打在申鑫队员身上弹出
27'比亚特里中场丢球，被于涛短袖                   25'第25分钟绿地申花配合到禁区，莫雷诺冷射打在申鑫队员身上弹出
27'于涛断球后推进到禁区前，远射打高了                   25'第25分钟绿地申花配合到禁区，莫雷诺冷射打在申鑫队员身上弹出
26'球回到莫雷诺脚下，远射还是被封堵掉                   26'第26分钟于涛禁区外远射打偏，场边申鑫教练组对他这记贸然远射表示不满
26'高迪中场争头球扛倒了姜嘉俊犯规                   26'第26分钟于涛禁区外远射打偏，场边申鑫教练组对他这记贸然远射表示不满
27'王赟脚下停球失误了，被断                   26'第26分钟于涛禁区外远射打偏，场边申鑫教练组对他这记贸然远射表示不满
27'比亚特里中场丢球，被于涛短袖                   26'第26分钟于涛禁区外远射打偏，场边申鑫教练组对他这记贸然远射表示不满
27'于涛断球后推进到禁区前，远射打高了                   26'第26分钟于涛禁区外远射打偏，场边申鑫教练组对他这记贸然远射表示不满
29'刘俊楠右路下底，传中被柏佳俊拦截                   26'第26分钟于涛禁区外远射打偏，场边申鑫教练组对他这记贸然远射表示不满
29'禁区内再拼抢，叶重秋先犯规了                   26'第26分钟于涛禁区外远射打偏，场边申鑫教练组对他这记贸然远射表示不满
