2'主裁判一声哨响，上半场比赛开始                   1'建业队第1分钟就发动攻势，一脚长传到前场找到巴索戈，后者转身抽射打飞了
2'蒋哲内切之后的传球被对方破坏出来                   1'建业队第1分钟就发动攻势，一脚长传到前场找到巴索戈，后者转身抽射打飞了
3'张笑非控球，转移到何超的脚下，再分球                   1'建业队第1分钟就发动攻势，一脚长传到前场找到巴索戈，后者转身抽射打飞了
3'伊斯梅洛夫分球给到孙捷的脚下，后者的传球被拦截                   1'建业队第1分钟就发动攻势，一脚长传到前场找到巴索戈，后者转身抽射打飞了
3'河南建业队断球反击，长传球找到巴索戈，再转移球被挡出边线                   1'建业队第1分钟就发动攻势，一脚长传到前场找到巴索戈，后者转身抽射打飞了
4'冯卓毅控球走右路推进，转移给巴索戈，后者下底传中                   1'建业队第1分钟就发动攻势，一脚长传到前场找到巴索戈，后者转身抽射打飞了
4'冯卓毅控球被放倒了                   1'建业队第1分钟就发动攻势，一脚长传到前场找到巴索戈，后者转身抽射打飞了
4'河南建业队获得前场左侧的任意球机会，多奇卡尔来主罚，开到禁区内                   1'建业队第1分钟就发动攻势，一脚长传到前场找到巴索戈，后者转身抽射打飞了
11'传球力量大了，出了边线                   11'比赛第11分钟，亚泰率先打破场上僵局，蒋哲右路大禁区线附近右脚传中至禁区内，伊哈洛犹从戈麦斯身后拍马赶到，小禁区线附近右脚推射首开纪录，亚泰客场1-0领先建业
11'长春亚泰队界外球掷到场内，中场的转移球又失误了                   11'比赛第11分钟，亚泰率先打破场上僵局，蒋哲右路大禁区线附近右脚传中至禁区内，伊哈洛犹从戈麦斯身后拍马赶到，小禁区线附近右脚推射首开纪录，亚泰客场1-0领先建业
11'开场双方都有点慢热呀                   11'比赛第11分钟，亚泰率先打破场上僵局，蒋哲右路大禁区线附近右脚传中至禁区内，伊哈洛犹从戈麦斯身后拍马赶到，小禁区线附近右脚推射首开纪录，亚泰客场1-0领先建业
11'比赛进行10分钟了，场上比分没有发生变化                   11'比赛第11分钟，亚泰率先打破场上僵局，蒋哲右路大禁区线附近右脚传中至禁区内，伊哈洛犹从戈麦斯身后拍马赶到，小禁区线附近右脚推射首开纪录，亚泰客场1-0领先建业
11'张笑非右侧控球向前盘带，转移到何超的脚下，再分球到左侧                   11'比赛第11分钟，亚泰率先打破场上僵局，蒋哲右路大禁区线附近右脚传中至禁区内，伊哈洛犹从戈麦斯身后拍马赶到，小禁区线附近右脚推射首开纪录，亚泰客场1-0领先建业
12'范晓冬控球，转移给马里尼奥，再分球给张笑非　                   11'比赛第11分钟，亚泰率先打破场上僵局，蒋哲右路大禁区线附近右脚传中至禁区内，伊哈洛犹从戈麦斯身后拍马赶到，小禁区线附近右脚推射首开纪录，亚泰客场1-0领先建业
12'右路蒋哲传中，伊哈洛跟上打门！！                   11'比赛第11分钟，亚泰率先打破场上僵局，蒋哲右路大禁区线附近右脚传中至禁区内，伊哈洛犹从戈麦斯身后拍马赶到，小禁区线附近右脚推射首开纪录，亚泰客场1-0领先建业
12'有了！！！长春亚泰队进球！！！                   11'比赛第11分钟，亚泰率先打破场上僵局，蒋哲右路大禁区线附近右脚传中至禁区内，伊哈洛犹从戈麦斯身后拍马赶到，小禁区线附近右脚推射首开纪录，亚泰客场1-0领先建业
12'长春亚泰队率先打破场上僵局！                   11'比赛第11分钟，亚泰率先打破场上僵局，蒋哲右路大禁区线附近右脚传中至禁区内，伊哈洛犹从戈麦斯身后拍马赶到，小禁区线附近右脚推射首开纪录，亚泰客场1-0领先建业
13'长春亚泰队前场右侧推进，低平球传球，伊哈洛跟进捅射破门！                   11'比赛第11分钟，亚泰率先打破场上僵局，蒋哲右路大禁区线附近右脚传中至禁区内，伊哈洛犹从戈麦斯身后拍马赶到，小禁区线附近右脚推射首开纪录，亚泰客场1-0领先建业
14'河南建业队进攻赢得一个任意球机会                   11'比赛第11分钟，亚泰率先打破场上僵局，蒋哲右路大禁区线附近右脚传中至禁区内，伊哈洛犹从戈麦斯身后拍马赶到，小禁区线附近右脚推射首开纪录，亚泰客场1-0领先建业
14'任意球开到禁区内，第一点被对方抢到顶出来                   11'比赛第11分钟，亚泰率先打破场上僵局，蒋哲右路大禁区线附近右脚传中至禁区内，伊哈洛犹从戈麦斯身后拍马赶到，小禁区线附近右脚推射首开纪录，亚泰客场1-0领先建业
14'伊斯梅洛夫外围控球，控制一下节奏                   11'比赛第11分钟，亚泰率先打破场上僵局，蒋哲右路大禁区线附近右脚传中至禁区内，伊哈洛犹从戈麦斯身后拍马赶到，小禁区线附近右脚推射首开纪录，亚泰客场1-0领先建业
38'长春亚泰队的进攻赢得一个角球机会                   38'第38分钟，亚泰制造威胁，马里尼奥开场前场左侧任意球，建业外援多奇卡尔在前点解围失误，球折向本方小禁区左侧，亚泰后卫孙捷无人防守起跳冲顶，但却差之毫厘未能顶上皮球
38'张笑非来主罚角球，开到禁区，吴龑出击把球扑出禁区                   38'第38分钟，亚泰制造威胁，马里尼奥开场前场左侧任意球，建业外援多奇卡尔在前点解围失误，球折向本方小禁区左侧，亚泰后卫孙捷无人防守起跳冲顶，但却差之毫厘未能顶上皮球
39'长春亚泰队外围继续控球，蒋哲右侧控球                   38'第38分钟，亚泰制造威胁，马里尼奥开场前场左侧任意球，建业外援多奇卡尔在前点解围失误，球折向本方小禁区左侧，亚泰后卫孙捷无人防守起跳冲顶，但却差之毫厘未能顶上皮球
39'钟晋宝倒地铲球犯规了，长春亚泰队获得前场右侧的任意球机会                   38'第38分钟，亚泰制造威胁，马里尼奥开场前场左侧任意球，建业外援多奇卡尔在前点解围失误，球折向本方小禁区左侧，亚泰后卫孙捷无人防守起跳冲顶，但却差之毫厘未能顶上皮球
39'任意球由马里尼奥来主罚，开到禁区内前点一垫，后点差了一点点呀                   38'第38分钟，亚泰制造威胁，马里尼奥开场前场左侧任意球，建业外援多奇卡尔在前点解围失误，球折向本方小禁区左侧，亚泰后卫孙捷无人防守起跳冲顶，但却差之毫厘未能顶上皮球
40'张力差了一点，没有顶到球！弹地出了底线                   38'第38分钟，亚泰制造威胁，马里尼奥开场前场左侧任意球，建业外援多奇卡尔在前点解围失误，球折向本方小禁区左侧，亚泰后卫孙捷无人防守起跳冲顶，但却差之毫厘未能顶上皮球
40'噢，前点解围呀，差点形成助攻                   38'第38分钟，亚泰制造威胁，马里尼奥开场前场左侧任意球，建业外援多奇卡尔在前点解围失误，球折向本方小禁区左侧，亚泰后卫孙捷无人防守起跳冲顶，但却差之毫厘未能顶上皮球
40'不过长春亚泰的角球机会，张笑非来主罚                   38'第38分钟，亚泰制造威胁，马里尼奥开场前场左侧任意球，建业外援多奇卡尔在前点解围失误，球折向本方小禁区左侧，亚泰后卫孙捷无人防守起跳冲顶，但却差之毫厘未能顶上皮球
40'角球开前点，头球后蹭，吴龑出击把球得到                   38'第38分钟，亚泰制造威胁，马里尼奥开场前场左侧任意球，建业外援多奇卡尔在前点解围失误，球折向本方小禁区左侧，亚泰后卫孙捷无人防守起跳冲顶，但却差之毫厘未能顶上皮球
