6'AC米兰球员卡拉大禁区左侧尝试右脚射门,可惜皮球高出球门.                   6'开场6分钟，博纳文图拉左侧角球被破坏，卡拉布里亚禁区边缘射门偏出右门角
6'射门!!!都灵球员Andrea Belotti大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是贝纳希.                   6'开场6分钟，博纳文图拉左侧角球被破坏，卡拉布里亚禁区边缘射门偏出右门角
7'AC米兰球员苏索右侧很远处左脚射门,被防守球员封堵.给他传球的是巴卡.                   6'开场6分钟，博纳文图拉左侧角球被破坏，卡拉布里亚禁区边缘射门偏出右门角
8'阿巴特将球处理出底线,都灵获得角球.                   6'开场6分钟，博纳文图拉左侧角球被破坏，卡拉布里亚禁区边缘射门偏出右门角
21'都灵球员利亚伊奇大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是法尔克.                   21'都灵第21分钟取得领先，雅各-法尔克右路突破罗马尼奥利和博纳文图拉包夹，在博纳文图拉背后拉拽下依然切入禁区回传，利亚伊奇在门前17米处低射，贝洛蒂小禁区前沿推进左下角，1比0
21'进球啦！！！都灵球员Andrea Belotti大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是利亚伊奇. 都灵 1-0 AC米兰.                   21'都灵第21分钟取得领先，雅各-法尔克右路突破罗马尼奥利和博纳文图拉包夹，在博纳文图拉背后拉拽下依然切入禁区回传，利亚伊奇在门前17米处低射，贝洛蒂小禁区前沿推进左下角，1比0
22'AC米兰球员多纳鲁马一脚直塞球给巴卡,但是边裁举旗显示后者已经越位.                   21'都灵第21分钟取得领先，雅各-法尔克右路突破罗马尼奥利和博纳文图拉包夹，在博纳文图拉背后拉拽下依然切入禁区回传，利亚伊奇在门前17米处低射，贝洛蒂小禁区前沿推进左下角，1比0
24'AC米兰球员博纳文图拉大禁区中央头球,被防守球员封堵.给他传球的是苏索.                   21'都灵第21分钟取得领先，雅各-法尔克右路突破罗马尼奥利和博纳文图拉包夹，在博纳文图拉背后拉拽下依然切入禁区回传，利亚伊奇在门前17米处低射，贝洛蒂小禁区前沿推进左下角，1比0
31'点球,巴雷卡在禁区内被侵犯,都灵获得点球.                   31'米兰似有崩盘之势，第31分钟又送点球，巴雷卡左路长途奔袭，在阿巴特拉拽下倒入禁区，AC米兰申诉犯规地点在禁区外，但主裁判还是判罚点球，利亚伊奇操刀打中路被唐纳鲁马扑出
31'AC米兰球员阿巴特犯规,致使对方获得点球.                   31'米兰似有崩盘之势，第31分钟又送点球，巴雷卡左路长途奔袭，在阿巴特拉拽下倒入禁区，AC米兰申诉犯规地点在禁区外，但主裁判还是判罚点球，利亚伊奇操刀打中路被唐纳鲁马扑出
32'都灵球员利亚伊奇点球被对方守门员扑出.点球罚失.                   31'米兰似有崩盘之势，第31分钟又送点球，巴雷卡左路长途奔袭，在阿巴特拉拽下倒入禁区，AC米兰申诉犯规地点在禁区外，但主裁判还是判罚点球，利亚伊奇操刀打中路被唐纳鲁马扑出
32'都灵球员法尔克大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.                   31'米兰似有崩盘之势，第31分钟又送点球，巴雷卡左路长途奔袭，在阿巴特拉拽下倒入禁区，AC米兰申诉犯规地点在禁区外，但主裁判还是判罚点球，利亚伊奇操刀打中路被唐纳鲁马扑出
33'AC米兰球员苏索大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是阿巴特.                   31'米兰似有崩盘之势，第31分钟又送点球，巴雷卡左路长途奔袭，在阿巴特拉拽下倒入禁区，AC米兰申诉犯规地点在禁区外，但主裁判还是判罚点球，利亚伊奇操刀打中路被唐纳鲁马扑出
55'AC米兰球员博纳文图拉大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是阿巴特.                   55'AC米兰第55分钟扳回一分
55'射门!!!AC米兰球员贝尔托拉奇球门线跟前左脚射门,被对方守门员横身扑出.给他传球的是博纳文图拉.                   55'AC米兰第55分钟扳回一分
55'进球啦！！！AC米兰球员贝尔托拉奇球门线跟前左脚射门,球从中路飞进球门,球进了! 都灵 2-1 AC米兰.                   55'AC米兰第55分钟扳回一分
56'射门!!!都灵球员法尔克大禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是Andrea Belotti.                   55'AC米兰第55分钟扳回一分
57'都灵球员法尔克一脚直塞球给贝纳希,但是边裁举旗显示后者已经越位.                   55'AC米兰第55分钟扳回一分
57'都灵球员奥比拼抢犯规,对手获得控球权.                   55'AC米兰第55分钟扳回一分
57'阿巴特为AC米兰赢得一个任意球.                   55'AC米兰第55分钟扳回一分
57'黄牌！都灵球员奥比因为恶意犯规,被主裁判出示黄牌.                   55'AC米兰第55分钟扳回一分
58'巴雷卡将球处理出底线,AC米兰获得角球.                   55'AC米兰第55分钟扳回一分
47'AC米兰球员博纳文图拉大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是洛卡特利.                   46'仅过1分钟，贝洛蒂左路内切分球，雅各-法尔克禁区右侧左脚小角度低射被唐纳鲁马扑出，贝纳西左侧铲进空门，但被判越位
47'都灵球员Andrea Belotti大禁区中央头球,被防守球员封堵.给他传球的是巴雷卡.                   46'仅过1分钟，贝洛蒂左路内切分球，雅各-法尔克禁区右侧左脚小角度低射被唐纳鲁马扑出，贝纳西左侧铲进空门，但被判越位
89'Andrea Belotti为都灵在对方半场,赢得一个任意球.                   89'第89分钟，巴塞利后场断球长传，贝洛蒂背身接球被罗马尼奥利放倒，罗马尼奥利吃到第2张黄牌被罚下
89'AC米兰球员罗马尼奥利拼抢犯规,对手获得控球权.                   89'第89分钟，巴塞利后场断球长传，贝洛蒂背身接球被罗马尼奥利放倒，罗马尼奥利吃到第2张黄牌被罚下
89'AC米兰球员罗马尼奥利因为恶意犯规,被裁判出示了第二张黄牌.                   89'第89分钟，巴塞利后场断球长传，贝洛蒂背身接球被罗马尼奥利放倒，罗马尼奥利吃到第2张黄牌被罚下
90'+1'罗塞蒂尼为都灵在右路,赢得一个任意球.                   89'第89分钟，巴塞利后场断球长传，贝洛蒂背身接球被罗马尼奥利放倒，罗马尼奥利吃到第2张黄牌被罚下
90'+1'AC米兰球员巴卡拼抢犯规,对手获得控球权.                   89'第89分钟，巴塞利后场断球长传，贝洛蒂背身接球被罗马尼奥利放倒，罗马尼奥利吃到第2张黄牌被罚下
90'+2'AC米兰球员苏索大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是库奇卡.                   89'第89分钟，巴塞利后场断球长传，贝洛蒂背身接球被罗马尼奥利放倒，罗马尼奥利吃到第2张黄牌被罚下
90'+5'下半场结束,都灵 2-2 AC米兰                   89'第89分钟，巴塞利后场断球长传，贝洛蒂背身接球被罗马尼奥利放倒，罗马尼奥利吃到第2张黄牌被罚下
