1'上半场比赛开始！！！                   1'皇马第1分钟积极施压，卡瓦哈尔右路传中远点，马塞洛小角度射偏出远角
1'白衣白裤的皇马，从画面的右侧向左进攻！                   1'皇马第1分钟积极施压，卡瓦哈尔右路传中远点，马塞洛小角度射偏出远角
2'马塞洛左路拿球，斜传中路找本泽马                   1'皇马第1分钟积极施压，卡瓦哈尔右路传中远点，马塞洛小角度射偏出远角
2'莱尔马回防拦截，给到杜克雷                   1'皇马第1分钟积极施压，卡瓦哈尔右路传中远点，马塞洛小角度射偏出远角
2'杜克雷再给右路的科克                   1'皇马第1分钟积极施压，卡瓦哈尔右路传中远点，马塞洛小角度射偏出远角
3'科克拿球到前场，直塞找艾维                   1'皇马第1分钟积极施压，卡瓦哈尔右路传中远点，马塞洛小角度射偏出远角
3'艾维停球遭遇夹击，失误了！！                   1'皇马第1分钟积极施压，卡瓦哈尔右路传中远点，马塞洛小角度射偏出远角
3'皇马的反击，克罗斯分球右路找卡瓦哈尔                   1'皇马第1分钟积极施压，卡瓦哈尔右路传中远点，马塞洛小角度射偏出远角
4'卡瓦哈尔强突被破坏出边线！                   1'皇马第1分钟积极施压，卡瓦哈尔右路传中远点，马塞洛小角度射偏出远角
4'皇马的界外球大力掷到禁区                   1'皇马第1分钟积极施压，卡瓦哈尔右路传中远点，马塞洛小角度射偏出远角
4'莱万特球员解围，差点直接踢到本泽马脚下                   1'皇马第1分钟积极施压，卡瓦哈尔右路传中远点，马塞洛小角度射偏出远角
11'马塞洛拿球进入禁区，起脚打门，被挡出底线                   11'皇马第11分钟取得领先，克罗斯开出角球，拉莫斯11码处头球攻门，本泽马抢点干扰了奥耶尔判断，皮球弹地后入网
11'皇马获得了角球机会！！                   11'皇马第11分钟取得领先，克罗斯开出角球，拉莫斯11码处头球攻门，本泽马抢点干扰了奥耶尔判断，皮球弹地后入网
11'球进了！！！                   11'皇马第11分钟取得领先，克罗斯开出角球，拉莫斯11码处头球攻门，本泽马抢点干扰了奥耶尔判断，皮球弹地后入网
11'拉莫斯的头球建功！！！                   11'皇马第11分钟取得领先，克罗斯开出角球，拉莫斯11码处头球攻门，本泽马抢点干扰了奥耶尔判断，皮球弹地后入网
12'克罗斯角球开出到点球点附近，拉莫斯的甩头轰门，本泽马插上门前干扰了侧扑的奥耶尔，球弹地后钻进球网！！！                   11'皇马第11分钟取得领先，克罗斯开出角球，拉莫斯11码处头球攻门，本泽马抢点干扰了奥耶尔判断，皮球弹地后入网
13'复出首发的拉莫斯，关键时刻挺身而出！！                   11'皇马第11分钟取得领先，克罗斯开出角球，拉莫斯11码处头球攻门，本泽马抢点干扰了奥耶尔判断，皮球弹地后入网
13'本泽马中场背身拿球，杜克雷的逼抢犯规！！                   11'皇马第11分钟取得领先，克罗斯开出角球，拉莫斯11码处头球攻门，本泽马抢点干扰了奥耶尔判断，皮球弹地后入网
13'杜克雷被主裁判出示了黄牌警告！！                   11'皇马第11分钟取得领先，克罗斯开出角球，拉莫斯11码处头球攻门，本泽马抢点干扰了奥耶尔判断，皮球弹地后入网
13'这也是本场比赛的第一张黄牌！！！                   11'皇马第11分钟取得领先，克罗斯开出角球，拉莫斯11码处头球攻门，本泽马抢点干扰了奥耶尔判断，皮球弹地后入网
14'克罗斯前场拿球，斜塞左侧给本泽马                   11'皇马第11分钟取得领先，克罗斯开出角球，拉莫斯11码处头球攻门，本泽马抢点干扰了奥耶尔判断，皮球弹地后入网
14'本泽马拿球转身，内切横传门前                   11'皇马第11分钟取得领先，克罗斯开出角球，拉莫斯11码处头球攻门，本泽马抢点干扰了奥耶尔判断，皮球弹地后入网
14'C罗抢点一脚抽射，高射炮啊！！！                   11'皇马第11分钟取得领先，克罗斯开出角球，拉莫斯11码处头球攻门，本泽马抢点干扰了奥耶尔判断，皮球弹地后入网
42'莱万特进球了！                   42'莱万特第42分钟扳平比分，卢基奇直传，莫拉莱斯禁区边缘的单刀射门被纳瓦斯勉强扑出，跟进的博阿滕禁区边缘低射右下角入网
42'1-1！！                   42'莱万特第42分钟扳平比分，卢基奇直传，莫拉莱斯禁区边缘的单刀射门被纳瓦斯勉强扑出，跟进的博阿滕禁区边缘低射右下角入网
42'博阿滕的补射！！                   42'莱万特第42分钟扳平比分，卢基奇直传，莫拉莱斯禁区边缘的单刀射门被纳瓦斯勉强扑出，跟进的博阿滕禁区边缘低射右下角入网
43'莱万特中场的过顶球打身后，莫拉莱斯反越位成功，单刀赴会，面对出击的纳瓦斯，外脚背搓射被挡出，博阿滕插上，禁区外的推射打进球门右下角！                   42'莱万特第42分钟扳平比分，卢基奇直传，莫拉莱斯禁区边缘的单刀射门被纳瓦斯勉强扑出，跟进的博阿滕禁区边缘低射右下角入网
44'莱万特的前场进攻，再次赢得了角球机会                   42'莱万特第42分钟扳平比分，卢基奇直传，莫拉莱斯禁区边缘的单刀射门被纳瓦斯勉强扑出，跟进的博阿滕禁区边缘低射右下角入网
44'右侧角球开出到前点                   42'莱万特第42分钟扳平比分，卢基奇直传，莫拉莱斯禁区边缘的单刀射门被纳瓦斯勉强扑出，跟进的博阿滕禁区边缘低射右下角入网
44'混战中，球到了后点                   42'莱万特第42分钟扳平比分，卢基奇直传，莫拉莱斯禁区边缘的单刀射门被纳瓦斯勉强扑出，跟进的博阿滕禁区边缘低射右下角入网
44'回防的莫德里奇头球解围出来                   42'莱万特第42分钟扳平比分，卢基奇直传，莫拉莱斯禁区边缘的单刀射门被纳瓦斯勉强扑出，跟进的博阿滕禁区边缘低射右下角入网
45'科克外围拿球，再给左侧的卢纳                   42'莱万特第42分钟扳平比分，卢基奇直传，莫拉莱斯禁区边缘的单刀射门被纳瓦斯勉强扑出，跟进的博阿滕禁区边缘低射右下角入网
45'卢纳分球艾维，艾维边路传中                   42'莱万特第42分钟扳平比分，卢基奇直传，莫拉莱斯禁区边缘的单刀射门被纳瓦斯勉强扑出，跟进的博阿滕禁区边缘低射右下角入网
45'拉莫斯前点头球解围！！！                   42'莱万特第42分钟扳平比分，卢基奇直传，莫拉莱斯禁区边缘的单刀射门被纳瓦斯勉强扑出，跟进的博阿滕禁区边缘低射右下角入网
81'再找前插的罗格，拉莫斯回防拦截                   81'皇马第81分钟再次超出，卡瓦哈尔斜传，本泽马禁区右侧底线附近回传，伊斯科从容停球后10码处劲射入网，2-1
81'皇马再次领先！！                   81'皇马第81分钟再次超出，卡瓦哈尔斜传，本泽马禁区右侧底线附近回传，伊斯科从容停球后10码处劲射入网，2-1
81'伊斯科的进球！！                   81'皇马第81分钟再次超出，卡瓦哈尔斜传，本泽马禁区右侧底线附近回传，伊斯科从容停球后10码处劲射入网，2-1
82'卡瓦哈尔右路斜塞找本泽马，雷东多上抢解围踢茨，本泽马停球回做给到伊斯科，伊斯科面对杜克雷，一扣闪开，起脚低射打进！                   81'皇马第81分钟再次超出，卡瓦哈尔斜传，本泽马禁区右侧底线附近回传，伊斯科从容停球后10码处劲射入网，2-1
83'皇马换人：20号阿森西奥上，换下了7号C罗                   81'皇马第81分钟再次超出，卡瓦哈尔斜传，本泽马禁区右侧底线附近回传，伊斯科从容停球后10码处劲射入网，2-1
83'贝尔和C罗均被换下，本泽马在场上，这情况很少见啊                   81'皇马第81分钟再次超出，卡瓦哈尔斜传，本泽马禁区右侧底线附近回传，伊斯科从容停球后10码处劲射入网，2-1
83'不过本泽马今天的表现，确实要比另外两位犀利                   81'皇马第81分钟再次超出，卡瓦哈尔斜传，本泽马禁区右侧底线附近回传，伊斯科从容停球后10码处劲射入网，2-1
84'皇马的前场进攻，再次赢得右侧角球机会                   81'皇马第81分钟再次超出，卡瓦哈尔斜传，本泽马禁区右侧底线附近回传，伊斯科从容停球后10码处劲射入网，2-1
84'镜头给到了在替补席的C罗，嘴里不知在说着什么                   81'皇马第81分钟再次超出，卡瓦哈尔斜传，本泽马禁区右侧底线附近回传，伊斯科从容停球后10码处劲射入网，2-1
89'科克再抢，直接铲在了卡塞米罗的腿上                   89'莱万特第89分钟再次追平，詹森直传，同样替补出场的帕齐尼禁区左肋12码处劲射被扑挡后入网
89'科克被主裁判出示了黄牌警告！！！                   89'莱万特第89分钟再次追平，詹森直传，同样替补出场的帕齐尼禁区左肋12码处劲射被扑挡后入网
89'皇马的前场失误，莱万特反击                   89'莱万特第89分钟再次追平，詹森直传，同样替补出场的帕齐尼禁区左肋12码处劲射被扑挡后入网
89'进球了！！                   89'莱万特第89分钟再次追平，詹森直传，同样替补出场的帕齐尼禁区左肋12码处劲射被扑挡后入网
90'又是最后时刻，莱万特扳平比分                   89'莱万特第89分钟再次追平，詹森直传，同样替补出场的帕齐尼禁区左肋12码处劲射被扑挡后入网
90'进球的是帕齐尼！！！                   89'莱万特第89分钟再次追平，詹森直传，同样替补出场的帕齐尼禁区左肋12码处劲射被扑挡后入网
91'莱万特前场中路一脚斜塞到禁区左侧，帕齐尼插上抢点，侧身抽射，打在了防守球员身上，弹向远端，进网！                   89'莱万特第89分钟再次追平，詹森直传，同样替补出场的帕齐尼禁区左肋12码处劲射被扑挡后入网
91'皇马前场进攻，莫德里奇的抽射，被门将没收                   89'莱万特第89分钟再次追平，詹森直传，同样替补出场的帕齐尼禁区左肋12码处劲射被扑挡后入网
91'帕齐尼前场左路拿球，瓦拉内上抢犯规                   89'莱万特第89分钟再次追平，詹森直传，同样替补出场的帕齐尼禁区左肋12码处劲射被扑挡后入网
92'瓦拉内被主裁判出示了黄牌警告！1                   89'莱万特第89分钟再次追平，詹森直传，同样替补出场的帕齐尼禁区左肋12码处劲射被扑挡后入网
92'皇马第三次换人：8号克罗斯下，换上巴斯克斯！！                   89'莱万特第89分钟再次追平，詹森直传，同样替补出场的帕齐尼禁区左肋12码处劲射被扑挡后入网
92'帕齐尼刚刚进球后，拉莫斯和卡塞米罗在场上有些争论                   89'莱万特第89分钟再次追平，詹森直传，同样替补出场的帕齐尼禁区左肋12码处劲射被扑挡后入网
