8'左侧的拼抢米兰出界！                   8'开场8分钟，威尔希尔禁区左侧回做，姆希塔良在门前13米处低射击中边网
8'钱伯斯后场拿球！回传给穆斯塔菲！                   8'开场8分钟，威尔希尔禁区左侧回做，姆希塔良在门前13米处低射击中边网
8'交给科斯切尔尼！分左侧钱伯斯！                   8'开场8分钟，威尔希尔禁区左侧回做，姆希塔良在门前13米处低射击中边网
8'斜传前场中路厄齐尔！                   8'开场8分钟，威尔希尔禁区左侧回做，姆希塔良在门前13米处低射击中边网
8'分禁区左侧威尔希尔！回做一下！                   8'开场8分钟，威尔希尔禁区左侧回做，姆希塔良在门前13米处低射击中边网
9'姆希塔良跟进爆射！！打中左侧边网！                   8'开场8分钟，威尔希尔禁区左侧回做，姆希塔良在门前13米处低射击中边网
10'恰尔汗奥卢左侧回传罗德里格斯！                   8'开场8分钟，威尔希尔禁区左侧回做，姆希塔良在门前13米处低射击中边网
10'给后场博努奇！直传前场左侧！                   8'开场8分钟，威尔希尔禁区左侧回做，姆希塔良在门前13米处低射击中边网
10'钱伯斯得球直传！被恰尔汗奥卢抢断！                   8'开场8分钟，威尔希尔禁区左侧回做，姆希塔良在门前13米处低射击中边网
11'直塞禁区左侧！库特罗内插上抽射！！                   8'开场8分钟，威尔希尔禁区左侧回做，姆希塔良在门前13米处低射击中边网
11'球打中左侧边网！                   8'开场8分钟，威尔希尔禁区左侧回做，姆希塔良在门前13米处低射击中边网
11'钱伯斯右侧推进！交给中路扎卡！分左侧科斯切尔尼！                   8'开场8分钟，威尔希尔禁区左侧回做，姆希塔良在门前13米处低射击中边网
11'直传前场左侧科拉希纳茨！交给姆希塔良！                   8'开场8分钟，威尔希尔禁区左侧回做，姆希塔良在门前13米处低射击中边网
15'但是很快反抢回来！禁区左侧姆希塔良得球！                   15'阿森纳第15分钟取得领先
15'扣过防守！大力抽射！！！                   15'阿森纳第15分钟取得领先
15'GOOOOOOOOOOOOOOOOAL！！                   15'阿森纳第15分钟取得领先
16'这球有一个折射！多纳鲁马反应不及啊！                   15'阿森纳第15分钟取得领先
16'罗马尼奥利后场得球回传多纳鲁马！分右侧博努奇！                   15'阿森纳第15分钟取得领先
16'长传前场右侧！被破坏出边线！                   15'阿森纳第15分钟取得领先
16'边线球给出来！回传后场博努奇！                   15'阿森纳第15分钟取得领先
17'交给多纳鲁马！短传罗马尼奥利！                   15'阿森纳第15分钟取得领先
17'推进中场！交给比格利亚！回传罗马尼奥利！                   15'阿森纳第15分钟取得领先
17'分左侧罗德里格斯！长传前场左侧！                   15'阿森纳第15分钟取得领先
17'球拼抢出界！                   15'阿森纳第15分钟取得领先
17'博努奇后场得球！回传给多纳鲁马！                   15'阿森纳第15分钟取得领先
17'交给罗马尼奥利！分右侧博努奇！                   15'阿森纳第15分钟取得领先
18'分中场右侧！苏索得球突破！被断了！                   15'阿森纳第15分钟取得领先
