3'赫迪拉中圈拿球，横传给到伊斯科                   3'第3分钟，迪马利亚和伊斯科在禁区边缘的射门均被封堵
3'伊斯科左路的大范围转移球到右路给阿韦罗亚                   3'第3分钟，迪马利亚和伊斯科在禁区边缘的射门均被封堵
4'阿韦罗亚和伊拉拉门迪的踢墙配合，伊拉拉门迪得球横传C罗                   3'第3分钟，迪马利亚和伊斯科在禁区边缘的射门均被封堵
4'C罗拿球挑传给伊斯科，伊斯科得球怒射，被路易斯挡出                   3'第3分钟，迪马利亚和伊斯科在禁区边缘的射门均被封堵
4'马竞中场的配合，面对皇马逼抢，图兰直接回传后场重新组织                   3'第3分钟，迪马利亚和伊斯科在禁区边缘的射门均被封堵
5'此战还是两位射手的比拼，打进6球的C罗和打入7球的迭戈-科斯塔的PK                   3'第3分钟，迪马利亚和伊斯科在禁区边缘的射门均被封堵
6'拉莫斯后场的过顶长传找右路上去的阿韦罗亚                   3'第3分钟，迪马利亚和伊斯科在禁区边缘的射门均被封堵
6'阿韦罗亚头球回摆给到伊拉拉门迪                   3'第3分钟，迪马利亚和伊斯科在禁区边缘的射门均被封堵
6'伊拉拉门迪得球斜传找本泽马，差点被断                   3'第3分钟，迪马利亚和伊斯科在禁区边缘的射门均被封堵
21'主裁判并未表示，马竞球员将球抢断反击                   21'第21分钟，本泽马前场反抢后传球，C-罗纳尔多30码处左脚远射离谱偏出
21'图兰右路拿球，45度斜传球到门前                   21'第21分钟，本泽马前场反抢后传球，C-罗纳尔多30码处左脚远射离谱偏出
21'太靠近门将，被迭戈-洛佩斯直接收入怀中                   21'第21分钟，本泽马前场反抢后传球，C-罗纳尔多30码处左脚远射离谱偏出
21'本泽马前场拿球，横传给到C罗                   21'第21分钟，本泽马前场反抢后传球，C-罗纳尔多30码处左脚远射离谱偏出
22'C罗带球趟了两步，禁区外直接起脚打门，踢飞                   21'第21分钟，本泽马前场反抢后传球，C-罗纳尔多30码处左脚远射离谱偏出
22'这球C罗打的有点着急，自己也是举手向队友示意不好意思                   21'第21分钟，本泽马前场反抢后传球，C-罗纳尔多30码处左脚远射离谱偏出
23'慢镜头回放显示，C罗之前突破摔倒在禁区弧顶，是科克明显的伸腿绊倒了C罗                   21'第21分钟，本泽马前场反抢后传球，C-罗纳尔多30码处左脚远射离谱偏出
23'赫迪拉前场拿球，短传给到迪马利亚                   21'第21分钟，本泽马前场反抢后传球，C-罗纳尔多30码处左脚远射离谱偏出
24'迪马利亚左脚的斜传球到禁区，本泽马头球攻门                   21'第21分钟，本泽马前场反抢后传球，C-罗纳尔多30码处左脚远射离谱偏出
24'库尔图瓦出击将球封堵，插上的科恩特朗准备补射                   21'第21分钟，本泽马前场反抢后传球，C-罗纳尔多30码处左脚远射离谱偏出
24'被米兰达及时回防将球解围出底线                    21'第21分钟，本泽马前场反抢后传球，C-罗纳尔多30码处左脚远射离谱偏出
24'皇马获得左侧的角球机会                   21'第21分钟，本泽马前场反抢后传球，C-罗纳尔多30码处左脚远射离谱偏出
28'科克任意球吊传到禁区，戈丁的头球摆渡                   28'第28分钟，科克开出角球，伊斯科防守漏人，无人防守的蒂亚戈前点10码处强力头球冲顶偏出
28'比利亚头球接力攻门，被后卫挡出底线                   28'第28分钟，科克开出角球，伊斯科防守漏人，无人防守的蒂亚戈前点10码处强力头球冲顶偏出
28'马竞的右侧角球机会，开出到禁区                   28'第28分钟，科克开出角球，伊斯科防守漏人，无人防守的蒂亚戈前点10码处强力头球冲顶偏出
28'蒂亚戈中路插上，无人干扰下的头球攻门，顶高                   28'第28分钟，科克开出角球，伊斯科防守漏人，无人防守的蒂亚戈前点10码处强力头球冲顶偏出
29'皇马的防守无语了，这么大的空挡，好在蒂亚戈的攻门没能压住                   28'第28分钟，科克开出角球，伊斯科防守漏人，无人防守的蒂亚戈前点10码处强力头球冲顶偏出
30'加比中场拿球，伊拉拉门迪上抢被吹犯规                   28'第28分钟，科克开出角球，伊斯科防守漏人，无人防守的蒂亚戈前点10码处强力头球冲顶偏出
30'上半场30分钟，比分0-1，客场作战的马竞领先                   28'第28分钟，科克开出角球，伊斯科防守漏人，无人防守的蒂亚戈前点10码处强力头球冲顶偏出
31'伊斯科左路拿球强突，被戈丁上来抢断                   28'第28分钟，科克开出角球，伊斯科防守漏人，无人防守的蒂亚戈前点10码处强力头球冲顶偏出
