8'纽卡这边上抢断球                   8'第8分钟，费尔南迪尼奥左路传中，斯特林远点小禁区边缘破门因越位在先被判无效
8'中场附近曼城这边反抢                   8'第8分钟，费尔南迪尼奥左路传中，斯特林远点小禁区边缘破门因越位在先被判无效
8'左路推进上来                   8'第8分钟，费尔南迪尼奥左路传中，斯特林远点小禁区边缘破门因越位在先被判无效
8'大卫-席尔瓦的传球没有渗透过去                   8'第8分钟，费尔南迪尼奥左路传中，斯特林远点小禁区边缘破门因越位在先被判无效
8'纽卡这边的反击                   8'第8分钟，费尔南迪尼奥左路传中，斯特林远点小禁区边缘破门因越位在先被判无效
8'中场出球失误了                   8'第8分钟，费尔南迪尼奥左路传中，斯特林远点小禁区边缘破门因越位在先被判无效
9'曼城大范围转移                   8'第8分钟，费尔南迪尼奥左路传中，斯特林远点小禁区边缘破门因越位在先被判无效
9'斯特林接球处在越位的位置上                   8'第8分钟，费尔南迪尼奥左路传中，斯特林远点小禁区边缘破门因越位在先被判无效
9'曼城中场拿球                   8'第8分钟，费尔南迪尼奥左路传中，斯特林远点小禁区边缘破门因越位在先被判无效
9'横向转移过来                   8'第8分钟，费尔南迪尼奥左路传中，斯特林远点小禁区边缘破门因越位在先被判无效
10'纽卡这边也是全线退防                   8'第8分钟，费尔南迪尼奥左路传中，斯特林远点小禁区边缘破门因越位在先被判无效
10'斯通斯中场横敲                   8'第8分钟，费尔南迪尼奥左路传中，斯特林远点小禁区边缘破门因越位在先被判无效
10'左路给到底线                   8'第8分钟，费尔南迪尼奥左路传中，斯特林远点小禁区边缘破门因越位在先被判无效
10'萨内接球挑传到中间                   8'第8分钟，费尔南迪尼奥左路传中，斯特林远点小禁区边缘破门因越位在先被判无效
10'后卫先头球解围                   8'第8分钟，费尔南迪尼奥左路传中，斯特林远点小禁区边缘破门因越位在先被判无效
10'曼城这边攻上来                   8'第8分钟，费尔南迪尼奥左路传中，斯特林远点小禁区边缘破门因越位在先被判无效
10'曼基略将球解围出底线                   8'第8分钟，费尔南迪尼奥左路传中，斯特林远点小禁区边缘破门因越位在先被判无效
10'曼城战术角球开出                   8'第8分钟，费尔南迪尼奥左路传中，斯特林远点小禁区边缘破门因越位在先被判无效
10'禁区外围的远射打得有些离谱                   8'第8分钟，费尔南迪尼奥左路传中，斯特林远点小禁区边缘破门因越位在先被判无效
34'1-0！！！                   34'曼城第34分钟打破僵局，德布劳内左路斜传，阿圭罗前点小禁区边缘头球蹭入后角
34'阿圭罗！！！                   34'曼城第34分钟打破僵局，德布劳内左路斜传，阿圭罗前点小禁区边缘头球蹭入后角
35'曼城左路起球送禁区，阿圭罗禁区内前插头球一蹭顶进远角！！                   34'曼城第34分钟打破僵局，德布劳内左路斜传，阿圭罗前点小禁区边缘头球蹭入后角
35'达尔洛已经做出扑救动作但是并没有碰到                   34'曼城第34分钟打破僵局，德布劳内左路斜传，阿圭罗前点小禁区边缘头球蹭入后角
35'曼城这边猛攻后总算是取得进球                   34'曼城第34分钟打破僵局，德布劳内左路斜传，阿圭罗前点小禁区边缘头球蹭入后角
36'迪亚梅这边上抢犯规                   34'曼城第34分钟打破僵局，德布劳内左路斜传，阿圭罗前点小禁区边缘头球蹭入后角
37'曼城左路挑传                   34'曼城第34分钟打破僵局，德布劳内左路斜传，阿圭罗前点小禁区边缘头球蹭入后角
37'没有过去                   34'曼城第34分钟打破僵局，德布劳内左路斜传，阿圭罗前点小禁区边缘头球蹭入后角
37'曼城中场拿球给到边路                   34'曼城第34分钟打破僵局，德布劳内左路斜传，阿圭罗前点小禁区边缘头球蹭入后角
37'机会不多将球回敲回来                   34'曼城第34分钟打破僵局，德布劳内左路斜传，阿圭罗前点小禁区边缘头球蹭入后角
63'点球！！                   63'曼城第63分钟扩大比分，斯特林切入禁区左侧被曼基略放倒，阿圭罗主罚点球命中，2-0
63'曼城获得点球！！！                   63'曼城第63分钟扩大比分，斯特林切入禁区左侧被曼基略放倒，阿圭罗主罚点球命中，2-0
63'阿圭罗来主罚！！                   63'曼城第63分钟扩大比分，斯特林切入禁区左侧被曼基略放倒，阿圭罗主罚点球命中，2-0
63'2-0！！                   63'曼城第63分钟扩大比分，斯特林切入禁区左侧被曼基略放倒，阿圭罗主罚点球命中，2-0
64'阿圭罗点球推射左路，门将碰到了球但并没有改变轨迹！！                   63'曼城第63分钟扩大比分，斯特林切入禁区左侧被曼基略放倒，阿圭罗主罚点球命中，2-0
64'纽卡这边换人了                   63'曼城第63分钟扩大比分，斯特林切入禁区左侧被曼基略放倒，阿圭罗主罚点球命中，2-0
64'阿特苏下，阿约泽上！                   63'曼城第63分钟扩大比分，斯特林切入禁区左侧被曼基略放倒，阿圭罗主罚点球命中，2-0
66'纽卡这边继续换人                   63'曼城第63分钟扩大比分，斯特林切入禁区左侧被曼基略放倒，阿圭罗主罚点球命中，2-0
66'之前曼城的点球是斯特林突破到禁区被拉倒                   63'曼城第63分钟扩大比分，斯特林切入禁区左侧被曼基略放倒，阿圭罗主罚点球命中，2-0
71'曼城这边又有机会啊                   71'第71分钟，萨内禁区左侧传中，斯特林10码处捅射被达洛扑挡后击中右侧立柱弹出，阿圭罗小角度补射打在边网
71'斯特林禁区内推射被门将扑出                   71'第71分钟，萨内禁区左侧传中，斯特林10码处捅射被达洛扑挡后击中右侧立柱弹出，阿圭罗小角度补射打在边网
72'这球达尔洛也是做出了世界级扑救                   71'第71分钟，萨内禁区左侧传中，斯特林10码处捅射被达洛扑挡后击中右侧立柱弹出，阿圭罗小角度补射打在边网
74'纽卡这边进攻上来                   71'第71分钟，萨内禁区左侧传中，斯特林10码处捅射被达洛扑挡后击中右侧立柱弹出，阿圭罗小角度补射打在边网
74'没机会啊                   71'第71分钟，萨内禁区左侧传中，斯特林10码处捅射被达洛扑挡后击中右侧立柱弹出，阿圭罗小角度补射打在边网
83'3-1！！！                   83'曼城第83分钟锁定胜局，萨内面对4人夹防突入禁区左侧传中，阿圭罗10码处扫射入网上演帽子戏法，3-1
83'还是阿圭罗！！                   83'曼城第83分钟锁定胜局，萨内面对4人夹防突入禁区左侧传中，阿圭罗10码处扫射入网上演帽子戏法，3-1
83'帽子戏法！！                   83'曼城第83分钟锁定胜局，萨内面对4人夹防突入禁区左侧传中，阿圭罗10码处扫射入网上演帽子戏法，3-1
84'曼城左路拿球进攻上来，禁区捏，萨内摆脱防守将球给到中路，阿圭罗停球后扫射破门！！                   83'曼城第83分钟锁定胜局，萨内面对4人夹防突入禁区左侧传中，阿圭罗10码处扫射入网上演帽子戏法，3-1
84'这球一半的功劳在萨内身上                   83'曼城第83分钟锁定胜局，萨内面对4人夹防突入禁区左侧传中，阿圭罗10码处扫射入网上演帽子戏法，3-1
86'曼城这边换人                   83'曼城第83分钟锁定胜局，萨内面对4人夹防突入禁区左侧传中，阿圭罗10码处扫射入网上演帽子戏法，3-1
86'斯特林下，伯纳多-席尔瓦上！                   83'曼城第83分钟锁定胜局，萨内面对4人夹防突入禁区左侧传中，阿圭罗10码处扫射入网上演帽子戏法，3-1
