23'进球啦！！！热刺球员邓普西大禁区左侧左脚射门,球从右下角飞进球门,球进了! 巴塞尔 0-1 热刺.                   23'第23分钟，威尔通亨直传，邓普西带球晃过门将索默尔后在禁区左侧射入空门
24'朴柱昊为巴塞尔在左路,赢得一个任意球.                   23'第23分钟，威尔通亨直传，邓普西带球晃过门将索默尔后在禁区左侧射入空门
24'热刺球员邓普西拼抢犯规,对手获得控球权.                   23'第23分钟，威尔通亨直传，邓普西带球晃过门将索默尔后在禁区左侧射入空门
26'德拉戈维奇为巴塞尔赢得一个任意球.                   23'第23分钟，威尔通亨直传，邓普西带球晃过门将索默尔后在禁区左侧射入空门
26'热刺球员邓普西拼抢犯规,对手获得控球权.                   23'第23分钟，威尔通亨直传，邓普西带球晃过门将索默尔后在禁区左侧射入空门
49'射门!!!巴塞尔球员沙尔小禁区右侧头球,被对方守门员横身扑出.给他传球的是施特克尔.                   49'第49分钟，斯托克尔开出角球，沙尔前点头球攻门被弗里德尔勉强救出，德拉戈维奇近距离补射破门
49'进球啦！！！巴塞尔球员德拉戈维奇球门线跟前右脚射门,球从右上角飞进球门,球进了! 巴塞尔 2-1 热刺.                   49'第49分钟，斯托克尔开出角球，沙尔前点头球攻门被弗里德尔勉强救出，德拉戈维奇近距离补射破门
52'巴塞尔球员法比安-弗雷拼抢犯规,对手获得控球权.                   49'第49分钟，斯托克尔开出角球，沙尔前点头球攻门被弗里德尔勉强救出，德拉戈维奇近距离补射破门
52'诺顿为热刺赢得一个任意球.                   49'第49分钟，斯托克尔开出角球，沙尔前点头球攻门被弗里德尔勉强救出，德拉戈维奇近距离补射破门
52'巴塞尔球员施特克尔拼抢犯规,对手获得控球权.                   49'第49分钟，斯托克尔开出角球，沙尔前点头球攻门被弗里德尔勉强救出，德拉戈维奇近距离补射破门
52'邓普西为热刺在对方半场,赢得一个任意球.                   49'第49分钟，斯托克尔开出角球，沙尔前点头球攻门被弗里德尔勉强救出，德拉戈维奇近距离补射破门
52'热刺球员邓普西被主裁判出示了一张黄牌.                   49'第49分钟，斯托克尔开出角球，沙尔前点头球攻门被弗里德尔勉强救出，德拉戈维奇近距离补射破门
90'斯特雷勒为巴塞尔在对方半场,赢得一个任意球.                   90'第90分钟，防线最后一人的威尔通亨对斯特雷勒犯规被红牌直接罚下
90'热刺球员维尔通亨拼抢犯规,对手获得控球权.                   90'第90分钟，防线最后一人的威尔通亨对斯特雷勒犯规被红牌直接罚下
90'裁判将热刺的维尔通亨直接红牌罚下.                   90'第90分钟，防线最后一人的威尔通亨对斯特雷勒犯规被红牌直接罚下
90'+1'巴塞尔球员迪亚兹大禁区外尝试右脚射门,可惜皮球高出球门.                   90'第90分钟，防线最后一人的威尔通亨对斯特雷勒犯规被红牌直接罚下
90'+3'巴塞尔球员施泰因霍费尔大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.                   90'第90分钟，防线最后一人的威尔通亨对斯特雷勒犯规被红牌直接罚下
90'+3'沙尔为巴塞尔在对方半场,赢得一个任意球.                   90'第90分钟，防线最后一人的威尔通亨对斯特雷勒犯规被红牌直接罚下
90'+3'热刺球员埃克托拼抢犯规,对手获得控球权.                   90'第90分钟，防线最后一人的威尔通亨对斯特雷勒犯规被红牌直接罚下
90'+4'热刺球员道森被主裁判出示了一张黄牌.                   90'第90分钟，防线最后一人的威尔通亨对斯特雷勒犯规被红牌直接罚下
90'+4'巴塞尔球员斯特雷勒被主裁判出示了一张黄牌.                   90'第90分钟，防线最后一人的威尔通亨对斯特雷勒犯规被红牌直接罚下
90'+4'热刺球员沃克尔被主裁判出示了一张黄牌.                   90'第90分钟，防线最后一人的威尔通亨对斯特雷勒犯规被红牌直接罚下
90'+4'巴塞尔球员德拉戈维奇大禁区外尝试右脚射门,可惜皮球高出球门.                   90'第90分钟，防线最后一人的威尔通亨对斯特雷勒犯规被红牌直接罚下
90'+4'下半场结束,巴塞尔 2-2 热刺                   90'第90分钟，防线最后一人的威尔通亨对斯特雷勒犯规被红牌直接罚下
92'巴塞尔球员迪亚兹一脚直塞球给德根,但是边裁举旗显示后者已经越位.                   90'第90分钟，防线最后一人的威尔通亨对斯特雷勒犯规被红牌直接罚下
93'迪亚兹为巴塞尔在对方半场,赢得一个任意球.                   90'第90分钟，防线最后一人的威尔通亨对斯特雷勒犯规被红牌直接罚下
93'热刺球员霍德斯通拼抢犯规,对手获得控球权.                   90'第90分钟，防线最后一人的威尔通亨对斯特雷勒犯规被红牌直接罚下
