6'赵明剑右路突进禁区                   6'第6分钟，丁海峰边路弧线球传中，车世伟甩头攻门得手
6'没有传中机会                   6'第6分钟，丁海峰边路弧线球传中，车世伟甩头攻门得手
6'埃尔纳内斯分左路                   6'第6分钟，丁海峰边路弧线球传中，车世伟甩头攻门得手
6'河北华夏进球了！！！                   6'第6分钟，丁海峰边路弧线球传中，车世伟甩头攻门得手
6'车世伟！U23进球了！                   6'第6分钟，丁海峰边路弧线球传中，车世伟甩头攻门得手
7'左路丁海峰的传中到中路，车世伟甩头顶进死角                   6'第6分钟，丁海峰边路弧线球传中，车世伟甩头攻门得手
7'重庆0-1落后河北                   6'第6分钟，丁海峰边路弧线球传中，车世伟甩头攻门得手
7'这也是本赛季第一位进球的U23球员                   6'第6分钟，丁海峰边路弧线球传中，车世伟甩头攻门得手
8'埃尔纳内斯中场推人                   6'第6分钟，丁海峰边路弧线球传中，车世伟甩头攻门得手
8'中场高球争顶，刘宇顶出边线                   6'第6分钟，丁海峰边路弧线球传中，车世伟甩头攻门得手
9'赵明剑右路强行突破下底了                   6'第6分钟，丁海峰边路弧线球传中，车世伟甩头攻门得手
9'拿到一个角球                   6'第6分钟，丁海峰边路弧线球传中，车世伟甩头攻门得手
9'埃尔纳内斯开门前，被邓小飞击出禁区                   6'第6分钟，丁海峰边路弧线球传中，车世伟甩头攻门得手
9'中场费尔南多断球反击了                   6'第6分钟，丁海峰边路弧线球传中，车世伟甩头攻门得手
9'速度起来到禁区前                   6'第6分钟，丁海峰边路弧线球传中，车世伟甩头攻门得手
48'被破坏了，吴庆转移慢了                   48'开场3分钟，河北华夏幸福率先制造威胁，张呈栋内切后远射，球打在防守队员腿上折射，球被邓小飞获得
48'费尔南多右路背身拿球                   48'开场3分钟，河北华夏幸福率先制造威胁，张呈栋内切后远射，球打在防守队员腿上折射，球被邓小飞获得
48'任航上抢推人犯规                   48'开场3分钟，河北华夏幸福率先制造威胁，张呈栋内切后远射，球打在防守队员腿上折射，球被邓小飞获得
49'卡尔德克禁区前头球摆渡                   48'开场3分钟，河北华夏幸福率先制造威胁，张呈栋内切后远射，球打在防守队员腿上折射，球被邓小飞获得
49'吴庆拿球转身，射门被杨程扑出，角球                   48'开场3分钟，河北华夏幸福率先制造威胁，张呈栋内切后远射，球打在防守队员腿上折射，球被邓小飞获得
49'角球到中路被赵宇豪顶出                   48'开场3分钟，河北华夏幸福率先制造威胁，张呈栋内切后远射，球打在防守队员腿上折射，球被邓小飞获得
49'外围再起球，吴庆后点把球打进                   48'开场3分钟，河北华夏幸福率先制造威胁，张呈栋内切后远射，球打在防守队员腿上折射，球被邓小飞获得
50'但是边裁举旗，越位在先                   48'开场3分钟，河北华夏幸福率先制造威胁，张呈栋内切后远射，球打在防守队员腿上折射，球被邓小飞获得
50'进球无效                   48'开场3分钟，河北华夏幸福率先制造威胁，张呈栋内切后远射，球打在防守队员腿上折射，球被邓小飞获得
51'刘宇回传门将，大脚开出                   48'开场3分钟，河北华夏幸福率先制造威胁，张呈栋内切后远射，球打在防守队员腿上折射，球被邓小飞获得
51'金周荣分右路，先被铲截破坏                   48'开场3分钟，河北华夏幸福率先制造威胁，张呈栋内切后远射，球打在防守队员腿上折射，球被邓小飞获得
13'球转移到右路，赵明剑似传似射去后点                   13'第13分钟，吴庆犯规吃到黄牌
13'出了远门柱                   13'第13分钟，吴庆犯规吃到黄牌
13'吴庆之前铲倒丁海峰，被补发一张黄牌                   13'第13分钟，吴庆犯规吃到黄牌
14'赵宇豪中场断球，分另一侧                   13'第13分钟，吴庆犯规吃到黄牌
14'车世伟右路越位了                   13'第13分钟，吴庆犯规吃到黄牌
15'陈雷右路分费尔南多                   13'第13分钟，吴庆犯规吃到黄牌
15'赵宇豪把费尔南多铲倒                   13'第13分钟，吴庆犯规吃到黄牌
15'裁判黄牌警告赵宇豪                   13'第13分钟，吴庆犯规吃到黄牌
16'埃尔纳内斯右路突破过人                   13'第13分钟，吴庆犯规吃到黄牌
16'第二下被补防队员破坏出边线                   13'第13分钟，吴庆犯规吃到黄牌
18'彭欣力中场处理球慢了                   18'第18分钟，河北华夏幸福前场背身拿球突然启动摆脱刘宇防守后起脚远射，可惜稍稍射偏
18'阿洛伊西奥回来破坏断球                   18'第18分钟，河北华夏幸福前场背身拿球突然启动摆脱刘宇防守后起脚远射，可惜稍稍射偏
18'丁海峰直塞禁区前                   18'第18分钟，河北华夏幸福前场背身拿球突然启动摆脱刘宇防守后起脚远射，可惜稍稍射偏
18'阿洛伊西奥转身射门打偏                   18'第18分钟，河北华夏幸福前场背身拿球突然启动摆脱刘宇防守后起脚远射，可惜稍稍射偏
19'南松左路拿球被破坏，角球                   18'第18分钟，河北华夏幸福前场背身拿球突然启动摆脱刘宇防守后起脚远射，可惜稍稍射偏
19'角球到中路                   18'第18分钟，河北华夏幸福前场背身拿球突然启动摆脱刘宇防守后起脚远射，可惜稍稍射偏
20'卡尔德克顶到了，弹地后高出横梁                   18'第18分钟，河北华夏幸福前场背身拿球突然启动摆脱刘宇防守后起脚远射，可惜稍稍射偏
20'卡尔德克中场争顶                   18'第18分钟，河北华夏幸福前场背身拿球突然启动摆脱刘宇防守后起脚远射，可惜稍稍射偏
20'赵宇豪抬脚过高，直接踢倒了卡尔德克                   18'第18分钟，河北华夏幸福前场背身拿球突然启动摆脱刘宇防守后起脚远射，可惜稍稍射偏
21'他身上已经有一张黄牌了啊                   18'第18分钟，河北华夏幸福前场背身拿球突然启动摆脱刘宇防守后起脚远射，可惜稍稍射偏
21'裁判这次没有出牌，重庆队员有些不满                   18'第18分钟，河北华夏幸福前场背身拿球突然启动摆脱刘宇防守后起脚远射，可惜稍稍射偏
27'埃尔纳内斯右路突破进禁区                   27'第27分钟，河北华夏幸福打出快速反击，埃尔纳内斯突入禁区无私横传，阿洛伊西奥包抄射门被邓小飞挡到后点，尹鸿博门前铲射破门
27'横敲，阿洛伊西奥推射                   27'第27分钟，河北华夏幸福打出快速反击，埃尔纳内斯突入禁区无私横传，阿洛伊西奥包抄射门被邓小飞挡到后点，尹鸿博门前铲射破门
