1'上半场比赛开始了！                   1'第1分钟，曼城防线承受了很大压力
1'上半场由斯托克城率先中圈开球                   1'第1分钟，曼城防线承受了很大压力
1'曼城后场控制，席尔瓦右路得球回做一下                   1'第1分钟，曼城防线承受了很大压力
2'球回到后卫线                   1'第1分钟，曼城防线承受了很大压力
2'席尔瓦左路要球，费尔南多接应一下                   1'第1分钟，曼城防线承受了很大压力
2'曼城还是在中场倒脚                   1'第1分钟，曼城防线承受了很大压力
3'球被断了，阿诺托维奇带球中被费尔南多绊了一下                   1'第1分钟，曼城防线承受了很大压力
3'科拉罗夫抢断，推进中被惠兰铲倒                   1'第1分钟，曼城防线承受了很大压力
3'曼城长传球到前场，阿奎罗先越位了                   1'第1分钟，曼城防线承受了很大压力
4'摩西左路的突破受阻，后点巴德兹利传中被萨巴莱塔头球顶出了边线                   1'第1分钟，曼城防线承受了很大压力
20'克劳奇将球打进，但被判越位在先！                   20'第20分钟，摩西禁区左侧低传，乔-哈特倒地扑球脱手，克劳奇左脚推进空门，但被判越位在先
21'摩西左路的加速传中，乔哈特扑球脱手被克劳奇将球补射入网                   20'第20分钟，摩西禁区左侧低传，乔-哈特倒地扑球脱手，克劳奇左脚推进空门，但被判越位在先
21'不过摩西传中时克劳奇已经越位了                   20'第20分钟，摩西禁区左侧低传，乔-哈特倒地扑球脱手，克劳奇左脚推进空门，但被判越位在先
21'斯托克城中场断球                   20'第20分钟，摩西禁区左侧低传，乔-哈特倒地扑球脱手，克劳奇左脚推进空门，但被判越位在先
22'恩佐济中路大力远射，乔哈特倒地扑球，摩西弧顶球再打一脚可惜擦着右边立柱出了底线                   20'第20分钟，摩西禁区左侧低传，乔-哈特倒地扑球脱手，克劳奇左脚推进空门，但被判越位在先
22'席尔瓦盘带，送一记直塞，米尔纳没能拿好球                   20'第20分钟，摩西禁区左侧低传，乔-哈特倒地扑球脱手，克劳奇左脚推进空门，但被判越位在先
22'斯托克城以快打慢                   20'第20分钟，摩西禁区左侧低传，乔-哈特倒地扑球脱手，克劳奇左脚推进空门，但被判越位在先
22'曼城打得很被动                   20'第20分钟，摩西禁区左侧低传，乔-哈特倒地扑球脱手，克劳奇左脚推进空门，但被判越位在先
23'沃尔沙伊德长传前场右路偏出边线                   20'第20分钟，摩西禁区左侧低传，乔-哈特倒地扑球脱手，克劳奇左脚推进空门，但被判越位在先
33'阿奎罗进球了！                   33'曼城第33分钟取得领先
33'阿奎罗右路得球事进了禁区往底线晃动一下小角度打门打进远门柱！                   33'曼城第33分钟取得领先
33'此时此刻值得来杯嘉士伯！                   33'曼城第33分钟取得领先
34'阿奎罗瞬间找回了射门的感觉                   33'曼城第33分钟取得领先
34'之前两脚水准都很一般                   33'曼城第33分钟取得领先
34'巴德兹利左路的传中，乔哈特空中揽月将球没收                   33'曼城第33分钟取得领先
35'刚才阿奎罗的射门是上半场曼城第一次打中门框的射门                   33'曼城第33分钟取得领先
36'上半场进行了35分钟，场上比分是曼城1：0暂时领先                   33'曼城第33分钟取得领先
36'斯托克城获得一个前场右路的角球机会                   33'曼城第33分钟取得领先
36'摩西角球发到门前，乔哈特勉强将球捅一下，卡梅伦打门打高了                   33'曼城第33分钟取得领先
38'阿诺托维奇右路弧线球传中，球绕过前点，后点克劳奇头球攻门球进！                   38'斯托克城第38分钟追平，阿瑙托维奇右路传中，克劳奇后点距门8米处冲顶入近角，1比1，这是他在英超第45个头球进球，追平达布林，仅比希勒保持的英超纪录少1球
38'此时此刻值得来杯嘉士伯！                   38'斯托克城第38分钟追平，阿瑙托维奇右路传中，克劳奇后点距门8米处冲顶入近角，1比1，这是他在英超第45个头球进球，追平达布林，仅比希勒保持的英超纪录少1球
38'前点的摩西处于越位位置，不过裁判认为他没有参与到本次进攻                   38'斯托克城第38分钟追平，阿瑙托维奇右路传中，克劳奇后点距门8米处冲顶入近角，1比1，这是他在英超第45个头球进球，追平达布林，仅比希勒保持的英超纪录少1球
40'席尔瓦右路的直塞，力量给大了                   38'斯托克城第38分钟追平，阿瑙托维奇右路传中，克劳奇后点距门8米处冲顶入近角，1比1，这是他在英超第45个头球进球，追平达布林，仅比希勒保持的英超纪录少1球
40'米尔纳左路长传到对方禁区，阿奎罗前插快了，又是越位                   38'斯托克城第38分钟追平，阿瑙托维奇右路传中，克劳奇后点距门8米处冲顶入近角，1比1，这是他在英超第45个头球进球，追平达布林，仅比希勒保持的英超纪录少1球
40'摩西左路加速推在萨巴莱塔身上，裁判没有响哨                   38'斯托克城第38分钟追平，阿瑙托维奇右路传中，克劳奇后点距门8米处冲顶入近角，1比1，这是他在英超第45个头球进球，追平达布林，仅比希勒保持的英超纪录少1球
41'球转移到右路，阿诺托维奇的传中，恩佐济跌入越位位置                   38'斯托克城第38分钟追平，阿瑙托维奇右路传中，克劳奇后点距门8米处冲顶入近角，1比1，这是他在英超第45个头球进球，追平达布林，仅比希勒保持的英超纪录少1球
41'迪乌夫分右路，卡梅伦传中打在曼加拉身上出边线                   38'斯托克城第38分钟追平，阿瑙托维奇右路传中，克劳奇后点距门8米处冲顶入近角，1比1，这是他在英超第45个头球进球，追平达布林，仅比希勒保持的英超纪录少1球
54'阿诺托维奇右路漂亮的传中被乔哈特没收                   53'第53分钟，阿圭罗突入禁区，与沃尔沙伊德接触倒地，主裁判不予理会
54'阿奎罗前场争抢时对穆涅萨下铲                   53'第53分钟，阿圭罗突入禁区，与沃尔沙伊德接触倒地，主裁判不予理会
54'阿奎罗吃到一张黄牌                   53'第53分钟，阿圭罗突入禁区，与沃尔沙伊德接触倒地，主裁判不予理会
55'纳斯里右路得球，交给萨巴莱塔，纳斯里再拿球                   53'第53分钟，阿圭罗突入禁区，与沃尔沙伊德接触倒地，主裁判不予理会
55'与席尔瓦做配合，纳斯里传中                   53'第53分钟，阿圭罗突入禁区，与沃尔沙伊德接触倒地，主裁判不予理会
55'米尔纳头球破门！                   53'第53分钟，阿圭罗突入禁区，与沃尔沙伊德接触倒地，主裁判不予理会
56'纳斯里与席尔瓦连续5次互传，最后由纳斯里传中，米尔纳头球冲顶，球飞进球门左下角！                   53'第53分钟，阿圭罗突入禁区，与沃尔沙伊德接触倒地，主裁判不予理会
56'此时此刻值得来杯嘉士伯！                   53'第53分钟，阿圭罗突入禁区，与沃尔沙伊德接触倒地，主裁判不予理会
56'曼城早就应该拿出这样的气势出来                   53'第53分钟，阿圭罗突入禁区，与沃尔沙伊德接触倒地，主裁判不予理会
56'曼城卷土重来，费尔南多过顶长传，球传得有点大                   53'第53分钟，阿圭罗突入禁区，与沃尔沙伊德接触倒地，主裁判不予理会
69'席尔瓦中路的直塞，阿奎罗得球但对方已经三个人围上来                   69'”第69分钟，席尔瓦禁区左侧抢断卡梅伦，转身摆脱后被对方拉倒，点球
69'席尔瓦为曼城搏得点球！                   69'”第69分钟，席尔瓦禁区左侧抢断卡梅伦，转身摆脱后被对方拉倒，点球
69'第二点的争夺，席尔瓦与卡梅伦对脚后得球，卡梅伦被甩到身后，卡梅伦拉倒了席尔瓦                   69'”第69分钟，席尔瓦禁区左侧抢断卡梅伦，转身摆脱后被对方拉倒，点球
70'裁判果断给了点球                   69'”第69分钟，席尔瓦禁区左侧抢断卡梅伦，转身摆脱后被对方拉倒，点球
70'阿奎罗推射球门右下角破门！                   69'”第69分钟，席尔瓦禁区左侧抢断卡梅伦，转身摆脱后被对方拉倒，点球
70'此时此刻值得来杯嘉士伯！                   69'”第69分钟，席尔瓦禁区左侧抢断卡梅伦，转身摆脱后被对方拉倒，点球
71'2球领先，曼城获胜有把握了                   69'”第69分钟，席尔瓦禁区左侧抢断卡梅伦，转身摆脱后被对方拉倒，点球
71'摩西已经进了曼城禁区，传中球被回防的席尔瓦解围                   69'”第69分钟，席尔瓦禁区左侧抢断卡梅伦，转身摆脱后被对方拉倒，点球
71'席尔瓦与阿奎罗，这两人都是曼城不能缺少的                   69'”第69分钟，席尔瓦禁区左侧抢断卡梅伦，转身摆脱后被对方拉倒，点球
72'当然还有一人不可缺少就是亚亚图雷                   69'”第69分钟，席尔瓦禁区左侧抢断卡梅伦，转身摆脱后被对方拉倒，点球
72'阿奎罗坐在草坪上长时间没有站起来！                   69'”第69分钟，席尔瓦禁区左侧抢断卡梅伦，转身摆脱后被对方拉倒，点球
72'难度又拉伤了大腿                   69'”第69分钟，席尔瓦禁区左侧抢断卡梅伦，转身摆脱后被对方拉倒，点球
77'纳斯里中场开始带球，到禁区前沿往右调整两下低射球门右下角球进！                   77'第77分钟，哲科左路回敲，纳斯里带球内切连续变线摆脱，禁区边缘推进左下角，4比1，这是他本赛季英超首球
77'这球进了后，曼城的三分是妥妥的了                   77'第77分钟，哲科左路回敲，纳斯里带球内切连续变线摆脱，禁区边缘推进左下角，4比1，这是他本赛季英超首球
77'恩佐济直塞禁区给大了                   77'第77分钟，哲科左路回敲，纳斯里带球内切连续变线摆脱，禁区边缘推进左下角，4比1，这是他本赛季英超首球
78'乔哈特出击抢在迪乌夫之前扑脚下球成功                   77'第77分钟，哲科左路回敲，纳斯里带球内切连续变线摆脱，禁区边缘推进左下角，4比1，这是他本赛季英超首球
79'迪乌夫中路的强突，曼加拉身体失去平衡后碰了迪乌夫一下，迪乌夫被撞后打门打偏                   77'第77分钟，哲科左路回敲，纳斯里带球内切连续变线摆脱，禁区边缘推进左下角，4比1，这是他本赛季英超首球
80'兰帕德换下了米尔纳                   77'第77分钟，哲科左路回敲，纳斯里带球内切连续变线摆脱，禁区边缘推进左下角，4比1，这是他本赛季英超首球
