1'上半场比赛开始！！                   1'曼联第1分钟积极施压，斯马林角球混战中头球攻门偏出
1'马塔禁区外围的远射被挡了出去                   1'曼联第1分钟积极施压，斯马林角球混战中头球攻门偏出
1'曼联这边获得角球机会                   1'曼联第1分钟积极施压，斯马林角球混战中头球攻门偏出
1'角球送禁区                   1'曼联第1分钟积极施压，斯马林角球混战中头球攻门偏出
1'落点并不理想                   1'曼联第1分钟积极施压，斯马林角球混战中头球攻门偏出
3'曼联首发：门将：1号德赫亚；后卫：4号菲尔-琼斯、2号林德洛夫、12号斯莫林、18号阿什利-扬；后腰：6号博格巴、31号马蒂奇；中场：8号马塔、14号林加德、11号马夏尔；前锋：9号卢卡库                   1'曼联第1分钟积极施压，斯马林角球混战中头球攻门偏出
4'林加德禁区外围远射                   1'曼联第1分钟积极施压，斯马林角球混战中头球攻门偏出
4'球打在防守球员身上有一个折射                   1'曼联第1分钟积极施压，斯马林角球混战中头球攻门偏出
4'舒梅切尔这边反应很快将球托了出去                   1'曼联第1分钟积极施压，斯马林角球混战中头球攻门偏出
4'曼联的角球机会                   1'曼联第1分钟积极施压，斯马林角球混战中头球攻门偏出
4'角球送禁区                   1'曼联第1分钟积极施压，斯马林角球混战中头球攻门偏出
4'还是不理想                   1'曼联第1分钟积极施压，斯马林角球混战中头球攻门偏出
4'莱斯特城的反击                   1'曼联第1分钟积极施压，斯马林角球混战中头球攻门偏出
4'瓦尔迪拿球到了禁区                   1'曼联第1分钟积极施压，斯马林角球混战中头球攻门偏出
4'底线的下底被破坏出去                   1'曼联第1分钟积极施压，斯马林角球混战中头球攻门偏出
4'莱斯特城这边获得角球                   1'曼联第1分钟积极施压，斯马林角球混战中头球攻门偏出
27'莱斯特城后场长传打到前场，马赫雷斯前场控球下来，等着瓦尔迪前插，突然送直塞到禁区，瓦尔迪跟进反越位过来推射破门！！                   27'莱斯特城第27分钟取得领先，恩迪迪后场长传，马赫雷斯单对单斯马林选择等待后直传，跟进的瓦尔迪10码处单刀推射入网
27'莱斯特城总算是等来了机会                   27'莱斯特城第27分钟取得领先，恩迪迪后场长传，马赫雷斯单对单斯马林选择等待后直传，跟进的瓦尔迪10码处单刀推射入网
27'看看曼联的调整                   27'莱斯特城第27分钟取得领先，恩迪迪后场长传，马赫雷斯单对单斯马林选择等待后直传，跟进的瓦尔迪10码处单刀推射入网
27'马夏尔左路拿球到禁区                   27'莱斯特城第27分钟取得领先，恩迪迪后场长传，马赫雷斯单对单斯马林选择等待后直传，跟进的瓦尔迪10码处单刀推射入网
27'强行传中要到了一个角球                   27'莱斯特城第27分钟取得领先，恩迪迪后场长传，马赫雷斯单对单斯马林选择等待后直传，跟进的瓦尔迪10码处单刀推射入网
28'角球送禁区                   27'莱斯特城第27分钟取得领先，恩迪迪后场长传，马赫雷斯单对单斯马林选择等待后直传，跟进的瓦尔迪10码处单刀推射入网
28'威胁并不大                   27'莱斯特城第27分钟取得领先，恩迪迪后场长传，马赫雷斯单对单斯马林选择等待后直传，跟进的瓦尔迪10码处单刀推射入网
53'莱斯特城这边又有机会啊                   52'莱斯特城第52分钟浪费机会，马赫雷斯突入禁区右侧传中，格雷小禁区边缘错过皮球，富克斯10码处射门被林德洛夫挡出
53'林德洛夫将球挡了下来                   52'莱斯特城第52分钟浪费机会，马赫雷斯突入禁区右侧传中，格雷小禁区边缘错过皮球，富克斯10码处射门被林德洛夫挡出
53'曼联这边反击                   52'莱斯特城第52分钟浪费机会，马赫雷斯突入禁区右侧传中，格雷小禁区边缘错过皮球，富克斯10码处射门被林德洛夫挡出
54'马夏尔这边也有机会啊                   52'莱斯特城第52分钟浪费机会，马赫雷斯突入禁区右侧传中，格雷小禁区边缘错过皮球，富克斯10码处射门被林德洛夫挡出
54'单对单将球打高了                   52'莱斯特城第52分钟浪费机会，马赫雷斯突入禁区右侧传中，格雷小禁区边缘错过皮球，富克斯10码处射门被林德洛夫挡出
60'看看谁来罚                   60'曼联第60分钟反超比分，马圭尔禁区边缘外阻挡马夏尔犯规，马塔任意球直接射入右上角，2-1
60'马塔和阿什利-扬站在球前                   60'曼联第60分钟反超比分，马圭尔禁区边缘外阻挡马夏尔犯规，马塔任意球直接射入右上角，2-1
60'1-2！！！                   60'曼联第60分钟反超比分，马圭尔禁区边缘外阻挡马夏尔犯规，马塔任意球直接射入右上角，2-1
60'马塔！！！                   60'曼联第60分钟反超比分，马圭尔禁区边缘外阻挡马夏尔犯规，马塔任意球直接射入右上角，2-1
60'马塔任意球直接打门，绕过人墙直窜球门近角！！                   60'曼联第60分钟反超比分，马圭尔禁区边缘外阻挡马夏尔犯规，马塔任意球直接射入右上角，2-1
61'舒梅切尔这边感觉有些准备不足                   60'曼联第60分钟反超比分，马圭尔禁区边缘外阻挡马夏尔犯规，马塔任意球直接射入右上角，2-1
61'曼联是反超了比分                   60'曼联第60分钟反超比分，马圭尔禁区边缘外阻挡马夏尔犯规，马塔任意球直接射入右上角，2-1
62'现在着急的变成了莱斯特城                   60'曼联第60分钟反超比分，马圭尔禁区边缘外阻挡马夏尔犯规，马塔任意球直接射入右上角，2-1
72'立柱啊！！                   72'第72分钟，卢卡库直传，林加德单刀晃过舒梅切尔后射空门却打中右侧立柱
72'林加德的打门击中了立柱！！                   72'第72分钟，卢卡库直传，林加德单刀晃过舒梅切尔后射空门却打中右侧立柱
72'卢卡库前场拿球塞球给到防守球员的空隙之间，林加德接球小角度推射击中立柱！！                   72'第72分钟，卢卡库直传，林加德单刀晃过舒梅切尔后射空门却打中右侧立柱
73'阿马泰这边累计第二张黄牌！！                   72'第72分钟，卢卡库直传，林加德单刀晃过舒梅切尔后射空门却打中右侧立柱
73'这样阿马泰得到红牌被罚下场！！                   72'第72分钟，卢卡库直传，林加德单刀晃过舒梅切尔后射空门却打中右侧立柱
74'边路防守推倒了拉什福德                   72'第72分钟，卢卡库直传，林加德单刀晃过舒梅切尔后射空门却打中右侧立柱
74'这个动作黄牌并不为过                   72'第72分钟，卢卡库直传，林加德单刀晃过舒梅切尔后射空门却打中右侧立柱
75'曼联这边换人                   72'第72分钟，卢卡库直传，林加德单刀晃过舒梅切尔后射空门却打中右侧立柱
75'林加德下，埃雷拉上！                   72'第72分钟，卢卡库直传，林加德单刀晃过舒梅切尔后射空门却打中右侧立柱
80'博格巴右路传球给到后点                   80'第80分钟，博格巴斜传，拉什福德单刀试图晃过舒梅切尔时摔倒，裁判拒绝判罚点球
80'拉什福德接球形成单刀了！！                   80'第80分钟，博格巴斜传，拉什福德单刀试图晃过舒梅切尔时摔倒，裁判拒绝判罚点球
80'禁区内面对舒梅切尔                   80'第80分钟，博格巴斜传，拉什福德单刀试图晃过舒梅切尔时摔倒，裁判拒绝判罚点球
80'犹豫了一下先被门将碰了一下                   80'第80分钟，博格巴斜传，拉什福德单刀试图晃过舒梅切尔时摔倒，裁判拒绝判罚点球
80'自己这边也是受到干扰                   80'第80分钟，博格巴斜传，拉什福德单刀试图晃过舒梅切尔时摔倒，裁判拒绝判罚点球
81'球最后出了底线                   80'第80分钟，博格巴斜传，拉什福德单刀试图晃过舒梅切尔时摔倒，裁判拒绝判罚点球
81'可惜啊                   80'第80分钟，博格巴斜传，拉什福德单刀试图晃过舒梅切尔时摔倒，裁判拒绝判罚点球
82'马塔这边边路进攻                   80'第80分钟，博格巴斜传，拉什福德单刀试图晃过舒梅切尔时摔倒，裁判拒绝判罚点球
82'被吹了一个越位                   80'第80分钟，博格巴斜传，拉什福德单刀试图晃过舒梅切尔时摔倒，裁判拒绝判罚点球
82'曼联换人                   80'第80分钟，博格巴斜传，拉什福德单刀试图晃过舒梅切尔时摔倒，裁判拒绝判罚点球
82'马塔下，姆希塔良上！                   80'第80分钟，博格巴斜传，拉什福德单刀试图晃过舒梅切尔时摔倒，裁判拒绝判罚点球
94'莱斯特城左路传球被挡了出来                   94'莱斯特城第94分钟扳平，阿尔布莱顿斜传，受伤的斯马林盯人不紧，马圭尔小禁区右侧铲射远角入网，2-2
94'2-2！！！！                   94'莱斯特城第94分钟扳平，阿尔布莱顿斜传，受伤的斯马林盯人不紧，马圭尔小禁区右侧铲射远角入网，2-2
94'马奎尔！！！                   94'莱斯特城第94分钟扳平，阿尔布莱顿斜传，受伤的斯马林盯人不紧，马圭尔小禁区右侧铲射远角入网，2-2
94'莱斯特城左路起球送禁区后点，马奎尔后点铲射远角破门！！！                   94'莱斯特城第94分钟扳平，阿尔布莱顿斜传，受伤的斯马林盯人不紧，马圭尔小禁区右侧铲射远角入网，2-2
95'绝杀的扳平。。。                   94'莱斯特城第94分钟扳平，阿尔布莱顿斜传，受伤的斯马林盯人不紧，马圭尔小禁区右侧铲射远角入网，2-2
95'曼联这边一周内连续两次在最后一分钟被对方攻入一球                   94'莱斯特城第94分钟扳平，阿尔布莱顿斜传，受伤的斯马林盯人不紧，马圭尔小禁区右侧铲射远角入网，2-2
