3'卡昂球员桑蒂尼拼抢犯规,对手获得控球权.                   1'第1分钟，迪马利亚左路送出过顶球，卡瓦尼在门前12米处单刀推射偏出近门柱
3'金彭贝为巴黎圣日耳曼赢得一个任意球.                   1'第1分钟，迪马利亚左路送出过顶球，卡瓦尼在门前12米处单刀推射偏出近门柱
4'巴黎圣日耳曼球员卡瓦尼大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是迪马利亚.                   1'第1分钟，迪马利亚左路送出过顶球，卡瓦尼在门前12米处单刀推射偏出近门柱
12'进球啦！！！巴黎圣日耳曼球员卡瓦尼大禁区中央左脚射门,球从右下角飞进球门,球进了!助攻的是马克斯维尔. 卡昂 0-1 巴黎圣日耳曼.                   12'巴黎第12分钟取得领先，马克斯韦尔左路低传被小卢卡斯漏过，卡瓦尼后点距门8米处左脚推射击中近门柱内侧弹进，1比0
23'进球啦！！！巴黎圣日耳曼球员卡瓦尼右脚射门,球从左下角飞进球门,球进了! 卡昂 0-2 巴黎圣日耳曼.                   23'卡瓦尼操刀推进左下角，巴黎23分钟2比0领先
24'巴黎圣日耳曼球员拉比奥特大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是小卢卡斯.                   23'卡瓦尼操刀推进左下角，巴黎23分钟2比0领先
25'卡昂球员卡拉莫拼抢犯规,对手获得控球权.                   23'卡瓦尼操刀推进左下角，巴黎23分钟2比0领先
25'马图伊迪为巴黎圣日耳曼赢得一个任意球.                   23'卡瓦尼操刀推进左下角，巴黎23分钟2比0领先
38'进球啦！！！巴黎圣日耳曼球员卡瓦尼大禁区中央左脚射门,球从左下角飞进球门,球进了!助攻的是马克斯维尔. 卡昂 0-3 巴黎圣日耳曼.                   38'卡瓦尼第38分钟完成帽子戏法，迪马利亚中圈左脚送出过顶球，马克斯韦尔停球突入禁区左侧低传，卡瓦尼前点距门6米处左脚推入近角，3比0
41'卡拉莫为卡昂赢得一个任意球.                   38'卡瓦尼第38分钟完成帽子戏法，迪马利亚中圈左脚送出过顶球，马克斯韦尔停球突入禁区左侧低传，卡瓦尼前点距门6米处左脚推入近角，3比0
41'巴黎圣日耳曼球员穆尼耶拼抢犯规,对手获得控球权.                   38'卡瓦尼第38分钟完成帽子戏法，迪马利亚中圈左脚送出过顶球，马克斯韦尔停球突入禁区左侧低传，卡瓦尼前点距门6米处左脚推入近角，3比0
67'进球啦！！！巴黎圣日耳曼球员小卢卡斯大禁区外右脚射门,球从右上角飞进球门,球进了!助攻的是奥古斯丁. 卡昂 0-5 巴黎圣日耳曼.                   67'巴黎第67分钟扩大战果，奥古斯汀中路做球，小卢卡斯右侧距门25米处轰门挂右上角，5比0
68'巴黎圣日耳曼换人,莫塔换下马图伊迪                   67'巴黎第67分钟扩大战果，奥古斯汀中路做球，小卢卡斯右侧距门25米处轰门挂右上角，5比0
68'卡昂换人,伊莫鲁换下卡拉莫                   67'巴黎第67分钟扩大战果，奥古斯汀中路做球，小卢卡斯右侧距门25米处轰门挂右上角，5比0
69'巴黎圣日耳曼球员赫塞大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是奥古斯丁.                   67'巴黎第67分钟扩大战果，奥古斯汀中路做球，小卢卡斯右侧距门25米处轰门挂右上角，5比0
78'进球啦！！！巴黎圣日耳曼球员奥古斯丁大禁区外右脚射门,球从右上角飞进球门,球进了!助攻的是拉比奥特. 卡昂 0-6 巴黎圣日耳曼.                   78'第78分钟，拉比奥左路低传，奥古斯汀禁区边缘大力抽射入右上角，6比0
80'卡昂球员伊莫鲁拼抢犯规,对手获得控球权.                   78'第78分钟，拉比奥左路低传，奥古斯汀禁区边缘大力抽射入右上角，6比0
80'拉比奥特为巴黎圣日耳曼赢得一个任意球.                   78'第78分钟，拉比奥左路低传，奥古斯汀禁区边缘大力抽射入右上角，6比0
