24'长春亚泰队长传球，找谭龙！被对方断下来                   24'第24分钟，伊哈洛推射破门，帮助长春亚泰取得领先
24'崔鹏后场得球！被抢断                   24'第24分钟，伊哈洛推射破门，帮助长春亚泰取得领先
24'长春亚泰队进球啦！！伊格哈罗！1-0                   24'第24分钟，伊哈洛推射破门，帮助长春亚泰取得领先
26'米尔泽耶夫斯基前场得球直传，范晓冬回传球，伊格哈罗抢点打门球进！                   24'第24分钟，伊哈洛推射破门，帮助长春亚泰取得领先
27'王大雷示意范晓冬越位！但裁判判进球有效                   24'第24分钟，伊哈洛推射破门，帮助长春亚泰取得领先
27'蒋哲右路带球进攻！金敬道阻挡犯规！                   24'第24分钟，伊哈洛推射破门，帮助长春亚泰取得领先
27'鲁能泰山队要换人啦！！                   24'第24分钟，伊哈洛推射破门，帮助长春亚泰取得领先
67'长春亚泰队进行人员调整                   67'第67分钟，塔尔德利传中造成佩伊西诺维奇乌龙
70'长春亚泰队得到前场任意球机会                   67'第67分钟，塔尔德利传中造成佩伊西诺维奇乌龙
70'任意球直接打门！王大雷没收、                   67'第67分钟，塔尔德利传中造成佩伊西诺维奇乌龙
49'金敬道右路带球进攻，直传交给王彤！                   49'开场4分钟，戴琳上抢动作过大，吃到黄牌
49'王彤接球不好！范晓冬上抢，王彤反抢下来！                   49'开场4分钟，戴琳上抢动作过大，吃到黄牌
49'范晓冬抢球出界                   49'开场4分钟，戴琳上抢动作过大，吃到黄牌
49'刘军帅前场得球，突然一脚远射！打高啦！                   49'开场4分钟，戴琳上抢动作过大，吃到黄牌
51'蒋哲右路突破横传禁区！！伊格哈罗与队友顶到一块！！                   49'开场4分钟，戴琳上抢动作过大，吃到黄牌
51'王彤把球顶出来                   49'开场4分钟，戴琳上抢动作过大，吃到黄牌
51'米尔泽耶夫斯基得球，分到左路                   49'开场4分钟，戴琳上抢动作过大，吃到黄牌
51'范晓冬得球横传                   49'开场4分钟，戴琳上抢动作过大，吃到黄牌
52'塔尔德利得球传给佩莱！佩莱怒射！扑了一下击中横梁！！                   49'开场4分钟，戴琳上抢动作过大，吃到黄牌
58'崔鹏被踩了一下！受伤倒在地上！                   58'第13分钟，山东鲁能禁区前断球，佩莱推土机式推进造成混乱，塔尔德利射门被门将挡了一下，在即将越过门线时被后卫挡出
58'崔鹏倒地后，谭龙还在踢，击到了崔鹏脸上！                   58'第13分钟，山东鲁能禁区前断球，佩莱推土机式推进造成混乱，塔尔德利射门被门将挡了一下，在即将越过门线时被后卫挡出
