1'上半场比赛开始                   1'鲁能第1分钟打得非常积极，第4分钟郑峥禁区外左路远射打偏
1'上海申花队开球                   1'鲁能第1分钟打得非常积极，第4分钟郑峥禁区外左路远射打偏
1'上海申花队长传球到前场，打身后球                   1'鲁能第1分钟打得非常积极，第4分钟郑峥禁区外左路远射打偏
1'莫雷诺接球右翼突破一脚打门，从后门柱偏出                   1'鲁能第1分钟打得非常积极，第4分钟郑峥禁区外左路远射打偏
1'比赛才进行了20秒，上海申花队就有一次打门                   1'鲁能第1分钟打得非常积极，第4分钟郑峥禁区外左路远射打偏
2'鲁能泰山队长传，吕征反越位成功，禁区内在底线回传球，尼库莱打门很有威胁，被王大雷挡出！                   1'鲁能第1分钟打得非常积极，第4分钟郑峥禁区外左路远射打偏
2'鲁能泰山队的这次打门比莫雷诺的打门更有威胁                   1'鲁能第1分钟打得非常积极，第4分钟郑峥禁区外左路远射打偏
3'角球发到禁区内后点，麦克格文停球，对方把球破坏出边线                   1'鲁能第1分钟打得非常积极，第4分钟郑峥禁区外左路远射打偏
3'界外球发出来，鲁能泰山队把球横传给了崔鹏                   1'鲁能第1分钟打得非常积极，第4分钟郑峥禁区外左路远射打偏
3'吕征接崔鹏的传球没能及时传球，自己突破把球丢了                   1'鲁能第1分钟打得非常积极，第4分钟郑峥禁区外左路远射打偏
3'吕征右翼得球一脚大力远射，皮球高出                   1'鲁能第1分钟打得非常积极，第4分钟郑峥禁区外左路远射打偏
4'王大雷大脚开球到前场，安塔尔回防把球抢下来                   1'鲁能第1分钟打得非常积极，第4分钟郑峥禁区外左路远射打偏
4'王彤右翼突破，被柏佳骏铲出边线                   1'鲁能第1分钟打得非常积极，第4分钟郑峥禁区外左路远射打偏
8'曹赟定突破没能成功，王彤断球后被对方拉了一把，犯规                   7'第7分钟吕征右路高速下底，后点埋伏的王永珀用胸把球卸下后无法从容射门，他把球带到禁区外围再施射，但第一脚打在人堆里弹出，接着再补一脚又打高
8'王永珀外围远射被挡出来                   7'第7分钟吕征右路高速下底，后点埋伏的王永珀用胸把球卸下后无法从容射门，他把球带到禁区外围再施射，但第一脚打在人堆里弹出，接着再补一脚又打高
8'王永珀得球再次大力抽射，偏出！！                   7'第7分钟吕征右路高速下底，后点埋伏的王永珀用胸把球卸下后无法从容射门，他把球带到禁区外围再施射，但第一脚打在人堆里弹出，接着再补一脚又打高
9'上海申花队前场左路横传球失误                   7'第7分钟吕征右路高速下底，后点埋伏的王永珀用胸把球卸下后无法从容射门，他把球带到禁区外围再施射，但第一脚打在人堆里弹出，接着再补一脚又打高
9'鲁能泰山队快速反击                   7'第7分钟吕征右路高速下底，后点埋伏的王永珀用胸把球卸下后无法从容射门，他把球带到禁区外围再施射，但第一脚打在人堆里弹出，接着再补一脚又打高
9'吕征右路接球，横向突破转180度后突然打门，王大雷扑了一下擦着立柱出底线！！！                   7'第7分钟吕征右路高速下底，后点埋伏的王永珀用胸把球卸下后无法从容射门，他把球带到禁区外围再施射，但第一脚打在人堆里弹出，接着再补一脚又打高
10'鲁能泰山队再得角球机会                   7'第7分钟吕征右路高速下底，后点埋伏的王永珀用胸把球卸下后无法从容射门，他把球带到禁区外围再施射，但第一脚打在人堆里弹出，接着再补一脚又打高
10'今天吕征的表现太强了！！！                   7'第7分钟吕征右路高速下底，后点埋伏的王永珀用胸把球卸下后无法从容射门，他把球带到禁区外围再施射，但第一脚打在人堆里弹出，接着再补一脚又打高
10'角球发 到禁区内，安塔尔倒勾打门没能踢到球                   7'第7分钟吕征右路高速下底，后点埋伏的王永珀用胸把球卸下后无法从容射门，他把球带到禁区外围再施射，但第一脚打在人堆里弹出，接着再补一脚又打高
10'鲁能泰山队在前场球再斜传禁区，上海申花队得球快速反击                   7'第7分钟吕征右路高速下底，后点埋伏的王永珀用胸把球卸下后无法从容射门，他把球带到禁区外围再施射，但第一脚打在人堆里弹出，接着再补一脚又打高
10'上海申花队攻到前场，安塔尔把球捅出边线                   7'第7分钟吕征右路高速下底，后点埋伏的王永珀用胸把球卸下后无法从容射门，他把球带到禁区外围再施射，但第一脚打在人堆里弹出，接着再补一脚又打高
13'吕征右路直传，马塞纳快速插上，对方两人关门，马塞纳撞人犯规                   13'第13分钟尼库莱左路带球欲突破，斯基亚维抢先将其撞倒在地，王永珀左路任意球开到小禁区，王大雷在麦克格文头顶上把球打出危险地带
13'刹不住了啊！！！                   13'第13分钟尼库莱左路带球欲突破，斯基亚维抢先将其撞倒在地，王永珀左路任意球开到小禁区，王大雷在麦克格文头顶上把球打出危险地带
13'莫雷诺中场抢球犯规                   13'第13分钟尼库莱左路带球欲突破，斯基亚维抢先将其撞倒在地，王永珀左路任意球开到小禁区，王大雷在麦克格文头顶上把球打出危险地带
14'尼库莱左路进攻，斯基亚维阻挡犯规！！                   13'第13分钟尼库莱左路带球欲突破，斯基亚维抢先将其撞倒在地，王永珀左路任意球开到小禁区，王大雷在麦克格文头顶上把球打出危险地带
15'王永珀发任意球到门前，王大雷把球打了出来！！                   13'第13分钟尼库莱左路带球欲突破，斯基亚维抢先将其撞倒在地，王永珀左路任意球开到小禁区，王大雷在麦克格文头顶上把球打出危险地带
