6'AC米兰球员德希利奥大禁区中央右脚射门,被防守球员封堵.给他传球的是德容.                   6'开场6分钟，德容主罚任意球，德希利奥禁区边缘打在人墙上
7'切沃球员科菲耶拼抢犯规,对手获得控球权.                   6'开场6分钟，德容主罚任意球，德希利奥禁区边缘打在人墙上
7'德容为AC米兰赢得一个任意球.                   6'开场6分钟，德容主罚任意球，德希利奥禁区边缘打在人墙上
8'切沃球员拉多万诺维奇拼抢犯规,对手获得控球权.                   6'开场6分钟，德容主罚任意球，德希利奥禁区边缘打在人墙上
8'博纳文图拉为AC米兰赢得一个任意球.                   6'开场6分钟，德容主罚任意球，德希利奥禁区边缘打在人墙上
8'AC米兰球员梅内斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是德希利奥.                   6'开场6分钟，德容主罚任意球，德希利奥禁区边缘打在人墙上
11'切沃球员帕洛斯基大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是比尔萨.                   11'第11分钟，比尔萨传球，帕洛斯基在拉米紧逼下，禁区右侧凌空打呲
11'切沃球员Ervin Zukanovic拼抢犯规,对手获得控球权.                   11'第11分钟，比尔萨传球，帕洛斯基在拉米紧逼下，禁区右侧凌空打呲
11'托雷斯为AC米兰赢得一个任意球.                   11'第11分钟，比尔萨传球，帕洛斯基在拉米紧逼下，禁区右侧凌空打呲
12'比拉吉将球处理出底线,AC米兰获得角球.                   11'第11分钟，比尔萨传球，帕洛斯基在拉米紧逼下，禁区右侧凌空打呲
12'AC米兰球员博纳文图拉一脚直塞球给蒙塔里,但是边裁举旗显示后者已经越位.                   11'第11分钟，比尔萨传球，帕洛斯基在拉米紧逼下，禁区右侧凌空打呲
13'哈特马吉为切沃在左路,赢得一个任意球.                   11'第11分钟，比尔萨传球，帕洛斯基在拉米紧逼下，禁区右侧凌空打呲
13'AC米兰球员阿巴特拼抢犯规,对手获得控球权.                   11'第11分钟，比尔萨传球，帕洛斯基在拉米紧逼下，禁区右侧凌空打呲
14'切沃球员拉多万诺维奇大禁区外右脚射门,被防守球员封堵.给他传球的是M-洛佩斯.                   11'第11分钟，比尔萨传球，帕洛斯基在拉米紧逼下，禁区右侧凌空打呲
18'AC米兰球员托雷斯大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是本田圭佑.                   18'第18分钟，本田圭佑禁区右侧回做，托雷斯禁区边缘低射，博纳文图拉门前左脚推射偏出远门柱
18'AC米兰球员博纳文图拉大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是托雷斯.                   18'第18分钟，本田圭佑禁区右侧回做，托雷斯禁区边缘低射，博纳文图拉门前左脚推射偏出远门柱
19'哈特马吉为切沃在对方半场,赢得一个任意球.                   18'第18分钟，本田圭佑禁区右侧回做，托雷斯禁区边缘低射，博纳文图拉门前左脚推射偏出远门柱
19'AC米兰球员博纳文图拉拼抢犯规,对手获得控球权.                   18'第18分钟，本田圭佑禁区右侧回做，托雷斯禁区边缘低射，博纳文图拉门前左脚推射偏出远门柱
20'切沃球员拼抢犯规,对手获得控球权.                   18'第18分钟，本田圭佑禁区右侧回做，托雷斯禁区边缘低射，博纳文图拉门前左脚推射偏出远门柱
20'托雷斯为AC米兰在右路,赢得一个任意球.                   18'第18分钟，本田圭佑禁区右侧回做，托雷斯禁区边缘低射，博纳文图拉门前左脚推射偏出远门柱
21'AC米兰球员梅内斯大禁区右侧右脚射门,被防守球员封堵.                   18'第18分钟，本田圭佑禁区右侧回做，托雷斯禁区边缘低射，博纳文图拉门前左脚推射偏出远门柱
21'AC米兰球员本田圭佑大禁区右侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是阿莱士.                   18'第18分钟，本田圭佑禁区右侧回做，托雷斯禁区边缘低射，博纳文图拉门前左脚推射偏出远门柱
