1'比赛开始了！                   1'第1分钟双方拉开阵型对峙，孙可在左路连有内切冲击
1'舜天率先开球                   1'第1分钟双方拉开阵型对峙，孙可在左路连有内切冲击
1'舜天后场倒脚，转移到左路                   1'第1分钟双方拉开阵型对峙，孙可在左路连有内切冲击
1'被富力顶出                   1'第1分钟双方拉开阵型对峙，孙可在左路连有内切冲击
2'唐蒙右路拿球被破坏出来                   1'第1分钟双方拉开阵型对峙，孙可在左路连有内切冲击
2'唐蒙掷界外球                   1'第1分钟双方拉开阵型对峙，孙可在左路连有内切冲击
3'舜天突然一脚斜传给左路                   1'第1分钟双方拉开阵型对峙，孙可在左路连有内切冲击
3'还是没能进去                   1'第1分钟双方拉开阵型对峙，孙可在左路连有内切冲击
4'埃斯库德罗拿球，直塞给禁区                   1'第1分钟双方拉开阵型对峙，孙可在左路连有内切冲击
4'被富力将球得到                   1'第1分钟双方拉开阵型对峙，孙可在左路连有内切冲击
4'哈默德中场拿球被吴曦破坏了                   1'第1分钟双方拉开阵型对峙，孙可在左路连有内切冲击
15'更正一下，进球的是姜宁。吴曦防守失位了，哈默德右路下底倒三角回传，无人盯防的姜宁将球打进                   15'第15分钟，富力取得入球――姜宁右侧分球后迅速插向中路，哈默德在底线前回敲，姜宁迎球低射破门
16'富力左路继续配合                   15'第15分钟，富力取得入球――姜宁右侧分球后迅速插向中路，哈默德在底线前回敲，姜宁迎球低射破门
16'富力又获得前场右路任意球机会                   15'第15分钟，富力取得入球――姜宁右侧分球后迅速插向中路，哈默德在底线前回敲，姜宁迎球低射破门
17'阿隆主罚将球打飞了                   15'第15分钟，富力取得入球――姜宁右侧分球后迅速插向中路，哈默德在底线前回敲，姜宁迎球低射破门
17'米歇尔中场倒地了                   15'第15分钟，富力取得入球――姜宁右侧分球后迅速插向中路，哈默德在底线前回敲，姜宁迎球低射破门
18'富力右路进攻，哈默德连续过人                   15'第15分钟，富力取得入球――姜宁右侧分球后迅速插向中路，哈默德在底线前回敲，姜宁迎球低射破门
18'哈默德今天状态非常好                   15'第15分钟，富力取得入球――姜宁右侧分球后迅速插向中路，哈默德在底线前回敲，姜宁迎球低射破门
18'富力右路再次获得任意球机会                   15'第15分钟，富力取得入球――姜宁右侧分球后迅速插向中路，哈默德在底线前回敲，姜宁迎球低射破门
23'舜天继续进攻，孙可拿球往中路走，舜天两名外援在点球点附近连续打门，埃斯库德罗的进球被吹越位了                   23'第23分钟，埃斯库德罗中路连续过人强行突入富力禁区，在其倒地后卡尔坦森攻门被刘殿座挡回，倒地未起的埃斯库德罗补射破门，但因越位被判无效
24'任航放倒了哈默德                   23'第23分钟，埃斯库德罗中路连续过人强行突入富力禁区，在其倒地后卡尔坦森攻门被刘殿座挡回，倒地未起的埃斯库德罗补射破门，但因越位被判无效
24'任航吃到了黄牌                   23'第23分钟，埃斯库德罗中路连续过人强行突入富力禁区，在其倒地后卡尔坦森攻门被刘殿座挡回，倒地未起的埃斯库德罗补射破门，但因越位被判无效
25'李昂防守又把姜宁放倒了                   23'第23分钟，埃斯库德罗中路连续过人强行突入富力禁区，在其倒地后卡尔坦森攻门被刘殿座挡回，倒地未起的埃斯库德罗补射破门，但因越位被判无效
25'富力获得距离球门37米的任意球机会                   23'第23分钟，埃斯库德罗中路连续过人强行突入富力禁区，在其倒地后卡尔坦森攻门被刘殿座挡回，倒地未起的埃斯库德罗补射破门，但因越位被判无效
26'任意球开到门前，被舜天挡出来，又一脚补射被李昂挡出来                   23'第23分钟，埃斯库德罗中路连续过人强行突入富力禁区，在其倒地后卡尔坦森攻门被刘殿座挡回，倒地未起的埃斯库德罗补射破门，但因越位被判无效
26'高洪波现在有点着急了                   23'第23分钟，埃斯库德罗中路连续过人强行突入富力禁区，在其倒地后卡尔坦森攻门被刘殿座挡回，倒地未起的埃斯库德罗补射破门，但因越位被判无效
26'舜天左路角球机会                   23'第23分钟，埃斯库德罗中路连续过人强行突入富力禁区，在其倒地后卡尔坦森攻门被刘殿座挡回，倒地未起的埃斯库德罗补射破门，但因越位被判无效
27'吉翔角球开出，舜天第一点没抢到，第二点萨米尔脚后跟打门稍稍高出了                   27'第27分钟，孙可为舜天拼出角球；吉翔左侧角球传入后，萨米尔后点侧身撩射打偏
28'舜天左路连续进攻                   27'第27分钟，孙可为舜天拼出角球；吉翔左侧角球传入后，萨米尔后点侧身撩射打偏
28'但都没有太好的机会                   27'第27分钟，孙可为舜天拼出角球；吉翔左侧角球传入后，萨米尔后点侧身撩射打偏
30'舜天后场拿球，李昂给到了吉翔                   27'第27分钟，孙可为舜天拼出角球；吉翔左侧角球传入后，萨米尔后点侧身撩射打偏
42'阿隆中路形成单刀，射门打在了张思鹏的身上                   42'第42分钟，富力错过扩大比分的良机――哈默德将球分到左侧空档，阿隆突入禁区已是面对门将攻门，但被张思鹏挡出
43'孙可左路突破，没有队友接应阿                   42'第42分钟，富力错过扩大比分的良机――哈默德将球分到左侧空档，阿隆突入禁区已是面对门将攻门，但被张思鹏挡出
45'舜天右路角球机会                   42'第42分钟，富力错过扩大比分的良机――哈默德将球分到左侧空档，阿隆突入禁区已是面对门将攻门，但被张思鹏挡出
45'战术角球开出                   42'第42分钟，富力错过扩大比分的良机――哈默德将球分到左侧空档，阿隆突入禁区已是面对门将攻门，但被张思鹏挡出
45'射门被破坏出底线                   42'第42分钟，富力错过扩大比分的良机――哈默德将球分到左侧空档，阿隆突入禁区已是面对门将攻门，但被张思鹏挡出
45'继续角球                   42'第42分钟，富力错过扩大比分的良机――哈默德将球分到左侧空档，阿隆突入禁区已是面对门将攻门，但被张思鹏挡出
45'这次李昂的角球打前点                   42'第42分钟，富力错过扩大比分的良机――哈默德将球分到左侧空档，阿隆突入禁区已是面对门将攻门，但被张思鹏挡出
45'汪嵩顶出来                   42'第42分钟，富力错过扩大比分的良机――哈默德将球分到左侧空档，阿隆突入禁区已是面对门将攻门，但被张思鹏挡出
51'舜天接连进攻                   51'第51分钟，孙可右路斜传至禁区左侧，杨笑天小角度攻门打偏
51'下半场舜天加强了攻势                   51'第51分钟，孙可右路斜传至禁区左侧，杨笑天小角度攻门打偏
52'富力防守漏人了，埃斯库德罗拿球，张耀坤及时接受                   51'第51分钟，孙可右路斜传至禁区左侧，杨笑天小角度攻门打偏
52'及时解围                   51'第51分钟，孙可右路斜传至禁区左侧，杨笑天小角度攻门打偏
53'阿隆拿球失误了，米歇尔的射门，又被张耀坤及时解围                   51'第51分钟，孙可右路斜传至禁区左侧，杨笑天小角度攻门打偏
53'舜天角球开出                   51'第51分钟，孙可右路斜传至禁区左侧，杨笑天小角度攻门打偏
53'禁区内李昂拿球被阿隆放倒                   51'第51分钟，孙可右路斜传至禁区左侧，杨笑天小角度攻门打偏
53'裁判给了点球                   51'第51分钟，孙可右路斜传至禁区左侧，杨笑天小角度攻门打偏
53'李昂亲自主罚点球                   51'第51分钟，孙可右路斜传至禁区左侧，杨笑天小角度攻门打偏
54'李昂打右下角球进了                   51'第51分钟，孙可右路斜传至禁区左侧，杨笑天小角度攻门打偏
54'舜天扳平了比分                   51'第51分钟，孙可右路斜传至禁区左侧，杨笑天小角度攻门打偏
53'阿隆拿球失误了，米歇尔的射门，又被张耀坤及时解围                   53'第53分钟，阿隆禁区前解围失误，皮球转向自家禁区，卡尔坦森得球后小角度攻门被张耀坤挡偏出底线
53'舜天角球开出                   53'第53分钟，阿隆禁区前解围失误，皮球转向自家禁区，卡尔坦森得球后小角度攻门被张耀坤挡偏出底线
53'禁区内李昂拿球被阿隆放倒                   53'第53分钟，阿隆禁区前解围失误，皮球转向自家禁区，卡尔坦森得球后小角度攻门被张耀坤挡偏出底线
53'裁判给了点球                   53'第53分钟，阿隆禁区前解围失误，皮球转向自家禁区，卡尔坦森得球后小角度攻门被张耀坤挡偏出底线
53'李昂亲自主罚点球                   53'第53分钟，阿隆禁区前解围失误，皮球转向自家禁区，卡尔坦森得球后小角度攻门被张耀坤挡偏出底线
54'李昂打右下角球进了                   53'第53分钟，阿隆禁区前解围失误，皮球转向自家禁区，卡尔坦森得球后小角度攻门被张耀坤挡偏出底线
54'舜天扳平了比分                   53'第53分钟，阿隆禁区前解围失误，皮球转向自家禁区，卡尔坦森得球后小角度攻门被张耀坤挡偏出底线
55'这个点球竟然没算？                   53'第53分钟，阿隆禁区前解围失误，皮球转向自家禁区，卡尔坦森得球后小角度攻门被张耀坤挡偏出底线
55'提前进禁区了                   53'第53分钟，阿隆禁区前解围失误，皮球转向自家禁区，卡尔坦森得球后小角度攻门被张耀坤挡偏出底线
55'重新罚点球                   53'第53分钟，阿隆禁区前解围失误，皮球转向自家禁区，卡尔坦森得球后小角度攻门被张耀坤挡偏出底线
55'裁判的哨响的太慢了                   53'第53分钟，阿隆禁区前解围失误，皮球转向自家禁区，卡尔坦森得球后小角度攻门被张耀坤挡偏出底线
55'李昂再罚又进了                   53'第53分钟，阿隆禁区前解围失误，皮球转向自家禁区，卡尔坦森得球后小角度攻门被张耀坤挡偏出底线
55'李昂的脚法没的说                   53'第53分钟，阿隆禁区前解围失误，皮球转向自家禁区，卡尔坦森得球后小角度攻门被张耀坤挡偏出底线
70'舜天进攻，杨笑天传球被常飞亚及时封堵                   67'第67分钟，米歇尔突然斜传右路，常飞亚以速度优势超过任航，在切入禁区前被任航放倒；汪嵩任意球直接小角度攻门，皮球划出大弧线后击中横梁弹回；富力继续冲击中汪嵩又摆脱两人沿底线切至门前，其传中时被挡出底线；角球传入后于洋头球攻门顶偏
70'这段时间舜天边路打开了                   67'第67分钟，米歇尔突然斜传右路，常飞亚以速度优势超过任航，在切入禁区前被任航放倒；汪嵩任意球直接小角度攻门，皮球划出大弧线后击中横梁弹回；富力继续冲击中汪嵩又摆脱两人沿底线切至门前，其传中时被挡出底线；角球传入后于洋头球攻门顶偏
73'姜宁外围的远射本没有太大威胁，打在了李昂身上后折射入网                   73'第73分钟，富力再度领先――姜宁左路内切中突然小角度攻门，皮球击中李昂后折线虚晃了张思鹏，直接转入球门后角
73'李昂今天注定成为高光人物阿                   73'第73分钟，富力再度领先――姜宁左路内切中突然小角度攻门，皮球击中李昂后折线虚晃了张思鹏，直接转入球门后角
74'孙可射门姜志鹏头球稍稍高出                   73'第73分钟，富力再度领先――姜宁左路内切中突然小角度攻门，皮球击中李昂后折线虚晃了张思鹏，直接转入球门后角
81'不好意思，刚才掉线了                   81'第81分钟，杨笑天在米歇尔解围瞬间前冲，与米歇尔接触后摔入禁区，裁判没有理会，富力认为杨笑天假摔表示了抗议
81'比赛已经来到了80分钟                   81'第81分钟，杨笑天在米歇尔解围瞬间前冲，与米歇尔接触后摔入禁区，裁判没有理会，富力认为杨笑天假摔表示了抗议
81'刘殿座发大脚球                   81'第81分钟，杨笑天在米歇尔解围瞬间前冲，与米歇尔接触后摔入禁区，裁判没有理会，富力认为杨笑天假摔表示了抗议
82'富力中场拿球给边路                   81'第81分钟，杨笑天在米歇尔解围瞬间前冲，与米歇尔接触后摔入禁区，裁判没有理会，富力认为杨笑天假摔表示了抗议
82'孔特拉在场边显得很着急                   81'第81分钟，杨笑天在米歇尔解围瞬间前冲，与米歇尔接触后摔入禁区，裁判没有理会，富力认为杨笑天假摔表示了抗议
82'汪嵩掷界外球                   81'第81分钟，杨笑天在米歇尔解围瞬间前冲，与米歇尔接触后摔入禁区，裁判没有理会，富力认为杨笑天假摔表示了抗议
82'汪嵩左路斜传到门前                   81'第81分钟，杨笑天在米歇尔解围瞬间前冲，与米歇尔接触后摔入禁区，裁判没有理会，富力认为杨笑天假摔表示了抗议
82'舜天顶出来                   81'第81分钟，杨笑天在米歇尔解围瞬间前冲，与米歇尔接触后摔入禁区，裁判没有理会，富力认为杨笑天假摔表示了抗议
