1'上半场比赛开始！！                   1'塞维利亚第1分钟展开积极攻势
1'首先开球的是曼联                   1'塞维利亚第1分钟展开积极攻势
1'塞维利亚中场挑传没有过顶                   1'塞维利亚第1分钟展开积极攻势
1'曼联这边控球下来                   1'塞维利亚第1分钟展开积极攻势
1'往前送也是有些着急                   1'塞维利亚第1分钟展开积极攻势
2'双方也是没有进行试探                   1'塞维利亚第1分钟展开积极攻势
2'塞维利亚右路进攻上来                   1'塞维利亚第1分钟展开积极攻势
2'科雷亚赢得一个角球                   1'塞维利亚第1分钟展开积极攻势
2'角球送中路                   1'塞维利亚第1分钟展开积极攻势
2'头球摆渡来到后点                   1'塞维利亚第1分钟展开积极攻势
2'科雷亚控球出来                   1'塞维利亚第1分钟展开积极攻势
2'左路拿球再往禁区里送                   1'塞维利亚第1分钟展开积极攻势
3'曼联这边先解围出边线                   1'塞维利亚第1分钟展开积极攻势
3'掷球进来                   1'塞维利亚第1分钟展开积极攻势
3'科雷亚将球回敲                   1'塞维利亚第1分钟展开积极攻势
3'卢卡库中场接球摔倒                   1'塞维利亚第1分钟展开积极攻势
3'裁判没有表示                   1'塞维利亚第1分钟展开积极攻势
4'塞维利亚后场控球下来                   1'塞维利亚第1分钟展开积极攻势
4'禁区前沿穆里尔远射                   1'塞维利亚第1分钟展开积极攻势
4'角度很刁啊                   1'塞维利亚第1分钟展开积极攻势
4'德赫亚倒地的侧扑将球碰了一下                   1'塞维利亚第1分钟展开积极攻势
4'二点没有队友的跟进                   1'塞维利亚第1分钟展开积极攻势
4'德赫亚起身后将球拿到                   1'塞维利亚第1分钟展开积极攻势
84'曼联还是有想法的                   84'第84分钟，卢卡库小禁区前停球后转身抽射入网，但被判手球犯规在先，进球无效
84'塞维利亚这边换人                   84'第84分钟，卢卡库小禁区前停球后转身抽射入网，但被判手球犯规在先，进球无效
85'巴斯克斯已经走到了场边                   84'第84分钟，卢卡库小禁区前停球后转身抽射入网，但被判手球犯规在先，进球无效
85'但是塞维利亚这边先中止了                   84'第84分钟，卢卡库小禁区前停球后转身抽射入网，但被判手球犯规在先，进球无效
85'换下的是穆里尔！！                   84'第84分钟，卢卡库小禁区前停球后转身抽射入网，但被判手球犯规在先，进球无效
85'拉米雷斯被换上                   84'第84分钟，卢卡库小禁区前停球后转身抽射入网，但被判手球犯规在先，进球无效
85'一次对位的换人                   84'第84分钟，卢卡库小禁区前停球后转身抽射入网，但被判手球犯规在先，进球无效
86'塞维利亚右路底线拿球                   84'第84分钟，卢卡库小禁区前停球后转身抽射入网，但被判手球犯规在先，进球无效
86'倒三角给到小禁区前沿                   84'第84分钟，卢卡库小禁区前停球后转身抽射入网，但被判手球犯规在先，进球无效
86'摆脱一名防守球员后打门                   84'第84分钟，卢卡库小禁区前停球后转身抽射入网，但被判手球犯规在先，进球无效
87'球被补防的球员用身体挡出                   84'第84分钟，卢卡库小禁区前停球后转身抽射入网，但被判手球犯规在先，进球无效
