1'随着主裁判一声哨响比赛开始                   1'双方均急需争胜反弹，第1分钟迅速形成快节奏对峙
1'力帆进攻                   1'双方均急需争胜反弹，第1分钟迅速形成快节奏对峙
1'隋东陆传球被断                   1'双方均急需争胜反弹，第1分钟迅速形成快节奏对峙
2'刘欣将球反断回来                   1'双方均急需争胜反弹，第1分钟迅速形成快节奏对峙
2'直接送出长传球，球出界了                   1'双方均急需争胜反弹，第1分钟迅速形成快节奏对峙
3'于洋送出直塞球，找伊尔马兹，被拦截下来                   1'双方均急需争胜反弹，第1分钟迅速形成快节奏对峙
4'费尔南多带球突破，躺球过人没能成功                   1'双方均急需争胜反弹，第1分钟迅速形成快节奏对峙
12'张池明传球禁区，球被解围出底线                   12'第12分钟，国安角球配合形成威胁，奥古斯托禁区中路攻门，邓小飞的飞身扑救蹭到皮球，皮球稍稍高出横梁
12'国安角球机会                   12'第12分钟，国安角球配合形成威胁，奥古斯托禁区中路攻门，邓小飞的飞身扑救蹭到皮球，皮球稍稍高出横梁
12'角球开出来，前点                   12'第12分钟，国安角球配合形成威胁，奥古斯托禁区中路攻门，邓小飞的飞身扑救蹭到皮球，皮球稍稍高出横梁
12'奥古斯托的打门                   12'第12分钟，国安角球配合形成威胁，奥古斯托禁区中路攻门，邓小飞的飞身扑救蹭到皮球，皮球稍稍高出横梁
13'球被大脚解围出来                   12'第12分钟，国安角球配合形成威胁，奥古斯托禁区中路攻门，邓小飞的飞身扑救蹭到皮球，皮球稍稍高出横梁
14'刘欢传球中路，球被解围出来                   12'第12分钟，国安角球配合形成威胁，奥古斯托禁区中路攻门，邓小飞的飞身扑救蹭到皮球，皮球稍稍高出横梁
15'费尔南多禁区前沿的打门                   12'第12分钟，国安角球配合形成威胁，奥古斯托禁区中路攻门，邓小飞的飞身扑救蹭到皮球，皮球稍稍高出横梁
15'稍稍打偏了                   12'第12分钟，国安角球配合形成威胁，奥古斯托禁区中路攻门，邓小飞的飞身扑救蹭到皮球，皮球稍稍高出横梁
22'费尔南多外围拿球                   22'第22分钟，费尔南多斜传助吴庆打入一球，边裁准确判定吴庆越位
22'送出直塞球，还是找插上的吴庆                   22'第22分钟，费尔南多斜传助吴庆打入一球，边裁准确判定吴庆越位
23'吴庆的打门入网，但是边裁举旗，越位了                   22'第22分钟，费尔南多斜传助吴庆打入一球，边裁准确判定吴庆越位
24'继续看比赛                   22'第22分钟，费尔南多斜传助吴庆打入一球，边裁准确判定吴庆越位
25'奥古斯托传球，姜涛拿球被犯规了                   22'第22分钟，费尔南多斜传助吴庆打入一球，边裁准确判定吴庆越位
30'陈雷下底传中，球被挡出底线                   30'第30分钟，力帆角球传中在国安禁区内制造混乱，皮球击中伊尔马兹头部后快速反弹到他的手臂上，裁判没有判罚
30'角球机会                   30'第30分钟，力帆角球传中在国安禁区内制造混乱，皮球击中伊尔马兹头部后快速反弹到他的手臂上，裁判没有判罚
30'角球开出来，球被解围出来                   30'第30分钟，力帆角球传中在国安禁区内制造混乱，皮球击中伊尔马兹头部后快速反弹到他的手臂上，裁判没有判罚
32'拉尔夫后场断球                   30'第30分钟，力帆角球传中在国安禁区内制造混乱，皮球击中伊尔马兹头部后快速反弹到他的手臂上，裁判没有判罚
