2'胡尔城球员霍德斯通手球犯规,对手获得球权.                   1'双方第1分钟就陷入僵持局面
3'胡尔城球员菲格罗亚一脚直塞球给萨格博,但是边裁举旗显示后者已经越位.                   1'双方第1分钟就陷入僵持局面
4'菲格罗亚将球处理出底线,利物浦获得角球.                   1'双方第1分钟就陷入僵持局面
4'萨格博为胡尔城赢得一个任意球.                   1'双方第1分钟就陷入僵持局面
4'利物浦球员恩里克拼抢犯规,对手获得控球权.                   1'双方第1分钟就陷入僵持局面
20'利物浦球员斯特林手球犯规,对手获得球权.                   20'胡尔城第20分钟取得领先，摩西后场丢球，迈尔传球，前热刺中场利弗莫尔右路25码处劲射打在斯科特尔腿上偏转入网
20'进球啦！！！胡尔城球员利维摩尔大禁区外右脚射门,球从左下角飞进球门,球进了!助攻的是梅勒. 胡尔城 1-0 利物浦.                   20'胡尔城第20分钟取得领先，摩西后场丢球，迈尔传球，前热刺中场利弗莫尔右路25码处劲射打在斯科特尔腿上偏转入网
27'进球啦！！！利物浦球员杰拉德右脚射门,球从右下角飞进球门,球进了! 胡尔城 1-1 利物浦.                   27'利物浦第27分钟扳平比分，库提斯-戴维斯禁区前对亨德森犯规被罚黄牌，杰拉德20码处任意球直接射门入远角，1-1
28'菲格罗亚为胡尔城在左路,赢得一个任意球.                   27'利物浦第27分钟扳平比分，库提斯-戴维斯禁区前对亨德森犯规被罚黄牌，杰拉德20码处任意球直接射门入远角，1-1
28'利物浦球员苏亚雷斯拼抢犯规,对手获得控球权.                   27'利物浦第27分钟扳平比分，库提斯-戴维斯禁区前对亨德森犯规被罚黄牌，杰拉德20码处任意球直接射门入远角，1-1
29'胡尔城球员霍德斯通大禁区外尝试右脚射门,可惜皮球高出右上角球门.                   27'利物浦第27分钟扳平比分，库提斯-戴维斯禁区前对亨德森犯规被罚黄牌，杰拉德20码处任意球直接射门入远角，1-1
30'菲格罗亚为胡尔城赢得一个任意球.                   27'利物浦第27分钟扳平比分，库提斯-戴维斯禁区前对亨德森犯规被罚黄牌，杰拉德20码处任意球直接射门入远角，1-1
30'利物浦球员斯特林拼抢犯规,对手获得控球权.                   27'利物浦第27分钟扳平比分，库提斯-戴维斯禁区前对亨德森犯规被罚黄牌，杰拉德20码处任意球直接射门入远角，1-1
45'射门!!!利物浦球员苏亚雷斯大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是斯特林.                   45'第45分钟，斯特林传球，苏亚雷斯禁区左侧的射门被麦克格雷戈没收
45'+1'梅勒将球处理出底线,利物浦获得角球.                   45'第45分钟，斯特林传球，苏亚雷斯禁区左侧的射门被麦克格雷戈没收
45'+1'利物浦球员科洛-图雷大禁区左侧右脚射门,被防守球员封堵.给他传球的是斯特林.                   45'第45分钟，斯特林传球，苏亚雷斯禁区左侧的射门被麦克格雷戈没收
45'+2'上半场结束,胡尔城 1-1 利物浦,稍事休息,我们一会来看看下半场两队的表现.                   45'第45分钟，斯特林传球，苏亚雷斯禁区左侧的射门被麦克格雷戈没收
47'射门!!!利物浦球员苏亚雷斯球门右侧小角度右脚射门,被对方守门员横身扑出.给他传球的是科洛-图雷.                   45'第45分钟，斯特林传球，苏亚雷斯禁区左侧的射门被麦克格雷戈没收
48'艾莫哈马蒂为胡尔城赢得一个任意球.                   45'第45分钟，斯特林传球，苏亚雷斯禁区左侧的射门被麦克格雷戈没收
48'利物浦球员摩西拼抢犯规,对手获得控球权.                   45'第45分钟，斯特林传球，苏亚雷斯禁区左侧的射门被麦克格雷戈没收
61'利维摩尔为胡尔城在对方半场,赢得一个任意球.                   61'第61分钟，罗比-布拉迪任意球传入禁区，库提斯-戴维斯14码处头球攻门偏出
61'利物浦球员卢卡斯拼抢犯规,对手获得控球权.                   61'第61分钟，罗比-布拉迪任意球传入禁区，库提斯-戴维斯14码处头球攻门偏出
61'胡尔城球员C-戴维斯大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是布雷迪.                   61'第61分钟，罗比-布拉迪任意球传入禁区，库提斯-戴维斯14码处头球攻门偏出
68'斯科特尔将球处理出底线,胡尔城获得角球.                   68'第68分钟，摩西传球，苏亚雷斯禁区前劲射偏出
68'利物浦球员苏亚雷斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是摩西.                   68'第68分钟，摩西传球，苏亚雷斯禁区前劲射偏出
69'胡尔城球员萨格博拼抢犯规,对手获得控球权.                   68'第68分钟，摩西传球，苏亚雷斯禁区前劲射偏出
69'卢卡斯为利物浦赢得一个任意球.                   68'第68分钟，摩西传球，苏亚雷斯禁区前劲射偏出
69'菲格罗亚为胡尔城赢得一个任意球.                   68'第68分钟，摩西传球，苏亚雷斯禁区前劲射偏出
69'利物浦球员杰拉德拼抢犯规,对手获得控球权.                   68'第68分钟，摩西传球，苏亚雷斯禁区前劲射偏出
70'胡尔城球员霍德斯通大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.                   68'第68分钟，摩西传球，苏亚雷斯禁区前劲射偏出
71'射门!!!利物浦球员摩西球门线跟前右脚射门,被对方守门员横身扑出.给他传球的是库蒂尼奥.                   68'第68分钟，摩西传球，苏亚雷斯禁区前劲射偏出
71'艾莫哈马蒂为胡尔城赢得一个任意球.                   68'第68分钟，摩西传球，苏亚雷斯禁区前劲射偏出
71'利物浦球员恩里克拼抢犯规,对手获得控球权.                   68'第68分钟，摩西传球，苏亚雷斯禁区前劲射偏出
71'射门!!!利物浦球员摩西球门线跟前右脚射门,被对方守门员横身扑出.给他传球的是库蒂尼奥.                   71'利物浦第71分钟错失良机，库蒂尼奥禁区右侧传中，摩西近距离铲射被麦克格雷戈神勇挡出
71'艾莫哈马蒂为胡尔城赢得一个任意球.                   71'利物浦第71分钟错失良机，库蒂尼奥禁区右侧传中，摩西近距离铲射被麦克格雷戈神勇挡出
71'利物浦球员恩里克拼抢犯规,对手获得控球权.                   71'利物浦第71分钟错失良机，库蒂尼奥禁区右侧传中，摩西近距离铲射被麦克格雷戈神勇挡出
72'胡尔城球员梅勒大禁区外左脚射门,被防守球员封堵.                   71'利物浦第71分钟错失良机，库蒂尼奥禁区右侧传中，摩西近距离铲射被麦克格雷戈神勇挡出
72'进球啦！！！胡尔城球员梅勒大禁区左侧左脚射门,球从右下角飞进球门,球进了! 胡尔城 2-1 利物浦.                   71'利物浦第71分钟错失良机，库蒂尼奥禁区右侧传中，摩西近距离铲射被麦克格雷戈神勇挡出
74'布雷迪为胡尔城赢得一个任意球.                   71'利物浦第71分钟错失良机，库蒂尼奥禁区右侧传中，摩西近距离铲射被麦克格雷戈神勇挡出
74'利物浦球员摩西拼抢犯规,对手获得控球权.                   71'利物浦第71分钟错失良机，库蒂尼奥禁区右侧传中，摩西近距离铲射被麦克格雷戈神勇挡出
74'利物浦换人,路易斯-阿尔贝托换下摩西                   71'利物浦第71分钟错失良机，库蒂尼奥禁区右侧传中，摩西近距离铲射被麦克格雷戈神勇挡出
83'利物浦球员苏亚雷斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   83'第83分钟，苏亚雷斯25码处任意球直接射门擦左侧立柱偏出
86'射门!!!胡尔城球员萨格博大禁区外右脚射门,被对方守门员横身扑出.给他传球的是利维摩尔.                   83'第83分钟，苏亚雷斯25码处任意球直接射门擦左侧立柱偏出
87'胡尔城球员霍德斯通大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是萨格博.                   87'胡尔城第87分钟锁定胜局，萨格博禁区左侧传球，哈德斯通打偏的挑射被斯科特尔解围打入自家大门，3-1
87'利物浦球员斯科特尔自摆乌龙,胡尔城 3-1 利物浦                   87'胡尔城第87分钟锁定胜局，萨格博禁区左侧传球，哈德斯通打偏的挑射被斯科特尔解围打入自家大门，3-1
90'胡尔城换人,格拉汉姆换下萨格博                   87'胡尔城第87分钟锁定胜局，萨格博禁区左侧传球，哈德斯通打偏的挑射被斯科特尔解围打入自家大门，3-1
90'+1'胡尔城球员艾莫哈马蒂大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是梅勒.                   87'胡尔城第87分钟锁定胜局，萨格博禁区左侧传球，哈德斯通打偏的挑射被斯科特尔解围打入自家大门，3-1
90'+2'胡尔城换人,博伊德换下布雷迪                   87'胡尔城第87分钟锁定胜局，萨格博禁区左侧传球，哈德斯通打偏的挑射被斯科特尔解围打入自家大门，3-1
90'+5'下半场结束,胡尔城 3-1 利物浦                   87'胡尔城第87分钟锁定胜局，萨格博禁区左侧传球，哈德斯通打偏的挑射被斯科特尔解围打入自家大门，3-1
