2'维尔贝克前场带球被特里铲断                   2'开场仅2分钟，阿什利-扬同维尔贝克踢墙配合后禁区左侧10码处射门被切赫扑出
2'阿什利-扬边路拿球跟队友配合                   2'开场仅2分钟，阿什利-扬同维尔贝克踢墙配合后禁区左侧10码处射门被切赫扑出
2'底线附近被卡希尔得到                   2'开场仅2分钟，阿什利-扬同维尔贝克踢墙配合后禁区左侧10码处射门被切赫扑出
2'瓦伦西亚右路传球没有传出来                   2'开场仅2分钟，阿什利-扬同维尔贝克踢墙配合后禁区左侧10码处射门被切赫扑出
3'拉斐尔再起被后卫顶出                   2'开场仅2分钟，阿什利-扬同维尔贝克踢墙配合后禁区左侧10码处射门被切赫扑出
3'维尔贝克禁区前沿传球给到小禁区角上                   2'开场仅2分钟，阿什利-扬同维尔贝克踢墙配合后禁区左侧10码处射门被切赫扑出
3'阿什利-扬插上后劲射被切赫扑出                   2'开场仅2分钟，阿什利-扬同维尔贝克踢墙配合后禁区左侧10码处射门被切赫扑出
3'曼联获得角球机会                   2'开场仅2分钟，阿什利-扬同维尔贝克踢墙配合后禁区左侧10码处射门被切赫扑出
4'战术角球开出，前点被切尔西顶出                   2'开场仅2分钟，阿什利-扬同维尔贝克踢墙配合后禁区左侧10码处射门被切赫扑出
5'埃文斯后场边路将球抢断                   2'开场仅2分钟，阿什利-扬同维尔贝克踢墙配合后禁区左侧10码处射门被切赫扑出
17'切尔西进球了！！                   17'切尔西第17分钟取得领先，埃托奥右路内切摆脱菲尔-琼斯后禁区边缘外左脚劲射，皮球打在卡里克脚上偏转吊入远角
17'埃托奥！！！                   17'切尔西第17分钟取得领先，埃托奥右路内切摆脱菲尔-琼斯后禁区边缘外左脚劲射，皮球打在卡里克脚上偏转吊入远角
18'埃托奥前场得球后来到右路，内切后在禁区线上的打门被卡里克碰了一下后折射入网！！                   17'切尔西第17分钟取得领先，埃托奥右路内切摆脱菲尔-琼斯后禁区边缘外左脚劲射，皮球打在卡里克脚上偏转吊入远角
18'切尔西虽然开局被动，但还是首先进球了                   17'切尔西第17分钟取得领先，埃托奥右路内切摆脱菲尔-琼斯后禁区边缘外左脚劲射，皮球打在卡里克脚上偏转吊入远角
19'大卫-路易斯得到一张黄牌！                   17'切尔西第17分钟取得领先，埃托奥右路内切摆脱菲尔-琼斯后禁区边缘外左脚劲射，皮球打在卡里克脚上偏转吊入远角
20'埃弗拉左路跟队友做撞墙式配合                   17'切尔西第17分钟取得领先，埃托奥右路内切摆脱菲尔-琼斯后禁区边缘外左脚劲射，皮球打在卡里克脚上偏转吊入远角
20'最后被伊万诺维奇解围出底线                   17'切尔西第17分钟取得领先，埃托奥右路内切摆脱菲尔-琼斯后禁区边缘外左脚劲射，皮球打在卡里克脚上偏转吊入远角
20'阿什利-扬角球送后点，队友摆渡回来                   17'切尔西第17分钟取得领先，埃托奥右路内切摆脱菲尔-琼斯后禁区边缘外左脚劲射，皮球打在卡里克脚上偏转吊入远角
20'门线上切赫跃起将球得到                   17'切尔西第17分钟取得领先，埃托奥右路内切摆脱菲尔-琼斯后禁区边缘外左脚劲射，皮球打在卡里克脚上偏转吊入远角
28'埃弗拉左路带球后自己杀到禁区内                   28'第28分钟，埃弗拉抢断奥斯卡后突入禁区左侧的射门打在边网
28'禁区内，埃弗拉打近角，力量很足但打在了边网上                   28'第28分钟，埃弗拉抢断奥斯卡后突入禁区左侧的射门打在边网
29'曼联前场送了直塞                   28'第28分钟，埃弗拉抢断奥斯卡后突入禁区左侧的射门打在边网
29'禁区内，瓦伦西亚没有先拿到球                   28'第28分钟，埃弗拉抢断奥斯卡后突入禁区左侧的射门打在边网
31'拉米雷斯前场传球被曼联破坏                   28'第28分钟，埃弗拉抢断奥斯卡后突入禁区左侧的射门打在边网
31'贾努扎伊左路底线拿球                   28'第28分钟，埃弗拉抢断奥斯卡后突入禁区左侧的射门打在边网
31'摆脱大卫-路易斯的防守后，贾努扎伊低平球送门前                   28'第28分钟，埃弗拉抢断奥斯卡后突入禁区左侧的射门打在边网
31'可惜包抄点上并没有曼联队的球员                   28'第28分钟，埃弗拉抢断奥斯卡后突入禁区左侧的射门打在边网
31'拉米雷斯前场传球被曼联破坏                   31'第31分钟，贾努扎伊摆脱路易斯后禁区左侧传中，但小禁区内无人接应
31'贾努扎伊左路底线拿球                   31'第31分钟，贾努扎伊摆脱路易斯后禁区左侧传中，但小禁区内无人接应
31'摆脱大卫-路易斯的防守后，贾努扎伊低平球送门前                   31'第31分钟，贾努扎伊摆脱路易斯后禁区左侧传中，但小禁区内无人接应
31'可惜包抄点上并没有曼联队的球员                   31'第31分钟，贾努扎伊摆脱路易斯后禁区左侧传中，但小禁区内无人接应
32'【互动话题】莫耶斯的不胜耻辱是不是还要继续？                   31'第31分钟，贾努扎伊摆脱路易斯后禁区左侧传中，但小禁区内无人接应
33'威廉前场拿球，找不到机会                   31'第31分钟，贾努扎伊摆脱路易斯后禁区左侧传中，但小禁区内无人接应
33'阿扎尔前场抢球又犯规了                   31'第31分钟，贾努扎伊摆脱路易斯后禁区左侧传中，但小禁区内无人接应
34'庆锴乐悠悠：我要看莫耶丝现场图，对了随便问一句爵爷在不在现场？【在现场哦】                   31'第31分钟，贾努扎伊摆脱路易斯后禁区左侧传中，但小禁区内无人接应
37'卡里克中场拿球横向转移                   37'第37分钟，贾努扎伊禁区左侧传中，维尔贝克停球后10码处仓促捅射被切赫没收
38'曼联左路低平球送禁区内                   37'第37分钟，贾努扎伊禁区左侧传中，维尔贝克停球后10码处仓促捅射被切赫没收
38'中路，维尔贝克接球后稍作调整                   37'第37分钟，贾努扎伊禁区左侧传中，维尔贝克停球后10码处仓促捅射被切赫没收
38'这一下直接被阿兹皮利奎塔破坏                   37'第37分钟，贾努扎伊禁区左侧传中，维尔贝克停球后10码处仓促捅射被切赫没收
40'曼联中场断球了                   37'第37分钟，贾努扎伊禁区左侧传中，维尔贝克停球后10码处仓促捅射被切赫没收
