9'曼联进球了！！！                   9'曼联第9分钟取得领先，卡里克直传，费莱尼禁区左侧12码处低射远角入网
9'费莱尼！！                   9'曼联第9分钟取得领先，卡里克直传，费莱尼禁区左侧12码处低射远角入网
10'卡里克前场接球没有停球直接送直塞到禁区内，费莱尼插上后小角度低射打远角破门得分！                   9'曼联第9分钟取得领先，卡里克直传，费莱尼禁区左侧12码处低射远角入网
10'此时此刻值得来杯嘉士伯                   9'曼联第9分钟取得领先，卡里克直传，费莱尼禁区左侧12码处低射远角入网
11'曼联的开局还是非常不错的                   9'曼联第9分钟取得领先，卡里克直传，费莱尼禁区左侧12码处低射远角入网
11'开场10分钟内便1-0暂时领先热刺了                   9'曼联第9分钟取得领先，卡里克直传，费莱尼禁区左侧12码处低射远角入网
11'阿什利扬左路拿球，低平球送过去                   9'曼联第9分钟取得领先，卡里克直传，费莱尼禁区左侧12码处低射远角入网
11'这球直接被热刺球员拦截                   9'曼联第9分钟取得领先，卡里克直传，费莱尼禁区左侧12码处低射远角入网
11'费莱尼左路又助攻上来                   9'曼联第9分钟取得领先，卡里克直传，费莱尼禁区左侧12码处低射远角入网
11'这球费莱尼没有拿到                   9'曼联第9分钟取得领先，卡里克直传，费莱尼禁区左侧12码处低射远角入网
34'埃雷拉右路拿球，面对对方的夹抢还是控制住了                   34'曼联第34分钟继续扩大优势，本塔莱布后场失误，鲁尼强突代尔后12码处推射左下角入网，3-0
34'最后送直塞到禁区内，这球队友没有跑                   34'曼联第34分钟继续扩大优势，本塔莱布后场失误，鲁尼强突代尔后12码处推射左下角入网，3-0
34'3-0！！                   34'曼联第34分钟继续扩大优势，本塔莱布后场失误，鲁尼强突代尔后12码处推射左下角入网，3-0
34'鲁尼！！                   34'曼联第34分钟继续扩大优势，本塔莱布后场失误，鲁尼强突代尔后12码处推射左下角入网，3-0
35'热刺后场传球失误，鲁尼中场附近接球后自己带球到了禁区内，面对三人的包夹，还是过去了，禁区内推射近角破门！                   34'曼联第34分钟继续扩大优势，本塔莱布后场失误，鲁尼强突代尔后12码处推射左下角入网，3-0
35'此时此刻值得来杯嘉士伯                   34'曼联第34分钟继续扩大优势，本塔莱布后场失误，鲁尼强突代尔后12码处推射左下角入网，3-0
35'曼联半场结束前会不会进4个球？A会、B不会[qiangda]                   34'曼联第34分钟继续扩大优势，本塔莱布后场失误，鲁尼强突代尔后12码处推射左下角入网，3-0
36'曼联这边攻势不减                   34'曼联第34分钟继续扩大优势，本塔莱布后场失误，鲁尼强突代尔后12码处推射左下角入网，3-0
36'右路，马塔接球回敲                   34'曼联第34分钟继续扩大优势，本塔莱布后场失误，鲁尼强突代尔后12码处推射左下角入网，3-0
36'边路在突破的时候先出了边线                   34'曼联第34分钟继续扩大优势，本塔莱布后场失误，鲁尼强突代尔后12码处推射左下角入网，3-0
36'弗格森也是看台上，表情很惬意                   34'曼联第34分钟继续扩大优势，本塔莱布后场失误，鲁尼强突代尔后12码处推射左下角入网，3-0
37'瓦伦西亚中场上抢将球碰了出去                   34'曼联第34分钟继续扩大优势，本塔莱布后场失误，鲁尼强突代尔后12码处推射左下角入网，3-0
37'费莱尼左路传球送到中间                   34'曼联第34分钟继续扩大优势，本塔莱布后场失误，鲁尼强突代尔后12码处推射左下角入网，3-0
37'鲁尼跟进推射，稍稍打偏                   34'曼联第34分钟继续扩大优势，本塔莱布后场失误，鲁尼强突代尔后12码处推射左下角入网，3-0
89'热刺这边右侧获得机会                   89'第89分钟，拉梅拉直传，哈里-凯恩禁区右侧小角度低射被德赫亚没收，这是热刺本场比赛首次打正目标的射门
89'凯恩禁区内得球后低射近角被德赫亚用腿拦截下来                   89'第89分钟，拉梅拉直传，哈里-凯恩禁区右侧小角度低射被德赫亚没收，这是热刺本场比赛首次打正目标的射门
89'这球德赫亚在用腿挡下后也是坐在了球上                   89'第89分钟，拉梅拉直传，哈里-凯恩禁区右侧小角度低射被德赫亚没收，这是热刺本场比赛首次打正目标的射门
90'下半场补时2分钟！                   89'第89分钟，拉梅拉直传，哈里-凯恩禁区右侧小角度低射被德赫亚没收，这是热刺本场比赛首次打正目标的射门
91'热刺右路拿球，回敲                   89'第89分钟，拉梅拉直传，哈里-凯恩禁区右侧小角度低射被德赫亚没收，这是热刺本场比赛首次打正目标的射门
91'拉梅拉接球没有机会将球转移                   89'第89分钟，拉梅拉直传，哈里-凯恩禁区右侧小角度低射被德赫亚没收，这是热刺本场比赛首次打正目标的射门
91'曼联中场险些断球                   89'第89分钟，拉梅拉直传，哈里-凯恩禁区右侧小角度低射被德赫亚没收，这是热刺本场比赛首次打正目标的射门
91'阿德巴约右路带球，没有突破过去                   89'第89分钟，拉梅拉直传，哈里-凯恩禁区右侧小角度低射被德赫亚没收，这是热刺本场比赛首次打正目标的射门
92'曼联后场围抢下来                   89'第89分钟，拉梅拉直传，哈里-凯恩禁区右侧小角度低射被德赫亚没收，这是热刺本场比赛首次打正目标的射门
