6'博蒂乌斯将球处理出底线,多特蒙德获得角球.                   6'开场6分钟，桑乔右侧开出角球，格策传中，拉察在门前4米处解围击中远门柱
6'射门!!!多特蒙德球员德莱尼大禁区中央头球,被对方守门员横身扑出.给他传球的是桑乔.                   6'开场6分钟，桑乔右侧开出角球，格策传中，拉察在门前4米处解围击中远门柱
17'进球啦！！！多特蒙德球员桑乔大禁区中央右脚射门,球从左上角飞进球门,球进了!助攻的是格策. 多特蒙德 1-0 美因茨.                   17'多特第17分钟取得领先
19'射门!!!美因茨球员奥尼西沃大禁区外右脚射门,被对方守门员横身扑出.给他传球的是阿隆.                   17'多特第17分钟取得领先
52'射门!!!多特蒙德球员罗伊斯大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是沃尔夫.                   52'7分钟后，多特左路反抢打出小配合，德莱尼禁区左侧传中，桑乔在门前7米处左脚推射蹭尼亚卡特腿部入网，2比0
53'博蒂乌斯为美因茨在对方半场,赢得一个任意球.                   52'7分钟后，多特左路反抢打出小配合，德莱尼禁区左侧传中，桑乔在门前7米处左脚推射蹭尼亚卡特腿部入网，2比0
53'多特蒙德球员沃尔夫拼抢犯规,对手获得控球权.                   52'7分钟后，多特左路反抢打出小配合，德莱尼禁区左侧传中，桑乔在门前7米处左脚推射蹭尼亚卡特腿部入网，2比0
54'射门!!!美因茨球员博蒂乌斯大禁区外右脚射门,被对方守门员横身扑出.                   52'7分钟后，多特左路反抢打出小配合，德莱尼禁区左侧传中，桑乔在门前7米处左脚推射蹭尼亚卡特腿部入网，2比0
54'博蒂乌斯为美因茨在对方半场,赢得一个任意球.                   52'7分钟后，多特左路反抢打出小配合，德莱尼禁区左侧传中，桑乔在门前7米处左脚推射蹭尼亚卡特腿部入网，2比0
54'多特蒙德球员德莱尼拼抢犯规,对手获得控球权.                   52'7分钟后，多特左路反抢打出小配合，德莱尼禁区左侧传中，桑乔在门前7米处左脚推射蹭尼亚卡特腿部入网，2比0
43'美因茨球员奥尼西沃大禁区中央左脚射门,命中门柱右侧立柱.给他传球的是马特塔.                   43'美因茨第43分钟几乎破门，马特塔左路抢断突入禁区传中，奥尼西沃在门前8米处转身脚后跟射门击中右门柱
44'美因茨球员阿隆拼抢犯规,对手获得控球权.                   43'美因茨第43分钟几乎破门，马特塔左路抢断突入禁区传中，奥尼西沃在门前8米处转身脚后跟射门击中右门柱
44'沃尔夫为多特蒙德赢得一个任意球.                   43'美因茨第43分钟几乎破门，马特塔左路抢断突入禁区传中，奥尼西沃在门前8米处转身脚后跟射门击中右门柱
45'多特蒙德球员罗伊斯大禁区右侧右脚射门,被防守球员封堵.给他传球的是桑乔.                   43'美因茨第43分钟几乎破门，马特塔左路抢断突入禁区传中，奥尼西沃在门前8米处转身脚后跟射门击中右门柱
45'多特蒙德球员沃尔夫手球犯规,对手获得球权.                   43'美因茨第43分钟几乎破门，马特塔左路抢断突入禁区传中，奥尼西沃在门前8米处转身脚后跟射门击中右门柱
