2'萨维特为圣埃蒂安赢得一个任意球.                   1'巴黎第1分钟耐心控球，佩兰争顶角球偏出
2'巴黎圣日耳曼球员马图伊迪拼抢犯规,对手获得控球权.                   1'巴黎第1分钟耐心控球，佩兰争顶角球偏出
32'巴黎圣日耳曼球员小卢卡斯大禁区外右脚射门,被防守球员封堵.给他传球的是本-阿尔法.                   32'巴黎第32分钟才有首次禁区内射门，维拉蒂直传，本阿尔法左脚推射被吕菲耶出击化解
32'射门!!!巴黎圣日耳曼球员本-阿尔法大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是维拉蒂.                   32'巴黎第32分钟才有首次禁区内射门，维拉蒂直传，本阿尔法左脚推射被吕菲耶出击化解
67'进球啦！！！巴黎圣日耳曼球员小卢卡斯右脚射门,球从左下角飞进球门,球进了! 巴黎圣日耳曼 1-0 圣埃蒂安.                   67'巴黎第67分钟打破僵局，马图伊迪禁区内被马尔屈推倒，小卢卡斯操刀推进左下角，1比0
67'黄牌！圣埃蒂安球员马楚因为恶意犯规,被主裁判出示黄牌.                   67'巴黎第67分钟打破僵局，马图伊迪禁区内被马尔屈推倒，小卢卡斯操刀推进左下角，1比0
68'巴黎圣日耳曼换人,卡瓦尼换下本-阿尔法                   67'巴黎第67分钟打破僵局，马图伊迪禁区内被马尔屈推倒，小卢卡斯操刀推进左下角，1比0
69'圣埃蒂安球员卡拉奥拼抢犯规,对手获得控球权.                   67'巴黎第67分钟打破僵局，马图伊迪禁区内被马尔屈推倒，小卢卡斯操刀推进左下角，1比0
69'小卢卡斯为巴黎圣日耳曼在对方半场,赢得一个任意球.                   67'巴黎第67分钟打破僵局，马图伊迪禁区内被马尔屈推倒，小卢卡斯操刀推进左下角，1比0
69'黄牌！圣埃蒂安球员卡拉奥因为恶意犯规,被主裁判出示黄牌.                   67'巴黎第67分钟打破僵局，马图伊迪禁区内被马尔屈推倒，小卢卡斯操刀推进左下角，1比0
48'圣埃蒂安球员莱莫因拼抢犯规,对手获得控球权.                   47'补时第2分钟，圣埃蒂安打出反击，马尔屈右路传中，巴黎后卫冒顶，替补出场的斯洛文尼亚前锋贝里茨后点胸部停球，在门前7米处铲射入近角，1比1
48'维拉蒂为巴黎圣日耳曼在对方半场,赢得一个任意球.                   47'补时第2分钟，圣埃蒂安打出反击，马尔屈右路传中，巴黎后卫冒顶，替补出场的斯洛文尼亚前锋贝里茨后点胸部停球，在门前7米处铲射入近角，1比1
49'巴黎圣日耳曼球员本-阿尔法大禁区外右脚射门,被防守球员封堵.给他传球的是马图伊迪.                   47'补时第2分钟，圣埃蒂安打出反击，马尔屈右路传中，巴黎后卫冒顶，替补出场的斯洛文尼亚前锋贝里茨后点胸部停球，在门前7米处铲射入近角，1比1
49'圣埃蒂安球员卡拉奥拼抢犯规,对手获得控球权.                   47'补时第2分钟，圣埃蒂安打出反击，马尔屈右路传中，巴黎后卫冒顶，替补出场的斯洛文尼亚前锋贝里茨后点胸部停球，在门前7米处铲射入近角，1比1
49'本-阿尔法为巴黎圣日耳曼在对方半场,赢得一个任意球.                   47'补时第2分钟，圣埃蒂安打出反击，马尔屈右路传中，巴黎后卫冒顶，替补出场的斯洛文尼亚前锋贝里茨后点胸部停球，在门前7米处铲射入近角，1比1
50'巴黎圣日耳曼球员本-阿尔法大禁区外尝试左脚射门,可惜皮球高出球门.                   47'补时第2分钟，圣埃蒂安打出反击，马尔屈右路传中，巴黎后卫冒顶，替补出场的斯洛文尼亚前锋贝里茨后点胸部停球，在门前7米处铲射入近角，1比1
