9'苏祖后场底线前解围                   9'丢球后的申花大举进攻，第9分钟王S前场直塞，吕征得球杀入禁区后射门被吴扑住
10'中场还是被建业控制住                   9'丢球后的申花大举进攻，第9分钟王S前场直塞，吕征得球杀入禁区后射门被吴扑住
10'吕征接王赟的身后球，进禁区                   9'丢球后的申花大举进攻，第9分钟王S前场直塞，吕征得球杀入禁区后射门被吴扑住
10'吕征趟一步小角度打门，被门将扑出！                   9'丢球后的申花大举进攻，第9分钟王S前场直塞，吕征得球杀入禁区后射门被吴扑住
11'柏佳俊接应右路转移球，滑倒了                   9'丢球后的申花大举进攻，第9分钟王S前场直塞，吕征得球杀入禁区后射门被吴扑住
11'吕建军右路传中被解围，伊沃的远射被封堵                   9'丢球后的申花大举进攻，第9分钟王S前场直塞，吕征得球杀入禁区后射门被吴扑住
12'吕征左路接应，拿到一个角球                   9'丢球后的申花大举进攻，第9分钟王S前场直塞，吕征得球杀入禁区后射门被吴扑住
12'王赟角球开中路，漏过了                   9'丢球后的申花大举进攻，第9分钟王S前场直塞，吕征得球杀入禁区后射门被吴扑住
12'伊沃中场拿球摆脱，被绊倒，任意球                   9'丢球后的申花大举进攻，第9分钟王S前场直塞，吕征得球杀入禁区后射门被吴扑住
17'任意球第一点帕帕多普洛斯摆渡，二点被解围                   17'领先后的河南队打得比较放松，依然强调打申花后卫的空档处，第17分钟河南队左路起球，哈维尔头球回做，萨哈拉抽射打偏
17'萨哈拉前场拼高球犯规了                   17'领先后的河南队打得比较放松，依然强调打申花后卫的空档处，第17分钟河南队左路起球，哈维尔头球回做，萨哈拉抽射打偏
17'伊沃送身后球到禁区前，哈维尔回敲                   17'领先后的河南队打得比较放松，依然强调打申花后卫的空档处，第17分钟河南队左路起球，哈维尔头球回做，萨哈拉抽射打偏
18'萨哈拉调整一步远射打偏了                   17'领先后的河南队打得比较放松，依然强调打申花后卫的空档处，第17分钟河南队左路起球，哈维尔头球回做，萨哈拉抽射打偏
19'尹鸿博直塞禁区，被耿晓峰拿到                   17'领先后的河南队打得比较放松，依然强调打申花后卫的空档处，第17分钟河南队左路起球，哈维尔头球回做，萨哈拉抽射打偏
19'王赟右路底线前护球被绊倒，任意球                   17'领先后的河南队打得比较放松，依然强调打申花后卫的空档处，第17分钟河南队左路起球，哈维尔头球回做，萨哈拉抽射打偏
20'王赟任意球开前点，莫雷诺腾身脚后跟磕球去后点                   17'领先后的河南队打得比较放松，依然强调打申花后卫的空档处，第17分钟河南队左路起球，哈维尔头球回做，萨哈拉抽射打偏
20'苏祖包抄抢点被封堵，角球                   17'领先后的河南队打得比较放松，依然强调打申花后卫的空档处，第17分钟河南队左路起球，哈维尔头球回做，萨哈拉抽射打偏
19'尹鸿博直塞禁区，被耿晓峰拿到                   19'第19分钟王S右路开出任意球，莫雷诺腾在半空，用脚底板蹬球攻门，但皮球偏到一侧，苏祖跟上射门已经没有角度
19'王赟右路底线前护球被绊倒，任意球                   19'第19分钟王S右路开出任意球，莫雷诺腾在半空，用脚底板蹬球攻门，但皮球偏到一侧，苏祖跟上射门已经没有角度
20'王赟任意球开前点，莫雷诺腾身脚后跟磕球去后点                   19'第19分钟王S右路开出任意球，莫雷诺腾在半空，用脚底板蹬球攻门，但皮球偏到一侧，苏祖跟上射门已经没有角度
20'苏祖包抄抢点被封堵，角球                   19'第19分钟王S右路开出任意球，莫雷诺腾在半空，用脚底板蹬球攻门，但皮球偏到一侧，苏祖跟上射门已经没有角度
21'角球第一点被头球解围出去                   19'第19分钟王S右路开出任意球，莫雷诺腾在半空，用脚底板蹬球攻门，但皮球偏到一侧，苏祖跟上射门已经没有角度
21'三人合一1986 ：小心脏受不了了                   19'第19分钟王S右路开出任意球，莫雷诺腾在半空，用脚底板蹬球攻门，但皮球偏到一侧，苏祖跟上射门已经没有角度
22'莫雷诺中场拿球过人，分右路                   19'第19分钟王S右路开出任意球，莫雷诺腾在半空，用脚底板蹬球攻门，但皮球偏到一侧，苏祖跟上射门已经没有角度
22'萨哈拉中场拿球，直塞                   19'第19分钟王S右路开出任意球，莫雷诺腾在半空，用脚底板蹬球攻门，但皮球偏到一侧，苏祖跟上射门已经没有角度
22'苏祖抢在哈维尔之前把球解围                   19'第19分钟王S右路开出任意球，莫雷诺腾在半空，用脚底板蹬球攻门，但皮球偏到一侧，苏祖跟上射门已经没有角度
31'李志超中场拿球被回防的卡希尔绊倒，任意球                   31'第31分钟河南队的韩国外援郑仁焕手球犯规，莫雷诺任意球直奔大门右下死角而去，吴飞身把球打出
31'任意球进禁区，第一点被苏祖解围                   31'第31分钟河南队的韩国外援郑仁焕手球犯规，莫雷诺任意球直奔大门右下死角而去，吴飞身把球打出
31'卡希尔拿球反击，送右路斜传大了，门将出击解围                   31'第31分钟河南队的韩国外援郑仁焕手球犯规，莫雷诺任意球直奔大门右下死角而去，吴飞身把球打出
32'卡希尔右路内切突破，顾操防守中手触球                   31'第31分钟河南队的韩国外援郑仁焕手球犯规，莫雷诺任意球直奔大门右下死角而去，吴飞身把球打出
32'申花禁区前靠右的任意球机会                   31'第31分钟河南队的韩国外援郑仁焕手球犯规，莫雷诺任意球直奔大门右下死角而去，吴飞身把球打出
32'用户5409601692：这场比赛精彩！                   31'第31分钟河南队的韩国外援郑仁焕手球犯规，莫雷诺任意球直奔大门右下死角而去，吴飞身把球打出
