2'红军现在在中场控球，耐心的倒脚。                   2'开场仅2分钟，杰拉德禁区前对弗莱泽-坎贝尔犯规被罚黄牌
2'大家注意看看乐乐置顶的互动话题！和乐乐交流哟！                   2'开场仅2分钟，杰拉德禁区前对弗莱泽-坎贝尔犯规被罚黄牌
3'卡迪夫进攻，坎贝尔右边路突破被队长杰拉德放倒，定位球。                   2'开场仅2分钟，杰拉德禁区前对弗莱泽-坎贝尔犯规被罚黄牌
3'杰拉德吃到了一张黄牌。                   2'开场仅2分钟，杰拉德禁区前对弗莱泽-坎贝尔犯规被罚黄牌
3'回蓦阑珊处 :KOP前来报道，乐乐好好播我军比赛哈，给个会员呗(23:04---快跟乐乐互动！抢答！一定给你！                   2'开场仅2分钟，杰拉德禁区前对弗莱泽-坎贝尔犯规被罚黄牌
4'金浦炅开出定位球，被门将米尼奥莱拖出底线。                   2'开场仅2分钟，杰拉德禁区前对弗莱泽-坎贝尔犯规被罚黄牌
4'卡迪夫角球开出到后点，后卫卡特里尼打门球打高了！                   2'开场仅2分钟，杰拉德禁区前对弗莱泽-坎贝尔犯规被罚黄牌
4'这边穆奇断球后进攻没有形成威胁，红军球权。                   2'开场仅2分钟，杰拉德禁区前对弗莱泽-坎贝尔犯规被罚黄牌
5'用户e7yb1pnxyx :本轮的英超必将是血腥的，车子带头了，就看莉莉和城城的了(23:05)---车子简直残忍啊！                   2'开场仅2分钟，杰拉德禁区前对弗莱泽-坎贝尔犯规被罚黄牌
5'红军后场被断球了！坎贝尔！                   2'开场仅2分钟，杰拉德禁区前对弗莱泽-坎贝尔犯规被罚黄牌
5'很危险啊！坎贝尔断球找穆奇，穆奇传中穿越了红军整个防线。                   2'开场仅2分钟，杰拉德禁区前对弗莱泽-坎贝尔犯规被罚黄牌
9'卡迪夫后场断球，右边路反击！                   9'卡迪夫城第9分钟取得领先，乔-艾伦传球失误，弗莱泽-坎贝尔右路回传，马奇禁区边缘抢在杰拉德飞铲封堵前射入左下角
9'坎贝尔找穆奇！                   9'卡迪夫城第9分钟取得领先，乔-艾伦传球失误，弗莱泽-坎贝尔右路回传，马奇禁区边缘抢在杰拉德飞铲封堵前射入左下角
9'穆奇左脚射门！球进了！                   9'卡迪夫城第9分钟取得领先，乔-艾伦传球失误，弗莱泽-坎贝尔右路回传，马奇禁区边缘抢在杰拉德飞铲封堵前射入左下角
9'穆奇在禁区里很从容的领了一下球，左脚怒射！                   9'卡迪夫城第9分钟取得领先，乔-艾伦传球失误，弗莱泽-坎贝尔右路回传，马奇禁区边缘抢在杰拉德飞铲封堵前射入左下角
10'开场仅仅9分钟就被卡迪夫进球了，罗杰斯一脸的无奈啊                   9'卡迪夫城第9分钟取得领先，乔-艾伦传球失误，弗莱泽-坎贝尔右路回传，马奇禁区边缘抢在杰拉德飞铲封堵前射入左下角
11'金浦炅手球了，利物浦后场定位球。                   9'卡迪夫城第9分钟取得领先，乔-艾伦传球失误，弗莱泽-坎贝尔右路回传，马奇禁区边缘抢在杰拉德飞铲封堵前射入左下角
