3'上海申花队右路斜传禁区！莫雷诺胸部停球，倒地啦，勾倒了张璐                   3'开场仅3分钟，秦升犯规吃到黄牌
4'杭州绿城队攻到前场，秦升犯规，吃到了黄牌                   3'开场仅3分钟，秦升犯规吃到黄牌
4'任意球发到禁区内，没有威胁                   3'开场仅3分钟，秦升犯规吃到黄牌
4'李帅大脚开球到前场，送到对方脚下                   3'开场仅3分钟，秦升犯规吃到黄牌
5'后场杭州绿城队断球，长传中路，被对方争顶下来                   3'开场仅3分钟，秦升犯规吃到黄牌
5'更正一下，互前禁区内莫雷诺勾倒的是陈晓                   3'开场仅3分钟，秦升犯规吃到黄牌
6'中场上海申花队断球，卡希尔飞铲！！动作真大啊！                   3'开场仅3分钟，秦升犯规吃到黄牌
6'瓜林受伤倒在地上！虽然卡希尔先铲到了球，但这动作也有些生猛！                   3'开场仅3分钟，秦升犯规吃到黄牌
6'绊马索啊！                   3'开场仅3分钟，秦升犯规吃到黄牌
9'杭州绿城队右路长传，李帅控到球                   9'第9分钟曹赟定左路带球杀入禁区，但最后一脚射门被邹德海扑出，打算补射的吕征被对方后卫死死卡住位置
9'上海申花队右路攻到前场，横传交给登巴巴                   9'第9分钟曹赟定左路带球杀入禁区，但最后一脚射门被邹德海扑出，打算补射的吕征被对方后卫死死卡住位置
9'登巴巴左路突破回传瓜林，瓜林长传禁区，被对方头球解围                   9'第9分钟曹赟定左路带球杀入禁区，但最后一脚射门被邹德海扑出，打算补射的吕征被对方后卫死死卡住位置
10'上海申花队在前场断球，左路传球到禁区内，邹德海出击没能扑到！后点绿城把球破坏                   9'第9分钟曹赟定左路带球杀入禁区，但最后一脚射门被邹德海扑出，打算补射的吕征被对方后卫死死卡住位置
10'金基熙右路传球，对方将球破坏                   9'第9分钟曹赟定左路带球杀入禁区，但最后一脚射门被邹德海扑出，打算补射的吕征被对方后卫死死卡住位置
10'上海申花队右路突破逼得角球机会                   9'第9分钟曹赟定左路带球杀入禁区，但最后一脚射门被邹德海扑出，打算补射的吕征被对方后卫死死卡住位置
11'吕征发角球到禁区内，莫雷诺头球顶门，皮球弹地高出横梁！                   9'第9分钟曹赟定左路带球杀入禁区，但最后一脚射门被邹德海扑出，打算补射的吕征被对方后卫死死卡住位置
11'邹德海大脚开球到前场，对方大脚开回来                   9'第9分钟曹赟定左路带球杀入禁区，但最后一脚射门被邹德海扑出，打算补射的吕征被对方后卫死死卡住位置
12'杭州绿城队右路进攻，瓜林抢球犯规                   9'第9分钟曹赟定左路带球杀入禁区，但最后一脚射门被邹德海扑出，打算补射的吕征被对方后卫死死卡住位置
12'任意球大脚开到禁区内，李帅出击把球打出来                   9'第9分钟曹赟定左路带球杀入禁区，但最后一脚射门被邹德海扑出，打算补射的吕征被对方后卫死死卡住位置
12'曹赟定左路生吃强突，造成葛振犯规！！黄牌                   9'第9分钟曹赟定左路带球杀入禁区，但最后一脚射门被邹德海扑出，打算补射的吕征被对方后卫死死卡住位置
11'吕征发角球到禁区内，莫雷诺头球顶门，皮球弹地高出横梁！                   11'第11分钟葛振拉拽曹赟定吃到黄牌
11'邹德海大脚开球到前场，对方大脚开回来                   11'第11分钟葛振拉拽曹赟定吃到黄牌
12'杭州绿城队右路进攻，瓜林抢球犯规                   11'第11分钟葛振拉拽曹赟定吃到黄牌
12'任意球大脚开到禁区内，李帅出击把球打出来                   11'第11分钟葛振拉拽曹赟定吃到黄牌
12'曹赟定左路生吃强突，造成葛振犯规！！黄牌                   11'第11分钟葛振拉拽曹赟定吃到黄牌
13'上海申花队直传球找登巴巴！登巴巴突破到禁区内直面门将，被邹德海扑出！                   11'第11分钟葛振拉拽曹赟定吃到黄牌
13'刚才是登巴巴漂亮的传球，莫雷诺的突破被挡出来                   11'第11分钟葛振拉拽曹赟定吃到黄牌
14'绿城队左路攻到前场，横传球没能过去                   11'第11分钟葛振拉拽曹赟定吃到黄牌
14'曹海清左路强突，秦升防守出底线，角球机会                   11'第11分钟葛振拉拽曹赟定吃到黄牌
15'加比奥内塔发角球到禁区内，对方解围出来                   15'开场头15分钟，申花完全压制住绿城
15'球出边线，杭州绿城队发界外球左路进攻，对方再次破坏出边线                   15'开场头15分钟，申花完全压制住绿城
15'扔手榴弹到禁区内，对方解围                   15'开场头15分钟，申花完全压制住绿城
16'上海申花队左路传球到禁区内，对方解围                   15'开场头15分钟，申花完全压制住绿城
16'上海申花队继续进攻                   15'开场头15分钟，申花完全压制住绿城
16'吕征右路接球，横向突破传禁区，没有啦！                   15'开场头15分钟，申花完全压制住绿城
17'杭州绿城队攻到前场，卡希尔外线远射，被门将没收                   15'开场头15分钟，申花完全压制住绿城
17'莫雷诺在前场得球，一脚远射，被门将得到                   15'开场头15分钟，申花完全压制住绿城
18'后场上海申花队得球，转移到左路进攻                   15'开场头15分钟，申花完全压制住绿城
19'曹赟定左路突破，被破坏出边线                   19'第19分钟绿城从申花左侧成功找到突破口，还是臧一锋，他带球杀入禁区，扣球过掉金基熙，但最后一脚射门被李帅神勇扑出
