28'埃弗顿左路送直塞                   27'利物浦第27分钟险些破门，艾比突破至禁区边缘外劲射，皮球憾中左侧立柱弹出
28'埃姆雷-詹利用身体将球控制下来                   27'利物浦第27分钟险些破门，艾比突破至禁区边缘外劲射，皮球憾中左侧立柱弹出
28'利物浦这边组织反击                   27'利物浦第27分钟险些破门，艾比突破至禁区边缘外劲射，皮球憾中左侧立柱弹出
29'禁区外围伊比远射击中立柱！！                   27'利物浦第27分钟险些破门，艾比突破至禁区边缘外劲射，皮球憾中左侧立柱弹出
29'这球打得非常漂亮，就是差了那么一点                   27'利物浦第27分钟险些破门，艾比突破至禁区边缘外劲射，皮球憾中左侧立柱弹出
29'埃弗顿这边前场猛抢萨科                   27'利物浦第27分钟险些破门，艾比突破至禁区边缘外劲射，皮球憾中左侧立柱弹出
29'埃弗顿左路起球送后点                   27'利物浦第27分钟险些破门，艾比突破至禁区边缘外劲射，皮球憾中左侧立柱弹出
30'米拉拉斯这边受到干扰，没有起跳                   27'利物浦第27分钟险些破门，艾比突破至禁区边缘外劲射，皮球憾中左侧立柱弹出
30'库蒂尼奥中场附近断球                   27'利物浦第27分钟险些破门，艾比突破至禁区边缘外劲射，皮球憾中左侧立柱弹出
30'禁区弧顶拿球被双人包夹                   27'利物浦第27分钟险些破门，艾比突破至禁区边缘外劲射，皮球憾中左侧立柱弹出
78'伊贝争抢头球的时候被压了一下                   78'第78分钟，贝西奇同艾比拼抢时双双倒地并互有口角，亨德森上前相帮被奈史密斯从背后拉扯球衣领口，这也加剧了双方的对峙气氛，两人均被黄牌警告
78'跟着奈史密斯下黑手拉了一把亨德森                   78'第78分钟，贝西奇同艾比拼抢时双双倒地并互有口角，亨德森上前相帮被奈史密斯从背后拉扯球衣领口，这也加剧了双方的对峙气氛，两人均被黄牌警告
79'奈史密斯和亨德森各得一张黄牌！                   78'第78分钟，贝西奇同艾比拼抢时双双倒地并互有口角，亨德森上前相帮被奈史密斯从背后拉扯球衣领口，这也加剧了双方的对峙气氛，两人均被黄牌警告
81'伊贝中场停球停大了                   78'第78分钟，贝西奇同艾比拼抢时双双倒地并互有口角，亨德森上前相帮被奈史密斯从背后拉扯球衣领口，这也加剧了双方的对峙气氛，两人均被黄牌警告
81'好在伊贝自己有速度将球追了回来                   78'第78分钟，贝西奇同艾比拼抢时双双倒地并互有口角，亨德森上前相帮被奈史密斯从背后拉扯球衣领口，这也加剧了双方的对峙气氛，两人均被黄牌警告
81'伊贝右路往门前横扫                   78'第78分钟，贝西奇同艾比拼抢时双双倒地并互有口角，亨德森上前相帮被奈史密斯从背后拉扯球衣领口，这也加剧了双方的对峙气氛，两人均被黄牌警告
81'埃弗顿先出一脚将球解围                   78'第78分钟，贝西奇同艾比拼抢时双双倒地并互有口角，亨德森上前相帮被奈史密斯从背后拉扯球衣领口，这也加剧了双方的对峙气氛，两人均被黄牌警告
