2'塞维利亚在前场拼抢，纳瓦斯身后绊倒了马斯切拉诺                   2'开场仅2分钟，哈维传球，佩德罗左路禁区边缘的劲射偏出
2'裁判吹了犯规，巴萨的定位球                   2'开场仅2分钟，哈维传球，佩德罗左路禁区边缘的劲射偏出
2'这是布斯克茨在巴萨的第200场正式比赛                   2'开场仅2分钟，哈维传球，佩德罗左路禁区边缘的劲射偏出
3'巴萨连续的转移，佩德罗禁区外尝试了一脚远射，球稍稍高出横梁                   2'开场仅2分钟，哈维传球，佩德罗左路禁区边缘的劲射偏出
3'塞维利亚攻到前场，巴萨的回防已经到位了                   2'开场仅2分钟，哈维传球，佩德罗左路禁区边缘的劲射偏出
5'梅西在中路被放倒                   2'开场仅2分钟，哈维传球，佩德罗左路禁区边缘的劲射偏出
5'马杜罗今天不打后卫，改打后腰                   2'开场仅2分钟，哈维传球，佩德罗左路禁区边缘的劲射偏出
5'塞维利亚这支球队就像西甲的阿森纳一样为巴萨输送了很多球员                   2'开场仅2分钟，哈维传球，佩德罗左路禁区边缘的劲射偏出
13'拉基蒂奇带球反击，分给了内格雷多...                   13'  flash player end  播放器 end 第13分钟，梅西同法布雷加斯配合，前阿森纳中场外脚背回拨，梅西禁区左侧16码处劲射被帕洛普勉强扑出，斯帕希奇大脚解围
13'禁区左侧的一脚远射，球偏出了远端立柱                   13'  flash player end  播放器 end 第13分钟，梅西同法布雷加斯配合，前阿森纳中场外脚背回拨，梅西禁区左侧16码处劲射被帕洛普勉强扑出，斯帕希奇大脚解围
14'小法控制住皮球，需要稳一下节奏                   13'  flash player end  播放器 end 第13分钟，梅西同法布雷加斯配合，前阿森纳中场外脚背回拨，梅西禁区左侧16码处劲射被帕洛普勉强扑出，斯帕希奇大脚解围
14'巴萨中路的连续配合                   13'  flash player end  播放器 end 第13分钟，梅西同法布雷加斯配合，前阿森纳中场外脚背回拨，梅西禁区左侧16码处劲射被帕洛普勉强扑出，斯帕希奇大脚解围
14'梅西一脚低射被帕洛普扑了一下！！！                   13'  flash player end  播放器 end 第13分钟，梅西同法布雷加斯配合，前阿森纳中场外脚背回拨，梅西禁区左侧16码处劲射被帕洛普勉强扑出，斯帕希奇大脚解围
14'后卫又抢在了小法之前大脚解围                   13'  flash player end  播放器 end 第13分钟，梅西同法布雷加斯配合，前阿森纳中场外脚背回拨，梅西禁区左侧16码处劲射被帕洛普勉强扑出，斯帕希奇大脚解围
14'巴萨的角球传中没能形成威胁                   13'  flash player end  播放器 end 第13分钟，梅西同法布雷加斯配合，前阿森纳中场外脚背回拨，梅西禁区左侧16码处劲射被帕洛普勉强扑出，斯帕希奇大脚解围
15'梅西之前还跟裁判有投诉，不过不知道究竟是怎么回事                   13'  flash player end  播放器 end 第13分钟，梅西同法布雷加斯配合，前阿森纳中场外脚背回拨，梅西禁区左侧16码处劲射被帕洛普勉强扑出，斯帕希奇大脚解围
15'慢镜头也没有交代梅西的怒火来自哪里                   13'  flash player end  播放器 end 第13分钟，梅西同法布雷加斯配合，前阿森纳中场外脚背回拨，梅西禁区左侧16码处劲射被帕洛普勉强扑出，斯帕希奇大脚解围
