6'沙尔克04球员博阿滕大禁区外右脚射门,被防守球员封堵.                   6'第6分钟，博阿滕任意球折射后被魏登费勒得到
8'沙尔克04球员绍洛伊大禁区外尝试右脚射门,可惜皮球高出球门.                   6'第6分钟，博阿滕任意球折射后被魏登费勒得到
9'射门!!!多特蒙德球员罗伊斯大禁区外左脚射门,被对方守门员横身扑出.给他传球的是莱万多夫斯基.                   6'第6分钟，博阿滕任意球折射后被魏登费勒得到
14'进球啦！！！多特蒙德球员奥巴梅扬大禁区中央右脚射门,球从中路飞进球门,球进了!助攻的是罗伊斯. 沙尔克04 0-1 多特蒙德.                   14'第14分钟，格罗斯克罗伊茨右路低传，罗伊斯顺势拨给姆希塔良，姆希塔良再直塞，罗伊斯禁区右侧低传，奥巴梅扬在门前6米处铲射入网，1比0，罗伊斯本赛季正式比赛参与12球(进球或助攻)
15'沙尔克04球员奥戈拼抢犯规,对手获得控球权.                   14'第14分钟，格罗斯克罗伊茨右路低传，罗伊斯顺势拨给姆希塔良，姆希塔良再直塞，罗伊斯禁区右侧低传，奥巴梅扬在门前6米处铲射入网，1比0，罗伊斯本赛季正式比赛参与12球(进球或助攻)
15'本德尔为多特蒙德赢得一个任意球.                   14'第14分钟，格罗斯克罗伊茨右路低传，罗伊斯顺势拨给姆希塔良，姆希塔良再直塞，罗伊斯禁区右侧低传，奥巴梅扬在门前6米处铲射入网，1比0，罗伊斯本赛季正式比赛参与12球(进球或助攻)
16'马蒂普为沙尔克04赢得一个任意球.                   14'第14分钟，格罗斯克罗伊茨右路低传，罗伊斯顺势拨给姆希塔良，姆希塔良再直塞，罗伊斯禁区右侧低传，奥巴梅扬在门前6米处铲射入网，1比0，罗伊斯本赛季正式比赛参与12球(进球或助攻)
16'多特蒙德球员罗伊斯拼抢犯规,对手获得控球权.                   14'第14分钟，格罗斯克罗伊茨右路低传，罗伊斯顺势拨给姆希塔良，姆希塔良再直塞，罗伊斯禁区右侧低传，奥巴梅扬在门前6米处铲射入网，1比0，罗伊斯本赛季正式比赛参与12球(进球或助攻)
25'射门!!!多特蒙德球员莱万多夫斯基大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是罗伊斯.                   25'第25分钟，罗伊斯斜传过顶，莱万多夫斯基单刀距门11米处半凌空抽射被希尔德布兰封出
25'射门!!!多特蒙德球员奥巴梅扬大禁区外右脚射门,被对方守门员横身扑出.                   25'第25分钟，罗伊斯斜传过顶，莱万多夫斯基单刀距门11米处半凌空抽射被希尔德布兰封出
29'多特蒙德球员苏博蒂奇犯规,致使对方获得点球.                   29'沙尔克第29分钟错过扳平机会，富克斯左路切入禁区将球捅出后被苏博蒂奇铲倒，点球
29'点球,C-富克斯在禁区内被侵犯,沙尔克04获得点球.                   29'沙尔克第29分钟错过扳平机会，富克斯左路切入禁区将球捅出后被苏博蒂奇铲倒，点球
30'沙尔克04球员博阿滕点球被对方守门员扑出.点球罚失.                   29'沙尔克第29分钟错过扳平机会，富克斯左路切入禁区将球捅出后被苏博蒂奇铲倒，点球
30'沙尔克04球员奥戈大禁区中央尝试左脚射门,可惜皮球稍稍偏出了右球门.                   29'沙尔克第29分钟错过扳平机会，富克斯左路切入禁区将球捅出后被苏博蒂奇铲倒，点球
31'沙尔克04球员博阿滕大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是诺伊施泰特.                   29'沙尔克第29分钟错过扳平机会，富克斯左路切入禁区将球捅出后被苏博蒂奇铲倒，点球
32'射门!!!多特蒙德球员罗伊斯大禁区中央头球,被对方守门员横身扑出.给他传球的是奥巴梅扬.                   29'沙尔克第29分钟错过扳平机会，富克斯左路切入禁区将球捅出后被苏博蒂奇铲倒，点球
49'格罗斯克罗伊茨为多特蒙德在对方半场,赢得一个任意球.                   46'1分钟后，博阿滕突入禁区射门偏出左门柱
49'沙尔克04球员博阿滕拼抢犯规,对手获得控球权.                   46'1分钟后，博阿滕突入禁区射门偏出左门柱
35'为多特蒙德赢得一个任意球.                   35'第35分钟，内田笃人禁区右侧突破倒地，主裁判没有中断比赛，奥戈提出异议，被黄牌警告
35'沙尔克04球员拼抢犯规,对手获得控球权.                   35'第35分钟，内田笃人禁区右侧突破倒地，主裁判没有中断比赛，奥戈提出异议，被黄牌警告
35'沙尔克04球员奥戈被主裁判出示了一张黄牌.                   35'第35分钟，内田笃人禁区右侧突破倒地，主裁判没有中断比赛，奥戈提出异议，被黄牌警告
37'多特蒙德球员姆希塔良大禁区外右脚射门,被防守球员封堵.给他传球的是沙欣.                   35'第35分钟，内田笃人禁区右侧突破倒地，主裁判没有中断比赛，奥戈提出异议，被黄牌警告
38'多特蒙德球员奥巴梅扬一脚直塞球给莱万多夫斯基,但是边裁举旗显示后者已经越位.                   35'第35分钟，内田笃人禁区右侧突破倒地，主裁判没有中断比赛，奥戈提出异议，被黄牌警告
51'进球啦！！！多特蒙德球员沙欣大禁区外左脚射门,球从右上角飞进球门,球进了!助攻的是姆希塔良. 沙尔克04 0-2 多特蒙德.                   51'下半时开始6分钟，姆希塔良中场拿球长途奔袭右路低传，沙欣禁区弧顶左脚大力抽射挂右上角，2比0
54'多特蒙德球员杜尔姆一脚直塞球给罗伊斯,但是边裁举旗显示后者已经越位.                   51'下半时开始6分钟，姆希塔良中场拿球长途奔袭右路低传，沙欣禁区弧顶左脚大力抽射挂右上角，2比0
62'沙尔克04球员德拉克斯勒大禁区中央右脚射门,被防守球员封堵.给他传球的是M-梅耶尔.                   62'第62分钟，迈尔禁区边缘晃过苏博蒂奇横传，绍洛伊射门被魏登费勒扑出，迈尔左侧补射入网，1比2，他成为德甲史上打进3球的最年轻球员(18岁1个月零8天)
62'射门!!!沙尔克04球员绍洛伊大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是M-梅耶尔.                   62'第62分钟，迈尔禁区边缘晃过苏博蒂奇横传，绍洛伊射门被魏登费勒扑出，迈尔左侧补射入网，1比2，他成为德甲史上打进3球的最年轻球员(18岁1个月零8天)
