1'阿萨莫阿为尤文图斯在对方半场,赢得一个任意球.                   1'第1分钟，迪巴拉左路任意球打在人墙上
1'佛罗伦萨球员巴德尔吉拼抢犯规,对手获得控球权.                   1'第1分钟，迪巴拉左路任意球打在人墙上
2'尤文图斯球员迪巴拉大禁区外左脚射门,被防守球员封堵.                   1'第1分钟，迪巴拉左路任意球打在人墙上
4'尤文图斯球员赫迪拉大禁区右侧尝试右脚射门,可惜皮球高出球门.                   1'第1分钟，迪巴拉左路任意球打在人墙上
8'佛罗伦萨球员维奇诺拼抢犯规,对手获得控球权.                   8'第8分钟出现争议，迪巴拉分球，阿莱士-桑德罗左路传中打在阿斯托里手上，但主裁判无动于衷
8'阿萨莫阿为尤文图斯在左路,赢得一个任意球.                   8'第8分钟出现争议，迪巴拉分球，阿莱士-桑德罗左路传中打在阿斯托里手上，但主裁判无动于衷
37'进球啦！！！尤文图斯球员赫迪拉大禁区中央头球,球从左上角飞进球门,球进了!助攻的是基耶里尼. 尤文图斯 1-0 佛罗伦萨.                   36'尤文第36分钟取得领先
39'佛罗伦萨球员卡利尼奇拼抢犯规,对手获得控球权.                   36'尤文第36分钟取得领先
39'博努奇为尤文图斯赢得一个任意球.                   36'尤文第36分钟取得领先
39'黄牌！佛罗伦萨球员卡利尼奇因为恶意犯规,被主裁判出示黄牌.                   36'尤文第36分钟取得领先
39'佛罗伦萨球员尔纳尔德希奇拼抢犯规,对手获得控球权.                   36'尤文第36分钟取得领先
39'莱米纳为尤文图斯在对方半场,赢得一个任意球.                   36'尤文第36分钟取得领先
70'博努奇将球处理出底线,佛罗伦萨获得角球.                   70'紫百合第70分钟追平，伊利契奇右侧开出角球，卡利尼奇后点距门6米处头球入左下角，1比1
70'进球啦！！！佛罗伦萨球员卡利尼奇大禁区中央头球,球从左下角飞进球门,球进了!助攻的是伊利西奇. 尤文图斯 1-1 佛罗伦萨.                   70'紫百合第70分钟追平，伊利契奇右侧开出角球，卡利尼奇后点距门6米处头球入左下角，1比1
72'佛罗伦萨球员阿斯托里一脚直塞球给卡利尼奇,但是边裁举旗显示后者已经越位.                   70'紫百合第70分钟追平，伊利契奇右侧开出角球，卡利尼奇后点距门6米处头球入左下角，1比1
72'佛罗伦萨球员特略拼抢犯规,对手获得控球权.                   70'紫百合第70分钟追平，伊利契奇右侧开出角球，卡利尼奇后点距门6米处头球入左下角，1比1
72'阿萨莫阿为尤文图斯在左路,赢得一个任意球.                   70'紫百合第70分钟追平，伊利契奇右侧开出角球，卡利尼奇后点距门6米处头球入左下角，1比1
73'佛罗伦萨托莫维奇受伤倒地,比赛暂停                   70'紫百合第70分钟追平，伊利契奇右侧开出角球，卡利尼奇后点距门6米处头球入左下角，1比1
75'进球啦！！！尤文图斯球员伊瓜因小禁区左侧左脚射门,球从左下角飞进球门,球进了! 尤文图斯 2-1 佛罗伦萨.                   75'第75分钟，阿莱士-桑德罗和阿萨莫阿接连塞球，赫迪拉点球点左脚推射被铲变线，伊瓜因左门柱边左脚小角度推射入网，2比1
76'佛罗伦萨球员特特鲁沙努一脚直塞球给卡利尼奇,但是边裁举旗显示后者已经越位.                   75'第75分钟，阿莱士-桑德罗和阿萨莫阿接连塞球，赫迪拉点球点左脚推射被铲变线，伊瓜因左门柱边左脚小角度推射入网，2比1
77'阿斯托里为佛罗伦萨赢得一个任意球.                   75'第75分钟，阿莱士-桑德罗和阿萨莫阿接连塞球，赫迪拉点球点左脚推射被铲变线，伊瓜因左门柱边左脚小角度推射入网，2比1
77'尤文图斯球员迪巴拉拼抢犯规,对手获得控球权.                   75'第75分钟，阿莱士-桑德罗和阿萨莫阿接连塞球，赫迪拉点球点左脚推射被铲变线，伊瓜因左门柱边左脚小角度推射入网，2比1
77'尔纳尔德希奇为佛罗伦萨在左路,赢得一个任意球.                   75'第75分钟，阿莱士-桑德罗和阿萨莫阿接连塞球，赫迪拉点球点左脚推射被铲变线，伊瓜因左门柱边左脚小角度推射入网，2比1
77'尤文图斯球员阿尔维斯拼抢犯规,对手获得控球权.                   75'第75分钟，阿莱士-桑德罗和阿萨莫阿接连塞球，赫迪拉点球点左脚推射被铲变线，伊瓜因左门柱边左脚小角度推射入网，2比1
78'伊利西奇为佛罗伦萨在对方半场,赢得一个任意球.                   75'第75分钟，阿莱士-桑德罗和阿萨莫阿接连塞球，赫迪拉点球点左脚推射被铲变线，伊瓜因左门柱边左脚小角度推射入网，2比1
78'尤文图斯球员莱米纳拼抢犯规,对手获得控球权.                   75'第75分钟，阿莱士-桑德罗和阿萨莫阿接连塞球，赫迪拉点球点左脚推射被铲变线，伊瓜因左门柱边左脚小角度推射入网，2比1
