2'王林为杭州绿城赢得一个任意球.                   1'比赛开始前两队为昆明暴恐事件中遇难的同胞默哀1分钟
2'大连阿尔滨球员于汉超拼抢犯规,对手获得控球权.                   1'比赛开始前两队为昆明暴恐事件中遇难的同胞默哀1分钟
3'杭州绿城球员拉蒙拼抢犯规,对手获得控球权.                   1'比赛开始前两队为昆明暴恐事件中遇难的同胞默哀1分钟
3'朱晓刚为大连阿尔滨赢得一个任意球.                   1'比赛开始前两队为昆明暴恐事件中遇难的同胞默哀1分钟
8'顾超为杭州绿城赢得一个任意球.                   6'第6分钟，绿城后场策动攻势，汪嵩长传吊入禁区，杨博宇抢前点头球解围
8'大连阿尔滨球员本科拼抢犯规,对手获得控球权.                   6'第6分钟，绿城后场策动攻势，汪嵩长传吊入禁区，杨博宇抢前点头球解围
10'大连阿尔滨球员于大宝大禁区中央尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是朱晓刚.                   10'第10分钟，绿城在阿尔滨禁区制造混乱，赵宏略率先出脚将球踢出禁区
10'拉蒙为杭州绿城在左路,赢得一个任意球.                   10'第10分钟，绿城在阿尔滨禁区制造混乱，赵宏略率先出脚将球踢出禁区
10'大连阿尔滨球员赵宏略拼抢犯规,对手获得控球权.                   10'第10分钟，绿城在阿尔滨禁区制造混乱，赵宏略率先出脚将球踢出禁区
13'射门!!!大连阿尔滨球员于大宝大禁区外左脚射门,被对方守门员横身扑出.给他传球的是吕鹏.                   10'第10分钟，绿城在阿尔滨禁区制造混乱，赵宏略率先出脚将球踢出禁区
18'进球啦！！！杭州绿城球员汪嵩大禁区中央头球,球从左下角飞进球门,球进了!助攻的是马塞纳. 杭州绿城 1-0 大连阿尔滨.                   18'第18分钟，杭州绿城打破场上僵局，马塞纳在第一次传球被阿尔滨后卫挡下后再次传中，埋伏在中路的绿城队长汪嵩高高跃起头球攻破阿尔滨城门，杭州绿城1-0大连阿尔滨
24'拉蒙为杭州绿城在对方半场,赢得一个任意球.                   24'第24分钟，杨博宇在防守拉蒙时被对手转身甩在身后，杨博宇拉拽犯规得到了阿尔滨新赛季的首张黄牌吗，汪嵩的任意球直接攻门稍稍高出横梁
24'大连阿尔滨球员杨博宇拼抢犯规,对手获得控球权.                   24'第24分钟，杨博宇在防守拉蒙时被对手转身甩在身后，杨博宇拉拽犯规得到了阿尔滨新赛季的首张黄牌吗，汪嵩的任意球直接攻门稍稍高出横梁
24'黄牌！大连阿尔滨球员杨博宇因为恶意犯规,被主裁判出示黄牌.                   24'第24分钟，杨博宇在防守拉蒙时被对手转身甩在身后，杨博宇拉拽犯规得到了阿尔滨新赛季的首张黄牌吗，汪嵩的任意球直接攻门稍稍高出横梁
25'杭州绿城球员汪嵩大禁区外尝试左脚射门,可惜皮球偏出球门.                   24'第24分钟，杨博宇在防守拉蒙时被对手转身甩在身后，杨博宇拉拽犯规得到了阿尔滨新赛季的首张黄牌吗，汪嵩的任意球直接攻门稍稍高出横梁
