1'首先开球的是曼城                   1'曼城第1分钟逐渐控制比赛
1'曼城后场拿球给到边路                   1'曼城第1分钟逐渐控制比赛
1'孔帕尼将球转移到另一侧                   1'曼城第1分钟逐渐控制比赛
1'曼城前场送直塞，这球没有送好                   1'曼城第1分钟逐渐控制比赛
1'西布朗后场控球转移                   1'曼城第1分钟逐渐控制比赛
2'禁区弧顶队友头球摆渡下来被曼城解围                   1'曼城第1分钟逐渐控制比赛
2'纳瓦斯拿球给到右路                   1'曼城第1分钟逐渐控制比赛
2'费尔南迪尼奥拿球给到席尔瓦                   1'曼城第1分钟逐渐控制比赛
2'斯特林左路一对一突破被预判到                   1'曼城第1分钟逐渐控制比赛
3'纳瓦斯边路传球被挡                   1'曼城第1分钟逐渐控制比赛
3'镜头也是给到了阿奎罗                   1'曼城第1分钟逐渐控制比赛
3'阿奎罗今天是在替补席上                   1'曼城第1分钟逐渐控制比赛
3'曼城右路下底又是没有传出来                   1'曼城第1分钟逐渐控制比赛
3'西布朗中场拿球，挑传送身后                   1'曼城第1分钟逐渐控制比赛
4'孔帕尼卡住身位将球让出底线                   1'曼城第1分钟逐渐控制比赛
4'纳瓦斯右路拿球，没有机会                   1'曼城第1分钟逐渐控制比赛
4'科拉罗夫边路传球出现失误                   1'曼城第1分钟逐渐控制比赛
4'西布朗这边的反击                   1'曼城第1分钟逐渐控制比赛
9'席尔瓦禁区弧顶传球被识破                   9'”曼城第9分钟幸运取得领先，席尔瓦禁区左侧斜射偏出，纳瓦斯右路回传，亚亚-图雷禁区边缘缺乏威胁的低射打中道森后偏转入左下角
9'曼城回到中场重新组织                   9'”曼城第9分钟幸运取得领先，席尔瓦禁区左侧斜射偏出，纳瓦斯右路回传，亚亚-图雷禁区边缘缺乏威胁的低射打中道森后偏转入左下角
9'科拉罗夫左路助攻上来                   9'”曼城第9分钟幸运取得领先，席尔瓦禁区左侧斜射偏出，纳瓦斯右路回传，亚亚-图雷禁区边缘缺乏威胁的低射打中道森后偏转入左下角
9'席尔瓦停球后摆脱后低射                   9'”曼城第9分钟幸运取得领先，席尔瓦禁区左侧斜射偏出，纳瓦斯右路回传，亚亚-图雷禁区边缘缺乏威胁的低射打中道森后偏转入左下角
9'这球有些似传似射                   9'”曼城第9分钟幸运取得领先，席尔瓦禁区左侧斜射偏出，纳瓦斯右路回传，亚亚-图雷禁区边缘缺乏威胁的低射打中道森后偏转入左下角
9'0-1！！                   9'”曼城第9分钟幸运取得领先，席尔瓦禁区左侧斜射偏出，纳瓦斯右路回传，亚亚-图雷禁区边缘缺乏威胁的低射打中道森后偏转入左下角
10'亚亚图雷！！                   9'”曼城第9分钟幸运取得领先，席尔瓦禁区左侧斜射偏出，纳瓦斯右路回传，亚亚-图雷禁区边缘缺乏威胁的低射打中道森后偏转入左下角
