7'那不勒斯换人,卡杜里上,潘德夫因伤下场.                   7'开场7分钟，潘德夫因伤被卡杜里换下
8'那不勒斯球员布里托斯拼抢犯规,对手获得控球权.                   7'开场7分钟，潘德夫因伤被卡杜里换下
8'德斯特罗为罗马在对方半场,赢得一个任意球.                   7'开场7分钟，潘德夫因伤被卡杜里换下
9'射门!!!罗马球员皮亚尼奇大禁区外右脚射门,被对方守门员横身扑出.                   7'开场7分钟，潘德夫因伤被卡杜里换下
10'罗萨蒂将球处理出底线,罗马获得角球.                   7'开场7分钟，潘德夫因伤被卡杜里换下
50'卡瓦尼为那不勒斯在对方半场,赢得一个任意球.                   48'3分钟后，德斯特罗禁区右侧打高
50'罗马球员卡斯坦拼抢犯规,对手获得控球权.                   48'3分钟后，德斯特罗禁区右侧打高
50'那不勒斯球员哈姆西克拼抢犯规,对手获得控球权.                   48'3分钟后，德斯特罗禁区右侧打高
50'拉梅拉为罗马赢得一个任意球.                   48'3分钟后，德斯特罗禁区右侧打高
45'马乔为那不勒斯在右路,赢得一个任意球.                   45'第45分钟，塔赫特西迪斯传球，马基尼奥禁区左侧射门被罗萨蒂扑出，德斯特罗右侧凌空推射击中近门柱
45'罗马球员马基尼奥拼抢犯规,对手获得控球权.                   45'第45分钟，塔赫特西迪斯传球，马基尼奥禁区左侧射门被罗萨蒂扑出，德斯特罗右侧凌空推射击中近门柱
45'+2'那不勒斯球员泽马伊利大禁区外右脚射门,被防守球员封堵.给他传球的是苏尼加.                   45'第45分钟，塔赫特西迪斯传球，马基尼奥禁区左侧射门被罗萨蒂扑出，德斯特罗右侧凌空推射击中近门柱
45'+2'射门!!!罗马球员马基尼奥大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是塔赫特西迪斯.                   45'第45分钟，塔赫特西迪斯传球，马基尼奥禁区左侧射门被罗萨蒂扑出，德斯特罗右侧凌空推射击中近门柱
45'+2'罗马球员德斯特罗小禁区右侧右脚射门,命中门柱右侧立柱.                   45'第45分钟，塔赫特西迪斯传球，马基尼奥禁区左侧射门被罗萨蒂扑出，德斯特罗右侧凌空推射击中近门柱
45'+2'罗马球员德斯特罗大禁区中央左脚射门,被防守球员封堵.                   45'第45分钟，塔赫特西迪斯传球，马基尼奥禁区左侧射门被罗萨蒂扑出，德斯特罗右侧凌空推射击中近门柱
45'+2'小卡纳瓦罗为那不勒斯赢得一个任意球.                   45'第45分钟，塔赫特西迪斯传球，马基尼奥禁区左侧射门被罗萨蒂扑出，德斯特罗右侧凌空推射击中近门柱
45'+2'罗马球员德斯特罗拼抢犯规,对手获得控球权.                   45'第45分钟，塔赫特西迪斯传球，马基尼奥禁区左侧射门被罗萨蒂扑出，德斯特罗右侧凌空推射击中近门柱
45'+3'上半场结束,罗马 0-0 那不勒斯,稍事休息,我们一会来看看下半场两队的表现.                   45'第45分钟，塔赫特西迪斯传球，马基尼奥禁区左侧射门被罗萨蒂扑出，德斯特罗右侧凌空推射击中近门柱
46'苏尼加为那不勒斯在左路,赢得一个任意球.                   45'第45分钟，塔赫特西迪斯传球，马基尼奥禁区左侧射门被罗萨蒂扑出，德斯特罗右侧凌空推射击中近门柱
46'罗马球员拉梅拉拼抢犯规,对手获得控球权.                   45'第45分钟，塔赫特西迪斯传球，马基尼奥禁区左侧射门被罗萨蒂扑出，德斯特罗右侧凌空推射击中近门柱
47'进球啦！！！罗马球员马基尼奥大禁区外右脚射门,球从右下角飞进球门,球进了!助攻的是拉梅拉. 罗马 1-0 那不勒斯.                   45'第45分钟，塔赫特西迪斯传球，马基尼奥禁区左侧射门被罗萨蒂扑出，德斯特罗右侧凌空推射击中近门柱
58'那不勒斯球员哈姆西克一脚直塞球给卡瓦尼,但是边裁举旗显示后者已经越位.                   58'第58分钟，拉梅拉直传，德斯特罗变线摆脱防守，在门前11米处左脚射门被罗萨蒂一扑慢慢滚进门内，2比0
58'进球啦！！！罗马球员德斯特罗大禁区中央左脚射门,球从左下角飞进球门,球进了!助攻的是拉梅拉. 罗马 2-0 那不勒斯.                   58'第58分钟，拉梅拉直传，德斯特罗变线摆脱防守，在门前11米处左脚射门被罗萨蒂一扑慢慢滚进门内，2比0
61'苏尼加为那不勒斯在左路,赢得一个任意球.                   58'第58分钟，拉梅拉直传，德斯特罗变线摆脱防守，在门前11米处左脚射门被罗萨蒂一扑慢慢滚进门内，2比0
