1'主裁判吹响了上半场比赛开始的哨音~                   1'拜仁第1分钟首先获得射门机会，阿拉巴传中，穆勒左脚凌空打偏
1'埃因霍温来开球~                   1'拜仁第1分钟首先获得射门机会，阿拉巴传中，穆勒左脚凌空打偏
1'埃因霍温右路的直塞被阿拉巴断下                   1'拜仁第1分钟首先获得射门机会，阿拉巴传中，穆勒左脚凌空打偏
2'拜仁忙中出错~被断球打了反击                   1'拜仁第1分钟首先获得射门机会，阿拉巴传中，穆勒左脚凌空打偏
2'右边路的传中被胡梅尔斯头球解围                   1'拜仁第1分钟首先获得射门机会，阿拉巴传中，穆勒左脚凌空打偏
2'埃因霍温开场之后就是一顿猛攻                   1'拜仁第1分钟首先获得射门机会，阿拉巴传中，穆勒左脚凌空打偏
2'拜仁得球之后稳一稳节奏                   1'拜仁第1分钟首先获得射门机会，阿拉巴传中，穆勒左脚凌空打偏
3'罗本带球内切，给到左侧~                   1'拜仁第1分钟首先获得射门机会，阿拉巴传中，穆勒左脚凌空打偏
3'阿拉巴直接传中了~~~                   1'拜仁第1分钟首先获得射门机会，阿拉巴传中，穆勒左脚凌空打偏
3'罗本抢点脚后跟的顺势打门~~~                   1'拜仁第1分钟首先获得射门机会，阿拉巴传中，穆勒左脚凌空打偏
3'擦柱而出                   1'拜仁第1分钟首先获得射门机会，阿拉巴传中，穆勒左脚凌空打偏
4'阿隆索在中场防守犯规了                   1'拜仁第1分钟首先获得射门机会，阿拉巴传中，穆勒左脚凌空打偏
4'埃因霍温定位球直接吊向禁区~来自瓜尔达多的传球直接出了底线                   1'拜仁第1分钟首先获得射门机会，阿拉巴传中，穆勒左脚凌空打偏
14'莱万突然倒在了地上                   14'埃因霍温第14分钟首次威胁就取得进球
14'裁判中断了比赛                   14'埃因霍温第14分钟首次威胁就取得进球
14'给了拜仁一个前场定位球                   14'埃因霍温第14分钟首次威胁就取得进球
14'慢动作来看是被对方的后卫莫雷罗打了一下，击中了肩膀                   14'埃因霍温第14分钟首次威胁就取得进球
14'问题不大，比赛继续                   14'埃因霍温第14分钟首次威胁就取得进球
14'阿隆索的定位球传中被对方后卫头球解围                   14'埃因霍温第14分钟首次威胁就取得进球
15'埃因霍温反击来了~~~                   14'埃因霍温第14分钟首次威胁就取得进球
15'Gooooooooooooooooooal~~~~                   14'埃因霍温第14分钟首次威胁就取得进球
15'有越位吗？                   14'埃因霍温第14分钟首次威胁就取得进球
15'慢动作来看是个很明显的越位~~~                   14'埃因霍温第14分钟首次威胁就取得进球
16'阿里亚斯的头球破门~~~                   14'埃因霍温第14分钟首次威胁就取得进球
16'埃因霍温右路反击传中~施瓦布头球被诺伊尔飞身扑出                   14'埃因霍温第14分钟首次威胁就取得进球
16'但是越位位置的阿里亚斯头球再顶~~将球顶入了空门                   14'埃因霍温第14分钟首次威胁就取得进球
16'慢动作来看这是一个明显的越位                   14'埃因霍温第14分钟首次威胁就取得进球
16'施瓦布头球的一瞬间，阿里亚斯已经越位了一个多身位                   14'埃因霍温第14分钟首次威胁就取得进球
