1'上半场比赛开始！！                   1'双方第1分钟对抗激烈
1'红衣红裤的皇马开球，从右向左进攻！                   1'双方第1分钟对抗激烈
1'卡瓦哈尔右路的直塞球，被抢断                   1'双方第1分钟对抗激烈
1'莱加内斯的左路反击，席尔瓦的强突                   1'双方第1分钟对抗激烈
2'可惜趟球趟大，球先出了边线                   1'双方第1分钟对抗激烈
2'尼奥姆右路拿球，传中被马塞洛一挡                   1'双方第1分钟对抗激烈
3'巴尔韦德拿球，回传马塞洛                   1'双方第1分钟对抗激烈
3'直塞左路回来接应的伊斯科                   1'双方第1分钟对抗激烈
3'伊斯科背身拿球，身后的佩雷斯上抢犯规！                   1'双方第1分钟对抗激烈
4'瓦拉内后场拿球，分球给到卡塞米罗                   1'双方第1分钟对抗激烈
4'卡塞米罗带球到前场，长传打身后                   1'双方第1分钟对抗激烈
4'尼奥姆回防，抢在上来的巴尔韦德之前将球控制                   1'双方第1分钟对抗激烈
14'尼奥姆右路拿球强突，被身后回防的伊斯科踢翻在地                   14'莱加内斯第14分钟错过机会，西奥瓦斯任意球混战中头球摆渡，布雷思韦特近距离头球攻门偏出
15'伊斯科这个是黄牌的动作，裁判仅仅口头警告一翻！                   14'莱加内斯第14分钟错过机会，西奥瓦斯任意球混战中头球摆渡，布雷思韦特近距离头球攻门偏出
15'现场球迷嘘声四起，莱加内斯的主帅也是不满！                   14'莱加内斯第14分钟错过机会，西奥瓦斯任意球混战中头球摆渡，布雷思韦特近距离头球攻门偏出
16'莱加内斯主帅佩莱格里诺是本赛季唯一一位与皇马三任主教练（洛佩特吉，索拉里和齐达内）都交过手的教练                   14'莱加内斯第14分钟错过机会，西奥瓦斯任意球混战中头球摆渡，布雷思韦特近距离头球攻门偏出
16'莱加内斯的前场进攻，左路传中到禁区                   14'莱加内斯第14分钟错过机会，西奥瓦斯任意球混战中头球摆渡，布雷思韦特近距离头球攻门偏出
16'埃拉索的头球摆渡到门前                   14'莱加内斯第14分钟错过机会，西奥瓦斯任意球混战中头球摆渡，布雷思韦特近距离头球攻门偏出
16'布莱斯维特抢在纳乔之前，头球轰门                   14'莱加内斯第14分钟错过机会，西奥瓦斯任意球混战中头球摆渡，布雷思韦特近距离头球攻门偏出
16'可惜顶偏了一点点，球擦着左侧立柱出底线                   14'莱加内斯第14分钟错过机会，西奥瓦斯任意球混战中头球摆渡，布雷思韦特近距离头球攻门偏出
17'皇马的前场进攻，莫德里奇的搓传到门前                   14'莱加内斯第14分钟错过机会，西奥瓦斯任意球混战中头球摆渡，布雷思韦特近距离头球攻门偏出
17'本泽马的抢点打门，被挡出！！                   14'莱加内斯第14分钟错过机会，西奥瓦斯任意球混战中头球摆渡，布雷思韦特近距离头球攻门偏出
17'马塞洛左路和尼奥姆的争抢                   14'莱加内斯第14分钟错过机会，西奥瓦斯任意球混战中头球摆渡，布雷思韦特近距离头球攻门偏出
17'尼奥姆解围球，打在马塞洛身上出底线                   14'莱加内斯第14分钟错过机会，西奥瓦斯任意球混战中头球摆渡，布雷思韦特近距离头球攻门偏出
45'皇马获得了左侧角球机会！！                   45'莱加内斯第45分钟打破僵局，布雷思韦特禁区内混战中回传，霍纳桑-席尔瓦禁区弧内射门，皮球擦左侧立柱入网
45'战术角球开出，伊斯科回传马塞洛                   45'莱加内斯第45分钟打破僵局，布雷思韦特禁区内混战中回传，霍纳桑-席尔瓦禁区弧内射门，皮球擦左侧立柱入网
45'马塞洛斜传球到禁区                   45'莱加内斯第45分钟打破僵局，布雷思韦特禁区内混战中回传，霍纳桑-席尔瓦禁区弧内射门，皮球擦左侧立柱入网
45'混战中，球落在了瓦拉内脚下                   45'莱加内斯第45分钟打破僵局，布雷思韦特禁区内混战中回传，霍纳桑-席尔瓦禁区弧内射门，皮球擦左侧立柱入网
45'瓦拉内的转身一脚低射，被皮楚封堵出来                   45'莱加内斯第45分钟打破僵局，布雷思韦特禁区内混战中回传，霍纳桑-席尔瓦禁区弧内射门，皮球擦左侧立柱入网
46'裁判吹罚了，禁区皇马球员抢点犯规在先！                   45'莱加内斯第45分钟打破僵局，布雷思韦特禁区内混战中回传，霍纳桑-席尔瓦禁区弧内射门，皮球擦左侧立柱入网
46'莱加内斯进球了，1-0！！                   45'莱加内斯第45分钟打破僵局，布雷思韦特禁区内混战中回传，霍纳桑-席尔瓦禁区弧内射门，皮球擦左侧立柱入网
46'席尔瓦！！！                   45'莱加内斯第45分钟打破僵局，布雷思韦特禁区内混战中回传，霍纳桑-席尔瓦禁区弧内射门，皮球擦左侧立柱入网
46'莱加内斯前场右路传中到禁区，混战中布莱斯维特的打门被挡，卡里略得球回传禁区弧顶，席尔瓦跟进一脚弧线球，打进了球门左上角                   45'莱加内斯第45分钟打破僵局，布雷思韦特禁区内混战中回传，霍纳桑-席尔瓦禁区弧内射门，皮球擦左侧立柱入网
46'下半场比赛开始！！                   45'莱加内斯第45分钟打破僵局，布雷思韦特禁区内混战中回传，霍纳桑-席尔瓦禁区弧内射门，皮球擦左侧立柱入网
46'莱加内斯开球，从右向左进攻！                   45'莱加内斯第45分钟打破僵局，布雷思韦特禁区内混战中回传，霍纳桑-席尔瓦禁区弧内射门，皮球擦左侧立柱入网
46'巴斯汀扎和伊斯科争抢，双双倒地！！                   45'莱加内斯第45分钟打破僵局，布雷思韦特禁区内混战中回传，霍纳桑-席尔瓦禁区弧内射门，皮球擦左侧立柱入网
46'裁判吹罚了巴斯汀扎的犯规！                   45'莱加内斯第45分钟打破僵局，布雷思韦特禁区内混战中回传，霍纳桑-席尔瓦禁区弧内射门，皮球擦左侧立柱入网
47'本泽马前场背身拿球，转身强突，球被破坏出边线                   45'莱加内斯第45分钟打破僵局，布雷思韦特禁区内混战中回传，霍纳桑-席尔瓦禁区弧内射门，皮球擦左侧立柱入网
