9'射门!!!热那亚球员贝尔托拉奇大禁区左侧左脚射门,被对方守门员横身扑出.                   9'开场9分钟，贝尔托拉奇突至禁区边缘左脚低射被阿比亚蒂没收
22'进球啦！！！AC米兰球员帕齐尼大禁区中央右脚射门,球从右上角飞进球门,球进了! 热那亚 0-1 AC米兰.                   22'第22分钟，帕齐尼中路分球后一瘸一拐，德希利奥右路低传，波尔塔诺瓦中路解围不远，帕齐尼在门前13米处大力抽射击中横梁下沿弹过门线，1比0
25'AC米兰换人,巴洛特利换下帕齐尼                   22'第22分钟，帕齐尼中路分球后一瘸一拐，德希利奥右路低传，波尔塔诺瓦中路解围不远，帕齐尼在门前13米处大力抽射击中横梁下沿弹过门线，1比0
25'托瑟尔为热那亚在对方半场,赢得一个任意球.                   22'第22分钟，帕齐尼中路分球后一瘸一拐，德希利奥右路低传，波尔塔诺瓦中路解围不远，帕齐尼在门前13米处大力抽射击中横梁下沿弹过门线，1比0
25'AC米兰球员巴洛特利拼抢犯规,对手获得控球权.                   22'第22分钟，帕齐尼中路分球后一瘸一拐，德希利奥右路低传，波尔塔诺瓦中路解围不远，帕齐尼在门前13米处大力抽射击中横梁下沿弹过门线，1比0
25'黄牌！AC米兰球员巴洛特利因为恶意犯规,被主裁判出示黄牌.                   22'第22分钟，帕齐尼中路分球后一瘸一拐，德希利奥右路低传，波尔塔诺瓦中路解围不远，帕齐尼在门前13米处大力抽射击中横梁下沿弹过门线，1比0
28'热那亚球员巴尔加斯大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是托瑟尔.                   28'第28分钟，达马托脚下滑倒，一屁股摔在泥里，引来看台哄笑
31'贝尔托拉奇为热那亚在对方半场,赢得一个任意球.                   28'第28分钟，达马托脚下滑倒，一屁股摔在泥里，引来看台哄笑
31'AC米兰球员蒙托利沃拼抢犯规,对手获得控球权.                   28'第28分钟，达马托脚下滑倒，一屁股摔在泥里，引来看台哄笑
33'巴洛特利将球处理出底线,热那亚获得角球.                   33'第33分钟，博沃右路任意球长传后门柱，特热尔小角度头球击中尼昂手臂，主裁判达马托没有理会热那亚的点球申诉
34'波尔塔诺瓦为热那亚赢得一个任意球.                   33'第33分钟，博沃右路任意球长传后门柱，特热尔小角度头球击中尼昂手臂，主裁判达马托没有理会热那亚的点球申诉
34'AC米兰球员巴洛特利拼抢犯规,对手获得控球权.                   33'第33分钟，博沃右路任意球长传后门柱，特热尔小角度头球击中尼昂手臂，主裁判达马托没有理会热那亚的点球申诉
35'热那亚球员巴尔加斯大禁区外左脚射门,被防守球员封堵.给他传球的是贝尔托拉奇.                   33'第33分钟，博沃右路任意球长传后门柱，特热尔小角度头球击中尼昂手臂，主裁判达马托没有理会热那亚的点球申诉
35'热那亚球员格兰奎斯特拼抢犯规,对手获得控球权.                   33'第33分钟，博沃右路任意球长传后门柱，特热尔小角度头球击中尼昂手臂，主裁判达马托没有理会热那亚的点球申诉
35'巴洛特利为AC米兰赢得一个任意球.                   33'第33分钟，博沃右路任意球长传后门柱，特热尔小角度头球击中尼昂手臂，主裁判达马托没有理会热那亚的点球申诉
39'热那亚球员博列洛大禁区中央尝试左脚射门,可惜皮球稍稍高出球门.给他传球的是托瑟尔.                   39'第39分钟，特热尔左侧开出任意球，博列洛后点距门11米处左脚凌空勾射高出，格兰奎斯特争顶任意球时被身后的尼昂推倒，达马托还是没有理会热那亚的抗议
40'热那亚球员贝尔托拉奇拼抢犯规,对手获得控球权.                   39'第39分钟，特热尔左侧开出任意球，博列洛后点距门11米处左脚凌空勾射高出，格兰奎斯特争顶任意球时被身后的尼昂推倒，达马托还是没有理会热那亚的抗议
40'蒙塔里为AC米兰赢得一个任意球.                   39'第39分钟，特热尔左侧开出任意球，博列洛后点距门11米处左脚凌空勾射高出，格兰奎斯特争顶任意球时被身后的尼昂推倒，达马托还是没有理会热那亚的抗议
47'热那亚球员博列洛手球犯规,对手获得球权.                   47'第47分钟，沙拉维个人突破距门24米处低射被弗雷得到
48'射门!!!AC米兰球员沙拉维大禁区外右脚射门,被对方守门员横身扑出.给他传球的是尼昂.                   47'第47分钟，沙拉维个人突破距门24米处低射被弗雷得到
48'博列洛为热那亚在左路,赢得一个任意球.                   47'第47分钟，沙拉维个人突破距门24米处低射被弗雷得到
48'AC米兰球员萨帕塔拼抢犯规,对手获得控球权.                   47'第47分钟，沙拉维个人突破距门24米处低射被弗雷得到
49'贝尔托拉奇为热那亚在对方半场,赢得一个任意球.                   47'第47分钟，沙拉维个人突破距门24米处低射被弗雷得到
49'AC米兰球员德希利奥拼抢犯规,对手获得控球权.                   47'第47分钟，沙拉维个人突破距门24米处低射被弗雷得到
49'射门!!!热那亚球员博沃大禁区外右脚射门,被对方守门员横身扑出.                   47'第47分钟，沙拉维个人突破距门24米处低射被弗雷得到
50'热那亚球员莫雷蒂拼抢犯规,对手获得控球权.                   47'第47分钟，沙拉维个人突破距门24米处低射被弗雷得到
50'尼昂为AC米兰在右路,赢得一个任意球.                   47'第47分钟，沙拉维个人突破距门24米处低射被弗雷得到
53'射门!!!热那亚球员巴尔加斯左脚射门,被对方守门员横身扑出.给他传球的是博沃.                   53'第53分钟，沙拉维左路低传，巴洛特利禁区前沿左脚大力抽射高出
53'AC米兰球员巴洛特利大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是沙拉维.                   53'第53分钟，沙拉维左路低传，巴洛特利禁区前沿左脚大力抽射高出
54'热那亚球员博沃大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   53'第53分钟，沙拉维左路低传，巴洛特利禁区前沿左脚大力抽射高出
54'射门!!!热那亚球员博列洛大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是博沃.                   53'第53分钟，沙拉维左路低传，巴洛特利禁区前沿左脚大力抽射高出
56'AC米兰球员弗拉米尼在禁区内摔倒了,但裁判判他假摔！                   53'第53分钟，沙拉维左路低传，巴洛特利禁区前沿左脚大力抽射高出
56'AC米兰球员弗拉米尼被主裁判出示了一张黄牌.                   53'第53分钟，沙拉维左路低传，巴洛特利禁区前沿左脚大力抽射高出
60'安东内利将球处理出底线,AC米兰获得角球.                   60'第60分钟，弗拉米尼前场抢断突破两人包夹，禁区右侧距门14米处低射被弗雷封出底线，AC米兰左侧开出角球，热那亚解围不干净，萨帕塔禁区前沿左脚塞球，巴洛特利右侧小禁区角上大力斜射入远角，2比0
60'射门!!!AC米兰球员弗拉米尼大禁区右侧右脚射门,被对方守门员横身扑出.                   60'第60分钟，弗拉米尼前场抢断突破两人包夹，禁区右侧距门14米处低射被弗雷封出底线，AC米兰左侧开出角球，热那亚解围不干净，萨帕塔禁区前沿左脚塞球，巴洛特利右侧小禁区角上大力斜射入远角，2比0
60'进球啦！！！AC米兰球员巴洛特利大禁区右侧右脚射门,球从左下角飞进球门,球进了!助攻的是萨帕塔. 热那亚 0-2 AC米兰.                   60'第60分钟，弗拉米尼前场抢断突破两人包夹，禁区右侧距门14米处低射被弗雷封出底线，AC米兰左侧开出角球，热那亚解围不干净，萨帕塔禁区前沿左脚塞球，巴洛特利右侧小禁区角上大力斜射入远角，2比0
62'AC米兰球员蒙塔里大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是沙拉维.                   60'第60分钟，弗拉米尼前场抢断突破两人包夹，禁区右侧距门14米处低射被弗雷封出底线，AC米兰左侧开出角球，热那亚解围不干净，萨帕塔禁区前沿左脚塞球，巴洛特利右侧小禁区角上大力斜射入远角，2比0
64'热那亚球员博沃拼抢犯规,对手获得控球权.                   64'第64分钟，博沃背后踢中康斯坦特腿部，康斯坦特起身后怒斥博沃伤人动作，双方球员卷入冲突，博沃和康斯坦特均吃到黄牌，康斯坦特累计2张黄牌被罚下
64'康斯坦特为AC米兰在左路,赢得一个任意球.                   64'第64分钟，博沃背后踢中康斯坦特腿部，康斯坦特起身后怒斥博沃伤人动作，双方球员卷入冲突，博沃和康斯坦特均吃到黄牌，康斯坦特累计2张黄牌被罚下
65'黄牌！热那亚球员博沃因为恶意犯规,被主裁判出示黄牌.                   64'第64分钟，博沃背后踢中康斯坦特腿部，康斯坦特起身后怒斥博沃伤人动作，双方球员卷入冲突，博沃和康斯坦特均吃到黄牌，康斯坦特累计2张黄牌被罚下
