1'比赛开始了！                   1'第1分钟，恩波利大有反客为主之势
1'米兰身穿红色球衣从右向左攻                   1'第1分钟，恩波利大有反客为主之势
2'开场后双方在中场拼抢很积极                   1'第1分钟，恩波利大有反客为主之势
4'恩波利右路进攻，普夏雷利小角度打门打在了边网上                   1'第1分钟，恩波利大有反客为主之势
4'恩波利右路卷土重来，但是传球到门前有些大了                   1'第1分钟，恩波利大有反客为主之势
9'米兰被迫换人了，阿莱士刚才受伤无法坚持了                   9'第9分钟，马里奥-鲁伊看到迭戈-洛佩斯站位靠前，中线直接左脚吊射蹭横梁上沿而出
9'恩波利左路角球开出到门前，被米兰破坏了                   9'第9分钟，马里奥-鲁伊看到迭戈-洛佩斯站位靠前，中线直接左脚吊射蹭横梁上沿而出
10'鲁伊吊门了，稍稍高出横梁，技术十分不错                   9'第9分钟，马里奥-鲁伊看到迭戈-洛佩斯站位靠前，中线直接左脚吊射蹭横梁上沿而出
10'英扎吉场面示意队员要冷静                   9'第9分钟，马里奥-鲁伊看到迭戈-洛佩斯站位靠前，中线直接左脚吊射蹭横梁上沿而出
12'恩波利左路再来，杰林斯基射门偏出左侧立柱                   9'第9分钟，马里奥-鲁伊看到迭戈-洛佩斯站位靠前，中线直接左脚吊射蹭横梁上沿而出
12'这段时间恩波利围攻米兰阿                   9'第9分钟，马里奥-鲁伊看到迭戈-洛佩斯站位靠前，中线直接左脚吊射蹭横梁上沿而出
37'恩波利左路鲁伊小角度打门被门前扑出                   37'第37分钟，马里奥-鲁伊左路小角度冷射被迭戈-洛佩斯单手一托偏出近门柱
39'波利手球犯规了，恩波前前场左路任意球机会                   37'第37分钟，马里奥-鲁伊左路小角度冷射被迭戈-洛佩斯单手一托偏出近门柱
39'任意球开出到门前，德容头球解围了                   37'第37分钟，马里奥-鲁伊左路小角度冷射被迭戈-洛佩斯单手一托偏出近门柱
40'米兰前场快速反击，恩波利门将冲出禁区破坏                   37'第37分钟，马里奥-鲁伊左路小角度冷射被迭戈-洛佩斯单手一托偏出近门柱
40'米兰前场快速反击，恩波利门将冲出禁区破坏                   40'第40分钟，梅内中路反击形成四打三，突入禁区分球，博纳文图拉左侧低传，德斯特罗在门前3米处铲进左下角，1比0，这是他本赛季联赛第6球，博纳文图拉本赛季3次助攻，追平上赛季效力亚特兰大的个人单赛季纪录
41'米兰进球了！梅内分边，博纳文图拉边路传中，门前德斯特罗 铲射得分                   40'第40分钟，梅内中路反击形成四打三，突入禁区分球，博纳文图拉左侧低传，德斯特罗在门前3米处铲进左下角，1比0，这是他本赛季联赛第6球，博纳文图拉本赛季3次助攻，追平上赛季效力亚特兰大的个人单赛季纪录
41'米兰这粒进球配合的很默契                   40'第40分钟，梅内中路反击形成四打三，突入禁区分球，博纳文图拉左侧低传，德斯特罗在门前3米处铲进左下角，1比0，这是他本赛季联赛第6球，博纳文图拉本赛季3次助攻，追平上赛季效力亚特兰大的个人单赛季纪录
43'米兰右路断球，德斯特罗面对多名防守队员快速突破                   40'第40分钟，梅内中路反击形成四打三，突入禁区分球，博纳文图拉左侧低传，德斯特罗在门前3米处铲进左下角，1比0，这是他本赛季联赛第6球，博纳文图拉本赛季3次助攻，追平上赛季效力亚特兰大的个人单赛季纪录
43'进球后德斯特罗越战越勇了                   40'第40分钟，梅内中路反击形成四打三，突入禁区分球，博纳文图拉左侧低传，德斯特罗在门前3米处铲进左下角，1比0，这是他本赛季联赛第6球，博纳文图拉本赛季3次助攻，追平上赛季效力亚特兰大的个人单赛季纪录
63'米兰右路掷界外球，中后场传递                   60'第60分钟，希塞右路传中，维尔迪左脚凌空打出弹地球被迭戈-洛佩斯得到
68'恩波利进球了！                   68'恩波利第68分钟追平，希塞右路斜传，马卡罗内在门前8米处顶出弹地球入左下角，1比1，他自2007年5月以来首次连续3轮意甲进球
69'希赛右路起球，马卡罗内在无人盯防下轻松将球顶进，拉米和帕莱塔谁也没有上前去干扰。                   68'恩波利第68分钟追平，希塞右路斜传，马卡罗内在门前8米处顶出弹地球入左下角，1比1，他自2007年5月以来首次连续3轮意甲进球
70'这段时间米兰后防风声鹤唳                   68'恩波利第68分钟追平，希塞右路斜传，马卡罗内在门前8米处顶出弹地球入左下角，1比1，他自2007年5月以来首次连续3轮意甲进球
70'刚才马卡罗内的斜射没打上力量                   68'恩波利第68分钟追平，希塞右路斜传，马卡罗内在门前8米处顶出弹地球入左下角，1比1，他自2007年5月以来首次连续3轮意甲进球
71'恩波利在丢球后始终没乱过，而米兰现在有些乱啊                   68'恩波利第68分钟追平，希塞右路斜传，马卡罗内在门前8米处顶出弹地球入左下角，1比1，他自2007年5月以来首次连续3轮意甲进球
71'梅内拿球突破，被放倒了                   68'恩波利第68分钟追平，希塞右路斜传，马卡罗内在门前8米处顶出弹地球入左下角，1比1，他自2007年5月以来首次连续3轮意甲进球
71'拉米横传进球还是被顶出                   68'恩波利第68分钟追平，希塞右路斜传，马卡罗内在门前8米处顶出弹地球入左下角，1比1，他自2007年5月以来首次连续3轮意甲进球
84'米兰前场丢球，塔瓦诺射门被洛佩斯挡出，但是洛佩斯禁区外手球吃到了红牌                   83'第83分钟，迭戈-洛佩斯开球不远，维尔迪挡给塔瓦诺，塔瓦诺右侧距门22米处射门，迭戈-洛佩斯冲出禁区左手托出底线
84'阿比亚蒂上场了，37岁的老将                   83'第83分钟，迭戈-洛佩斯开球不远，维尔迪挡给塔瓦诺，塔瓦诺右侧距门22米处射门，迭戈-洛佩斯冲出禁区左手托出底线
85'恩波利任意球机会，威尔第的打门打飞了                   83'第83分钟，迭戈-洛佩斯开球不远，维尔迪挡给塔瓦诺，塔瓦诺右侧距门22米处射门，迭戈-洛佩斯冲出禁区左手托出底线
86'米兰的打门被门将没收                   83'第83分钟，迭戈-洛佩斯开球不远，维尔迪挡给塔瓦诺，塔瓦诺右侧距门22米处射门，迭戈-洛佩斯冲出禁区左手托出底线
86'马卡罗内拉开空当打门偏出                   83'第83分钟，迭戈-洛佩斯开球不远，维尔迪挡给塔瓦诺，塔瓦诺右侧距门22米处射门，迭戈-洛佩斯冲出禁区左手托出底线
