10'左侧角球，战术角球给到蒂亚戈                   10'开场10分钟，格列兹曼直塞禁区，卡拉斯科左脚射门被诺伊尔得到
10'在分给拉菲尼亚，吊向禁区                   10'开场10分钟，格列兹曼直塞禁区，卡拉斯科左脚射门被诺伊尔得到
10'这球被奥布拉克直接没收                   10'开场10分钟，格列兹曼直塞禁区，卡拉斯科左脚射门被诺伊尔得到
10'大脚开出，科克争顶下来                   10'开场10分钟，格列兹曼直塞禁区，卡拉斯科左脚射门被诺伊尔得到
10'迅速快攻，打到禁区内，胡梅尔斯控制落点                   10'开场10分钟，格列兹曼直塞禁区，卡拉斯科左脚射门被诺伊尔得到
10'莱万回撤拿球，在给到左侧科斯塔                   10'开场10分钟，格列兹曼直塞禁区，卡拉斯科左脚射门被诺伊尔得到
11'无法向前，先回敲给贝尔纳特                   10'开场10分钟，格列兹曼直塞禁区，卡拉斯科左脚射门被诺伊尔得到
11'贝尔纳特停球失误出界                   10'开场10分钟，格列兹曼直塞禁区，卡拉斯科左脚射门被诺伊尔得到
11'萨乌尔交给加比，回敲给萨维奇                   10'开场10分钟，格列兹曼直塞禁区，卡拉斯科左脚射门被诺伊尔得到
12'在给卢卡斯，前面交到萨乌尔                   10'开场10分钟，格列兹曼直塞禁区，卡拉斯科左脚射门被诺伊尔得到
12'边路狂奔过来，左侧直塞到禁区                   10'开场10分钟，格列兹曼直塞禁区，卡拉斯科左脚射门被诺伊尔得到
12'准确找到卡拉斯科，扛住胡梅尔斯，抽射。。。                   10'开场10分钟，格列兹曼直塞禁区，卡拉斯科左脚射门被诺伊尔得到
12'诺伊尔倒地，飞扑把球挡出                   10'开场10分钟，格列兹曼直塞禁区，卡拉斯科左脚射门被诺伊尔得到
12'马竞的进攻效率很高啊                   10'开场10分钟，格列兹曼直塞禁区，卡拉斯科左脚射门被诺伊尔得到
13'马竞很克拜仁，马竞就不怕能控球滴                   10'开场10分钟，格列兹曼直塞禁区，卡拉斯科左脚射门被诺伊尔得到
13'比达尔后场交给阿拉巴，在给到蒂亚戈                   10'开场10分钟，格列兹曼直塞禁区，卡拉斯科左脚射门被诺伊尔得到
28'科斯塔左侧拿球，在给蒂亚戈，中路找到莱万                   28'拜仁第28分钟取得领先
28'莱万拿球搓到禁区，后点弗尔萨里科解围                   28'拜仁第28分钟取得领先
28'弧顶附近卡拉斯科防守绊倒了贝尔纳特                   28'拜仁第28分钟取得领先
29'这个定位球位置极佳啊，距离大门20米多一点。弧顶左侧                   28'拜仁第28分钟取得领先
29'莱万准备来主罚                   28'拜仁第28分钟取得领先
29'莱万联赛里刚刚射入过美因茨一个类似位置的任意球                   28'拜仁第28分钟取得领先
29'果然，，，莱万直接射门刺穿了奥布拉克的大门                   28'拜仁第28分钟取得领先
29'莱万脚感火热啊                   28'拜仁第28分钟取得领先
30'莱万几乎是原地的助跑，右脚内脚背搓出一记精彩弧线，直挂近角，奥布拉克飞扑也未能够到，太刁了                   28'拜仁第28分钟取得领先
31'大中锋连续两场任意球直接破门，这也是太666了                   28'拜仁第28分钟取得领先
31'这样的话，比赛更加好看了。马竞需要攻出来了                   28'拜仁第28分钟取得领先
31'这样的一场比赛，双方都没有成绩上的压力，没所谓了。。放松打                   28'拜仁第28分钟取得领先
77'科斯塔突破下底，传起来到门前                   77'拜仁第77分钟错过良机，道格拉斯-科斯塔禁区左侧下底传中，蒂亚戈没有调整好布点，在门前4米处抢点左脚打飞
77'中路，，小禁区包抄，空门了呀                   77'拜仁第77分钟错过良机，道格拉斯-科斯塔禁区左侧下底传中，蒂亚戈没有调整好布点，在门前4米处抢点左脚打飞
77'蒂亚戈跟上撞射，，居然打高                   77'拜仁第77分钟错过良机，道格拉斯-科斯塔禁区左侧下底传中，蒂亚戈没有调整好布点，在门前4米处抢点左脚打飞
77'这球，，，绝佳的机会啊。奥布拉克几乎投降了                   77'拜仁第77分钟错过良机，道格拉斯-科斯塔禁区左侧下底传中，蒂亚戈没有调整好布点，在门前4米处抢点左脚打飞
77'球在蒂亚戈面前有个弹地，未能控制好啊。。比较可惜                   77'拜仁第77分钟错过良机，道格拉斯-科斯塔禁区左侧下底传中，蒂亚戈没有调整好布点，在门前4米处抢点左脚打飞
78'比赛接近80分钟了，拜仁还是不换人                   77'拜仁第77分钟错过良机，道格拉斯-科斯塔禁区左侧下底传中，蒂亚戈没有调整好布点，在门前4米处抢点左脚打飞
78'卢卡斯左侧带球插上，罗本犯规                   77'拜仁第77分钟错过良机，道格拉斯-科斯塔禁区左侧下底传中，蒂亚戈没有调整好布点，在门前4米处抢点左脚打飞
78'前场定位球，加比把球传起来                   77'拜仁第77分钟错过良机，道格拉斯-科斯塔禁区左侧下底传中，蒂亚戈没有调整好布点，在门前4米处抢点左脚打飞
79'戈丁头球摆渡向门前，科斯塔倒钩解围                   77'拜仁第77分钟错过良机，道格拉斯-科斯塔禁区左侧下底传中，蒂亚戈没有调整好布点，在门前4米处抢点左脚打飞
