2'索萨为AC米兰在右路,赢得一个任意球.                   1'第1分钟场面势均力敌，尼昂传中险些造成什克里尼亚尔乌龙
2'桑普多利亚球员利内蒂拼抢犯规,对手获得控球权.                   1'第1分钟场面势均力敌，尼昂传中险些造成什克里尼亚尔乌龙
4'托雷亚为桑普多利亚赢得一个任意球.                   1'第1分钟场面势均力敌，尼昂传中险些造成什克里尼亚尔乌龙
4'AC米兰球员蒙托利沃拼抢犯规,对手获得控球权.                   1'第1分钟场面势均力敌，尼昂传中险些造成什克里尼亚尔乌龙
29'AC米兰球员拉帕杜拉大禁区中央尝试左脚射门,可惜皮球高出球门.给他传球的是博纳文图拉.                   29'AC米兰第29分钟获得上半时最佳机会，博纳文图拉左侧中线长传过顶，拉帕杜拉前插形成单刀，禁区左侧距门13米处左脚凌空打高
29'桑普多利亚萨拉受伤倒地,比赛暂停                   29'AC米兰第29分钟获得上半时最佳机会，博纳文图拉左侧中线长传过顶，拉帕杜拉前插形成单刀，禁区左侧距门13米处左脚凌空打高
31'暂停结束,球员们重新开始比赛.                   29'AC米兰第29分钟获得上半时最佳机会，博纳文图拉左侧中线长传过顶，拉帕杜拉前插形成单刀，禁区左侧距门13米处左脚凌空打高
31'桑普多利亚换人,佩雷拉上,萨拉因伤下场.                   29'AC米兰第29分钟获得上半时最佳机会，博纳文图拉左侧中线长传过顶，拉帕杜拉前插形成单刀，禁区左侧距门13米处左脚凌空打高
74'射门!!!AC米兰球员巴卡大禁区外右脚射门,被对方守门员横身扑出.给他传球的是尼昂.                   74'AC米兰第74分钟险些破门，尼昂左路内切外脚背传中，巴卡护球转身距门16米处抽射被维维亚诺倒地一扑击中右门柱
75'西尔维斯特雷将球处理出底线,AC米兰获得角球.                   74'AC米兰第74分钟险些破门，尼昂左路内切外脚背传中，巴卡护球转身距门16米处抽射被维维亚诺倒地一扑击中右门柱
75'AC米兰球员卡拉大禁区外右脚射门,被防守球员封堵.                   74'AC米兰第74分钟险些破门，尼昂左路内切外脚背传中，巴卡护球转身距门16米处抽射被维维亚诺倒地一扑击中右门柱
84'桑普多利亚球员L-穆里尔手球犯规,对手获得球权.                   84'第84分钟，巴雷托分球，穆列尔禁区左侧停球打进，但被判手球吃到黄牌，进球无效
84'黄牌！桑普多利亚球员L-穆里尔因为故意手球,被主裁判出示黄牌.                   84'第84分钟，巴雷托分球，穆列尔禁区左侧停球打进，但被判手球吃到黄牌，进球无效
85'进球啦！！！AC米兰球员巴卡大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是苏索. 桑普多利亚 0-1 AC米兰.                   84'第84分钟，巴雷托分球，穆列尔禁区左侧停球打进，但被判手球吃到黄牌，进球无效
