19'比查克契奇将球处理出底线,拜仁慕尼黑获得角球.                   19'第19分钟，克罗斯开出角球，丹特头球攻门，博兰德远门柱边头球解围
20'拜仁慕尼黑球员丹特大禁区中央头球,被防守球员封堵.给他传球的是克罗斯.                   19'第19分钟，克罗斯开出角球，丹特头球攻门，博兰德远门柱边头球解围
21'拜仁慕尼黑球员格策大禁区中央右脚射门,被防守球员封堵.给他传球的是罗本.                   19'第19分钟，克罗斯开出角球，丹特头球攻门，博兰德远门柱边头球解围
43'拜仁慕尼黑球员哈维-马丁内斯大禁区中央尝试头球,可惜皮球偏出球门.给他传球的是克罗斯.                   43'第43分钟，克罗斯开出任意球，马丁内斯头球蹭出右上角
45'+1'上半场结束,拜仁慕尼黑 2-0 不伦瑞克,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，克罗斯开出任意球，马丁内斯头球蹭出右上角
55'不伦瑞克球员比查克契奇球门线跟前尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是克拉茨.                   55'下半时开始10分钟，克拉茨右侧角球被漏过，后点无人盯防的比查克契奇左脚垫射打偏
55'达瓦里将球处理出底线,拜仁慕尼黑获得角球.                   55'下半时开始10分钟，克拉茨右侧角球被漏过，后点无人盯防的比查克契奇左脚垫射打偏
56'库姆贝拉为不伦瑞克赢得一个任意球.                   55'下半时开始10分钟，克拉茨右侧角球被漏过，后点无人盯防的比查克契奇左脚垫射打偏
56'拜仁慕尼黑球员穆勒拼抢犯规,对手获得控球权.                   55'下半时开始10分钟，克拉茨右侧角球被漏过，后点无人盯防的比查克契奇左脚垫射打偏
57'不伦瑞克球员博兰德拼抢犯规,对手获得控球权.                   55'下半时开始10分钟，克拉茨右侧角球被漏过，后点无人盯防的比查克契奇左脚垫射打偏
57'哈维-马丁内斯为拜仁慕尼黑赢得一个任意球.                   55'下半时开始10分钟，克拉茨右侧角球被漏过，后点无人盯防的比查克契奇左脚垫射打偏
57'拜仁慕尼黑换人,曼朱基齐换下穆勒                   55'下半时开始10分钟，克拉茨右侧角球被漏过，后点无人盯防的比查克契奇左脚垫射打偏
61'不伦瑞克球员托伊尔考夫拼抢犯规,对手获得控球权.                   61'第61分钟，克罗斯右侧开出任意球，马丁内斯头球偏出远门柱
61'罗本为拜仁慕尼黑在右路,赢得一个任意球.                   61'第61分钟，克罗斯右侧开出任意球，马丁内斯头球偏出远门柱
61'拜仁慕尼黑球员哈维-马丁内斯球门线跟前尝试头球,可惜皮球偏出球门.给他传球的是克罗斯.                   61'第61分钟，克罗斯右侧开出任意球，马丁内斯头球偏出远门柱
63'克拉茨为不伦瑞克赢得一个任意球.                   61'第61分钟，克罗斯右侧开出任意球，马丁内斯头球偏出远门柱
63'拜仁慕尼黑球员哈维-马丁内斯拼抢犯规,对手获得控球权.                   61'第61分钟，克罗斯右侧开出任意球，马丁内斯头球偏出远门柱
63'库姆贝拉为不伦瑞克在对方半场,赢得一个任意球.                   61'第61分钟，克罗斯右侧开出任意球，马丁内斯头球偏出远门柱
63'拜仁慕尼黑球员丹特拼抢犯规,对手获得控球权.                   61'第61分钟，克罗斯右侧开出任意球，马丁内斯头球偏出远门柱
64'不伦瑞克球员托伊尔考夫拼抢犯规,对手获得控球权.                   61'第61分钟，克罗斯右侧开出任意球，马丁内斯头球偏出远门柱
64'拉菲尼亚为拜仁慕尼黑赢得一个任意球.                   61'第61分钟，克罗斯右侧开出任意球，马丁内斯头球偏出远门柱
47'射门!!!不伦瑞克球员卡利朱里大禁区外右脚射门,被对方守门员横身扑出.                   46'1分钟后，诺伊尔冲出禁区在库姆贝拉脚下解围，却将球铲到科特脚下，科特左脚推射空门，阿拉巴回追破坏出底线
88'达瓦里将球处理出底线,拜仁慕尼黑获得角球.                   88'第88分钟，罗本右侧小角度任意球偏出远门柱
89'不伦瑞克球员库姆贝拉拼抢犯规,对手获得控球权.                   88'第88分钟，罗本右侧小角度任意球偏出远门柱
89'范比滕为拜仁慕尼黑赢得一个任意球.                   88'第88分钟，罗本右侧小角度任意球偏出远门柱
90'+1'拜仁慕尼黑球员罗本大禁区左侧左脚射门,被防守球员封堵.                   88'第88分钟，罗本右侧小角度任意球偏出远门柱
90'+1'多安将球处理出底线,拜仁慕尼黑获得角球.                   88'第88分钟，罗本右侧小角度任意球偏出远门柱
90'+2'不伦瑞克球员克拉茨拼抢犯规,对手获得控球权.                   88'第88分钟，罗本右侧小角度任意球偏出远门柱
90'+2'哈维-马丁内斯为拜仁慕尼黑赢得一个任意球.                   88'第88分钟，罗本右侧小角度任意球偏出远门柱
90'+3'下半场结束,拜仁慕尼黑 2-0 不伦瑞克                   88'第88分钟，罗本右侧小角度任意球偏出远门柱
