1'上半场开始了                   1'第1分钟，小阿扎尔传球，德尔米奇头球偏出
1'门兴率先开球                   1'第1分钟，小阿扎尔传球，德尔米奇头球偏出
1'今天门兴身穿黑色球衣                   1'第1分钟，小阿扎尔传球，德尔米奇头球偏出
1'拜仁身穿传统红色球衣                   1'第1分钟，小阿扎尔传球，德尔米奇头球偏出
2'门兴后场推进                   1'第1分钟，小阿扎尔传球，德尔米奇头球偏出
2'交给索默，分右侧埃尔维迪                   1'第1分钟，小阿扎尔传球，德尔米奇头球偏出
3'长传前场中路                   1'第1分钟，小阿扎尔传球，德尔米奇头球偏出
3'拼抢后拉斐尔得球                   1'第1分钟，小阿扎尔传球，德尔米奇头球偏出
3'交给德尔米奇，回传中路                   1'第1分钟，小阿扎尔传球，德尔米奇头球偏出
3'扎卡里亚得球直塞禁区                   1'第1分钟，小阿扎尔传球，德尔米奇头球偏出
3'德尔米奇拿球越位了                   1'第1分钟，小阿扎尔传球，德尔米奇头球偏出
3'长传前场中路                   3'门兴第3脚射门取得领先，第9分钟，霍夫曼传球，德尔米奇右路突入禁区急停扣过聚勒，在门前9米处左脚斜射入远角，1比0
3'拼抢后拉斐尔得球                   3'门兴第3脚射门取得领先，第9分钟，霍夫曼传球，德尔米奇右路突入禁区急停扣过聚勒，在门前9米处左脚斜射入远角，1比0
3'交给德尔米奇，回传中路                   3'门兴第3脚射门取得领先，第9分钟，霍夫曼传球，德尔米奇右路突入禁区急停扣过聚勒，在门前9米处左脚斜射入远角，1比0
3'扎卡里亚得球直塞禁区                   3'门兴第3脚射门取得领先，第9分钟，霍夫曼传球，德尔米奇右路突入禁区急停扣过聚勒，在门前9米处左脚斜射入远角，1比0
3'德尔米奇拿球越位了                   3'门兴第3脚射门取得领先，第9分钟，霍夫曼传球，德尔米奇右路突入禁区急停扣过聚勒，在门前9米处左脚斜射入远角，1比0
6'拉斐尔左侧推进，连续抹过三人                   3'门兴第3脚射门取得领先，第9分钟，霍夫曼传球，德尔米奇右路突入禁区急停扣过聚勒，在门前9米处左脚斜射入远角，1比0
