20'峰丶枫: 是那个 NBA的不？---你猜对了                   20'双方前20分钟的比赛陷入僵持局面
20'纳斯里跟萨巴莱塔来个撞墙式配合                   20'双方前20分钟的比赛陷入僵持局面
20'可惜纳斯里的传球出了底线                   20'双方前20分钟的比赛陷入僵持局面
21'纳斯里已经很久没有首发打比赛了                   20'双方前20分钟的比赛陷入僵持局面
21'跟队友的配合也稍显生疏                   20'双方前20分钟的比赛陷入僵持局面
21'纳斯里变向突破，传中球打在了后卫腿上                   20'双方前20分钟的比赛陷入僵持局面
21'古铁雷斯解围球被巴里拦截                   20'双方前20分钟的比赛陷入僵持局面
22'不过裁判吹了巴里犯规                   20'双方前20分钟的比赛陷入僵持局面
22'他在身后撞倒了西索科                   20'双方前20分钟的比赛陷入僵持局面
22'两队都有不少的球员周中打过国家队的比赛                   20'双方前20分钟的比赛陷入僵持局面
22'FIFA病毒，纽卡一点都不比曼城少                   20'双方前20分钟的比赛陷入僵持局面
22'特维斯被安尼塔放倒了                   20'双方前20分钟的比赛陷入僵持局面
22'裁判警告了纽卡的起源                   20'双方前20分钟的比赛陷入僵持局面
23'曼城禁区前连续的短传配合                   20'双方前20分钟的比赛陷入僵持局面
23'挺流畅的，不过最后一脚特维斯的斜传出了底线                   20'双方前20分钟的比赛陷入僵持局面
24'安尼塔精准的斜长传                   24'纽卡斯尔第24分钟险些破门，阿尼塔直传，西塞禁区右侧的小角度射门憾中近角立柱
24'西塞瞄了很久，摆腿凌空抽射，这球是被哈特用腿挡出底线                   24'纽卡斯尔第24分钟险些破门，阿尼塔直传，西塞禁区右侧的小角度射门憾中近角立柱
24'不过裁判貌似是吹了越位在先                   24'纽卡斯尔第24分钟险些破门，阿尼塔直传，西塞禁区右侧的小角度射门憾中近角立柱
25'纳斯里转身过人，漂亮！                   24'纽卡斯尔第24分钟险些破门，阿尼塔直传，西塞禁区右侧的小角度射门憾中近角立柱
25'连过对方两名后卫                   24'纽卡斯尔第24分钟险些破门，阿尼塔直传，西塞禁区右侧的小角度射门憾中近角立柱
25'传门前，被门将挡了一下                   24'纽卡斯尔第24分钟险些破门，阿尼塔直传，西塞禁区右侧的小角度射门憾中近角立柱
25'而巴里面对着空门，居然推高了                   24'纽卡斯尔第24分钟险些破门，阿尼塔直传，西塞禁区右侧的小角度射门憾中近角立柱
25'巴里这是在解围吗？                   24'纽卡斯尔第24分钟险些破门，阿尼塔直传，西塞禁区右侧的小角度射门憾中近角立柱
26'没有任何人的干扰，巴里的后卫脚法挽救了纽卡                   24'纽卡斯尔第24分钟险些破门，阿尼塔直传，西塞禁区右侧的小角度射门憾中近角立柱
26'纽卡连续的犯规                   24'纽卡斯尔第24分钟险些破门，阿尼塔直传，西塞禁区右侧的小角度射门憾中近角立柱
26'又是安尼塔吧                   24'纽卡斯尔第24分钟险些破门，阿尼塔直传，西塞禁区右侧的小角度射门憾中近角立柱
27'这一次裁判不再留情                   24'纽卡斯尔第24分钟险些破门，阿尼塔直传，西塞禁区右侧的小角度射门憾中近角立柱
27'给了他一张黄牌                   24'纽卡斯尔第24分钟险些破门，阿尼塔直传，西塞禁区右侧的小角度射门憾中近角立柱
27'这一次他是铲倒了过了他的席尔瓦                   24'纽卡斯尔第24分钟险些破门，阿尼塔直传，西塞禁区右侧的小角度射门憾中近角立柱
27'曼城获得了一个位置不错的定位球                   24'纽卡斯尔第24分钟险些破门，阿尼塔直传，西塞禁区右侧的小角度射门憾中近角立柱
27'直接打门！特维斯高出了横梁                   24'纽卡斯尔第24分钟险些破门，阿尼塔直传，西塞禁区右侧的小角度射门憾中近角立柱
26'没有任何人的干扰，巴里的后卫脚法挽救了纽卡                   26'第26分钟，阿尼塔禁区前对席尔瓦犯规被罚黄牌，特维斯25码处任意球直接射门稍稍高出
26'纽卡连续的犯规                   26'第26分钟，阿尼塔禁区前对席尔瓦犯规被罚黄牌，特维斯25码处任意球直接射门稍稍高出
26'又是安尼塔吧                   26'第26分钟，阿尼塔禁区前对席尔瓦犯规被罚黄牌，特维斯25码处任意球直接射门稍稍高出
27'这一次裁判不再留情                   26'第26分钟，阿尼塔禁区前对席尔瓦犯规被罚黄牌，特维斯25码处任意球直接射门稍稍高出
27'给了他一张黄牌                   26'第26分钟，阿尼塔禁区前对席尔瓦犯规被罚黄牌，特维斯25码处任意球直接射门稍稍高出
27'这一次他是铲倒了过了他的席尔瓦                   26'第26分钟，阿尼塔禁区前对席尔瓦犯规被罚黄牌，特维斯25码处任意球直接射门稍稍高出
27'曼城获得了一个位置不错的定位球                   26'第26分钟，阿尼塔禁区前对席尔瓦犯规被罚黄牌，特维斯25码处任意球直接射门稍稍高出
27'直接打门！特维斯高出了横梁                   26'第26分钟，阿尼塔禁区前对席尔瓦犯规被罚黄牌，特维斯25码处任意球直接射门稍稍高出
28'游客6484: 赛季都快完了，曼城的阵容才算齐整点啊---这么说曼奇尼其实责任并不大？                   26'第26分钟，阿尼塔禁区前对席尔瓦犯规被罚黄牌，特维斯25码处任意球直接射门稍稍高出
29'纽卡跟曼城的实力差距还是明显的                   26'第26分钟，阿尼塔禁区前对席尔瓦犯规被罚黄牌，特维斯25码处任意球直接射门稍稍高出
29'曼城在右路连续的短传配合，特维斯被放倒了                   26'第26分钟，阿尼塔禁区前对席尔瓦犯规被罚黄牌，特维斯25码处任意球直接射门稍稍高出
29'卡巴耶也领到了黄牌                   26'第26分钟，阿尼塔禁区前对席尔瓦犯规被罚黄牌，特维斯25码处任意球直接射门稍稍高出
29'卡巴耶这个踢人的动作很大啊                   26'第26分钟，阿尼塔禁区前对席尔瓦犯规被罚黄牌，特维斯25码处任意球直接射门稍稍高出
29'吃红牌都不为过                   26'第26分钟，阿尼塔禁区前对席尔瓦犯规被罚黄牌，特维斯25码处任意球直接射门稍稍高出
33'让他打首发确实效果没有替补好                   33'曼城连续施压，第33分钟，纳斯里传球，巴里禁区前劲射被史蒂文-泰勒用左肩挡出
33'辛普森的传中被图雷给挡了回去                   33'曼城连续施压，第33分钟，纳斯里传球，巴里禁区前劲射被史蒂文-泰勒用左肩挡出
33'曼城反击机会                   33'曼城连续施压，第33分钟，纳斯里传球，巴里禁区前劲射被史蒂文-泰勒用左肩挡出
34'哲科拉到边路来传中，效果不太好                   33'曼城连续施压，第33分钟，纳斯里传球，巴里禁区前劲射被史蒂文-泰勒用左肩挡出
34'这种球更应该由队友来给他传的                   33'曼城连续施压，第33分钟，纳斯里传球，巴里禁区前劲射被史蒂文-泰勒用左肩挡出
34'曼城获得了一个角球                   33'曼城连续施压，第33分钟，纳斯里传球，巴里禁区前劲射被史蒂文-泰勒用左肩挡出
34'前点的头球！哲科！擦着远端立柱出了底线                   33'曼城连续施压，第33分钟，纳斯里传球，巴里禁区前劲射被史蒂文-泰勒用左肩挡出
35'球还是在曼城的控制之下                   33'曼城连续施压，第33分钟，纳斯里传球，巴里禁区前劲射被史蒂文-泰勒用左肩挡出
36'古铁雷斯解围球踢在了特维斯的腿上弹出边线                   33'曼城连续施压，第33分钟，纳斯里传球，巴里禁区前劲射被史蒂文-泰勒用左肩挡出
37'西塞在前面没有什么机会                   37'第37分钟，哲科传球，克里希禁区左侧10码处劲射被埃里奥特扑出
37'刚才回撤到中场参与防守，踢人犯规了                   37'第37分钟，哲科传球，克里希禁区左侧10码处劲射被埃里奥特扑出
37'纳斯里右路传中，前点的哲科头球蹭了一下                   37'第37分钟，哲科传球，克里希禁区左侧10码处劲射被埃里奥特扑出
37'克里希一脚抽射被门将扑了一下                   37'第37分钟，哲科传球，克里希禁区左侧10码处劲射被埃里奥特扑出
38'曼城机会不少，可惜都没有把握住                   37'第37分钟，哲科传球，克里希禁区左侧10码处劲射被埃里奥特扑出
38'埃里奥特拖延开球，被裁判警告                   37'第37分钟，哲科传球，克里希禁区左侧10码处劲射被埃里奥特扑出
38'纽卡今天就奔着1分来的                   37'第37分钟，哲科传球，克里希禁区左侧10码处劲射被埃里奥特扑出
39'席尔瓦！                   37'第37分钟，哲科传球，克里希禁区左侧10码处劲射被埃里奥特扑出
39'越位了！                   37'第37分钟，哲科传球，克里希禁区左侧10码处劲射被埃里奥特扑出
39'虽然球是进了，但是边裁已经举旗示意                   37'第37分钟，哲科传球，克里希禁区左侧10码处劲射被埃里奥特扑出
39'慢动作来看席尔瓦确实是越位                   37'第37分钟，哲科传球，克里希禁区左侧10码处劲射被埃里奥特扑出
40'西塞在前场争抢高空球，也被吹越位                   37'第37分钟，哲科传球，克里希禁区左侧10码处劲射被埃里奥特扑出
39'席尔瓦！                   39'第39分钟，巴里直传，席尔瓦捅射破门被判越位在先
39'越位了！                   39'第39分钟，巴里直传，席尔瓦捅射破门被判越位在先
39'虽然球是进了，但是边裁已经举旗示意                   39'第39分钟，巴里直传，席尔瓦捅射破门被判越位在先
39'慢动作来看席尔瓦确实是越位                   39'第39分钟，巴里直传，席尔瓦捅射破门被判越位在先
40'西塞在前场争抢高空球，也被吹越位                   39'第39分钟，巴里直传，席尔瓦捅射破门被判越位在先
41'特维斯！！！                   39'第39分钟，巴里直传，席尔瓦捅射破门被判越位在先
41'曼城终于进球了！                   39'第39分钟，巴里直传，席尔瓦捅射破门被判越位在先
41'还是老套路的边路传中，席尔瓦带球分边，而克里希的传中给到了后点，特维斯倒地铲射把球送入网窝                   39'第39分钟，巴里直传，席尔瓦捅射破门被判越位在先
42'这下纽卡就不得不改变战术了                   39'第39分钟，巴里直传，席尔瓦捅射破门被判越位在先
43'哲科倒在了对方禁区内                   43'第43分钟，哲科禁区内被推倒未被判罚，特维斯迂回至禁区边缘的劲射偏出
43'裁判示意比赛继续                   43'第43分钟，哲科禁区内被推倒未被判罚，特维斯迂回至禁区边缘的劲射偏出
43'特维斯调整了一下，禁区外远射！打偏了                   43'第43分钟，哲科禁区内被推倒未被判罚，特维斯迂回至禁区边缘的劲射偏出
43'萨巴莱塔争抢头球撞倒了奥贝坦                   43'第43分钟，哲科禁区内被推倒未被判罚，特维斯迂回至禁区边缘的劲射偏出
44'纽卡的前场定位球                   43'第43分钟，哲科禁区内被推倒未被判罚，特维斯迂回至禁区边缘的劲射偏出
44'纽卡长传送入禁区，哈特把球没收                   43'第43分钟，哲科禁区内被推倒未被判罚，特维斯迂回至禁区边缘的劲射偏出
44'手抛球发动反击                   43'第43分钟，哲科禁区内被推倒未被判罚，特维斯迂回至禁区边缘的劲射偏出
