7'进球啦！！！卡塔尼亚球员博格西奥球门左侧小角度右脚射门,球从左下角飞进球门,球进了! 卡塔尼亚 1-0 国际米兰.                   7'开场7分钟，洛迪直传禁区右侧，贝赫西奥转身左脚勾射被封堵
9'库兹曼诺维奇为国际米兰在对方半场,赢得一个任意球.                   7'开场7分钟，洛迪直传禁区右侧，贝赫西奥转身左脚勾射被封堵
9'卡塔尼亚球员卡斯特罗拼抢犯规,对手获得控球权.                   7'开场7分钟，洛迪直传禁区右侧，贝赫西奥转身左脚勾射被封堵
14'射门!!!卡塔尼亚球员A-戈麦斯大禁区外右脚射门,被对方守门员横身扑出.                   14'第14分钟，小胡安再度解围失误，戈麦斯禁区前沿低射被汉达诺维奇没收
14'谢洛托为国际米兰赢得一个任意球.                   14'第14分钟，小胡安再度解围失误，戈麦斯禁区前沿低射被汉达诺维奇没收
14'卡塔尼亚球员A-戈麦斯拼抢犯规,对手获得控球权.                   14'第14分钟，小胡安再度解围失误，戈麦斯禁区前沿低射被汉达诺维奇没收
17'国际米兰球员瓜林大禁区外右脚射门,被防守球员封堵.                   14'第14分钟，小胡安再度解围失误，戈麦斯禁区前沿低射被汉达诺维奇没收
19'进球啦！！！卡塔尼亚球员马切塞小禁区左侧头球,球从右下角飞进球门,球进了!助攻的是洛迪. 卡塔尼亚 2-0 国际米兰.                   19'国米第19分钟再丢一球，洛迪中路任意球吊入禁区左侧，马尔凯塞在门前7米处小角度头球顶进远角，2比0
22'国际米兰球员罗基拼抢犯规,对手获得控球权.                   19'国米第19分钟再丢一球，洛迪中路任意球吊入禁区左侧，马尔凯塞在门前7米处小角度头球顶进远角，2比0
22'斯波利为卡塔尼亚在对方半场,赢得一个任意球.                   19'国米第19分钟再丢一球，洛迪中路任意球吊入禁区左侧，马尔凯塞在门前7米处小角度头球顶进远角，2比0
23'射门!!!国际米兰球员罗基大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是瓜林.                   23'第23分钟，瓜林右路斜塞禁区，罗基在门前10米处侧身半凌空勾射被安杜哈尔没收
23'胡安为国际米兰赢得一个任意球.                   23'第23分钟，瓜林右路斜塞禁区，罗基在门前10米处侧身半凌空勾射被安杜哈尔没收
23'卡塔尼亚球员博格西奥拼抢犯规,对手获得控球权.                   23'第23分钟，瓜林右路斜塞禁区，罗基在门前10米处侧身半凌空勾射被安杜哈尔没收
24'国际米兰球员佩雷拉拼抢犯规,对手获得控球权.                   23'第23分钟，瓜林右路斜塞禁区，罗基在门前10米处侧身半凌空勾射被安杜哈尔没收
24'洛迪为卡塔尼亚赢得一个任意球.                   23'第23分钟，瓜林右路斜塞禁区，罗基在门前10米处侧身半凌空勾射被安杜哈尔没收
25'国际米兰齐沃受伤倒地,比赛暂停                   23'第23分钟，瓜林右路斜塞禁区，罗基在门前10米处侧身半凌空勾射被安杜哈尔没收
25'暂停结束,球员们重新开始比赛.                   23'第23分钟，瓜林右路斜塞禁区，罗基在门前10米处侧身半凌空勾射被安杜哈尔没收
32'国际米兰球员阿尔瓦雷斯大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是瓜林.                   32'第32分钟，阿尔瓦雷斯在门前27米处左脚抽射高出
33'卡塔尼亚球员比亚詹蒂拼抢犯规,对手获得控球权.                   32'第32分钟，阿尔瓦雷斯在门前27米处左脚抽射高出
33'谢洛托为国际米兰在对方半场,赢得一个任意球.                   32'第32分钟，阿尔瓦雷斯在门前27米处左脚抽射高出
33'国际米兰谢洛托受伤倒地,比赛暂停                   32'第32分钟，阿尔瓦雷斯在门前27米处左脚抽射高出
33'暂停结束,球员们重新开始比赛.                   32'第32分钟，阿尔瓦雷斯在门前27米处左脚抽射高出
35'卡塔尼亚球员博格西奥拼抢犯规,对手获得控球权.                   32'第32分钟，阿尔瓦雷斯在门前27米处左脚抽射高出
35'齐沃为国际米兰在左路,赢得一个任意球.                   32'第32分钟，阿尔瓦雷斯在门前27米处左脚抽射高出
48'射门!!!卡塔尼亚球员博格西奥大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是A-戈麦斯.                   48'第48分钟，戈麦斯右路低传被漏到后点，贝赫西奥在门前13米处左脚抽射被汉达诺维奇奋力封出，伊斯科中路补射被挡出底线
48'卡塔尼亚球员伊兹科大禁区中央右脚射门,被防守球员封堵.                   48'第48分钟，戈麦斯右路低传被漏到后点，贝赫西奥在门前13米处左脚抽射被汉达诺维奇奋力封出，伊斯科中路补射被挡出底线
51'国际米兰球员瓜林大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是帕拉西奥.                   48'第48分钟，戈麦斯右路低传被漏到后点，贝赫西奥在门前13米处左脚抽射被汉达诺维奇奋力封出，伊斯科中路补射被挡出底线
52'进球啦！！！国际米兰球员阿尔瓦雷斯小禁区右侧头球,球从左下角飞进球门,球进了!助攻的是帕拉西奥. 卡塔尼亚 2-1 国际米兰.                   52'国米第52分钟追回一球
53'卡塔尼亚球员马切塞拼抢犯规,对手获得控球权.                   52'国米第52分钟追回一球
53'瓜林为国际米兰在右路,赢得一个任意球.                   52'国米第52分钟追回一球
54'斯波利将球处理出底线,国际米兰获得角球.                   52'国米第52分钟追回一球
55'卡塔尼亚球员罗林拼抢犯规,对手获得控球权.                   52'国米第52分钟追回一球
55'帕拉西奥为国际米兰在右路,赢得一个任意球.                   52'国米第52分钟追回一球
55'黄牌！卡塔尼亚球员罗林因为恶意犯规,被主裁判出示黄牌.                   52'国米第52分钟追回一球
60'卡塔尼亚球员博格西奥拼抢犯规,对手获得控球权.                   59'第59分钟，瓜林与马尔凯塞冲撞脚踝受伤，到场边接受治疗，科瓦契奇开始热身，但瓜林回到了场内
60'齐沃为国际米兰赢得一个任意球.                   59'第59分钟，瓜林与马尔凯塞冲撞脚踝受伤，到场边接受治疗，科瓦契奇开始热身，但瓜林回到了场内
61'斯波利为卡塔尼亚赢得一个任意球.                   59'第59分钟，瓜林与马尔凯塞冲撞脚踝受伤，到场边接受治疗，科瓦契奇开始热身，但瓜林回到了场内
61'国际米兰球员瓜林拼抢犯规,对手获得控球权.                   59'第59分钟，瓜林与马尔凯塞冲撞脚踝受伤，到场边接受治疗，科瓦契奇开始热身，但瓜林回到了场内
62'卡塔尼亚球员卡斯特罗危险动作,对手获得控球权.                   59'第59分钟，瓜林与马尔凯塞冲撞脚踝受伤，到场边接受治疗，科瓦契奇开始热身，但瓜林回到了场内
62'胡安为国际米兰赢得一个任意球.                   59'第59分钟，瓜林与马尔凯塞冲撞脚踝受伤，到场边接受治疗，科瓦契奇开始热身，但瓜林回到了场内
69'卡塔尼亚球员卡斯特罗大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是P-阿尔瓦雷斯.                   69'第69分钟，巴勃罗-阿尔瓦雷斯右路低传，卡斯特罗后点射门碰后卫变线，贝赫西奥在越位情况下补射冲撞门将汉达诺维奇，汉达诺维奇起身推搡贝赫西奥，双方球员发生摩擦，汉达诺维奇和贝赫西奥均吃到黄牌
69'卡塔尼亚球员卡斯特罗一脚直塞球给博格西奥,但是边裁举旗显示后者已经越位.                   69'第69分钟，巴勃罗-阿尔瓦雷斯右路低传，卡斯特罗后点射门碰后卫变线，贝赫西奥在越位情况下补射冲撞门将汉达诺维奇，汉达诺维奇起身推搡贝赫西奥，双方球员发生摩擦，汉达诺维奇和贝赫西奥均吃到黄牌
69'卡塔尼亚球员博格西奥被主裁判出示了一张黄牌.                   69'第69分钟，巴勃罗-阿尔瓦雷斯右路低传，卡斯特罗后点射门碰后卫变线，贝赫西奥在越位情况下补射冲撞门将汉达诺维奇，汉达诺维奇起身推搡贝赫西奥，双方球员发生摩擦，汉达诺维奇和贝赫西奥均吃到黄牌
69'黄牌！国际米兰球员汉达诺维奇因为故意手球,被主裁判出示黄牌.                   69'第69分钟，巴勃罗-阿尔瓦雷斯右路低传，卡斯特罗后点射门碰后卫变线，贝赫西奥在越位情况下补射冲撞门将汉达诺维奇，汉达诺维奇起身推搡贝赫西奥，双方球员发生摩擦，汉达诺维奇和贝赫西奥均吃到黄牌
70'进球啦！！！国际米兰球员帕拉西奥大禁区中央头球,球从右下角飞进球门,球进了!助攻的是佩雷拉. 卡塔尼亚 2-2 国际米兰.                   69'第69分钟，巴勃罗-阿尔瓦雷斯右路低传，卡斯特罗后点射门碰后卫变线，贝赫西奥在越位情况下补射冲撞门将汉达诺维奇，汉达诺维奇起身推搡贝赫西奥，双方球员发生摩擦，汉达诺维奇和贝赫西奥均吃到黄牌
72'伊兹科为卡塔尼亚赢得一个任意球.                   69'第69分钟，巴勃罗-阿尔瓦雷斯右路低传，卡斯特罗后点射门碰后卫变线，贝赫西奥在越位情况下补射冲撞门将汉达诺维奇，汉达诺维奇起身推搡贝赫西奥，双方球员发生摩擦，汉达诺维奇和贝赫西奥均吃到黄牌
72'国际米兰球员加尔加诺拼抢犯规,对手获得控球权.                   69'第69分钟，巴勃罗-阿尔瓦雷斯右路低传，卡斯特罗后点射门碰后卫变线，贝赫西奥在越位情况下补射冲撞门将汉达诺维奇，汉达诺维奇起身推搡贝赫西奥，双方球员发生摩擦，汉达诺维奇和贝赫西奥均吃到黄牌
83'射门!!!国际米兰球员谢洛托球门右侧小角度右脚射门,被对方守门员横身扑出.给他传球的是阿尔瓦雷斯.                   83'第83分钟，卡斯特罗在门前20米处抽射偏出右门角
83'射门!!!国际米兰球员谢洛托小禁区右侧左脚射门,被对方守门员横身扑出.                   83'第83分钟，卡斯特罗在门前20米处抽射偏出右门角
83'A-戈麦斯为卡塔尼亚赢得一个任意球.                   83'第83分钟，卡斯特罗在门前20米处抽射偏出右门角
83'国际米兰球员阿尔瓦雷斯拼抢犯规,对手获得控球权.                   83'第83分钟，卡斯特罗在门前20米处抽射偏出右门角
84'国际米兰球员谢洛托被主裁判出示了一张黄牌.                   83'第83分钟，卡斯特罗在门前20米处抽射偏出右门角
85'卡塔尼亚换人,卡尼换下博格西奥                   83'第83分钟，卡斯特罗在门前20米处抽射偏出右门角
85'卡塔尼亚球员洛迪拼抢犯规,对手获得控球权.                   83'第83分钟，卡斯特罗在门前20米处抽射偏出右门角
85'加尔加诺为国际米兰赢得一个任意球.                   83'第83分钟，卡斯特罗在门前20米处抽射偏出右门角
85'卡塔尼亚球员P-阿尔瓦雷斯拼抢犯规,对手获得控球权.                   83'第83分钟，卡斯特罗在门前20米处抽射偏出右门角
85'阿尔瓦雷斯为国际米兰在左路,赢得一个任意球.                   83'第83分钟，卡斯特罗在门前20米处抽射偏出右门角
86'卡塔尼亚球员卡尼拼抢犯规,对手获得控球权.                   83'第83分钟，卡斯特罗在门前20米处抽射偏出右门角
86'齐沃为国际米兰赢得一个任意球.                   83'第83分钟，卡斯特罗在门前20米处抽射偏出右门角
86'黄牌！卡塔尼亚球员卡尼因为恶意犯规,被主裁判出示黄牌.                   83'第83分钟，卡斯特罗在门前20米处抽射偏出右门角
86'国际米兰齐沃受伤倒地,比赛暂停                   83'第83分钟，卡斯特罗在门前20米处抽射偏出右门角
86'暂停结束,球员们重新开始比赛.                   83'第83分钟，卡斯特罗在门前20米处抽射偏出右门角
86'卡塔尼亚球员卡尼拼抢犯规,对手获得控球权.                   86'第86分钟，恰尼放倒齐沃，被黄牌警告
86'齐沃为国际米兰赢得一个任意球.                   86'第86分钟，恰尼放倒齐沃，被黄牌警告
86'黄牌！卡塔尼亚球员卡尼因为恶意犯规,被主裁判出示黄牌.                   86'第86分钟，恰尼放倒齐沃，被黄牌警告
86'国际米兰齐沃受伤倒地,比赛暂停                   86'第86分钟，恰尼放倒齐沃，被黄牌警告
86'暂停结束,球员们重新开始比赛.                   86'第86分钟，恰尼放倒齐沃，被黄牌警告
88'卡尼为卡塔尼亚赢得一个任意球.                   86'第86分钟，恰尼放倒齐沃，被黄牌警告
88'国际米兰球员胡安拼抢犯规,对手获得控球权.                   86'第86分钟，恰尼放倒齐沃，被黄牌警告
88'卡塔尼亚球员A-戈麦斯拼抢犯规,对手获得控球权.                   86'第86分钟，恰尼放倒齐沃，被黄牌警告
88'萨内蒂为国际米兰赢得一个任意球.                   86'第86分钟，恰尼放倒齐沃，被黄牌警告
89'国际米兰球员坎比亚索大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是谢洛托.                   86'第86分钟，恰尼放倒齐沃，被黄牌警告
47'斯波利将球处理出底线,国际米兰获得角球.                   47'补时第2分钟，国米打出反击，帕拉西奥直传，坎比亚索禁区左侧晃过斯波利回敲，帕拉西奥在门前7米处推射入网，国米3比2绝杀
48'射门!!!卡塔尼亚球员博格西奥大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是A-戈麦斯.                   47'补时第2分钟，国米打出反击，帕拉西奥直传，坎比亚索禁区左侧晃过斯波利回敲，帕拉西奥在门前7米处推射入网，国米3比2绝杀
48'卡塔尼亚球员伊兹科大禁区中央右脚射门,被防守球员封堵.                   47'补时第2分钟，国米打出反击，帕拉西奥直传，坎比亚索禁区左侧晃过斯波利回敲，帕拉西奥在门前7米处推射入网，国米3比2绝杀
