4'鲁能泰山队后场控球，转移到左路进攻                   4'开场仅仅4分钟，客场作战的山东鲁能便迅速打破了场上僵局
5'鲁能泰山队后场长传，赞纳迪内争顶时犯规了                   4'开场仅仅4分钟，客场作战的山东鲁能便迅速打破了场上僵局
5'鲁能泰山队进球了，帕皮斯-西塞1-0                   4'开场仅仅4分钟，客场作战的山东鲁能便迅速打破了场上僵局
6'鲁能泰山队中场抢断，张弛过顶球给到禁区，赞纳迪内解围失误，帕皮斯-西塞晃防出击的门将轻松将球送入网内！                   4'开场仅仅4分钟，客场作战的山东鲁能便迅速打破了场上僵局
7'中场抢球叶鲁能泰山队犯规                   4'开场仅仅4分钟，客场作战的山东鲁能便迅速打破了场上僵局
7'天津泰达队任意球直接开出边线                   4'开场仅仅4分钟，客场作战的山东鲁能便迅速打破了场上僵局
11'吉尔后场长传，赞纳迪内头球顶出边线                   11'第11分钟，山东鲁能中后卫尤西雷在后场起高球，佩莱禁区前头球回做，金敬道得球横做，戴琳跟进凌空远射打出世界波直奔死角，山东鲁能2-0领先
11'鲁能泰山队，戴琳，2-0                   11'第11分钟，山东鲁能中后卫尤西雷在后场起高球，佩莱禁区前头球回做，金敬道得球横做，戴琳跟进凌空远射打出世界波直奔死角，山东鲁能2-0领先
13'吉尔右路长传，佩莱头球回顶，蒿俊闵回传，戴琳大力远射，皮球应声入网！！！                   11'第11分钟，山东鲁能中后卫尤西雷在后场起高球，佩莱禁区前头球回做，金敬道得球横做，戴琳跟进凌空远射打出世界波直奔死角，山东鲁能2-0领先
13'胡人天中场拿球，横传中路，帕皮斯-西塞抢球犯规                   11'第11分钟，山东鲁能中后卫尤西雷在后场起高球，佩莱禁区前头球回做，金敬道得球横做，戴琳跟进凌空远射打出世界波直奔死角，山东鲁能2-0领先
16'鲁能泰山队后场控球，转移到右侧，斜传球到禁区内，周海滨头球顶门，偏了                   15'第15分钟，白岳峰边路四十五度传中，周海滨利用后卫空当后插上抢点头球攻门，球稍稍高出横梁
17'鲁鲁能泰山队右路直传，刘彬彬带球出界                   15'第15分钟，白岳峰边路四十五度传中，周海滨利用后卫空当后插上抢点头球攻门，球稍稍高出横梁
17'鲁能泰山队中场抢球犯规                   15'第15分钟，白岳峰边路四十五度传中，周海滨利用后卫空当后插上抢点头球攻门，球稍稍高出横梁
17'李源一直传球被断                   15'第15分钟，白岳峰边路四十五度传中，周海滨利用后卫空当后插上抢点头球攻门，球稍稍高出横梁
18'鲁能泰山队后场长传，帕皮斯-西塞头球顶出了边线                   15'第15分钟，白岳峰边路四十五度传中，周海滨利用后卫空当后插上抢点头球攻门，球稍稍高出横梁
18'鲁能泰山队中场抢断，尤西雷分到左边路                   15'第15分钟，白岳峰边路四十五度传中，周海滨利用后卫空当后插上抢点头球攻门，球稍稍高出横梁
22'刘彬彬带球右路突破，下底传中，蒿俊闵碰出底线                   22'第22分钟，山东鲁能快速反击，刘彬彬拿球内切突然送出直塞，佩莱快速跟进小角度抽射偏出
23'鲁能泰山队过顶长传，刘彬彬一对一突破，直塞禁区，佩莱起脚打门，偏了                   22'第22分钟，山东鲁能快速反击，刘彬彬拿球内切突然送出直塞，佩莱快速跟进小角度抽射偏出
23'天津泰达队从右路组织进攻                   22'第22分钟，山东鲁能快速反击，刘彬彬拿球内切突然送出直塞，佩莱快速跟进小角度抽射偏出
24'天津泰达队有名球员受伤倒在地上                   22'第22分钟，山东鲁能快速反击，刘彬彬拿球内切突然送出直塞，佩莱快速跟进小角度抽射偏出
