1'上半场比赛开始！                   1'刚开场1分钟，高迪在左路被苏祖被放倒，申花获得任意球机会
1'申花率先中圈开球                   1'刚开场1分钟，高迪在左路被苏祖被放倒，申花获得任意球机会
1'吕征右路拿球被破坏出边线                   1'刚开场1分钟，高迪在左路被苏祖被放倒，申花获得任意球机会
1'贺惯后场大脚解围，达维中场争顶犯规                   1'刚开场1分钟，高迪在左路被苏祖被放倒，申花获得任意球机会
2'高迪左路拿球，被蔡慧康绊倒，任意球                   1'刚开场1分钟，高迪在左路被苏祖被放倒，申花获得任意球机会
2'禁区里双方争抢位置有冲突                   1'刚开场1分钟，高迪在左路被苏祖被放倒，申花获得任意球机会
2'德比一上来就火爆异常                   1'刚开场1分钟，高迪在左路被苏祖被放倒，申花获得任意球机会
3'卡希尔示意孙祥有肘击                   1'刚开场1分钟，高迪在左路被苏祖被放倒，申花获得任意球机会
3'裁判给了卡希尔一张黄牌                   1'刚开场1分钟，高迪在左路被苏祖被放倒，申花获得任意球机会
4'卡希尔和孙祥互有推搡，但是裁判没有给孙祥出牌                   1'刚开场1分钟，高迪在左路被苏祖被放倒，申花获得任意球机会
4'任意球到门前被顶出，外围还是申花球权                   1'刚开场1分钟，高迪在左路被苏祖被放倒，申花获得任意球机会
5'卡希尔禁区左侧头球摆渡到门前，被颜骏凌没收                   5'第5分钟李建滨争顶时被盘犯规，孔卡任意球往禁区内送出半高球，武磊背对大门推传到左侧，海森快速插上，但耿晓峰快速出击，最短距离内挡出海森射门
5'于海左路拿球，熊飞卡住了位置，边线球                   5'第5分钟李建滨争顶时被盘犯规，孔卡任意球往禁区内送出半高球，武磊背对大门推传到左侧，海森快速插上，但耿晓峰快速出击，最短距离内挡出海森射门
6'卡希尔前场背身拿球，背后贺惯有推搡，任意球                   5'第5分钟李建滨争顶时被盘犯规，孔卡任意球往禁区内送出半高球，武磊背对大门推传到左侧，海森快速插上，但耿晓峰快速出击，最短距离内挡出海森射门
6'王赟任意球进禁区，第一点还是被解围                   5'第5分钟李建滨争顶时被盘犯规，孔卡任意球往禁区内送出半高球，武磊背对大门推传到左侧，海森快速插上，但耿晓峰快速出击，最短距离内挡出海森射门
6'于海长传，李建滨争顶压人了                   5'第5分钟李建滨争顶时被盘犯规，孔卡任意球往禁区内送出半高球，武磊背对大门推传到左侧，海森快速插上，但耿晓峰快速出击，最短距离内挡出海森射门
7'孔卡任意球半高开门前，耿晓峰出击把球挡出                   5'第5分钟李建滨争顶时被盘犯规，孔卡任意球往禁区内送出半高球，武磊背对大门推传到左侧，海森快速插上，但耿晓峰快速出击，最短距离内挡出海森射门
8'王燊超右路拿球，和武磊配合被断                   5'第5分钟李建滨争顶时被盘犯规，孔卡任意球往禁区内送出半高球，武磊背对大门推传到左侧，海森快速插上，但耿晓峰快速出击，最短距离内挡出海森射门
8'高迪后场解围踢在了逼抢的王燊超脚上出界                   5'第5分钟李建滨争顶时被盘犯规，孔卡任意球往禁区内送出半高球，武磊背对大门推传到左侧，海森快速插上，但耿晓峰快速出击，最短距离内挡出海森射门
8'颜骏凌大脚开前场左路，出边线                   5'第5分钟李建滨争顶时被盘犯规，孔卡任意球往禁区内送出半高球，武磊背对大门推传到左侧，海森快速插上，但耿晓峰快速出击，最短距离内挡出海森射门
10'卡希尔前场带球被王燊超从侧后方踢倒                   10'第10分钟卡希尔禁区内头球回做，高迪禁区外怒射，颜骏凌飞身把球扑出底线
10'王燊超被黄牌警告！                   10'第10分钟卡希尔禁区内头球回做，高迪禁区外怒射，颜骏凌飞身把球扑出底线
10'王赟任意球开前点，被孙祥顶出                   10'第10分钟卡希尔禁区内头球回做，高迪禁区外怒射，颜骏凌飞身把球扑出底线
10'外围莫雷诺做球，孙祥拦截了                   10'第10分钟卡希尔禁区内头球回做，高迪禁区外怒射，颜骏凌飞身把球扑出底线
11'卡希尔禁区内背身做球，高迪凌空抽射被颜骏凌飞身扑出！                   10'第10分钟卡希尔禁区内头球回做，高迪禁区外怒射，颜骏凌飞身把球扑出底线
11'汪佳捷对裁判不满，吃到黄牌                   10'第10分钟卡希尔禁区内头球回做，高迪禁区外怒射，颜骏凌飞身把球扑出底线
11'王赟角球去后点，孔卡拿球反击被阻挡                   10'第10分钟卡希尔禁区内头球回做，高迪禁区外怒射，颜骏凌飞身把球扑出底线
12'武磊禁区左侧拿球过人，禁区内倒地，裁判没有表示                   10'第10分钟卡希尔禁区内头球回做，高迪禁区外怒射，颜骏凌飞身把球扑出底线
13'王燊超右路传中，门前于海蹭射被耿晓峰挡出！                   10'第10分钟卡希尔禁区内头球回做，高迪禁区外怒射，颜骏凌飞身把球扑出底线
13'耿晓峰又向裁判抱怨，同样吃到黄牌                   10'第10分钟卡希尔禁区内头球回做，高迪禁区外怒射，颜骏凌飞身把球扑出底线
13'今天两队队员情绪都比较大，裁判出牌也毫不手软                   10'第10分钟卡希尔禁区内头球回做，高迪禁区外怒射，颜骏凌飞身把球扑出底线
16'熊飞右路起左脚传中，高度不够                   16'第16分钟，吕征铲断时蹬在达维小腿上，结果吃到红牌
16'苏祖顶防海森犯规了                   16'第16分钟，吕征铲断时蹬在达维小腿上，结果吃到红牌
17'吕征右路拼抢有犯规，铲倒了达维                   16'第16分钟，吕征铲断时蹬在达维小腿上，结果吃到红牌
18'吕征直接被裁判红牌罚下！亮鞋底的铲球                   16'第16分钟，吕征铲断时蹬在达维小腿上，结果吃到红牌
18'裁判今天尺度非常严格，红黄牌满天飞的节奏                   16'第16分钟，吕征铲断时蹬在达维小腿上，结果吃到红牌
19'上港高球进禁区，耿晓峰跃起把球摘下                   16'第16分钟，吕征铲断时蹬在达维小腿上，结果吃到红牌
19'卡希尔争顶被汪佳捷拉倒                   16'第16分钟，吕征铲断时蹬在达维小腿上，结果吃到红牌
19'汪佳捷也已经有黄牌在身，裁判口头警告了她                   16'第16分钟，吕征铲断时蹬在达维小腿上，结果吃到红牌
19'王燊超再次倒地，看起来无法坚持了                   16'第16分钟，吕征铲断时蹬在达维小腿上，结果吃到红牌
18'吕征直接被裁判红牌罚下！亮鞋底的铲球                   18'第18分钟王龀拼抢时再次倒地，他做出手势表示自己不行了，埃里克森只能用傅欢换下王龀
18'裁判今天尺度非常严格，红黄牌满天飞的节奏                   18'第18分钟王龀拼抢时再次倒地，他做出手势表示自己不行了，埃里克森只能用傅欢换下王龀
19'上港高球进禁区，耿晓峰跃起把球摘下                   18'第18分钟王龀拼抢时再次倒地，他做出手势表示自己不行了，埃里克森只能用傅欢换下王龀
19'卡希尔争顶被汪佳捷拉倒                   18'第18分钟王龀拼抢时再次倒地，他做出手势表示自己不行了，埃里克森只能用傅欢换下王龀
19'汪佳捷也已经有黄牌在身，裁判口头警告了她                   18'第18分钟王龀拼抢时再次倒地，他做出手势表示自己不行了，埃里克森只能用傅欢换下王龀
19'王燊超再次倒地，看起来无法坚持了                   18'第18分钟王龀拼抢时再次倒地，他做出手势表示自己不行了，埃里克森只能用傅欢换下王龀
20'笑中涵义多：黄牌红牌大战。                   18'第18分钟王龀拼抢时再次倒地，他做出手势表示自己不行了，埃里克森只能用傅欢换下王龀
20'不要惹我国家：俩队都蛮干！                   18'第18分钟王龀拼抢时再次倒地，他做出手势表示自己不行了，埃里克森只能用傅欢换下王龀
20'上港换人，王燊超被傅欢换下                   18'第18分钟王龀拼抢时再次倒地，他做出手势表示自己不行了，埃里克森只能用傅欢换下王龀
20'申花赢得一个右侧角球的机会                   18'第18分钟王龀拼抢时再次倒地，他做出手势表示自己不行了，埃里克森只能用傅欢换下王龀
21'王赟角球开出，莫雷诺头球顶高！                   18'第18分钟王龀拼抢时再次倒地，他做出手势表示自己不行了，埃里克森只能用傅欢换下王龀
21'互动：你认为裁判今天是不是出牌太过频繁？1：是；2：不是[qiangda]                   18'第18分钟王龀拼抢时再次倒地，他做出手势表示自己不行了，埃里克森只能用傅欢换下王龀
21'王赟角球开出，莫雷诺头球顶高！                   21'第21分钟李建滨身后冲撞武磊吃到黄牌
21'互动：你认为裁判今天是不是出牌太过频繁？1：是；2：不是[qiangda]                   21'第21分钟李建滨身后冲撞武磊吃到黄牌
22'比赛过了20分钟，申花少一人，上港因伤调整一人                   21'第21分钟李建滨身后冲撞武磊吃到黄牌
