6'格雷茨卡给前场右侧基米希！                   5'开场5分钟，拜仁首次射门就取得领先
6'传中球给禁区内！                   5'开场5分钟，拜仁首次射门就取得领先
6'一片混乱！                   5'开场5分钟，拜仁首次射门就取得领先
6'莱万多夫斯基回给点球点附近！                   5'开场5分钟，拜仁首次射门就取得领先
6'蒂亚戈跟进一脚打门！                   5'开场5分钟，拜仁首次射门就取得领先
6'GOOOAL！球进了！！                   5'开场5分钟，拜仁首次射门就取得领先
6'蒂亚戈-席尔瓦破门！拜仁慕尼黑1-0领先斯图加特！                   5'开场5分钟，拜仁首次射门就取得领先
6'中圈斯图加特开球！                   5'开场5分钟，拜仁首次射门就取得领先
7'开球回给后场的卡巴克！                   5'开场5分钟，拜仁首次射门就取得领先
7'长传球给前场！                   5'开场5分钟，拜仁首次射门就取得领先
7'皮球被诺伊尔没收！                   5'开场5分钟，拜仁首次射门就取得领先
8'齐勒开球给后场肯普夫！                   5'开场5分钟，拜仁首次射门就取得领先
8'长传球给前场中路！                   5'开场5分钟，拜仁首次射门就取得领先
26'科曼给中圈的哈维-马丁内斯！                   26'斯图加特第26分钟追平
26'分球给右路基米希！                   26'斯图加特第26分钟追平
26'皮球被阿斯卡西瓦尔抢断！                   26'斯图加特第26分钟追平
26'长传球给前场中路多尼斯！                   26'斯图加特第26分钟追平
26'多尼斯外围起脚爆射！！！                   26'斯图加特第26分钟追平
27'GOOOOOOOOOOAL！！！                   26'斯图加特第26分钟追平
27'球进了！！1-1！                   26'斯图加特第26分钟追平
28'多尼斯的远射破门！                   26'斯图加特第26分钟追平
28'斯图加特1-1扳平比分！                   26'斯图加特第26分钟追平
57'阿拉巴直传球给前场左侧托马斯-穆勒！                   55'拜仁第55分钟再度超出
57'塞球给禁区内！                   55'拜仁第55分钟再度超出
57'皮球被解围出来！                   55'拜仁第55分钟再度超出
57'禁区右侧格纳布里迎球推射！                   55'拜仁第55分钟再度超出
57'皮球被根特纳挡进大门！！乌龙球！！！                   55'拜仁第55分钟再度超出
57'拜仁慕尼黑2-1斯图加特！                   55'拜仁第55分钟再度超出
58'齐勒开球给后场中路卡巴克！                   55'拜仁第55分钟再度超出
58'分球给左路因苏亚！                   55'拜仁第55分钟再度超出
58'长传球给中场左侧！                   55'拜仁第55分钟再度超出
58'皮球被科曼挡了一下！                   55'拜仁第55分钟再度超出
58'尼古拉斯-冈萨雷斯得球推进！                   55'拜仁第55分钟再度超出
