13'蒿俊闵发任意球到禁区内！！佩莱抢点头球顶门！高啦！                   13'比赛开始后，双方在中场纠缠较多，直到第13分钟，双方才出现第一次射门
14'河南建业队右路长传球，巴索戈接球下底回带！被戴琳破坏出界                   13'比赛开始后，双方在中场纠缠较多，直到第13分钟，双方才出现第一次射门
14'戴琳对裁判的判罚不满意！说着什么                   13'比赛开始后，双方在中场纠缠较多，直到第13分钟，双方才出现第一次射门
14'但还是给了角球                   13'比赛开始后，双方在中场纠缠较多，直到第13分钟，双方才出现第一次射门
14'角球发到禁区内后点，王大雷把球摘下来                   13'比赛开始后，双方在中场纠缠较多，直到第13分钟，双方才出现第一次射门
14'鲁能泰山队长传球到前场，西塞争顶到，但顶得不是太好，远了些                   13'比赛开始后，双方在中场纠缠较多，直到第13分钟，双方才出现第一次射门
15'佩莱右路横传，力量小了，想给西塞来着，没到位                   13'比赛开始后，双方在中场纠缠较多，直到第13分钟，双方才出现第一次射门
15'戴琳后场接王大雷传球，直接把球开出边线                   13'比赛开始后，双方在中场纠缠较多，直到第13分钟，双方才出现第一次射门
15'河南建业队进球啦！里卡多！1-0                   13'比赛开始后，双方在中场纠缠较多，直到第13分钟，双方才出现第一次射门
16'里卡多前场传球，队友直塞！里卡多插上抢点打门！皮球应声入网！                   13'比赛开始后，双方在中场纠缠较多，直到第13分钟，双方才出现第一次射门
16'对鲁能泰山队来说非常不利了！                   13'比赛开始后，双方在中场纠缠较多，直到第13分钟，双方才出现第一次射门
15'佩莱右路横传，力量小了，想给西塞来着，没到位                   15'第15分钟，河南建业打破僵局，里卡多与冯卓毅打出踢墙式配合，冯卓毅人缝中送出直塞，宋龙和戴琳防守出现空当，里卡多跟进小角度推射打穿王大雷小门后偏转入网，河南建业1-0领先
15'戴琳后场接王大雷传球，直接把球开出边线                   15'第15分钟，河南建业打破僵局，里卡多与冯卓毅打出踢墙式配合，冯卓毅人缝中送出直塞，宋龙和戴琳防守出现空当，里卡多跟进小角度推射打穿王大雷小门后偏转入网，河南建业1-0领先
15'河南建业队进球啦！里卡多！1-0                   15'第15分钟，河南建业打破僵局，里卡多与冯卓毅打出踢墙式配合，冯卓毅人缝中送出直塞，宋龙和戴琳防守出现空当，里卡多跟进小角度推射打穿王大雷小门后偏转入网，河南建业1-0领先
16'里卡多前场传球，队友直塞！里卡多插上抢点打门！皮球应声入网！                   15'第15分钟，河南建业打破僵局，里卡多与冯卓毅打出踢墙式配合，冯卓毅人缝中送出直塞，宋龙和戴琳防守出现空当，里卡多跟进小角度推射打穿王大雷小门后偏转入网，河南建业1-0领先
16'对鲁能泰山队来说非常不利了！                   15'第15分钟，河南建业打破僵局，里卡多与冯卓毅打出踢墙式配合，冯卓毅人缝中送出直塞，宋龙和戴琳防守出现空当，里卡多跟进小角度推射打穿王大雷小门后偏转入网，河南建业1-0领先
17'蒿俊闵右路接球！对方三人围抢                   15'第15分钟，河南建业打破僵局，里卡多与冯卓毅打出踢墙式配合，冯卓毅人缝中送出直塞，宋龙和戴琳防守出现空当，里卡多跟进小角度推射打穿王大雷小门后偏转入网，河南建业1-0领先
17'西塞中场得球，过渡到右路                   15'第15分钟，河南建业打破僵局，里卡多与冯卓毅打出踢墙式配合，冯卓毅人缝中送出直塞，宋龙和戴琳防守出现空当，里卡多跟进小角度推射打穿王大雷小门后偏转入网，河南建业1-0领先
