3'前场特维斯接应，在回敲陶金                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
3'长传到左侧找到马丁斯                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
3'赵宏略后场把球断下，右侧交给白岳峰                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
3'白岳峰挑传向前，被丛震断下                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
3'中路拿球，丛震直塞一脚斜线                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
3'左路插上的毛剑卿启动很快，但越位在先了                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
4'泰达后场开球，定位球给出来                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
4'中路米克尔拿球，禁区前沿找迪亚涅                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
4'迪亚涅在后卫紧逼下没有停住                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
4'禁区内李帅拿球，直接开出来                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
4'中圈内孙世林拿球被买提江推倒在地                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
4'申花快发定位球                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
4'瓜林长甩给到弧顶附近                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
5'马丁斯停球不错，带球杀向禁区                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
5'刚入禁区，就是一脚抽射，偏了                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
5'杜佳门球大脚开起来                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
5'前场毕津浩直接把球断下，横敲身边给陶金                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
5'再分左侧，柏佳骏拿球，控一下，交给身前的丛震                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
5'继续回敲，给到毛剑卿，再交柏佳骏                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
6'横敲中路给瓜林，后场精准的传球                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
6'前面特维斯强势插入，禁区内怒射，被后卫封堵                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
6'球还在特维斯脚下，在横敲到门前                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
6'曹阳一个大脚把球解围                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
6'外围买提江左侧给赵宏略，向前给                   3'开场第3分钟申花后场长传，马丁斯在天津队禁区内截下球后，转身射门稍偏
6'横敲中路给瓜林，后场精准的传球                   6'第6分钟意外出现，天津队开出左路角球，迪亚涅头球偏出，本场主裁的外籍主裁却指向点球点，天津队获得点球
6'前面特维斯强势插入，禁区内怒射，被后卫封堵                   6'第6分钟意外出现，天津队开出左路角球，迪亚涅头球偏出，本场主裁的外籍主裁却指向点球点，天津队获得点球
6'球还在特维斯脚下，在横敲到门前                   6'第6分钟意外出现，天津队开出左路角球，迪亚涅头球偏出，本场主裁的外籍主裁却指向点球点，天津队获得点球
6'曹阳一个大脚把球解围                   6'第6分钟意外出现，天津队开出左路角球，迪亚涅头球偏出，本场主裁的外籍主裁却指向点球点，天津队获得点球
6'外围买提江左侧给赵宏略，向前给                   6'第6分钟意外出现，天津队开出左路角球，迪亚涅头球偏出，本场主裁的外籍主裁却指向点球点，天津队获得点球
7'迪亚涅头球一蹭，摆渡给阿奇姆彭                   6'第6分钟意外出现，天津队开出左路角球，迪亚涅头球偏出，本场主裁的外籍主裁却指向点球点，天津队获得点球
7'阿奇姆彭带球杀入禁区，陶金捅出底线                   6'第6分钟意外出现，天津队开出左路角球，迪亚涅头球偏出，本场主裁的外籍主裁却指向点球点，天津队获得点球
7'左侧角球，买提江开起来                   6'第6分钟意外出现，天津队开出左路角球，迪亚涅头球偏出，本场主裁的外籍主裁却指向点球点，天津队获得点球
7'禁区内中路，迪亚涅飞身头球，，高了                   6'第6分钟意外出现，天津队开出左路角球，迪亚涅头球偏出，本场主裁的外籍主裁却指向点球点，天津队获得点球
7'但是裁判沙普龙哨响，，给了点球                   6'第6分钟意外出现，天津队开出左路角球，迪亚涅头球偏出，本场主裁的外籍主裁却指向点球点，天津队获得点球
8'吹了申花禁区内的防守犯规啊                   6'第6分钟意外出现，天津队开出左路角球，迪亚涅头球偏出，本场主裁的外籍主裁却指向点球点，天津队获得点球
8'迪亚涅操刀，打下三路，轻松破门                   6'第6分钟意外出现，天津队开出左路角球，迪亚涅头球偏出，本场主裁的外籍主裁却指向点球点，天津队获得点球
9'迪亚涅怒推左侧，李帅判断正确，但动作不够舒展啊，没捞到                   6'第6分钟意外出现，天津队开出左路角球，迪亚涅头球偏出，本场主裁的外籍主裁却指向点球点，天津队获得点球
9'刚才裁判是吹了马丁斯禁区内防守迪亚涅的犯规                   6'第6分钟意外出现，天津队开出左路角球，迪亚涅头球偏出，本场主裁的外籍主裁却指向点球点，天津队获得点球
9'泰达梦幻般的开局                   6'第6分钟意外出现，天津队开出左路角球，迪亚涅头球偏出，本场主裁的外籍主裁却指向点球点，天津队获得点球
9'迪亚涅怒推左侧，李帅判断正确，但动作不够舒展啊，没捞到                   9'第9分钟意外进球再次来到，柏佳骏左路吊传，迪亚涅和毛剑卿同时跃起争顶，迪亚涅虽然抢先顶到皮球，但却把球顶在米克尔身上弹下，毛剑卿抢先起左脚攻门，皮球飞入大门右下死角，1比1，申花扳平比分
9'刚才裁判是吹了马丁斯禁区内防守迪亚涅的犯规                   9'第9分钟意外进球再次来到，柏佳骏左路吊传，迪亚涅和毛剑卿同时跃起争顶，迪亚涅虽然抢先顶到皮球，但却把球顶在米克尔身上弹下，毛剑卿抢先起左脚攻门，皮球飞入大门右下死角，1比1，申花扳平比分
9'泰达梦幻般的开局                   9'第9分钟意外进球再次来到，柏佳骏左路吊传，迪亚涅和毛剑卿同时跃起争顶，迪亚涅虽然抢先顶到皮球，但却把球顶在米克尔身上弹下，毛剑卿抢先起左脚攻门，皮球飞入大门右下死角，1比1，申花扳平比分
10'后场曹阳拿球，回敲禁区内的杜佳                   9'第9分钟意外进球再次来到，柏佳骏左路吊传，迪亚涅和毛剑卿同时跃起争顶，迪亚涅虽然抢先顶到皮球，但却把球顶在米克尔身上弹下，毛剑卿抢先起左脚攻门，皮球飞入大门右下死角，1比1，申花扳平比分
10'在给到左路赵宏略，长传向前                   9'第9分钟意外进球再次来到，柏佳骏左路吊传，迪亚涅和毛剑卿同时跃起争顶，迪亚涅虽然抢先顶到皮球，但却把球顶在米克尔身上弹下，毛剑卿抢先起左脚攻门，皮球飞入大门右下死角，1比1，申花扳平比分
10'孙世林半路杀出，把球拦截                   9'第9分钟意外进球再次来到，柏佳骏左路吊传，迪亚涅和毛剑卿同时跃起争顶，迪亚涅虽然抢先顶到皮球，但却把球顶在米克尔身上弹下，毛剑卿抢先起左脚攻门，皮球飞入大门右下死角，1比1，申花扳平比分
10'斜传给到左侧柏佳骏，后场在给孙世林                   9'第9分钟意外进球再次来到，柏佳骏左路吊传，迪亚涅和毛剑卿同时跃起争顶，迪亚涅虽然抢先顶到皮球，但却把球顶在米克尔身上弹下，毛剑卿抢先起左脚攻门，皮球飞入大门右下死角，1比1，申花扳平比分
10'向前给插上的柏佳骏，带球向前，被买提江防守推倒在地                   9'第9分钟意外进球再次来到，柏佳骏左路吊传，迪亚涅和毛剑卿同时跃起争顶，迪亚涅虽然抢先顶到皮球，但却把球顶在米克尔身上弹下，毛剑卿抢先起左脚攻门，皮球飞入大门右下死角，1比1，申花扳平比分
10'申花中路定位球，瓜林主罚，分到左路                   9'第9分钟意外进球再次来到，柏佳骏左路吊传，迪亚涅和毛剑卿同时跃起争顶，迪亚涅虽然抢先顶到皮球，但却把球顶在米克尔身上弹下，毛剑卿抢先起左脚攻门，皮球飞入大门右下死角，1比1，申花扳平比分
11'柏佳骏摆脱下底，左侧搓起来                   9'第9分钟意外进球再次来到，柏佳骏左路吊传，迪亚涅和毛剑卿同时跃起争顶，迪亚涅虽然抢先顶到皮球，但却把球顶在米克尔身上弹下，毛剑卿抢先起左脚攻门，皮球飞入大门右下死角，1比1，申花扳平比分
11'高球吊入禁区，，毛剑卿禁区内一脚扫射打进                   9'第9分钟意外进球再次来到，柏佳骏左路吊传，迪亚涅和毛剑卿同时跃起争顶，迪亚涅虽然抢先顶到皮球，但却把球顶在米克尔身上弹下，毛剑卿抢先起左脚攻门，皮球飞入大门右下死角，1比1，申花扳平比分
11'泰达禁区内解围失误，被毛剑卿抓住了机会                   9'第9分钟意外进球再次来到，柏佳骏左路吊传，迪亚涅和毛剑卿同时跃起争顶，迪亚涅虽然抢先顶到皮球，但却把球顶在米克尔身上弹下，毛剑卿抢先起左脚攻门，皮球飞入大门右下死角，1比1，申花扳平比分
12'柏佳骏左侧把球搓入禁区前点，结果泰达后卫解围球踢在自己同伴身上，弹到了毛剑卿面前，毛剑卿笑纳大礼                   9'第9分钟意外进球再次来到，柏佳骏左路吊传，迪亚涅和毛剑卿同时跃起争顶，迪亚涅虽然抢先顶到皮球，但却把球顶在米克尔身上弹下，毛剑卿抢先起左脚攻门，皮球飞入大门右下死角，1比1，申花扳平比分
12'泰达右路交给白岳峰，一路推进，趟出变向                   9'第9分钟意外进球再次来到，柏佳骏左路吊传，迪亚涅和毛剑卿同时跃起争顶，迪亚涅虽然抢先顶到皮球，但却把球顶在米克尔身上弹下，毛剑卿抢先起左脚攻门，皮球飞入大门右下死角，1比1，申花扳平比分
12'边线                   9'第9分钟意外进球再次来到，柏佳骏左路吊传，迪亚涅和毛剑卿同时跃起争顶，迪亚涅虽然抢先顶到皮球，但却把球顶在米克尔身上弹下，毛剑卿抢先起左脚攻门，皮球飞入大门右下死角，1比1，申花扳平比分
12'柏佳骏后场给到陶金，再分右路李运秋                   9'第9分钟意外进球再次来到，柏佳骏左路吊传，迪亚涅和毛剑卿同时跃起争顶，迪亚涅虽然抢先顶到皮球，但却把球顶在米克尔身上弹下，毛剑卿抢先起左脚攻门，皮球飞入大门右下死角，1比1，申花扳平比分
12'带球向前，赵宏略把球清理出边线                   9'第9分钟意外进球再次来到，柏佳骏左路吊传，迪亚涅和毛剑卿同时跃起争顶，迪亚涅虽然抢先顶到皮球，但却把球顶在米克尔身上弹下，毛剑卿抢先起左脚攻门，皮球飞入大门右下死角，1比1，申花扳平比分
26'瓜林倒在地上，不过没啥事，，起来系个鞋带继续干                   26'第26分钟申花前场快速反击，瓜林切入禁区右侧推传，退到中路的曹阳抢先大脚解围
26'瓜林后场定位球开起来                   26'第26分钟申花前场快速反击，瓜林切入禁区右侧推传，退到中路的曹阳抢先大脚解围
26'吊向前方，白岳峰清理出边线                   26'第26分钟申花前场快速反击，瓜林切入禁区右侧推传，退到中路的曹阳抢先大脚解围
26'柏佳骏发球，给马丁斯，回敲瓜林                   26'第26分钟申花前场快速反击，瓜林切入禁区右侧推传，退到中路的曹阳抢先大脚解围
27'转移给到右侧李运秋，再回给中间                   26'第26分钟申花前场快速反击，瓜林切入禁区右侧推传，退到中路的曹阳抢先大脚解围
27'惠家康把球断下，低传向前给阿奇姆彭                   26'第26分钟申花前场快速反击，瓜林切入禁区右侧推传，退到中路的曹阳抢先大脚解围
27'带球大步流星，回敲中路，，买提江跟上                   26'第26分钟申花前场快速反击，瓜林切入禁区右侧推传，退到中路的曹阳抢先大脚解围
27'在分到左侧，惠家康组织，交给赵宏略                   26'第26分钟申花前场快速反击，瓜林切入禁区右侧推传，退到中路的曹阳抢先大脚解围
27'回敲后场曹阳，在给米克尔                   26'第26分钟申花前场快速反击，瓜林切入禁区右侧推传，退到中路的曹阳抢先大脚解围
27'米克尔传到禁区前沿，瓜林头球解围                   26'第26分钟申花前场快速反击，瓜林切入禁区右侧推传，退到中路的曹阳抢先大脚解围
27'左侧柏佳骏长传，直接飞出边线                   26'第26分钟申花前场快速反击，瓜林切入禁区右侧推传，退到中路的曹阳抢先大脚解围
28'白岳峰发球，交出来，特维斯身体一扛，把球拿走                   26'第26分钟申花前场快速反击，瓜林切入禁区右侧推传，退到中路的曹阳抢先大脚解围
28'申花快速进攻，特维斯向前                   26'第26分钟申花前场快速反击，瓜林切入禁区右侧推传，退到中路的曹阳抢先大脚解围
28'禁区外右侧给瓜林，在横敲门前                   26'第26分钟申花前场快速反击，瓜林切入禁区右侧推传，退到中路的曹阳抢先大脚解围
28'又是泰达防守到位，把球迅速清理出边线                   26'第26分钟申花前场快速反击，瓜林切入禁区右侧推传，退到中路的曹阳抢先大脚解围
28'但是裁判吹的是犯规在先了                   26'第26分钟申花前场快速反击，瓜林切入禁区右侧推传，退到中路的曹阳抢先大脚解围
28'申花前场右侧得到一个定位球                   26'第26分钟申花前场快速反击，瓜林切入禁区右侧推传，退到中路的曹阳抢先大脚解围
29'特维斯主罚，开起来送入禁区后点                   26'第26分钟申花前场快速反击，瓜林切入禁区右侧推传，退到中路的曹阳抢先大脚解围
29'毛剑卿后点埋伏，小角度的凌空抽射，击中边网                   26'第26分钟申花前场快速反击，瓜林切入禁区右侧推传，退到中路的曹阳抢先大脚解围
32'停下来，横敲，没有给好啊                   32'第32分钟申花换人，王林换下丛震
33'米克尔回来断球，一记长甩                   32'第32分钟申花换人，王林换下丛震
33'毕津浩后场拦截，在给李运秋，向前找特维斯                   32'第32分钟申花换人，王林换下丛震
33'禁区前沿给到毛剑卿，调整一下，射门，没有打上力量                   32'第32分钟申花换人，王林换下丛震
33'杜佳后场把球开起来                   32'第32分钟申花换人，王林换下丛震
33'前面阿奇姆彭右侧强突，造成角球                   32'第32分钟申花换人，王林换下丛震
34'右侧角球开起，前点。，瓜林解围                   32'第32分钟申花换人，王林换下丛震
34'外围买提江拿球，斜传转移                   32'第32分钟申花换人，王林换下丛震
34'左侧赵宏略，直塞打在丛震身上出去了                   32'第32分钟申花换人，王林换下丛震
34'赵宏略左侧发球，在给惠家康，又是丛震的破坏                   32'第32分钟申花换人，王林换下丛震
34'赵宏略继续发球，给到前面迪亚涅                   32'第32分钟申花换人，王林换下丛震
35'迪亚涅拿球，给到禁区内，被瓜林破坏                   32'第32分钟申花换人，王林换下丛震
35'申花用王林替下丛震                   32'第32分钟申花换人，王林换下丛震
35'李运秋发球出来，被米克尔断下                   32'第32分钟申花换人，王林换下丛震
35'米克尔自己往左路带，传中                   32'第32分钟申花换人，王林换下丛震
35'打在王林身上，角球                   32'第32分钟申花换人，王林换下丛震
50'泰达后场倒脚，在给邱添一，分曹阳，到右路白岳峰                   50'第50分钟阿奇姆蓬右路下底传中，天津队前点两名队员都未碰到球，最后李运秋飞身拦出惠家康的射门
50'向前给杨立瑜，接球一挑，白岳峰套边跟上                   50'第50分钟阿奇姆蓬右路下底传中，天津队前点两名队员都未碰到球，最后李运秋飞身拦出惠家康的射门
50'禁区内要打，被陶金先解围                   50'第50分钟阿奇姆蓬右路下底传中，天津队前点两名队员都未碰到球，最后李运秋飞身拦出惠家康的射门
50'外围杨立瑜拼抢得球，右侧下底传中                   50'第50分钟阿奇姆蓬右路下底传中，天津队前点两名队员都未碰到球，最后李运秋飞身拦出惠家康的射门
50'禁区内又是陶金的解围                   50'第50分钟阿奇姆蓬右路下底传中，天津队前点两名队员都未碰到球，最后李运秋飞身拦出惠家康的射门
51'外围中路阿奇姆彭得球被孙世林断下                   50'第50分钟阿奇姆蓬右路下底传中，天津队前点两名队员都未碰到球，最后李运秋飞身拦出惠家康的射门
51'中路特维斯接应，左侧在给柏佳骏，回敲特维斯，拿球再分边                   50'第50分钟阿奇姆蓬右路下底传中，天津队前点两名队员都未碰到球，最后李运秋飞身拦出惠家康的射门
51'柏佳骏右脚直传，中圈附近马丁斯拿球被放倒了，裁判没表示                   50'第50分钟阿奇姆蓬右路下底传中，天津队前点两名队员都未碰到球，最后李运秋飞身拦出惠家康的射门
51'泰达的反击，阿奇姆彭带球推进                   50'第50分钟阿奇姆蓬右路下底传中，天津队前点两名队员都未碰到球，最后李运秋飞身拦出惠家康的射门
52'右侧分球到点球点，李运秋解围之后受伤倒地                   50'第50分钟阿奇姆蓬右路下底传中，天津队前点两名队员都未碰到球，最后李运秋飞身拦出惠家康的射门
52'是被迪亚涅踢了一下                   50'第50分钟阿奇姆蓬右路下底传中，天津队前点两名队员都未碰到球，最后李运秋飞身拦出惠家康的射门
52'申花后场定位球，李帅开起来                   50'第50分钟阿奇姆蓬右路下底传中，天津队前点两名队员都未碰到球，最后李运秋飞身拦出惠家康的射门
52'毛剑卿奋力拼抢，但是被吹了犯规                   50'第50分钟阿奇姆蓬右路下底传中，天津队前点两名队员都未碰到球，最后李运秋飞身拦出惠家康的射门
52'杜佳后场快发，中路阿奇姆彭拿球，左路过渡给惠家康                   50'第50分钟阿奇姆蓬右路下底传中，天津队前点两名队员都未碰到球，最后李运秋飞身拦出惠家康的射门
53'大范围转移，右路找到杨立瑜，传中到门前                   50'第50分钟阿奇姆蓬右路下底传中，天津队前点两名队员都未碰到球，最后李运秋飞身拦出惠家康的射门
53'李帅出击把球没收                   50'第50分钟阿奇姆蓬右路下底传中，天津队前点两名队员都未碰到球，最后李运秋飞身拦出惠家康的射门
53'大脚抡出来，前场右侧给到马丁斯                   50'第50分钟阿奇姆蓬右路下底传中，天津队前点两名队员都未碰到球，最后李运秋飞身拦出惠家康的射门
53'右侧护球，转回来，给到中路特维斯                   50'第50分钟阿奇姆蓬右路下底传中，天津队前点两名队员都未碰到球，最后李运秋飞身拦出惠家康的射门
53'没有接好，杨立瑜回防到位，把球断下                   50'第50分钟阿奇姆蓬右路下底传中，天津队前点两名队员都未碰到球，最后李运秋飞身拦出惠家康的射门
53'回敲门将，杜佳大脚开起来                   50'第50分钟阿奇姆蓬右路下底传中，天津队前点两名队员都未碰到球，最后李运秋飞身拦出惠家康的射门
53'中路孙世林中圈得球，在给特维斯，带球向前冲                   50'第50分钟阿奇姆蓬右路下底传中，天津队前点两名队员都未碰到球，最后李运秋飞身拦出惠家康的射门
53'斜传右侧跟上的王林                   50'第50分钟阿奇姆蓬右路下底传中，天津队前点两名队员都未碰到球，最后李运秋飞身拦出惠家康的射门
61'背身停球回给身边杨立瑜，右侧护球到角旗区                   61'第61分钟天津队反击，杨立瑜前场推传左路，迪亚涅发力怒射，球被李帅扑出
61'申花防守上来把球捅出底线                   61'第61分钟天津队反击，杨立瑜前场推传左路，迪亚涅发力怒射，球被李帅扑出
61'右侧买提江主罚角球，开入禁区后点                   61'第61分钟天津队反击，杨立瑜前场推传左路，迪亚涅发力怒射，球被李帅扑出
62'阿奇姆彭得球，无法转身，分出来                   61'第61分钟天津队反击，杨立瑜前场推传左路，迪亚涅发力怒射，球被李帅扑出
62'禁区外惠家康得球，在传，被毕津浩拦截                   61'第61分钟天津队反击，杨立瑜前场推传左路，迪亚涅发力怒射，球被李帅扑出
62'毕津浩长传，前场右侧特维斯接球被邱添一破坏出边线                   61'第61分钟天津队反击，杨立瑜前场推传左路，迪亚涅发力怒射，球被李帅扑出
63'右侧王林给到特维斯，中路找到瓜林，瓜林分左侧被杨立瑜断下                   61'第61分钟天津队反击，杨立瑜前场推传左路，迪亚涅发力怒射，球被李帅扑出
63'泰达反击，杨立瑜带球快速推进，给到禁区左肋                   61'第61分钟天津队反击，杨立瑜前场推传左路，迪亚涅发力怒射，球被李帅扑出
63'阿奇姆彭插上，机会啊，，一个爆射，被门将挡出                   61'第61分钟天津队反击，杨立瑜前场推传左路，迪亚涅发力怒射，球被李帅扑出
63'禁区外拼抢，泰达有球员被踢翻在地                   61'第61分钟天津队反击，杨立瑜前场推传左路，迪亚涅发力怒射，球被李帅扑出
64'是买提江，被瓜林踢翻，瓜林吃到黄牌                   61'第61分钟天津队反击，杨立瑜前场推传左路，迪亚涅发力怒射，球被李帅扑出
64'泰达禁区外右侧定位球                   61'第61分钟天津队反击，杨立瑜前场推传左路，迪亚涅发力怒射，球被李帅扑出
64'买提江搓起来，给到禁区内，李帅出击，把球拍出                   61'第61分钟天津队反击，杨立瑜前场推传左路，迪亚涅发力怒射，球被李帅扑出
64'边线球赵宏略发给左侧惠家康                   61'第61分钟天津队反击，杨立瑜前场推传左路，迪亚涅发力怒射，球被李帅扑出
64'左路接球不犹豫，直接传中，禁区内又是李帅，把球击出                   61'第61分钟天津队反击，杨立瑜前场推传左路，迪亚涅发力怒射，球被李帅扑出
64'外围右侧杨立瑜得球，右侧传中到门前                   61'第61分钟天津队反击，杨立瑜前场推传左路，迪亚涅发力怒射，球被李帅扑出
62'阿奇姆彭得球，无法转身，分出来                   62'第62分钟杨立瑜右路传中，李帅出击把球打出不远，惠家康猫腰头球高出
62'禁区外惠家康得球，在传，被毕津浩拦截                   62'第62分钟杨立瑜右路传中，李帅出击把球打出不远，惠家康猫腰头球高出
62'毕津浩长传，前场右侧特维斯接球被邱添一破坏出边线                   62'第62分钟杨立瑜右路传中，李帅出击把球打出不远，惠家康猫腰头球高出
63'右侧王林给到特维斯，中路找到瓜林，瓜林分左侧被杨立瑜断下                   62'第62分钟杨立瑜右路传中，李帅出击把球打出不远，惠家康猫腰头球高出
63'泰达反击，杨立瑜带球快速推进，给到禁区左肋                   62'第62分钟杨立瑜右路传中，李帅出击把球打出不远，惠家康猫腰头球高出
63'阿奇姆彭插上，机会啊，，一个爆射，被门将挡出                   62'第62分钟杨立瑜右路传中，李帅出击把球打出不远，惠家康猫腰头球高出
63'禁区外拼抢，泰达有球员被踢翻在地                   62'第62分钟杨立瑜右路传中，李帅出击把球打出不远，惠家康猫腰头球高出
64'是买提江，被瓜林踢翻，瓜林吃到黄牌                   62'第62分钟杨立瑜右路传中，李帅出击把球打出不远，惠家康猫腰头球高出
64'泰达禁区外右侧定位球                   62'第62分钟杨立瑜右路传中，李帅出击把球打出不远，惠家康猫腰头球高出
