11'都灵球员奥比一脚直塞球给利亚伊奇,但是边裁举旗显示后者已经越位.                   11'尼昂第11分钟首获射门机会，左侧禁区角抽射被帕代利没收
11'射门!!!AC米兰球员尼昂左侧很远处右脚射门,被对方守门员横身扑出.给他传球的是安东内利.                   11'尼昂第11分钟首获射门机会，左侧禁区角抽射被帕代利没收
12'博纳文图拉为AC米兰赢得一个任意球.                   11'尼昂第11分钟首获射门机会，左侧禁区角抽射被帕代利没收
12'都灵球员德西尔维斯特里拼抢犯规,对手获得控球权.                   11'尼昂第11分钟首获射门机会，左侧禁区角抽射被帕代利没收
13'博纳文图拉将球处理出底线,都灵获得角球.                   11'尼昂第11分钟首获射门机会，左侧禁区角抽射被帕代利没收
14'都灵球员维维斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是利亚伊奇.                   11'尼昂第11分钟首获射门机会，左侧禁区角抽射被帕代利没收
38'进球啦！！！AC米兰球员巴卡大禁区中央头球,球从中路飞进球门,球进了!助攻的是阿巴特. AC米兰 1-0 都灵.                   38'AC米兰第38分钟取得领先
50'进球啦！！！AC米兰球员巴卡大禁区中央左脚射门,球从中路飞进球门,球进了!助攻的是尼昂. AC米兰 2-1 都灵.                   50'但AC米兰随即恢复领先优势，第50分钟，罗马尼奥利后场长传，尼昂左侧角旗区附近传中，对方中卫莫雷蒂冒顶，巴卡在门前9米处停球左脚半凌空抽射入网，2比1
51'奥比为都灵在左路,赢得一个任意球.                   50'但AC米兰随即恢复领先优势，第50分钟，罗马尼奥利后场长传，尼昂左侧角旗区附近传中，对方中卫莫雷蒂冒顶，巴卡在门前9米处停球左脚半凌空抽射入网，2比1
51'AC米兰球员库奇卡拼抢犯规,对手获得控球权.                   50'但AC米兰随即恢复领先优势，第50分钟，罗马尼奥利后场长传，尼昂左侧角旗区附近传中，对方中卫莫雷蒂冒顶，巴卡在门前9米处停球左脚半凌空抽射入网，2比1
53'安东内利将球处理出底线,都灵获得角球.                   50'但AC米兰随即恢复领先优势，第50分钟，罗马尼奥利后场长传，尼昂左侧角旗区附近传中，对方中卫莫雷蒂冒顶，巴卡在门前9米处停球左脚半凌空抽射入网，2比1
62'进球啦！！！AC米兰球员巴卡右脚射门,球从中路偏上飞进球门,球进了! AC米兰 3-1 都灵.                   62'巴卡第62分钟完成帽子戏法，博纳文图拉右路与阿巴特踢墙配合，突入禁区右侧横趟被奥比绊倒，点球
64'都灵球员奥比拼抢犯规,对手获得控球权.                   62'巴卡第62分钟完成帽子戏法，博纳文图拉右路与阿巴特踢墙配合，突入禁区右侧横趟被奥比绊倒，点球
64'库奇卡为AC米兰赢得一个任意球.                   62'巴卡第62分钟完成帽子戏法，博纳文图拉右路与阿巴特踢墙配合，突入禁区右侧横趟被奥比绊倒，点球
65'都灵球员Andrea Belotti大禁区中央右脚射门,被防守球员封堵.给他传球的是J-马丁内斯.                   62'巴卡第62分钟完成帽子戏法，博纳文图拉右路与阿巴特踢墙配合，突入禁区右侧横趟被奥比绊倒，点球
65'都灵球员Andrea Belotti一脚直塞球给M-洛佩斯,但是边裁举旗显示后者已经越位.                   62'巴卡第62分钟完成帽子戏法，博纳文图拉右路与阿巴特踢墙配合，突入禁区右侧横趟被奥比绊倒，点球
47'都灵球员奥比拼抢犯规,对手获得控球权.                   46'补时第1分钟，都灵右路远射被破坏，莫利纳罗再长传禁区，德西尔维斯特里头球回点，巴塞利突入禁区右侧距门9米处推进远角，2比3
47'蒙托利沃为AC米兰赢得一个任意球.                   46'补时第1分钟，都灵右路远射被破坏，莫利纳罗再长传禁区，德西尔维斯特里头球回点，巴塞利突入禁区右侧距门9米处推进远角，2比3
48'进球啦！！！都灵球员Andrea Belotti大禁区中央头球,球从右下角飞进球门,球进了!助攻的是莫利纳罗. AC米兰 1-1 都灵.                   46'补时第1分钟，都灵右路远射被破坏，莫利纳罗再长传禁区，德西尔维斯特里头球回点，巴塞利突入禁区右侧距门9米处推进远角，2比3
