8'国际米兰球员米利托大禁区外右脚射门,被防守球员封堵.给他传球的是帕拉西奥.                   8'开场8分钟，瓜林直传，帕拉西奥做给米利托，米利托禁区前沿射门被封堵
8'桑普多利亚球员蒂索内大禁区外右脚射门,被防守球员封堵.给他传球的是埃德尔.                   8'开场8分钟，瓜林直传，帕拉西奥做给米利托，米利托禁区前沿射门被封堵
11'国际米兰球员帕拉西奥大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是米利托.                   8'开场8分钟，瓜林直传，帕拉西奥做给米利托，米利托禁区前沿射门被封堵
15'射门!!!国际米兰球员米利托大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是卡萨诺.                   15'第15分钟，卡萨诺直传，米利托中路带球迂回到右侧距门11米处斜射被罗梅罗得到
15'桑普多利亚球员罗梅罗一脚直塞球给埃德尔,但是边裁举旗显示后者已经越位.                   15'第15分钟，卡萨诺直传，米利托中路带球迂回到右侧距门11米处斜射被罗梅罗得到
17'桑普多利亚球员埃德尔拼抢犯规,对手获得控球权.                   15'第15分钟，卡萨诺直传，米利托中路带球迂回到右侧距门11米处斜射被罗梅罗得到
17'穆丁加伊为国际米兰在左路,赢得一个任意球.                   15'第15分钟，卡萨诺直传，米利托中路带球迂回到右侧距门11米处斜射被罗梅罗得到
18'国际米兰球员萨穆埃尔大禁区中央尝试头球,可惜皮球偏出球门.给他传球的是佩雷拉.                   15'第15分钟，卡萨诺直传，米利托中路带球迂回到右侧距门11米处斜射被罗梅罗得到
31'国际米兰球员米利托大禁区中央右脚射门,被防守球员封堵.给他传球的是帕拉西奥.                   31'第31分钟，帕拉西奥传球，米利托禁区内射门被封堵
31'加斯塔尔德罗为桑普多利亚赢得一个任意球.                   31'第31分钟，帕拉西奥传球，米利托禁区内射门被封堵
31'国际米兰球员穆丁加伊拼抢犯规,对手获得控球权.                   31'第31分钟，帕拉西奥传球，米利托禁区内射门被封堵
31'黄牌！国际米兰球员穆丁加伊因为恶意犯规,被主裁判出示黄牌.                   31'第31分钟，帕拉西奥传球，米利托禁区内射门被封堵
34'射门!!!国际米兰球员佩雷拉球门左侧小角度左脚射门,被对方守门员横身扑出.给他传球的是卡萨诺.                   31'第31分钟，帕拉西奥传球，米利托禁区内射门被封堵
34'国际米兰球员瓜林大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.                   31'第31分钟，帕拉西奥传球，米利托禁区内射门被封堵
34'射门!!!国际米兰球员佩雷拉球门左侧小角度左脚射门,被对方守门员横身扑出.给他传球的是卡萨诺.                   34'第34分钟，卡萨诺左路直塞禁区，佩雷拉在门前8米处左脚小角度射门被罗梅罗封出
34'国际米兰球员瓜林大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.                   34'第34分钟，卡萨诺左路直塞禁区，佩雷拉在门前8米处左脚小角度射门被罗梅罗封出
35'桑普多利亚球员穆纳里危险动作,对手获得控球权.                   34'第34分钟，卡萨诺左路直塞禁区，佩雷拉在门前8米处左脚小角度射门被罗梅罗封出
35'穆丁加伊为国际米兰在对方半场,赢得一个任意球.                   34'第34分钟，卡萨诺左路直塞禁区，佩雷拉在门前8米处左脚小角度射门被罗梅罗封出
37'加斯塔尔德罗为桑普多利亚赢得一个任意球.                   34'第34分钟，卡萨诺左路直塞禁区，佩雷拉在门前8米处左脚小角度射门被罗梅罗封出
37'国际米兰球员米利托拼抢犯规,对手获得控球权.                   34'第34分钟，卡萨诺左路直塞禁区，佩雷拉在门前8米处左脚小角度射门被罗梅罗封出
52'进球啦！！！国际米兰球员米利托右脚射门,球从右上角飞进球门,球进了! 国际米兰 1-1 桑普多利亚.                   52'国米第52分钟迎来转机，帕拉西奥直传禁区右侧，米利托拿球被身后的科斯塔推倒，主裁判多维里判罚点球并掏出红牌
53'桑普多利亚换人,德西尔维斯特里上,贝拉尔迪因伤下场.                   52'国米第52分钟迎来转机，帕拉西奥直传禁区右侧，米利托拿球被身后的科斯塔推倒，主裁判多维里判罚点球并掏出红牌
61'桑普多利亚球员埃德尔拼抢犯规,对手获得控球权.                   61'米利托第61分钟几乎梅开二度，卡萨诺传禁区左侧，米利托巧妙扣过后卫，在门前9米处左脚小角度抽射击中近门柱
61'萨内蒂为国际米兰在对方半场,赢得一个任意球.                   61'米利托第61分钟几乎梅开二度，卡萨诺传禁区左侧，米利托巧妙扣过后卫，在门前9米处左脚小角度抽射击中近门柱
61'国际米兰球员米利托大禁区左侧左脚射门,命中门柱左侧立柱.给他传球的是卡萨诺.                   61'米利托第61分钟几乎梅开二度，卡萨诺传禁区左侧，米利托巧妙扣过后卫，在门前9米处左脚小角度抽射击中近门柱
62'桑普多利亚埃德尔受伤倒地,比赛暂停                   61'米利托第61分钟几乎梅开二度，卡萨诺传禁区左侧，米利托巧妙扣过后卫，在门前9米处左脚小角度抽射击中近门柱
62'暂停结束,球员们重新开始比赛.                   61'米利托第61分钟几乎梅开二度，卡萨诺传禁区左侧，米利托巧妙扣过后卫，在门前9米处左脚小角度抽射击中近门柱
63'国际米兰换人,长友佑都换下佩雷拉                   61'米利托第61分钟几乎梅开二度，卡萨诺传禁区左侧，米利托巧妙扣过后卫，在门前9米处左脚小角度抽射击中近门柱
63'国际米兰球员帕拉西奥大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是萨内蒂.                   61'米利托第61分钟几乎梅开二度，卡萨诺传禁区左侧，米利托巧妙扣过后卫，在门前9米处左脚小角度抽射击中近门柱
63'国际米兰换人,长友佑都换下佩雷拉                   63'第63分钟，萨内蒂右路传中，帕拉西奥前点距门8米处头球弹地偏出远门柱，坎比亚索后点跟进稍慢没铲到
63'国际米兰球员帕拉西奥大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是萨内蒂.                   63'第63分钟，萨内蒂右路传中，帕拉西奥前点距门8米处头球弹地偏出远门柱，坎比亚索后点跟进稍慢没铲到
65'索里亚诺为桑普多利亚赢得一个任意球.                   63'第63分钟，萨内蒂右路传中，帕拉西奥前点距门8米处头球弹地偏出远门柱，坎比亚索后点跟进稍慢没铲到
