2'后场鲁能泰山队断球，右路长传找塔尔德利！失误                   2'开场2分钟，蒙蒂略角球传中被挡出，张弛禁区外凌空抽射，球被顾超倒地扑在怀里
2'界外球发出来，江苏苏宁队长传前场，吉尔把球控下来                   2'开场2分钟，蒙蒂略角球传中被挡出，张弛禁区外凌空抽射，球被顾超倒地扑在怀里
2'齐天羽右路强突下底横传，被挡出底线                   2'开场2分钟，蒙蒂略角球传中被挡出，张弛禁区外凌空抽射，球被顾超倒地扑在怀里
3'蒙蒂略发角球到禁区内，对方顶出来！！张弛外围一脚远射！被顾超扑住！                   2'开场2分钟，蒙蒂略角球传中被挡出，张弛禁区外凌空抽射，球被顾超倒地扑在怀里
3'江苏苏宁队右路攻到前场，横传球失误                    2'开场2分钟，蒙蒂略角球传中被挡出，张弛禁区外凌空抽射，球被顾超倒地扑在怀里
3'鲁能泰山队得球快速反击                   2'开场2分钟，蒙蒂略角球传中被挡出，张弛禁区外凌空抽射，球被顾超倒地扑在怀里
4'刘彬彬在前场奋力拼抢，对方将球破坏出边线                   2'开场2分钟，蒙蒂略角球传中被挡出，张弛禁区外凌空抽射，球被顾超倒地扑在怀里
4'齐天羽右路突破横传禁区，圣斯伯里将球破坏出边线                   2'开场2分钟，蒙蒂略角球传中被挡出，张弛禁区外凌空抽射，球被顾超倒地扑在怀里
5'中场鲁能泰山队断球，发动中路进攻，直传球没能过去                   2'开场2分钟，蒙蒂略角球传中被挡出，张弛禁区外凌空抽射，球被顾超倒地扑在怀里
7'李昂发任意球直接打门，有些离谱啊！太高了，向着太阳打去                   7'第7分钟，山东鲁能打出快速反击，齐天羽底线附近倒三角回传禁区，蒙蒂略抢点推射高出横梁
8'刘彬彬右路突破传球，齐天羽下底横传禁区，蒙蒂略抢点打门！！太想发力啦，高出！                   7'第7分钟，山东鲁能打出快速反击，齐天羽底线附近倒三角回传禁区，蒙蒂略抢点推射高出横梁
8'江苏苏宁队进球啦！若！1-0                   7'第7分钟，山东鲁能打出快速反击，齐天羽底线附近倒三角回传禁区，蒙蒂略抢点推射高出横梁
9'王大雷大脚开球没能打远！拉米雷斯横传，特谢拉突破传球到禁区内，若抢点打门球进！                   7'第7分钟，山东鲁能打出快速反击，齐天羽底线附近倒三角回传禁区，蒙蒂略抢点推射高出横梁
10'鲁能泰山队今天开局攻势不错，但后场失误送给对手一粒进球！                   7'第7分钟，山东鲁能打出快速反击，齐天羽底线附近倒三角回传禁区，蒙蒂略抢点推射高出横梁
10'后卫与王大雷的配合失误！让江苏苏宁队率先破门                   7'第7分钟，山东鲁能打出快速反击，齐天羽底线附近倒三角回传禁区，蒙蒂略抢点推射高出横梁
10'本场如果再输球，鲁能泰山队将十一场不胜！                   7'第7分钟，山东鲁能打出快速反击，齐天羽底线附近倒三角回传禁区，蒙蒂略抢点推射高出横梁
13'拉米雷斯左路突破到禁区内！！吉尔防守，把球挡出底线！                   13'第13分钟，蒙蒂略带球反击，周云故意犯规阻挡被黄牌警告
13'任意球发到门将，王大雷出击把球打出来                   13'第13分钟，蒙蒂略带球反击，周云故意犯规阻挡被黄牌警告
13'鲁能泰山队得球快速反击！！！周云战术犯规，放倒了蒙蒂略！！黄牌！                   13'第13分钟，蒙蒂略带球反击，周云故意犯规阻挡被黄牌警告
13'按照铲球性质来看，红牌也不为过                   13'第13分钟，蒙蒂略带球反击，周云故意犯规阻挡被黄牌警告
14'蒙蒂略突过去就是一片开阔地！                   13'第13分钟，蒙蒂略带球反击，周云故意犯规阻挡被黄牌警告
14'鲁能泰山队长传球，李昂卡住位置，把张弛挡在了身后                   13'第13分钟，蒙蒂略带球反击，周云故意犯规阻挡被黄牌警告
15'鲁能泰山队后场得球，大脚长传找塔尔德利，大了，球出底线                   13'第13分钟，蒙蒂略带球反击，周云故意犯规阻挡被黄牌警告
16'刘建业中场铲球犯规！放倒了蒙蒂略！                   13'第13分钟，蒙蒂略带球反击，周云故意犯规阻挡被黄牌警告
16'任意球发出来，鲁能泰山队右路直传球失误                    13'第13分钟，蒙蒂略带球反击，周云故意犯规阻挡被黄牌警告
26'齐天羽右路突破横传，被杨笑天挡出边线                   26'第26分钟，张弛禁区外大力远射，球被顾超飞身挡出
27'界外球发出来，刘彬彬接球一脚斜射！顾超感到有些意外，还是侧扑把球扑出！                   26'第26分钟，张弛禁区外大力远射，球被顾超飞身挡出
29'鲁能泰山队右路攻到前场，圣斯伯里把球破坏                   26'第26分钟，张弛禁区外大力远射，球被顾超飞身挡出
