1'比赛开始了，利物浦开球                   1'双方第1分钟均显得小心谨慎
1'今天利物浦身穿红色战袍，从左侧向右侧进攻                   1'双方第1分钟均显得小心谨慎
1'切尔西是一身蓝袍，从右侧向左侧进攻                   1'双方第1分钟均显得小心谨慎
1'利物浦回敲，后场长传，拉拉纳顶出边线                   1'双方第1分钟均显得小心谨慎
2'左侧界外球给出，马蒂奇和詹拼抢，詹左侧分给米尔纳                   1'双方第1分钟均显得小心谨慎
2'再往前送，阿隆索破坏出去                   1'双方第1分钟均显得小心谨慎
2'后场洛夫伦得球，给到马蒂普，在给洛夫伦                   1'双方第1分钟均显得小心谨慎
2'左侧找回撤的库蒂尼奥，斜传詹                   1'双方第1分钟均显得小心谨慎
2'中路给到维纳尔杜姆，在找到库蒂尼奥，阿隆索回防解围                   1'双方第1分钟均显得小心谨慎
3'米尔纳左侧推进，身前给到詹，回敲洛夫伦，在给右路拉拉纳                   1'双方第1分钟均显得小心谨慎
3'斜传一脚，马蒂奇挡出底线                   1'双方第1分钟均显得小心谨慎
3'右侧角球机会，库蒂尼奥主罚                   1'双方第1分钟均显得小心谨慎
4'来一个战术角球，给到拉拉纳，右路起球                   1'双方第1分钟均显得小心谨慎
4'路易斯抢在洛夫伦之前，顶出底线                   1'双方第1分钟均显得小心谨慎
4'这球最后是碰到了利物浦球员出去的，门球                   1'双方第1分钟均显得小心谨慎
4'库尔图瓦大脚开出                   1'双方第1分钟均显得小心谨慎
4'直接出了左侧边线                   1'双方第1分钟均显得小心谨慎
24'米尔纳拼抢下来，把球控制                   24'切尔西第24分钟取得领先，拉拉纳禁区前对阿扎尔犯规，路易斯左路25码处任意球，皮球绕过人墙打中左侧立柱内侧入网，米尼奥莱毫无反应
24'詹左侧给库蒂尼奥，库鸟越位了                   24'切尔西第24分钟取得领先，拉拉纳禁区前对阿扎尔犯规，路易斯左路25码处任意球，皮球绕过人墙打中左侧立柱内侧入网，米尼奥莱毫无反应
24'切尔西长传出来，中路阿扎尔推进                   24'切尔西第24分钟取得领先，拉拉纳禁区前对阿扎尔犯规，路易斯左路25码处任意球，皮球绕过人墙打中左侧立柱内侧入网，米尼奥莱毫无反应
24'带到禁区前沿，左侧的位置，被拉拉纳撞翻                   24'切尔西第24分钟取得领先，拉拉纳禁区前对阿扎尔犯规，路易斯左路25码处任意球，皮球绕过人墙打中左侧立柱内侧入网，米尼奥莱毫无反应
25'定位球，路易斯主罚。。这个球够射程                   24'切尔西第24分钟取得领先，拉拉纳禁区前对阿扎尔犯规，路易斯左路25码处任意球，皮球绕过人墙打中左侧立柱内侧入网，米尼奥莱毫无反应
25'.路易斯，任意球直接破门                   24'切尔西第24分钟取得领先，拉拉纳禁区前对阿扎尔犯规，路易斯左路25码处任意球，皮球绕过人墙打中左侧立柱内侧入网，米尼奥莱毫无反应
26'这球，路易斯的无影脚，爆射任意球命中。。。米尼奥莱还在排人墙呢                   24'切尔西第24分钟取得领先，拉拉纳禁区前对阿扎尔犯规，路易斯左路25码处任意球，皮球绕过人墙打中左侧立柱内侧入网，米尼奥莱毫无反应
26'蓬蓬头不等人墙排完，直接是落叶斩，米尼奥莱没有任何反应，直钻左侧                   24'切尔西第24分钟取得领先，拉拉纳禁区前对阿扎尔犯规，路易斯左路25码处任意球，皮球绕过人墙打中左侧立柱内侧入网，米尼奥莱毫无反应
27'切尔西在场面劣势的情况下，率先打破了僵局                   24'切尔西第24分钟取得领先，拉拉纳禁区前对阿扎尔犯规，路易斯左路25码处任意球，皮球绕过人墙打中左侧立柱内侧入网，米尼奥莱毫无反应
27'詹中路组织，给到洛夫伦，低传向前被威廉挡出                   24'切尔西第24分钟取得领先，拉拉纳禁区前对阿扎尔犯规，路易斯左路25码处任意球，皮球绕过人墙打中左侧立柱内侧入网，米尼奥莱毫无反应
27'中路给到坎特，在往前挑传被破坏                   24'切尔西第24分钟取得领先，拉拉纳禁区前对阿扎尔犯规，路易斯左路25码处任意球，皮球绕过人墙打中左侧立柱内侧入网，米尼奥莱毫无反应
27'利物浦中路给到库鸟，右侧分克莱因                   24'切尔西第24分钟取得领先，拉拉纳禁区前对阿扎尔犯规，路易斯左路25码处任意球，皮球绕过人墙打中左侧立柱内侧入网，米尼奥莱毫无反应
27'转移到左侧，米尔纳得球，中路回给马蒂普                   24'切尔西第24分钟取得领先，拉拉纳禁区前对阿扎尔犯规，路易斯左路25码处任意球，皮球绕过人墙打中左侧立柱内侧入网，米尼奥莱毫无反应
49'切尔西右侧给到摩西，禁区外右路被包夹                   49'利物浦第49分钟浪费机会，拉拉纳脚后跟妙传，克莱因禁区边缘拿球被铲断，但菲尔米诺12码处却离谱打偏
49'回敲给身后威廉，在向后传，被断了                   49'利物浦第49分钟浪费机会，拉拉纳脚后跟妙传，克莱因禁区边缘拿球被铲断，但菲尔米诺12码处却离谱打偏
49'库鸟拦截，反击                   49'利物浦第49分钟浪费机会，拉拉纳脚后跟妙传，克莱因禁区边缘拿球被铲断，但菲尔米诺12码处却离谱打偏
49'前场中路拉拉纳得球，妙传到禁区前沿                   49'利物浦第49分钟浪费机会，拉拉纳脚后跟妙传，克莱因禁区边缘拿球被铲断，但菲尔米诺12码处却离谱打偏
50'右侧利物浦低球传中，门前菲尔米诺空了，，大好的机会啊                   49'利物浦第49分钟浪费机会，拉拉纳脚后跟妙传，克莱因禁区边缘拿球被铲断，但菲尔米诺12码处却离谱打偏
50'菲尔米诺推射想打反方向，结果直接冲天炮了                   49'利物浦第49分钟浪费机会，拉拉纳脚后跟妙传，克莱因禁区边缘拿球被铲断，但菲尔米诺12码处却离谱打偏
50'这球太可惜了吧，这么好的机会，踢飞了                   49'利物浦第49分钟浪费机会，拉拉纳脚后跟妙传，克莱因禁区边缘拿球被铲断，但菲尔米诺12码处却离谱打偏
50'库鸟中场拿球，左侧给米尔纳，传中被路易斯解围                   49'利物浦第49分钟浪费机会，拉拉纳脚后跟妙传，克莱因禁区边缘拿球被铲断，但菲尔米诺12码处却离谱打偏
51'克莱因外围控制，在给洛夫伦，很远的位置，选择直接来一发                   49'利物浦第49分钟浪费机会，拉拉纳脚后跟妙传，克莱因禁区边缘拿球被铲断，但菲尔米诺12码处却离谱打偏
51'势大力沉，但是高射炮了                   49'利物浦第49分钟浪费机会，拉拉纳脚后跟妙传，克莱因禁区边缘拿球被铲断，但菲尔米诺12码处却离谱打偏
51'库尔图瓦大脚开出                   49'利物浦第49分钟浪费机会，拉拉纳脚后跟妙传，克莱因禁区边缘拿球被铲断，但菲尔米诺12码处却离谱打偏
51'左侧阿隆索得球，在给前场阿扎尔                   49'利物浦第49分钟浪费机会，拉拉纳脚后跟妙传，克莱因禁区边缘拿球被铲断，但菲尔米诺12码处却离谱打偏
