1'上半场比赛开始了                   1'双方第1分钟仍是快节奏对攻
1'上半场比赛由巴塞罗那率先中圈开球                   1'双方第1分钟仍是快节奏对攻
1'巴塞罗那身穿一身荧光绿战袍                   1'双方第1分钟仍是快节奏对攻
2'拜仁中场断球，阿隆索控球被阿尔维斯绊倒                   1'双方第1分钟仍是快节奏对攻
2'拜仁在后场控球，拉基蒂奇要球转移到左路贝尔纳特                   1'双方第1分钟仍是快节奏对攻
2'贝尔纳特回传给贝纳蒂亚                   1'双方第1分钟仍是快节奏对攻
2'蒂亚戈接应分给拉姆，拉姆再往边上分                   1'双方第1分钟仍是快节奏对攻
3'穆勒做墙传球到右肋部，拉姆杀到抢射打出底线                   1'双方第1分钟仍是快节奏对攻
4'博阿滕后场直接起高球送到巴萨禁区，无人跟进                   1'双方第1分钟仍是快节奏对攻
4'特尔斯特根将球让出了底线                   1'双方第1分钟仍是快节奏对攻
4'阿尔维斯后场长传，内马尔得球，博阿滕跟出来                   1'双方第1分钟仍是快节奏对攻
4'内马尔回传给伊涅斯塔                   1'双方第1分钟仍是快节奏对攻
4'球转移到右路阿尔维斯脚下，布斯克茨接应分左路                   1'双方第1分钟仍是快节奏对攻
7'拜仁的进攻还是相当犀利                   7'拜仁第7分钟取得领先，阿隆索开出角球，无人防守的贝纳蒂亚10码处头球攻门，特尔施特根飞身扑救碰到皮球仍无法阻止大门失守
7'博阿滕过顶长传，莱万多夫斯基卸下球来传中被皮克挡出底线                   7'拜仁第7分钟取得领先，阿隆索开出角球，无人防守的贝纳蒂亚10码处头球攻门，特尔施特根飞身扑救碰到皮球仍无法阻止大门失守
7'更正一下，刚才打门的是蒂亚戈不是施魏因斯泰格                   7'拜仁第7分钟取得领先，阿隆索开出角球，无人防守的贝纳蒂亚10码处头球攻门，特尔施特根飞身扑救碰到皮球仍无法阻止大门失守
7'拜仁进球了                   7'拜仁第7分钟取得领先，阿隆索开出角球，无人防守的贝纳蒂亚10码处头球攻门，特尔施特根飞身扑救碰到皮球仍无法阻止大门失守
8'贝纳蒂亚                   7'拜仁第7分钟取得领先，阿隆索开出角球，无人防守的贝纳蒂亚10码处头球攻门，特尔施特根飞身扑救碰到皮球仍无法阻止大门失守
8'蒂亚戈角球发到点球点，博阿滕前点一漏，贝尔纳特后点头球顶向球门左下角，特尔斯特根扑救不及                   7'拜仁第7分钟取得领先，阿隆索开出角球，无人防守的贝纳蒂亚10码处头球攻门，特尔施特根飞身扑救碰到皮球仍无法阻止大门失守
9'这样比赛的悬念重起                   7'拜仁第7分钟取得领先，阿隆索开出角球，无人防守的贝纳蒂亚10码处头球攻门，特尔施特根飞身扑救碰到皮球仍无法阻止大门失守
9'拜仁果然以迅雷不及掩耳之势就打进一球                   7'拜仁第7分钟取得领先，阿隆索开出角球，无人防守的贝纳蒂亚10码处头球攻门，特尔施特根飞身扑救碰到皮球仍无法阻止大门失守
9'贝尔纳特回传给贝纳蒂亚                   7'拜仁第7分钟取得领先，阿隆索开出角球，无人防守的贝纳蒂亚10码处头球攻门，特尔施特根飞身扑救碰到皮球仍无法阻止大门失守
9'博阿滕长传上来，阿尔维斯顶到第一点                   7'拜仁第7分钟取得领先，阿隆索开出角球，无人防守的贝纳蒂亚10码处头球攻门，特尔施特根飞身扑救碰到皮球仍无法阻止大门失守
10'恩里克已经坐不住了，到了场边不断喊叫                   7'拜仁第7分钟取得领先，阿隆索开出角球，无人防守的贝纳蒂亚10码处头球攻门，特尔施特根飞身扑救碰到皮球仍无法阻止大门失守
10'拉基蒂奇内切被断                   7'拜仁第7分钟取得领先，阿隆索开出角球，无人防守的贝纳蒂亚10码处头球攻门，特尔施特根飞身扑救碰到皮球仍无法阻止大门失守
10'中场争夺，小猪抬脚过高                   7'拜仁第7分钟取得领先，阿隆索开出角球，无人防守的贝纳蒂亚10码处头球攻门，特尔施特根飞身扑救碰到皮球仍无法阻止大门失守
15'巴萨的机会                   15'但巴萨第15分钟扳平比分，梅西直传，反越位成功的苏亚雷斯禁区右肋无私横敲，内马尔轻松打入空门，1-1
15'巴塞罗那进球了。。。                   15'但巴萨第15分钟扳平比分，梅西直传，反越位成功的苏亚雷斯禁区右肋无私横敲，内马尔轻松打入空门，1-1
16'梅西中路的直传，苏亚雷斯斜插上来得球面对诺伊尔横拔，内马尔跟进将球打进空门                   15'但巴萨第15分钟扳平比分，梅西直传，反越位成功的苏亚雷斯禁区右肋无私横敲，内马尔轻松打入空门，1-1
16'看似极为被动的巴萨，由MSN灵光一闪就打进金子般的进球                   15'但巴萨第15分钟扳平比分，梅西直传，反越位成功的苏亚雷斯禁区右肋无私横敲，内马尔轻松打入空门，1-1
16'这样，比赛将肯定不会进入加时赛                   15'但巴萨第15分钟扳平比分，梅西直传，反越位成功的苏亚雷斯禁区右肋无私横敲，内马尔轻松打入空门，1-1
17'现在就看拜仁能否再进4球                   15'但巴萨第15分钟扳平比分，梅西直传，反越位成功的苏亚雷斯禁区右肋无私横敲，内马尔轻松打入空门，1-1
17'拜仁右路的任意球机会                   15'但巴萨第15分钟扳平比分，梅西直传，反越位成功的苏亚雷斯禁区右肋无私横敲，内马尔轻松打入空门，1-1
17'拉菲尼亚传进来，太低了                   15'但巴萨第15分钟扳平比分，梅西直传，反越位成功的苏亚雷斯禁区右肋无私横敲，内马尔轻松打入空门，1-1
18'拉菲尼亚长传，阿尔维斯将球拿到                   15'但巴萨第15分钟扳平比分，梅西直传，反越位成功的苏亚雷斯禁区右肋无私横敲，内马尔轻松打入空门，1-1
29'拜仁又有机会                   29'巴萨第29分钟反超比分，梅西头球后顶，苏亚雷斯反击中禁区右侧传中，博阿滕与皮球擦身未能拦截，内马尔10码处射入左下角，2-1
29'蒂亚戈的直塞，莱万多夫斯基斜向插上打门被门将扑住                   29'巴萨第29分钟反超比分，梅西头球后顶，苏亚雷斯反击中禁区右侧传中，博阿滕与皮球擦身未能拦截，内马尔10码处射入左下角，2-1
29'巴萨反击，2打1了                   29'巴萨第29分钟反超比分，梅西头球后顶，苏亚雷斯反击中禁区右侧传中，博阿滕与皮球擦身未能拦截，内马尔10码处射入左下角，2-1
30'苏亚雷斯带球进了禁区横传，内马尔胸部停球下来打近角球进                   29'巴萨第29分钟反超比分，梅西头球后顶，苏亚雷斯反击中禁区右侧传中，博阿滕与皮球擦身未能拦截，内马尔10码处射入左下角，2-1
31'更看看完全过程，马斯切拉诺后场长传到中圈附近，梅西头球一蹭，苏亚雷斯快速起动高速还球进了禁区横传内马尔胸部停球下来，精准的打向球门右下角死角球进                   29'巴萨第29分钟反超比分，梅西头球后顶，苏亚雷斯反击中禁区右侧传中，博阿滕与皮球擦身未能拦截，内马尔10码处射入左下角，2-1
31'上半场比赛进行了30分钟，双方合演一场精彩的对攻战，巴萨暂时2：1领先                   29'巴萨第29分钟反超比分，梅西头球后顶，苏亚雷斯反击中禁区右侧传中，博阿滕与皮球擦身未能拦截，内马尔10码处射入左下角，2-1
31'这个进球也基本锁定巴萨的决赛资格                   29'巴萨第29分钟反超比分，梅西头球后顶，苏亚雷斯反击中禁区右侧传中，博阿滕与皮球擦身未能拦截，内马尔10码处射入左下角，2-1
40'蒂亚戈直塞，莱万多夫斯基顺势外脚背弹射，特尔斯特根伸手挡一下，球还是慢慢滚向球门右下角，特尔斯特根返身及时在门线前将球捞了出来                   40'第40分钟，莱万多夫斯基10码处劲射被特尔施特根扑挡，皮球仍缓缓滚向球门，前门兴门将返身在球门线上将皮球捞出，底线裁判并未示意进球
40'拜仁球员举手示意球已经越位门线，但裁判认为没有                   40'第40分钟，莱万多夫斯基10码处劲射被特尔施特根扑挡，皮球仍缓缓滚向球门，前门兴门将返身在球门线上将皮球捞出，底线裁判并未示意进球
41'拉菲尼亚中场犯规                   40'第40分钟，莱万多夫斯基10码处劲射被特尔施特根扑挡，皮球仍缓缓滚向球门，前门兴门将返身在球门线上将皮球捞出，底线裁判并未示意进球
