10'卡希尔后场的争顶，和诺维奇插上的球员撞在一起                   10'第10分钟，斯诺德格拉斯禁区边缘内的射门被封堵，特蒂外围赶上再射也被挡出
10'两人头相撞，很痛苦哦                   10'第10分钟，斯诺德格拉斯禁区边缘内的射门被封堵，特蒂外围赶上再射也被挡出
11'霍尔特前场背身拿球，回敲给到插上的皮尔金顿                   10'第10分钟，斯诺德格拉斯禁区边缘内的射门被封堵，特蒂外围赶上再射也被挡出
11'皮尔金顿拿球左路底线内切，被卡希尔将球解围                   10'第10分钟，斯诺德格拉斯禁区边缘内的射门被封堵，特蒂外围赶上再射也被挡出
12'球还在诺维奇球员脚下，特泰禁区外的右脚外脚背抽射，打偏了                   10'第10分钟，斯诺德格拉斯禁区边缘内的射门被封堵，特蒂外围赶上再射也被挡出
12'蓝军之TORRES:那边曼联丢球了（这么快？？？？）                   10'第10分钟，斯诺德格拉斯禁区边缘内的射门被封堵，特蒂外围赶上再射也被挡出
13'诺维奇左路进攻，霍拉罕拿球，阿兹皮里库塔防守，到了角旗附近                   10'第10分钟，斯诺德格拉斯禁区边缘内的射门被封堵，特蒂外围赶上再射也被挡出
13'霍拉罕面对阿兹皮里库塔的紧逼防守，回敲球失误，切尔西反击                   10'第10分钟，斯诺德格拉斯禁区边缘内的射门被封堵，特蒂外围赶上再射也被挡出
48'据说神灯兰帕德1月将离开斯坦福桥，大家会想念他吗？？？                   48'3分钟后，阿什利-科尔传球，但路易斯的远射再度偏出
49'米克尔后场过顶斜传到左路找摩西，球被马丁拦截                   48'3分钟后，阿什利-科尔传球，但路易斯的远射再度偏出
49'马丁的直传找霍拉罕，可惜被路易斯抢断                   48'3分钟后，阿什利-科尔传球，但路易斯的远射再度偏出
49'摩西左路拿球进攻，赢得角球机会                   48'3分钟后，阿什利-科尔传球，但路易斯的远射再度偏出
49'奥斯卡角球开出到前点，布恩出将球扑出底线                   48'3分钟后，阿什利-科尔传球，但路易斯的远射再度偏出
