12'AC米兰球员巴洛特利左侧远离球门处小角度右脚射门,被防守球员封堵.                   12'第12分钟，巴洛特利左路似传似射被阿奎拉尼挡出底线
12'阿奎拉尼将球处理出底线,AC米兰获得角球.                   12'第12分钟，巴洛特利左路似传似射被阿奎拉尼挡出底线
13'帕斯奎尔为佛罗伦萨赢得一个任意球.                   12'第12分钟，巴洛特利左路似传似射被阿奎拉尼挡出底线
13'AC米兰球员巴洛特利拼抢犯规,对手获得控球权.                   12'第12分钟，巴洛特利左路似传似射被阿奎拉尼挡出底线
47'AC米兰球员比尔萨大禁区外左脚射门,被防守球员封堵.给他传球的是巴洛特利.                   47'2分钟后，蒙塔里头球摆渡，巴洛特利远射也打高
47'冈萨洛将球处理出底线,AC米兰获得角球.                   47'2分钟后，蒙塔里头球摆渡，巴洛特利远射也打高
48'AC米兰球员扎卡尔多大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.                   47'2分钟后，蒙塔里头球摆渡，巴洛特利远射也打高
48'AC米兰康斯坦特受伤倒地,比赛暂停                   47'2分钟后，蒙塔里头球摆渡，巴洛特利远射也打高
48'暂停结束,球员们重新开始比赛.                   47'2分钟后，蒙塔里头球摆渡，巴洛特利远射也打高
50'佛罗伦萨球员阿奎拉尼危险动作,对手获得控球权.                   47'2分钟后，蒙塔里头球摆渡，巴洛特利远射也打高
50'蒙托利沃为AC米兰赢得一个任意球.                   47'2分钟后，蒙塔里头球摆渡，巴洛特利远射也打高
50'黄牌！佛罗伦萨球员阿奎拉尼因为有危险动作,被主裁判出示黄牌.                   47'2分钟后，蒙塔里头球摆渡，巴洛特利远射也打高
50'维奇诺为佛罗伦萨赢得一个任意球.                   47'2分钟后，蒙塔里头球摆渡，巴洛特利远射也打高
50'AC米兰球员巴洛特利拼抢犯规,对手获得控球权.                   47'2分钟后，蒙塔里头球摆渡，巴洛特利远射也打高
24'AC米兰球员德容大禁区外右脚射门,被防守球员封堵.给他传球的是卡卡.                   24'第24分钟，卡卡传球，德容禁区前沿射门被内托得到
25'罗西为佛罗伦萨赢得一个任意球.                   24'第24分钟，卡卡传球，德容禁区前沿射门被内托得到
