1'中圈准备开球！                   1'利物浦第1分钟就试图控制比赛，西汉姆压缩空间应对
1'利物浦开出皮球！上半场比赛开始了                   1'利物浦第1分钟就试图控制比赛，西汉姆压缩空间应对
1'开球回给后场中路范迪克                   1'利物浦第1分钟就试图控制比赛，西汉姆压缩空间应对
1'范迪克长传球找前场左侧队友                   1'利物浦第1分钟就试图控制比赛，西汉姆压缩空间应对
1'皮球被马苏亚库挡了一下                   1'利物浦第1分钟就试图控制比赛，西汉姆压缩空间应对
1'皮球落到阿诺德脚下                   1'利物浦第1分钟就试图控制比赛，西汉姆压缩空间应对
2'阿诺德再给身前右侧菲尔米诺                   1'利物浦第1分钟就试图控制比赛，西汉姆压缩空间应对
2'菲尔米诺的球被诺布尔解围出去                   1'利物浦第1分钟就试图控制比赛，西汉姆压缩空间应对
2'安德森中场右侧把球得到                   1'利物浦第1分钟就试图控制比赛，西汉姆压缩空间应对
2'自己带球推进过来                   1'利物浦第1分钟就试图控制比赛，西汉姆压缩空间应对
2'安德森给边路跟进的马苏亚库                   1'利物浦第1分钟就试图控制比赛，西汉姆压缩空间应对
53'法比安斯基后场开球直接出了边线！                   53'利物浦第53分钟锁定胜局，米尔纳传球，菲尔米诺直传，马内14码处劲射左下角入网，3-0
53'利物浦左侧发边线球给米尔纳                   53'利物浦第53分钟锁定胜局，米尔纳传球，菲尔米诺直传，马内14码处劲射左下角入网，3-0
53'米尔纳起球长传给前场右侧萨拉赫                   53'利物浦第53分钟锁定胜局，米尔纳传球，菲尔米诺直传，马内14码处劲射左下角入网，3-0
54'萨拉赫点球给禁区内菲尔米诺                   53'利物浦第53分钟锁定胜局，米尔纳传球，菲尔米诺直传，马内14码处劲射左下角入网，3-0
54'这球给大了，门将法比安斯基把球拿到                   53'利物浦第53分钟锁定胜局，米尔纳传球，菲尔米诺直传，马内14码处劲射左下角入网，3-0
54'法比安斯基大脚开球给前场右侧！                   53'利物浦第53分钟锁定胜局，米尔纳传球，菲尔米诺直传，马内14码处劲射左下角入网，3-0
54'罗伯逊后场把球破坏出边线！                   53'利物浦第53分钟锁定胜局，米尔纳传球，菲尔米诺直传，马内14码处劲射左下角入网，3-0
54'西汉姆联边线发球给右侧阿诺德                   53'利物浦第53分钟锁定胜局，米尔纳传球，菲尔米诺直传，马内14码处劲射左下角入网，3-0
54'阿诺德右脚长传给前场禁区内！                   53'利物浦第53分钟锁定胜局，米尔纳传球，菲尔米诺直传，马内14码处劲射左下角入网，3-0
55'这球传深了！出了底线！                   53'利物浦第53分钟锁定胜局，米尔纳传球，菲尔米诺直传，马内14码处劲射左下角入网，3-0
53'似乎是马内的进球呀，看下慢镜头                   53'利物浦第53分钟锁定胜局，米尔纳传球，菲尔米诺直传，马内14码处劲射左下角入网，3-0
53'米尔纳分球菲尔米诺，直接带球突破，分球插上的马内，马内拿球，转身过来，一脚打门得分                   53'利物浦第53分钟锁定胜局，米尔纳传球，菲尔米诺直传，马内14码处劲射左下角入网，3-0
53'马内梅开二度了                   53'利物浦第53分钟锁定胜局，米尔纳传球，菲尔米诺直传，马内14码处劲射左下角入网，3-0
54'OK，继续看比赛                   53'利物浦第53分钟锁定胜局，米尔纳传球，菲尔米诺直传，马内14码处劲射左下角入网，3-0
55'西汉姆联这边手球了呀                   53'利物浦第53分钟锁定胜局，米尔纳传球，菲尔米诺直传，马内14码处劲射左下角入网，3-0
55'还吃到了黄牌                   53'利物浦第53分钟锁定胜局，米尔纳传球，菲尔米诺直传，马内14码处劲射左下角入网，3-0
55'叫巴尔武埃纳                   53'利物浦第53分钟锁定胜局，米尔纳传球，菲尔米诺直传，马内14码处劲射左下角入网，3-0
55'OK，球权转换                   53'利物浦第53分钟锁定胜局，米尔纳传球，菲尔米诺直传，马内14码处劲射左下角入网，3-0
56'凯塔送出直塞球，找菲尔米诺                   53'利物浦第53分钟锁定胜局，米尔纳传球，菲尔米诺直传，马内14码处劲射左下角入网，3-0
56'边裁举旗，越位了                   53'利物浦第53分钟锁定胜局，米尔纳传球，菲尔米诺直传，马内14码处劲射左下角入网，3-0
88'阿利松开球给中路范迪克                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
88'范迪克直传球给中圈                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
88'诺布尔拦截皮球                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
88'回给身后的巴尔武埃纳                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
88'巴尔武埃纳大脚把球往前场中路给                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
89'威纳尔杜姆横做给右侧阿诺德                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
89'阿诺德盘带被安德森反抢                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
89'安德森回给身后马苏亚库                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
89'皮球被上抢的马内踢出边线                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
90'西汉姆联左侧发球给中场左侧                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
90'凯塔出脚把球破坏                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
90'萨拉赫前场中路插上                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
90'皮球到了禁区内！被门将先拿到了                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
90'补时1分钟的时间                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
91'法比安斯基大脚开球给前场左侧                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
88'这边利物浦继续换人了                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
88'斯图利奇换下了萨拉赫                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
89'看利物浦角球进攻把                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
89'进球了！！！！！！！                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
89'米尔纳角球开出来，有人头球百度，斯图利奇门前直接将球踢入球网                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
89'一上来就建功，这也太厉害了把                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
90'4比0，这个比分，这个开门红对于利物浦来说是非常美妙的                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
90'OK，继续看比赛                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
90'前场还是利物浦的进攻                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
91'利物浦传球中路                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
91'斯图利奇的打门                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
91'这次没进了                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
91'全场补时3分钟                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
91'西汉姆联这边外围来一脚突施冷箭                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
91'阿利森稳稳没收                   88'第88分钟，斯诺德格拉斯前点解围角球时头球后蹭失误，24秒前换下萨拉赫的斯图里奇小禁区右侧近距离破门，4-0
