3'雷腾龙这边先将球破坏了                   3'第3分钟，刘宇右路传中打到门前空档，吉利奥蒂近距离面对杨智垫射将球挡偏
3'冯劲右路带球丢了                   3'第3分钟，刘宇右路传中打到门前空档，吉利奥蒂近距离面对杨智垫射将球挡偏
3'力帆右路起球送禁区后点                   3'第3分钟，刘宇右路传中打到门前空档，吉利奥蒂近距离面对杨智垫射将球挡偏
3'国安队这边后卫冒顶了                   3'第3分钟，刘宇右路传中打到门前空档，吉利奥蒂近距离面对杨智垫射将球挡偏
3'吉利奥蒂后点碰了一下，并没有形成射门                   3'第3分钟，刘宇右路传中打到门前空档，吉利奥蒂近距离面对杨智垫射将球挡偏
4'而是形成了一个停球动作                   3'第3分钟，刘宇右路传中打到门前空档，吉利奥蒂近距离面对杨智垫射将球挡偏
4'力帆这边错过了一次绝佳的机会                   3'第3分钟，刘宇右路传中打到门前空档，吉利奥蒂近距离面对杨智垫射将球挡偏
4'力帆后场断球下来                   3'第3分钟，刘宇右路传中打到门前空档，吉利奥蒂近距离面对杨智垫射将球挡偏
4'挑传被徐云龙大脚解围                   3'第3分钟，刘宇右路传中打到门前空档，吉利奥蒂近距离面对杨智垫射将球挡偏
5'巴塔拉中场拿球被隋东陆拦截                   3'第3分钟，刘宇右路传中打到门前空档，吉利奥蒂近距离面对杨智垫射将球挡偏
5'力帆这边传球送中路                   3'第3分钟，刘宇右路传中打到门前空档，吉利奥蒂近距离面对杨智垫射将球挡偏
5'吉利奥蒂又是险些先将球得到                   3'第3分钟，刘宇右路传中打到门前空档，吉利奥蒂近距离面对杨智垫射将球挡偏
5'国安队这边有机会啊                   3'第3分钟，刘宇右路传中打到门前空档，吉利奥蒂近距离面对杨智垫射将球挡偏
6'朴成禁区内的单刀被隋维杰扑出！！                   3'第3分钟，刘宇右路传中打到门前空档，吉利奥蒂近距离面对杨智垫射将球挡偏
6'送出助攻的是德扬                   3'第3分钟，刘宇右路传中打到门前空档，吉利奥蒂近距离面对杨智垫射将球挡偏
11'角球送后点                   11'第11分钟，朴成前场抢断策动快攻，巴塔拉突入禁区右翼后传中，中路前插的德扬头球没有顶正部位，其身后的朴成受到干扰也错过了攻空门的机会
11'这球太靠近门将了，隋维杰将球摘到                   11'第11分钟，朴成前场抢断策动快攻，巴塔拉突入禁区右翼后传中，中路前插的德扬头球没有顶正部位，其身后的朴成受到干扰也错过了攻空门的机会
11'国安队前场断球了                   11'第11分钟，朴成前场抢断策动快攻，巴塔拉突入禁区右翼后传中，中路前插的德扬头球没有顶正部位，其身后的朴成受到干扰也错过了攻空门的机会
12'德扬送直塞给到禁区内                   11'第11分钟，朴成前场抢断策动快攻，巴塔拉突入禁区右翼后传中，中路前插的德扬头球没有顶正部位，其身后的朴成受到干扰也错过了攻空门的机会
12'巴塔拉拿球后面对门将选择了敲中路                   11'第11分钟，朴成前场抢断策动快攻，巴塔拉突入禁区右翼后传中，中路前插的德扬头球没有顶正部位，其身后的朴成受到干扰也错过了攻空门的机会
12'德扬这边头球攻门只是蹭了一下，后点，朴成也是没有碰到                   11'第11分钟，朴成前场抢断策动快攻，巴塔拉突入禁区右翼后传中，中路前插的德扬头球没有顶正部位，其身后的朴成受到干扰也错过了攻空门的机会
12'双鬼拍门都是碰到，可惜了                   11'第11分钟，朴成前场抢断策动快攻，巴塔拉突入禁区右翼后传中，中路前插的德扬头球没有顶正部位，其身后的朴成受到干扰也错过了攻空门的机会
13'宋博轩右路突破没有过去                   11'第11分钟，朴成前场抢断策动快攻，巴塔拉突入禁区右翼后传中，中路前插的德扬头球没有顶正部位，其身后的朴成受到干扰也错过了攻空门的机会
14'宋博轩想做撞墙配合，这球被识破                   11'第11分钟，朴成前场抢断策动快攻，巴塔拉突入禁区右翼后传中，中路前插的德扬头球没有顶正部位，其身后的朴成受到干扰也错过了攻空门的机会
14'雷腾龙上抢的时候先犯规了                   11'第11分钟，朴成前场抢断策动快攻，巴塔拉突入禁区右翼后传中，中路前插的德扬头球没有顶正部位，其身后的朴成受到干扰也错过了攻空门的机会
26'力帆前场带球突破                   25'第25分钟，力帆由王栋策动快攻，刘卫东前插时被徐云龙放铲将球破坏，刘卫东落地时崴到脚踝，出现些许伤情
26'徐云龙滑铲将球破坏                   25'第25分钟，力帆由王栋策动快攻，刘卫东前插时被徐云龙放铲将球破坏，刘卫东落地时崴到脚踝，出现些许伤情
27'朴成前场拿球给到边路                   25'第25分钟，力帆由王栋策动快攻，刘卫东前插时被徐云龙放铲将球破坏，刘卫东落地时崴到脚踝，出现些许伤情
