1'比赛已经开了                   1'上半场第1分钟，绿城进攻十分积极
1'开始了                   1'上半场第1分钟，绿城进攻十分积极
1'上海申鑫队首先开球                   1'上半场第1分钟，绿城进攻十分积极
2'绿城拿球，给到中路，安塔尔的一脚射门偏出                   1'上半场第1分钟，绿城进攻十分积极
3'绿城左路进攻                   1'上半场第1分钟，绿城进攻十分积极
3'开场后绿城十分积极                   1'上半场第1分钟，绿城进攻十分积极
3'比较关系到保级                   1'上半场第1分钟，绿城进攻十分积极
4'杭州绿城队左路突破遭拦截                    1'上半场第1分钟，绿城进攻十分积极
4'申鑫拿球回传                   1'上半场第1分钟，绿城进攻十分积极
5'申鑫一脚长传给到右路，丹尼尔拿球直接打门                   5'第5分钟，申鑫也不甘示弱，一脚长传给到右路，丹尼尔拿球直接打门，皮球被顾超没收
5'球被顾超没收                   5'第5分钟，申鑫也不甘示弱，一脚长传给到右路，丹尼尔拿球直接打门，皮球被顾超没收
6'杭州绿城队直传球被断，刘弈超中场拿球，转移到右边路                   5'第5分钟，申鑫也不甘示弱，一脚长传给到右路，丹尼尔拿球直接打门，皮球被顾超没收
7'上海申鑫队直传球被断                   5'第5分钟，申鑫也不甘示弱，一脚长传给到右路，丹尼尔拿球直接打门，皮球被顾超没收
7'杭州绿城队过顶长传找阿甘，禁区上海申鑫队防守将球断下                   5'第5分钟，申鑫也不甘示弱，一脚长传给到右路，丹尼尔拿球直接打门，皮球被顾超没收
8'上海申鑫队从右路组织进攻，大范围转移，球到左侧，孙凯拿球                   5'第5分钟，申鑫也不甘示弱，一脚长传给到右路，丹尼尔拿球直接打门，皮球被顾超没收
16'阿甘带球左路切入禁区，倒三角传球，陈柏良起脚打门，没能形成威胁                    16'第16分钟，绿城卷土重来，阿甘带球左路切入禁区，倒三角传球，陈柏良起脚打门，但未能形成威胁
16'杭州绿城队逼抢非常凶猛，上海申鑫队无法送球过半场                    16'第16分钟，绿城卷土重来，阿甘带球左路切入禁区，倒三角传球，陈柏良起脚打门，但未能形成威胁
17'杭州绿城队又是一次进攻，安塔尔右路起球，直接将球传出底线                   16'第16分钟，绿城卷土重来，阿甘带球左路切入禁区，倒三角传球，陈柏良起脚打门，但未能形成威胁
18'杭州绿城队后场长传，阿甘带球左路突破，最后一步趟大了                   16'第16分钟，绿城卷土重来，阿甘带球左路切入禁区，倒三角传球，陈柏良起脚打门，但未能形成威胁
18'申鑫队有队员受伤倒地了                   16'第16分钟，绿城卷土重来，阿甘带球左路切入禁区，倒三角传球，陈柏良起脚打门，但未能形成威胁
18'好像是丹尼尔                   16'第16分钟，绿城卷土重来，阿甘带球左路切入禁区，倒三角传球，陈柏良起脚打门，但未能形成威胁
23'丹尼尔已无法坚持比分，担架将他抬到场边                   23'第23分钟，申鑫不得不提前作出换人，用段杰毅换下丹尼尔
24'杭州绿城队从左路组织进攻，转移到右侧，斜传到禁区后点，阿甘停球后传到门前，队友头球顶门                   23'第23分钟，申鑫不得不提前作出换人，用段杰毅换下丹尼尔
24'胡鸣飞险些丢球，上海申鑫队长传球被断                    23'第23分钟，申鑫不得不提前作出换人，用段杰毅换下丹尼尔
24'上海申鑫队换人，段杰毅上场换下丹尼尔                   23'第23分钟，申鑫不得不提前作出换人，用段杰毅换下丹尼尔
25'突入禁区，后卫挡出来，外围安塔尔一脚远射，对方挡出底线                   23'第23分钟，申鑫不得不提前作出换人，用段杰毅换下丹尼尔
26'葛振横传中路，陈柏良禁区外远左脚射门，林翔扑球脱手了，拉蒙跟上补射也没能成功                   23'第23分钟，申鑫不得不提前作出换人，用段杰毅换下丹尼尔
30'阿甘一人中路拿球吸引防守队员后分给拉蒙，拉蒙射门得手                   30'第30分钟，阿甘中场断球后，一人拿球吸引对方防守队员到了禁区后，果断分给拉蒙，拉蒙眼疾腿快，射门得手，绿城先声夺人，1-0主场领先
31'绿城继续进攻                   30'第30分钟，阿甘中场断球后，一人拿球吸引对方防守队员到了禁区后，果断分给拉蒙，拉蒙眼疾腿快，射门得手，绿城先声夺人，1-0主场领先
32'陈柏良拿球小角度打门没有角度了                   30'第30分钟，阿甘中场断球后，一人拿球吸引对方防守队员到了禁区后，果断分给拉蒙，拉蒙眼疾腿快，射门得手，绿城先声夺人，1-0主场领先
