1'好的，哨音吹响，比赛开始了，黑猫开球                   1'开场1分钟，曼城后场玩火被断，费尔南迪尼奥紧急飞铲迪福，送出一个任意球
1'中场费尔南迪尼奥的上抢，犯规了                   1'开场1分钟，曼城后场玩火被断，费尔南迪尼奥紧急飞铲迪福，送出一个任意球
1'看得出，一开场，双方就很兴奋                   1'开场1分钟，曼城后场玩火被断，费尔南迪尼奥紧急飞铲迪福，送出一个任意球
1'中场任意球开出，克里希左路成功的拦截                   1'开场1分钟，曼城后场玩火被断，费尔南迪尼奥紧急飞铲迪福，送出一个任意球
2'禁区弧顶处出球失误了，费尔南迪尼奥铲球犯规了                   1'开场1分钟，曼城后场玩火被断，费尔南迪尼奥紧急飞铲迪福，送出一个任意球
2'黑猫前场的任意球机会，位置很好，卡巴列罗，看看他的表现                   1'开场1分钟，曼城后场玩火被断，费尔南迪尼奥紧急飞铲迪福，送出一个任意球
3'范安霍尔特直接打门！被扑出，传中，头球顶出了底线                   1'开场1分钟，曼城后场玩火被断，费尔南迪尼奥紧急飞铲迪福，送出一个任意球
3'大脚开出，斯特林的成功盘带，给到飞鸟                   1'开场1分钟，曼城后场玩火被断，费尔南迪尼奥紧急飞铲迪福，送出一个任意球
4'直塞斯特林，禁区内一扣！被放倒了！                   1'开场1分钟，曼城后场玩火被断，费尔南迪尼奥紧急飞铲迪福，送出一个任意球
4'点球！                   1'开场1分钟，曼城后场玩火被断，费尔南迪尼奥紧急飞铲迪福，送出一个任意球
4'范安霍尔特的犯规，阿坤来主罚                   1'开场1分钟，曼城后场玩火被断，费尔南迪尼奥紧急飞铲迪福，送出一个任意球
4'打门！1：0！                   1'开场1分钟，曼城后场玩火被断，费尔南迪尼奥紧急飞铲迪福，送出一个任意球
3'范安霍尔特直接打门！被扑出，传中，头球顶出了底线                   3'3分钟，斯特林在右路突破，回扣变向被范恩霍尔特铲倒，曼城获得点球
3'大脚开出，斯特林的成功盘带，给到飞鸟                   3'3分钟，斯特林在右路突破，回扣变向被范恩霍尔特铲倒，曼城获得点球
4'直塞斯特林，禁区内一扣！被放倒了！                   3'3分钟，斯特林在右路突破，回扣变向被范恩霍尔特铲倒，曼城获得点球
4'点球！                   3'3分钟，斯特林在右路突破，回扣变向被范恩霍尔特铲倒，曼城获得点球
4'范安霍尔特的犯规，阿坤来主罚                   3'3分钟，斯特林在右路突破，回扣变向被范恩霍尔特铲倒，曼城获得点球
4'打门！1：0！                   3'3分钟，斯特林在右路突破，回扣变向被范恩霍尔特铲倒，曼城获得点球
5'开场不到5分钟，斯特林造点，阿坤命中！曼城主场1：0领先                   3'3分钟，斯特林在右路突破，回扣变向被范恩霍尔特铲倒，曼城获得点球
