1'上半场比赛开始了，客场作战的亚泰率先开球                   1'第1分钟维尔玛接直传球形成单刀但被吹越位，慢镜头显示越位并不明显
1'亚泰从画面右侧向左侧进攻，泰达则反之                   1'第1分钟维尔玛接直传球形成单刀但被吹越位，慢镜头显示越位并不明显
1'烈鸟中场拿球，横敲周海滨                   1'第1分钟维尔玛接直传球形成单刀但被吹越位，慢镜头显示越位并不明显
2'右路白岳峰插上，交给回撤接应的巴尔克斯                   1'第1分钟维尔玛接直传球形成单刀但被吹越位，慢镜头显示越位并不明显
2'巴尔克斯送出精妙直塞，维尔玛形成单刀了                   1'第1分钟维尔玛接直传球形成单刀但被吹越位，慢镜头显示越位并不明显
2'边裁举旗，维尔玛越位在先                   1'第1分钟维尔玛接直传球形成单刀但被吹越位，慢镜头显示越位并不明显
2'不过，从慢镜头来看这是一个好球呀                   1'第1分钟维尔玛接直传球形成单刀但被吹越位，慢镜头显示越位并不明显
2'亚泰中后场的失误                   1'第1分钟维尔玛接直传球形成单刀但被吹越位，慢镜头显示越位并不明显
3'泰达反击的机会来了，直传巴尔克斯                   1'第1分钟维尔玛接直传球形成单刀但被吹越位，慢镜头显示越位并不明显
3'巴尔克斯突入禁区，速度有些慢                   1'第1分钟维尔玛接直传球形成单刀但被吹越位，慢镜头显示越位并不明显
3'巴尔克斯禁区内一扣，闪开在打，被宋振瑜没收                   1'第1分钟维尔玛接直传球形成单刀但被吹越位，慢镜头显示越位并不明显
4'这个球巴尔克斯处理的犹豫了，本来是一次很好的机会                   1'第1分钟维尔玛接直传球形成单刀但被吹越位，慢镜头显示越位并不明显
4'莫雷诺左侧突破，横切，禁区外的一记打门，被杜佳倒地扑住                   1'第1分钟维尔玛接直传球形成单刀但被吹越位，慢镜头显示越位并不明显
4'双方一上来都不保守                   1'第1分钟维尔玛接直传球形成单刀但被吹越位，慢镜头显示越位并不明显
3'泰达反击的机会来了，直传巴尔克斯                   3'第3分钟，莫雷诺反击中禁区外突发冷箭，杜佳将球扑住
3'巴尔克斯突入禁区，速度有些慢                   3'第3分钟，莫雷诺反击中禁区外突发冷箭，杜佳将球扑住
3'巴尔克斯禁区内一扣，闪开在打，被宋振瑜没收                   3'第3分钟，莫雷诺反击中禁区外突发冷箭，杜佳将球扑住
4'这个球巴尔克斯处理的犹豫了，本来是一次很好的机会                   3'第3分钟，莫雷诺反击中禁区外突发冷箭，杜佳将球扑住
4'莫雷诺左侧突破，横切，禁区外的一记打门，被杜佳倒地扑住                   3'第3分钟，莫雷诺反击中禁区外突发冷箭，杜佳将球扑住
4'双方一上来都不保守                   3'第3分钟，莫雷诺反击中禁区外突发冷箭，杜佳将球扑住
5'节奏也比较快，很好看的比赛                   3'第3分钟，莫雷诺反击中禁区外突发冷箭，杜佳将球扑住
5'阎峰前场拼抢犯规                   3'第3分钟，莫雷诺反击中禁区外突发冷箭，杜佳将球扑住
5'全场球迷喊出杜震宇的名字                   3'第3分钟，莫雷诺反击中禁区外突发冷箭，杜佳将球扑住
5'王秋明沿中路奔袭，最后的传球被断                   3'第3分钟，莫雷诺反击中禁区外突发冷箭，杜佳将球扑住
6'泰达左路进攻，还是由巴尔克斯回撤来组织                   3'第3分钟，莫雷诺反击中禁区外突发冷箭，杜佳将球扑住
6'巴尔克斯再送直传给维尔玛，维尔玛单刀再次越位                   3'第3分钟，莫雷诺反击中禁区外突发冷箭，杜佳将球扑住
15'泰达后场控制一下节奏，李玮峰接到吕伟的来球，在往前交白岳峰                   15'第15分钟，杜震宇分球，张笑非左路下底低平球传中，皮球穿过门前没有人碰到，后点祝一帆低射打在后卫身上被挡出，队友再次补射力量不足被后卫挡出底线
15'白岳峰传球犯规了                   15'第15分钟，杜震宇分球，张笑非左路下底低平球传中，皮球穿过门前没有人碰到，后点祝一帆低射打在后卫身上被挡出，队友再次补射力量不足被后卫挡出底线
16'sorry，白岳峰传球失误了，小播一着急，口误                   15'第15分钟，杜震宇分球，张笑非左路下底低平球传中，皮球穿过门前没有人碰到，后点祝一帆低射打在后卫身上被挡出，队友再次补射力量不足被后卫挡出底线
16'亚泰左路打穿对方防线，张笑非插上，下底传中                   15'第15分钟，杜震宇分球，张笑非左路下底低平球传中，皮球穿过门前没有人碰到，后点祝一帆低射打在后卫身上被挡出，队友再次补射力量不足被后卫挡出底线
17'后点跟进的祝一帆，一脚打门，被对方挡出来                   15'第15分钟，杜震宇分球，张笑非左路下底低平球传中，皮球穿过门前没有人碰到，后点祝一帆低射打在后卫身上被挡出，队友再次补射力量不足被后卫挡出底线
17'杜震宇左路回敲一下，伊斯梅洛夫过渡到右路                   15'第15分钟，杜震宇分球，张笑非左路下底低平球传中，皮球穿过门前没有人碰到，后点祝一帆低射打在后卫身上被挡出，队友再次补射力量不足被后卫挡出底线
17'马祖接到胡斯蒂的来球，再分中路                   15'第15分钟，杜震宇分球，张笑非左路下底低平球传中，皮球穿过门前没有人碰到，后点祝一帆低射打在后卫身上被挡出，队友再次补射力量不足被后卫挡出底线
18'亚泰前场挑传过顶，找莫雷诺，赵宏略把球顶出                   15'第15分钟，杜震宇分球，张笑非左路下底低平球传中，皮球穿过门前没有人碰到，后点祝一帆低射打在后卫身上被挡出，队友再次补射力量不足被后卫挡出底线
18'在稳住脚跟之后，作客的亚泰现在慢慢抢回中场的控制权                   15'第15分钟，杜震宇分球，张笑非左路下底低平球传中，皮球穿过门前没有人碰到，后点祝一帆低射打在后卫身上被挡出，队友再次补射力量不足被后卫挡出底线
23'莫雷诺接应，传球被烈鸟挡出边线                   23'第23分钟，胡斯蒂禁区前沿巧妙过人后挑传，莫雷诺禁区内挑球过人被挡，他示意天津队后卫手球犯规，但主裁判未予理睬
23'杜震宇来到中路，斜传左侧拉边的莫雷诺，传的很准确                   23'第23分钟，胡斯蒂禁区前沿巧妙过人后挑传，莫雷诺禁区内挑球过人被挡，他示意天津队后卫手球犯规，但主裁判未予理睬
24'莫雷诺想一步趟进去，直接吃掉白岳峰，没成功                   23'第23分钟，胡斯蒂禁区前沿巧妙过人后挑传，莫雷诺禁区内挑球过人被挡，他示意天津队后卫手球犯规，但主裁判未予理睬
24'外围亚泰把球控制住，胡斯蒂在斜吊禁区之内，李玮峰头球解围                   23'第23分钟，胡斯蒂禁区前沿巧妙过人后挑传，莫雷诺禁区内挑球过人被挡，他示意天津队后卫手球犯规，但主裁判未予理睬
25'亚泰低球交给禁区内的莫雷诺，莫雷诺面对两名中卫强行突破                   23'第23分钟，胡斯蒂禁区前沿巧妙过人后挑传，莫雷诺禁区内挑球过人被挡，他示意天津队后卫手球犯规，但主裁判未予理睬
25'挑球过人没有成功                   23'第23分钟，胡斯蒂禁区前沿巧妙过人后挑传，莫雷诺禁区内挑球过人被挡，他示意天津队后卫手球犯规，但主裁判未予理睬
25'天津的进攻，前场配合非常熟练                   23'第23分钟，胡斯蒂禁区前沿巧妙过人后挑传，莫雷诺禁区内挑球过人被挡，他示意天津队后卫手球犯规，但主裁判未予理睬
