26'射门!!!罗马球员利亚伊奇大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是纳因戈兰.                   26'第26分钟，利亚伊奇禁区右侧晃开后卫斜射，被布尔基奇得到
27'罗马球员Daniele Verde大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是凯塔.                   26'第26分钟，利亚伊奇禁区右侧晃开后卫斜射，被布尔基奇得到
29'D-孔蒂将球处理出底线,罗马获得角球.                   26'第26分钟，利亚伊奇禁区右侧晃开后卫斜射，被布尔基奇得到
29'罗马球员纳因戈兰大禁区外尝试右脚射门,可惜皮球高出球门.                   26'第26分钟，利亚伊奇禁区右侧晃开后卫斜射，被布尔基奇得到
37'卡利亚里球员埃夫勒拼抢犯规,对手获得控球权.                   37'第37分钟，利亚伊奇右肋与维尔德踢墙配合，维尔德巧妙搓入禁区右侧，利亚伊奇在门前5米处直接凌空垫射入近角，1比0
37'Daniele Verde为罗马在右路,赢得一个任意球.                   37'第37分钟，利亚伊奇右肋与维尔德踢墙配合，维尔德巧妙搓入禁区右侧，利亚伊奇在门前5米处直接凌空垫射入近角，1比0
37'进球啦！！！罗马球员利亚伊奇小禁区右侧右脚射门,球从右上角飞进球门,球进了!助攻的是Daniele Verde. 卡利亚里 0-1 罗马.                   37'第37分钟，利亚伊奇右肋与维尔德踢墙配合，维尔德巧妙搓入禁区右侧，利亚伊奇在门前5米处直接凌空垫射入近角，1比0
40'D-孔蒂为卡利亚里赢得一个任意球.                   37'第37分钟，利亚伊奇右肋与维尔德踢墙配合，维尔德巧妙搓入禁区右侧，利亚伊奇在门前5米处直接凌空垫射入近角，1比0
40'罗马球员皮亚尼奇拼抢犯规,对手获得控球权.                   37'第37分钟，利亚伊奇右肋与维尔德踢墙配合，维尔德巧妙搓入禁区右侧，利亚伊奇在门前5米处直接凌空垫射入近角，1比0
66'射门!!!卡利亚里球员科普大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是乔-佩德罗.                   66'第66分钟，若昂-佩德罗右侧头球回点，乔普停球距门7米处单刀斜射被德桑克蒂斯神勇封出
66'阿斯托里将球处理出底线,卡利亚里获得角球.                   66'第66分钟，若昂-佩德罗右侧头球回点，乔普停球距门7米处单刀斜射被德桑克蒂斯神勇封出
67'卡利亚里球员姆博库一脚直塞球给埃夫勒,但是边裁举旗显示后者已经越位.                   66'第66分钟，若昂-佩德罗右侧头球回点，乔普停球距门7米处单刀斜射被德桑克蒂斯神勇封出
68'卡利亚里球员科普拼抢犯规,对手获得控球权.                   66'第66分钟，若昂-佩德罗右侧头球回点，乔普停球距门7米处单刀斜射被德桑克蒂斯神勇封出
68'雅尼加-姆比瓦为罗马赢得一个任意球.                   66'第66分钟，若昂-佩德罗右侧头球回点，乔普停球距门7米处单刀斜射被德桑克蒂斯神勇封出
78'卡利亚里球员科普大禁区中央尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是姆博库.                   78'第78分钟，纳英戈兰失误，乔普在门前13米处左脚推射掠过横梁
78'卡利亚里换人,马克-苏换下乔-佩德罗                   78'第78分钟，纳英戈兰失误，乔普在门前13米处左脚推射掠过横梁
79'D-孔蒂为卡利亚里赢得一个任意球.                   78'第78分钟，纳英戈兰失误，乔普在门前13米处左脚推射掠过横梁
79'罗马球员皮亚尼奇拼抢犯规,对手获得控球权.                   78'第78分钟，纳英戈兰失误，乔普在门前13米处左脚推射掠过横梁
79'马克-苏为卡利亚里在右路,赢得一个任意球.                   78'第78分钟，纳英戈兰失误，乔普在门前13米处左脚推射掠过横梁
79'罗马球员José Holebas拼抢犯规,对手获得控球权.                   78'第78分钟，纳英戈兰失误，乔普在门前13米处左脚推射掠过横梁
79'黄牌！罗马球员José Holebas因为恶意犯规,被主裁判出示黄牌.                   78'第78分钟，纳英戈兰失误，乔普在门前13米处左脚推射掠过横梁
80'射门!!!罗马球员Daniele Verde球门左侧小角度左脚射门,被对方守门员横身扑出.给他传球的是托罗西迪斯.                   78'第78分钟，纳英戈兰失误，乔普在门前13米处左脚推射掠过横梁
81'拉米雷斯为卡利亚里在左路,赢得一个任意球.                   78'第78分钟，纳英戈兰失误，乔普在门前13米处左脚推射掠过横梁
81'罗马球员Leandro Paredes拼抢犯规,对手获得控球权.                   78'第78分钟，纳英戈兰失误，乔普在门前13米处左脚推射掠过横梁
81'罗马球员Leandro Paredes被主裁判出示了一张黄牌.                   78'第78分钟，纳英戈兰失误，乔普在门前13米处左脚推射掠过横梁
85'进球啦！！！罗马球员Leandro Paredes大禁区右侧右脚射门,球从左下角飞进球门,球进了!助攻的是Daniele Verde. 卡利亚里 0-2 罗马.                   85'罗马第85分钟再下一城，霍莱瓦斯后场长传，维尔德左路起球，帕雷德斯后点禁区边缘直接抽射入远角，2比0
