2'拜仁慕尼黑球员格策大禁区外右脚射门,被防守球员封堵.给他传球的是曼朱基齐.                   1'第1分钟，勒沃库森屯兵后场伺机反击，拜仁连续尝试远射
2'拜仁慕尼黑球员格策大禁区中央右脚射门,被防守球员封堵.                   1'第1分钟，勒沃库森屯兵后场伺机反击，拜仁连续尝试远射
2'拉斯-本德将球处理出底线,拜仁慕尼黑获得角球.                   1'第1分钟，勒沃库森屯兵后场伺机反击，拜仁连续尝试远射
2'孙兴民将球处理出底线,拜仁慕尼黑获得角球.                   1'第1分钟，勒沃库森屯兵后场伺机反击，拜仁连续尝试远射
3'拜仁慕尼黑球员克罗斯大禁区外右脚射门,被防守球员封堵.给他传球的是范比滕.                   1'第1分钟，勒沃库森屯兵后场伺机反击，拜仁连续尝试远射
8'射门!!!拜仁慕尼黑球员罗本大禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是拉菲尼亚.                   8'第8分钟，罗本右路内切距门14米处左脚低射被莱诺封出近门柱
8'埃姆雷-詹将球处理出底线,拜仁慕尼黑获得角球.                   8'第8分钟，罗本右路内切距门14米处左脚低射被莱诺封出近门柱
9'希尔伯特为勒沃库森赢得一个任意球.                   8'第8分钟，罗本右路内切距门14米处左脚低射被莱诺封出近门柱
9'拜仁慕尼黑球员博阿滕拼抢犯规,对手获得控球权.                   8'第8分钟，罗本右路内切距门14米处左脚低射被莱诺封出近门柱
9'勒沃库森球员基斯林拼抢犯规,对手获得控球权.                   8'第8分钟，罗本右路内切距门14米处左脚低射被莱诺封出近门柱
9'拉菲尼亚为拜仁慕尼黑赢得一个任意球.                   8'第8分钟，罗本右路内切距门14米处左脚低射被莱诺封出近门柱
11'勒沃库森球员孙兴民大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是基斯林.                   8'第8分钟，罗本右路内切距门14米处左脚低射被莱诺封出近门柱
29'射门!!!勒沃库森球员罗尔费斯大禁区外左脚射门,被对方守门员横身扑出.                   29'第29分钟，罗尔费斯在门前27米处左脚怒射被诺伊尔单手托出横梁，卡斯特罗开出角球，基斯林头球被诺伊尔得到
29'诺伊尔将球处理出底线,勒沃库森获得角球.                   29'第29分钟，罗尔费斯在门前27米处左脚怒射被诺伊尔单手托出横梁，卡斯特罗开出角球，基斯林头球被诺伊尔得到
30'射门!!!勒沃库森球员基斯林大禁区中央头球,被对方守门员横身扑出.给他传球的是卡斯特罗.                   29'第29分钟，罗尔费斯在门前27米处左脚怒射被诺伊尔单手托出横梁，卡斯特罗开出角球，基斯林头球被诺伊尔得到
45'勒沃库森球员卡斯特罗拼抢犯规,对手获得控球权.                   45'拜仁第45分钟取得领先，施魏因施泰格右路传中，曼朱基奇力压沃尔沙伊德，在门前7米处头球顶进左下角，1比0
45'施魏因斯泰格为拜仁慕尼黑赢得一个任意球.                   45'拜仁第45分钟取得领先，施魏因施泰格右路传中，曼朱基奇力压沃尔沙伊德，在门前7米处头球顶进左下角，1比0
45'+1'上半场结束,拜仁慕尼黑 1-0 勒沃库森,稍事休息,我们一会来看看下半场两队的表现.                   45'拜仁第45分钟取得领先，施魏因施泰格右路传中，曼朱基奇力压沃尔沙伊德，在门前7米处头球顶进左下角，1比0
46'勒沃库森球员拉斯-本德拼抢犯规,对手获得控球权.                   45'拜仁第45分钟取得领先，施魏因施泰格右路传中，曼朱基奇力压沃尔沙伊德，在门前7米处头球顶进左下角，1比0
46'博阿滕为拜仁慕尼黑赢得一个任意球.                   45'拜仁第45分钟取得领先，施魏因施泰格右路传中，曼朱基奇力压沃尔沙伊德，在门前7米处头球顶进左下角，1比0
47'埃姆雷-詹为勒沃库森赢得一个任意球.                   45'拜仁第45分钟取得领先，施魏因施泰格右路传中，曼朱基奇力压沃尔沙伊德，在门前7米处头球顶进左下角，1比0
47'拜仁慕尼黑球员克罗斯拼抢犯规,对手获得控球权.                   45'拜仁第45分钟取得领先，施魏因施泰格右路传中，曼朱基奇力压沃尔沙伊德，在门前7米处头球顶进左下角，1比0
53'范比滕将球处理出底线,勒沃库森获得角球.                   53'第53分钟，药厂开出角球，罗尔费斯禁区左侧打高
53'勒沃库森球员罗尔费斯大禁区左侧尝试左脚射门,可惜皮球偏出球门.                   53'第53分钟，药厂开出角球，罗尔费斯禁区左侧打高
54'拜仁慕尼黑球员格策大禁区右侧右脚射门,被防守球员封堵.给他传球的是克罗斯.                   53'第53分钟，药厂开出角球，罗尔费斯禁区左侧打高
54'伯尼施将球处理出底线,拜仁慕尼黑获得角球.                   53'第53分钟，药厂开出角球，罗尔费斯禁区左侧打高
55'沃尔沙伊德将球处理出底线,拜仁慕尼黑获得角球.                   53'第53分钟，药厂开出角球，罗尔费斯禁区左侧打高
55'拜仁慕尼黑球员施魏因斯泰格大禁区外尝试右脚射门,可惜皮球高出球门.                   53'第53分钟，药厂开出角球，罗尔费斯禁区左侧打高
56'射门!!!拜仁慕尼黑球员曼朱基齐大禁区左侧头球,被对方守门员横身扑出.给他传球的是克罗斯.                   53'第53分钟，药厂开出角球，罗尔费斯禁区左侧打高
56'射门!!!拜仁慕尼黑球员曼朱基齐大禁区左侧头球,被对方守门员横身扑出.给他传球的是克罗斯.                   56'第56分钟，克罗斯传球，曼朱基奇禁区左侧争顶被莱诺得到
