4'利物浦球员谢尔维大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是苏亚雷斯.                   4'第4分钟，苏亚雷斯传球，谢尔维20码处低射偏出
6'斯瑟格农为桑德兰赢得一个任意球.                   4'第4分钟，苏亚雷斯传球，谢尔维20码处低射偏出
6'利物浦球员乔-阿伦拼抢犯规,对手获得控球权.                   4'第4分钟，苏亚雷斯传球，谢尔维20码处低射偏出
7'麦克林为桑德兰赢得一个任意球.                   4'第4分钟，苏亚雷斯传球，谢尔维20码处低射偏出
7'利物浦球员马丁-凯利拼抢犯规,对手获得控球权.                   4'第4分钟，苏亚雷斯传球，谢尔维20码处低射偏出
7'麦克林为桑德兰在左路,赢得一个任意球.                   4'第4分钟，苏亚雷斯传球，谢尔维20码处低射偏出
7'利物浦球员马丁-凯利拼抢犯规,对手获得控球权.                   4'第4分钟，苏亚雷斯传球，谢尔维20码处低射偏出
19'斯瑟格农为桑德兰在左路,赢得一个任意球.                   19'第19分钟，奎利亚尔冒失头球回摆，但博里尼小禁区右上角外的射门被米尼奥莱出击封堵
19'利物浦球员阿格尔拼抢犯规,对手获得控球权.                   19'第19分钟，奎利亚尔冒失头球回摆，但博里尼小禁区右上角外的射门被米尼奥莱出击封堵
20'斯蒂文-弗莱彻为桑德兰赢得一个任意球.                   19'第19分钟，奎利亚尔冒失头球回摆，但博里尼小禁区右上角外的射门被米尼奥莱出击封堵
20'利物浦球员格伦-约翰逊拼抢犯规,对手获得控球权.                   19'第19分钟，奎利亚尔冒失头球回摆，但博里尼小禁区右上角外的射门被米尼奥莱出击封堵
21'桑德兰球员科尔巴克拼抢犯规,对手获得控球权.                   19'第19分钟，奎利亚尔冒失头球回摆，但博里尼小禁区右上角外的射门被米尼奥莱出击封堵
21'杰拉德为利物浦赢得一个任意球.                   19'第19分钟，奎利亚尔冒失头球回摆，但博里尼小禁区右上角外的射门被米尼奥莱出击封堵
22'桑德兰球员罗斯拼抢犯规,对手获得控球权.                   19'第19分钟，奎利亚尔冒失头球回摆，但博里尼小禁区右上角外的射门被米尼奥莱出击封堵
22'L-斯特林为利物浦在右路,赢得一个任意球.                   19'第19分钟，奎利亚尔冒失头球回摆，但博里尼小禁区右上角外的射门被米尼奥莱出击封堵
25'射门!!!利物浦球员博里尼大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是苏亚雷斯.                   25'第25分钟，谢尔维传球，苏亚雷斯回敲，博里尼14码处半凌空抽射被米尼奥莱扑出
27'利物浦球员L-斯特林大禁区右侧右脚射门,被防守球员封堵.给他传球的是苏亚雷斯.                   25'第25分钟，谢尔维传球，苏亚雷斯回敲，博里尼14码处半凌空抽射被米尼奥莱扑出
28'利物浦球员杰拉德大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是L-斯特林.                   25'第25分钟，谢尔维传球，苏亚雷斯回敲，博里尼14码处半凌空抽射被米尼奥莱扑出
47'射门!!!利物浦球员谢尔维大禁区外右脚射门,被对方守门员横身扑出.给他传球的是苏亚雷斯.                   46'1分钟后，斯特灵传球，杰拉德禁区前射门偏出
48'奥谢将球处理出底线,利物浦获得角球.                   46'1分钟后，斯特灵传球，杰拉德禁区前射门偏出
49'桑德兰球员塞巴斯蒂安-拉尔森拼抢犯规,对手获得控球权.                   46'1分钟后，斯特灵传球，杰拉德禁区前射门偏出
49'苏亚雷斯为利物浦在对方半场,赢得一个任意球.                   46'1分钟后，斯特灵传球，杰拉德禁区前射门偏出
35'利物浦球员苏亚雷斯大禁区外右脚射门,被防守球员封堵.                   35'第35分钟，斯特灵突破赢得禁区前任意球，但苏亚雷斯20码处直接射门被人墙挡出
35'麦克林将球处理出底线,利物浦获得角球.                   35'第35分钟，斯特灵突破赢得禁区前任意球，但苏亚雷斯20码处直接射门被人墙挡出
36'桑德兰球员罗斯拼抢犯规,对手获得控球权.                   35'第35分钟，斯特灵突破赢得禁区前任意球，但苏亚雷斯20码处直接射门被人墙挡出
36'L-斯特林为利物浦赢得一个任意球.                   35'第35分钟，斯特灵突破赢得禁区前任意球，但苏亚雷斯20码处直接射门被人墙挡出
37'利物浦球员苏亚雷斯在禁区内摔倒了,但裁判判他假摔！                   35'第35分钟，斯特灵突破赢得禁区前任意球，但苏亚雷斯20码处直接射门被人墙挡出
37'利物浦球员苏亚雷斯被主裁判出示了一张黄牌.                   35'第35分钟，斯特灵突破赢得禁区前任意球，但苏亚雷斯20码处直接射门被人墙挡出
47'射门!!!利物浦球员谢尔维大禁区外右脚射门,被对方守门员横身扑出.给他传球的是苏亚雷斯.                   47'第47分钟，苏亚雷斯传球，谢尔维禁区前的射门被米尼奥莱轻松得到
48'奥谢将球处理出底线,利物浦获得角球.                   47'第47分钟，苏亚雷斯传球，谢尔维禁区前的射门被米尼奥莱轻松得到
49'桑德兰球员塞巴斯蒂安-拉尔森拼抢犯规,对手获得控球权.                   47'第47分钟，苏亚雷斯传球，谢尔维禁区前的射门被米尼奥莱轻松得到
